
CellTypeCount
==================== 
Count,Time, CellType
504.0,2,Fragment-LogNorm
506.0,3,Fragment-LogNorm
513.0,4,Fragment-LogNorm
515.0,5,Fragment-LogNorm
518.0,6,Fragment-LogNorm
525.0,7,Fragment-LogNorm
528.0,8,Fragment-LogNorm
530.0,9,Fragment-LogNorm
535.0,10,Fragment-LogNorm
537.0,11,Fragment-LogNorm
540.0,12,Fragment-LogNorm
541.0,13,Fragment-LogNorm
542.0,14,Fragment-LogNorm
545.0,15,Fragment-LogNorm
549.0,16,Fragment-LogNorm
553.0,17,Fragment-LogNorm
555.0,18,Fragment-LogNorm
557.0,19,Fragment-LogNorm
561.0,20,Fragment-LogNorm
562.0,21,Fragment-LogNorm
566.0,22,Fragment-LogNorm
568.0,23,Fragment-LogNorm
570.0,24,Fragment-LogNorm
571.0,25,Fragment-LogNorm
572.0,26,Fragment-LogNorm
572.0,27,Fragment-LogNorm
573.0,28,Fragment-LogNorm
576.0,29,Fragment-LogNorm
576.0,30,Fragment-LogNorm
580.0,31,Fragment-LogNorm
582.0,32,Fragment-LogNorm
583.0,33,Fragment-LogNorm
586.0,34,Fragment-LogNorm
589.0,35,Fragment-LogNorm
591.0,36,Fragment-LogNorm
592.0,37,Fragment-LogNorm
592.0,38,Fragment-LogNorm
593.0,39,Fragment-LogNorm
598.0,40,Fragment-LogNorm
602.0,41,Fragment-LogNorm
603.0,42,Fragment-LogNorm
604.0,43,Fragment-LogNorm
604.0,44,Fragment-LogNorm
607.0,45,Fragment-LogNorm
607.0,46,Fragment-LogNorm
610.0,47,Fragment-LogNorm
612.0,48,Fragment-LogNorm
614.0,49,Fragment-LogNorm
616.0,50,Fragment-LogNorm
619.0,51,Fragment-LogNorm
619.0,52,Fragment-LogNorm
620.0,53,Fragment-LogNorm
620.0,54,Fragment-LogNorm
622.0,55,Fragment-LogNorm
624.0,56,Fragment-LogNorm
624.0,57,Fragment-LogNorm
626.0,58,Fragment-LogNorm
626.0,59,Fragment-LogNorm
628.0,60,Fragment-LogNorm
632.0,61,Fragment-LogNorm
633.0,62,Fragment-LogNorm
634.0,63,Fragment-LogNorm
635.0,64,Fragment-LogNorm
637.0,65,Fragment-LogNorm
638.0,66,Fragment-LogNorm
641.0,67,Fragment-LogNorm
643.0,68,Fragment-LogNorm
646.0,69,Fragment-LogNorm
649.0,70,Fragment-LogNorm
652.0,71,Fragment-LogNorm
655.0,72,Fragment-LogNorm
655.0,73,Fragment-LogNorm
656.0,74,Fragment-LogNorm
656.0,75,Fragment-LogNorm
659.0,76,Fragment-LogNorm
660.0,77,Fragment-LogNorm
662.0,78,Fragment-LogNorm
664.0,79,Fragment-LogNorm
665.0,80,Fragment-LogNorm
667.0,81,Fragment-LogNorm
667.0,82,Fragment-LogNorm
670.0,83,Fragment-LogNorm
673.0,84,Fragment-LogNorm
673.0,85,Fragment-LogNorm
674.0,86,Fragment-LogNorm
676.0,87,Fragment-LogNorm
678.0,88,Fragment-LogNorm
679.0,89,Fragment-LogNorm
679.0,90,Fragment-LogNorm
680.0,91,Fragment-LogNorm
683.0,92,Fragment-LogNorm
684.0,93,Fragment-LogNorm
