
Track Length
 ==================== 
Track Length,Unit,Category,ID,
12.5989,µm,Track,1000000426,
19.8953,µm,Track,1000005575,
47.0974,µm,Track,1000008102,
13.5957,µm,Track,1000011182,
26.8437,µm,Track,1000014633,
13.3912,µm,Track,1000014915,
21.8082,µm,Track,1000018381,
40.3451,µm,Track,1000019405,
11.3688,µm,Track,1000022248,
11.3144,µm,Track,1000023039,
9.32364,µm,Track,1000023639,
46.6527,µm,Track,1000024512,
12.1473,µm,Track,1000025762,
19.3033,µm,Track,1000025863,
12.6944,µm,Track,1000025898,
30.2944,µm,Track,1000026374,
16.9158,µm,Track,1000026660,
14.7689,µm,Track,1000026789,
16.7682,µm,Track,1000026990,
33.229,µm,Track,1000027048,
15.5066,µm,Track,1000027245,
14.3168,µm,Track,1000027656,
6.62712,µm,Track,1000028849,
12.5317,µm,Track,1000028860,
12.3323,µm,Track,1000029962,
27.1647,µm,Track,1000034728,
14.6172,µm,Track,1000058544,
14.2316,µm,Track,1000069455,
24.443,µm,Track,1000071729,
21.2415,µm,Track,1000074239,
30.1638,µm,Track,1000080712,
8.00436,µm,Track,1000082174,
14.7137,µm,Track,1000094504,
52.6123,µm,Track,1000111173,
4.16657,µm,Track,1000117221,
18.2078,µm,Track,1000130081,
16.1091,µm,Track,1000135496,
12.7397,µm,Track,1000136105,
13.5194,µm,Track,1000138478,
57.2944,µm,Track,1000145899,
15.5687,µm,Track,1000158060,
39.245,µm,Track,1000165097,
30.0459,µm,Track,1000178867,
39.5204,µm,Track,1000196023,
24.3363,µm,Track,1000196749,
15.2416,µm,Track,1000199932,
15.2964,µm,Track,1000218062,
15.4278,µm,Track,1000221333,
16.6051,µm,Track,1000224234,
14.8176,µm,Track,1000224241,
17.1583,µm,Track,1000224431,
9.42468,µm,Track,1000226383,
12.2568,µm,Track,1000232501,
18.0577,µm,Track,1000244446,
12.3204,µm,Track,1000253547,
14.4857,µm,Track,1000257305,
23.3152,µm,Track,1000260417,
13.1575,µm,Track,1000260594,
47.6026,µm,Track,1000275823,
11.0501,µm,Track,1000278844,
17.5488,µm,Track,1000282540,
27.3308,µm,Track,1000282868,
18.9852,µm,Track,1000290426,
7.30307,µm,Track,1000290900,
49.7074,µm,Track,1000312915,
18.6425,µm,Track,1000320447,
11.2394,µm,Track,1000327258,
13.8672,µm,Track,1000338312,
21.7868,µm,Track,1000354440,
23.4882,µm,Track,1000354480,
45.3262,µm,Track,1000371442,
14.048,µm,Track,1000373068,
13.7289,µm,Track,1000385100,
12.9175,µm,Track,1000401657,
11.25,µm,Track,1000402605,
11.6279,µm,Track,1000405139,
37.0986,µm,Track,1000409035,
9.73691,µm,Track,1000421574,
18.0788,µm,Track,1000423376,
14.4581,µm,Track,1000429687,
17.0935,µm,Track,1000439186,
37.1018,µm,Track,1000449132,
68.0053,µm,Track,1000454057,
17.5903,µm,Track,1000454567,
18.1391,µm,Track,1000488632,
15.7953,µm,Track,1000489329,
8.54761,µm,Track,1000493396,
11.7134,µm,Track,1000515291,
11.1109,µm,Track,1000522409,
9.14829,µm,Track,1000522415,
33.9257,µm,Track,1000534158,
20.8339,µm,Track,1000535289,
16.8328,µm,Track,1000549440,
8.00493,µm,Track,1000566277,
34.9636,µm,Track,1000569584,
36.8163,µm,Track,1000572485,
11.4813,µm,Track,1000574056,
17.193,µm,Track,1000576160,
69.6244,µm,Track,1000606742,
15.7984,µm,Track,1000623228,
35.9809,µm,Track,1000626063,
12.7745,µm,Track,1000628237,
22.5205,µm,Track,1000657926,
15.2538,µm,Track,1000667525,
44.6992,µm,Track,1000675627,
11.0327,µm,Track,1000684239,
81.4143,µm,Track,1000686553,
43.2893,µm,Track,1000689377,
19.1314,µm,Track,1000690930,
6.66214,µm,Track,1000692325,
10.8991,µm,Track,1000695046,
26.8946,µm,Track,1000704730,
41.0933,µm,Track,1000705525,
10.5266,µm,Track,1000712057,
26.0243,µm,Track,1000728131,
12.756,µm,Track,1000755087,
17.7874,µm,Track,1000764459,
14.6588,µm,Track,1000809896,
15.4737,µm,Track,1000811156,
9.25008,µm,Track,1000813964,
24.8524,µm,Track,1000825954,
16.3986,µm,Track,1000835089,
12.7525,µm,Track,1000839692,
20.77,µm,Track,1000855659,
17.7556,µm,Track,1000856861,
10.3517,µm,Track,1000858553,
13.6411,µm,Track,1000860086,
38.8971,µm,Track,1000860289,
19.7511,µm,Track,1000864199,
9.86448,µm,Track,1000865808,
15.297,µm,Track,1000866048,
24.3162,µm,Track,1000887899,
19.0273,µm,Track,1000890207,
10.963,µm,Track,1000898844,
18.3214,µm,Track,1000926710,
34.9794,µm,Track,1000946144,
20.8148,µm,Track,1000953090,
18.4157,µm,Track,1000962165,
47.1871,µm,Track,1000976176,
13.0899,µm,Track,1000988049,
19.6933,µm,Track,1001007366,
20.4841,µm,Track,1001020468,
31.8683,µm,Track,1001028919,
14.9047,µm,Track,1001035449,
31.4584,µm,Track,1001045764,
23.2862,µm,Track,1001046137,
9.32258,µm,Track,1001054405,
24.933,µm,Track,1001070831,
17.6677,µm,Track,1001074979,
25.0193,µm,Track,1001078337,
10.0518,µm,Track,1001087121,
28.9943,µm,Track,1001088762,
8.05784,µm,Track,1001088789,
8.90469,µm,Track,1001102674,
11.6617,µm,Track,1001104072,
48.6814,µm,Track,1001115718,
30.4376,µm,Track,1001128302,
11.5478,µm,Track,1001128779,
12.666,µm,Track,1001129977,
20.2333,µm,Track,1001132092,
10.0684,µm,Track,1001132873,
46.4444,µm,Track,1001138880,
17.8159,µm,Track,1001148839,
33.4033,µm,Track,1001162429,
9.35559,µm,Track,1001183631,
17.8016,µm,Track,1001190228,
15.5379,µm,Track,1001205984,
17.968,µm,Track,1001222072,
26.188,µm,Track,1001223904,
17.0363,µm,Track,1001236985,
11.9181,µm,Track,1001244289,
10.6399,µm,Track,1001261153,
16.6258,µm,Track,1001265495,
42.5744,µm,Track,1001290709,
15.9817,µm,Track,1001298039,
9.26254,µm,Track,1001304416,
13.0941,µm,Track,1001307011,
12.0199,µm,Track,1001310725,
17.1845,µm,Track,1001347654,
12.1957,µm,Track,1001349662,
9.24515,µm,Track,1001351185,
17.2932,µm,Track,1001373018,
32.6729,µm,Track,1001374929,
22.3156,µm,Track,1001376957,
8.45528,µm,Track,1001382680,
13.1087,µm,Track,1001390095,
26.6604,µm,Track,1001399631,
34.4005,µm,Track,1001414282,
50.1532,µm,Track,1001432525,
7.49232,µm,Track,1001443126,
15.765,µm,Track,1001444551,
23.3311,µm,Track,1001447832,
15.0771,µm,Track,1001459999,
21.4364,µm,Track,1001463577,
8.71728,µm,Track,1001470670,
15.5251,µm,Track,1001484970,
20.6498,µm,Track,1001498754,
13.5088,µm,Track,1001510065,
10.9293,µm,Track,1001511880,
44.0373,µm,Track,1001515348,
34.9244,µm,Track,1001524529,
53.3463,µm,Track,1001524797,
32.3636,µm,Track,1001531007,
16.828,µm,Track,1001535243,
7.39631,µm,Track,1001536213,
10.1391,µm,Track,1001549656,
13.4707,µm,Track,1001571482,
9.69182,µm,Track,1001585322,
16.6074,µm,Track,1001597972,
62.0727,µm,Track,1001634186,
5.7925,µm,Track,1001641521,
26.2539,µm,Track,1001649683,
13.7518,µm,Track,1001660310,
18.3258,µm,Track,1001662631,
11.67,µm,Track,1001662802,
9.02615,µm,Track,1001692264,
9.41406,µm,Track,1001696991,
28.1456,µm,Track,1001705575,
32.1393,µm,Track,1001708522,
