
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,um,Surface,Displacement Delta,1,1000018754,18754,
0,0,0,um,Surface,Displacement Delta,1,1000018755,18755,
0,0,0,um,Surface,Displacement Delta,1,1000018756,18756,
0,0,0,um,Surface,Displacement Delta,1,1000018757,18757,
0,0,0,um,Surface,Displacement Delta,1,1000018758,18758,
0,0,0,um,Surface,Displacement Delta,1,1000018759,18759,
0,0,0,um,Surface,Displacement Delta,1,1000018760,18760,
0,0,0,um,Surface,Displacement Delta,1,1000018761,18761,
0,0,0,um,Surface,Displacement Delta,1,1000018762,18762,
0,0,0,um,Surface,Displacement Delta,1,1000018763,18763,
0,0,0,um,Surface,Displacement Delta,1,1000018764,18764,
0,0,0,um,Surface,Displacement Delta,1,1000018765,18765,
0,0,0,um,Surface,Displacement Delta,1,1000018766,18766,
0,0,0,um,Surface,Displacement Delta,1,1000018767,18767,
0,0,0,um,Surface,Displacement Delta,1,1000018768,18768,
0,0,0,um,Surface,Displacement Delta,1,1000018769,18769,
0,0,0,um,Surface,Displacement Delta,1,1000018770,18770,
0,0,0,um,Surface,Displacement Delta,1,1000018771,18771,
0,0,0,um,Surface,Displacement Delta,1,1000018772,18772,
0,0,0,um,Surface,Displacement Delta,1,1000018773,18773,
0,0,0,um,Surface,Displacement Delta,1,1000018774,18774,
0,0,0,um,Surface,Displacement Delta,1,1000018775,18775,
0,0,0,um,Surface,Displacement Delta,1,1000018776,18776,
0,0,0,um,Surface,Displacement Delta,1,1000018777,18777,
0,0,0,um,Surface,Displacement Delta,1,1000018778,18778,
0,0,0,um,Surface,Displacement Delta,1,1000018779,18779,
1.73547,0.657288,0.375,um,Surface,Displacement Delta,2,1000018770,18780,
-0.691887,1.93729,0,um,Surface,Displacement Delta,2,1000018754,18781,
1.10703,0.711655,-0.428571,um,Surface,Displacement Delta,2,1000018755,18782,
-0.691879,-2.07568,0.5,um,Surface,Displacement Delta,2,1000018756,18783,
-0.830269,0.498138,0.599998,um,Surface,Displacement Delta,2,1000018757,18784,
-0.138382,0.138367,0,um,Surface,Displacement Delta,2,1000018759,18785,
1.7989,0.276764,-3,um,Surface,Displacement Delta,2,1000018758,18786,
0.765686,0.830261,0,um,Surface,Displacement Delta,2,1000018760,18787,
0,0,0,um,Surface,Displacement Delta,2,1000018788,18788,
1.78101,0.490021,-1.25294,um,Surface,Displacement Delta,2,1000018761,18789,
-0.922546,0.599609,0.833336,um,Surface,Displacement Delta,2,1000018762,18790,
1.10434,0.465134,0.941936,um,Surface,Displacement Delta,2,1000018763,18791,
-0.484314,-0.172974,-0.48214,um,Surface,Displacement Delta,2,1000018764,18792,
2.55159,1.20349,0.545454,um,Surface,Displacement Delta,2,1000018765,18793,
0,0,0,um,Surface,Displacement Delta,2,1000018794,18794,
-0.246948,0,0.646156,um,Surface,Displacement Delta,2,1000018766,18795,
-0.138382,0.553497,0,um,Surface,Displacement Delta,2,1000018767,18796,
0,0,0,um,Surface,Displacement Delta,2,1000018797,18797,
0.542847,0.415131,-0.576923,um,Surface,Displacement Delta,2,1000018768,18798,
0,0,0,um,Surface,Displacement Delta,2,1000018799,18799,
0.692505,-0.0897827,-0.728889,um,Surface,Displacement Delta,2,1000018769,18800,
-0.138367,0.138382,0,um,Surface,Displacement Delta,2,1000018771,18801,
0,0,0,um,Surface,Displacement Delta,2,1000018802,18802,
-0.830269,0.415131,1.5,um,Surface,Displacement Delta,2,1000018772,18803,
-0.830261,0.830261,0,um,Surface,Displacement Delta,2,1000018773,18804,
-0.770958,0.711655,1.28571,um,Surface,Displacement Delta,2,1000018774,18805,
0.369003,-0.553497,0,um,Surface,Displacement Delta,2,1000018775,18806,
-1.21771,-0.821045,0,um,Surface,Displacement Delta,2,1000018776,18807,
-0.662186,-0.352943,0.121452,um,Surface,Displacement Delta,2,1000018777,18808,
0,0,0,um,Surface,Displacement Delta,2,1000018809,18809,
0.20755,-0.380539,0.75,um,Surface,Displacement Delta,2,1000018778,18810,
-0.237213,-0.0889587,0,um,Surface,Displacement Delta,2,1000018779,18811,
0,0,0,um,Surface,Displacement Delta,3,1000018812,18812,
0.588104,0.449722,0,um,Surface,Displacement Delta,3,1000018755,18813,
0.691879,1.24542,-0.5,um,Surface,Displacement Delta,3,1000018756,18814,
1.49448,0.166046,-1.2,um,Surface,Displacement Delta,3,1000018757,18815,
0,0,0,um,Surface,Displacement Delta,3,1000018816,18816,
1.00818,0.652374,-1.28571,um,Surface,Displacement Delta,3,1000018759,18817,
-0.553497,0.968628,0,um,Surface,Displacement Delta,3,1000018758,18818,
1.06091,0.622696,0.5,um,Surface,Displacement Delta,3,1000018760,18819,
-0.356598,-1.02188,2.36539,um,Surface,Displacement Delta,3,1000018788,18820,
0.973831,0.0899658,0.431252,um,Surface,Displacement Delta,3,1000018761,18821,
1.40356,0,-0.928574,um,Surface,Displacement Delta,3,1000018762,18822,
-0.426178,0.293365,-1.84,um,Surface,Displacement Delta,3,1000018763,18823,
0.948883,-0.079071,-1,um,Surface,Displacement Delta,3,1000018764,18824,
1.67281,0.636932,0.925531,um,Surface,Displacement Delta,3,1000018765,18825,
0,0.664215,0.9,um,Surface,Displacement Delta,3,1000018794,18826,
0.233246,-0.14827,-0.192863,um,Surface,Displacement Delta,3,1000018766,18827,
0.553513,-0.138367,3,um,Surface,Displacement Delta,3,1000018767,18828,
0.0691833,0.276764,0,um,Surface,Displacement Delta,3,1000018797,18829,
0.434296,0,0.246154,um,Surface,Displacement Delta,3,1000018768,18830,
-0.325668,0.729156,0.446121,um,Surface,Displacement Delta,3,1000018799,18831,
1.10703,0.138367,0,um,Surface,Displacement Delta,3,1000018754,18832,
0.0307312,2.70604,2.55556,um,Surface,Displacement Delta,3,1000018769,18833,
-0.842377,0.495247,-0.947369,um,Surface,Displacement Delta,3,1000018770,18834,
0.968628,0.484314,-2.25,um,Surface,Displacement Delta,3,1000018771,18835,
-0.0539246,0.830261,-0.311687,um,Surface,Displacement Delta,3,1000018802,18836,
1.24541,0,0,um,Surface,Displacement Delta,3,1000018772,18837,
0.652374,0.415138,0,um,Surface,Displacement Delta,3,1000018773,18838,
0.494202,-0.0197601,-1.28571,um,Surface,Displacement Delta,3,1000018774,18839,
1.07012,-0.387482,0,um,Surface,Displacement Delta,3,1000018775,18840,
0.76799,1.63979,0,um,Surface,Displacement Delta,3,1000018776,18841,
0.348358,-0.731567,-0.566429,um,Surface,Displacement Delta,3,1000018777,18842,
0.405701,1.34918,0,um,Surface,Displacement Delta,3,1000018809,18843,
1.55675,0.380539,-0.75,um,Surface,Displacement Delta,3,1000018778,18844,
1.23354,2.20614,0,um,Surface,Displacement Delta,3,1000018779,18845,
0.767426,-0.0628204,1.50987,um,Surface,Displacement Delta,4,1000018770,18846,
-0.455475,-1.10414,-1.63542,um,Surface,Displacement Delta,4,1000018769,18847,
-1.66054,0.415161,0,um,Surface,Displacement Delta,4,1000018754,18848,
1.76431,2.62424,-1.125,um,Surface,Displacement Delta,4,1000018812,18849,
1.51523,1.07242,-0.4,um,Surface,Displacement Delta,4,1000018755,18850,
2.21405,-2.21405,0,um,Surface,Displacement Delta,4,1000018756,18851,
-1.16238,-1.3284,-1.8,um,Surface,Displacement Delta,4,1000018757,18852,
-0.830261,0,0,um,Surface,Displacement Delta,4,1000018758,18853,
0.237228,0.177887,-1.71429,um,Surface,Displacement Delta,4,1000018759,18854,
2.7043,0.806549,0.900002,um,Surface,Displacement Delta,4,1000018816,18855,
0.0319214,0.654633,-0.0384616,um,Surface,Displacement Delta,4,1000018760,18856,
0.23526,0.0830383,-1.05,um,Surface,Displacement Delta,4,1000018788,18857,
0,0,0,um,Surface,Displacement Delta,4,1000018858,18858,
1.21945,0.276733,0.34375,um,Surface,Displacement Delta,4,1000018761,18859,
0,-1.00815,-0.214287,um,Surface,Displacement Delta,4,1000018762,18860,
0.285873,-0.0273743,-0.565941,um,Surface,Displacement Delta,4,1000018764,18861,
0.0563354,0.635025,-0.905455,um,Surface,Displacement Delta,4,1000018763,18862,
-1.12886,0.0189514,-1.18163,um,Surface,Displacement Delta,4,1000018765,18863,
-0.415131,-0.934052,-0.375,um,Surface,Displacement Delta,4,1000018794,18864,
0.396912,0.276001,-0.337906,um,Surface,Displacement Delta,4,1000018766,18865,
-0.415131,-0.415131,0,um,Surface,Displacement Delta,4,1000018767,18866,
0,0,0,um,Surface,Displacement Delta,4,1000018867,18867,
0.998291,0.830261,-1,um,Surface,Displacement Delta,4,1000018797,18868,
-0.12915,-0.184509,0.6,um,Surface,Displacement Delta,4,1000018768,18869,
-0.0686951,0.407288,0.416379,um,Surface,Displacement Delta,4,1000018799,18870,
-0.138367,0.0691833,-0.75,um,Surface,Displacement Delta,4,1000018771,18871,
-0.30191,0.237213,-0.545455,um,Surface,Displacement Delta,4,1000018802,18872,
-1.07935,0.968658,-1.6,um,Surface,Displacement Delta,4,1000018772,18873,
0.830261,0,0,um,Surface,Displacement Delta,4,1000018773,18874,
0.691887,0.138382,-0.5,um,Surface,Displacement Delta,4,1000018774,18875,
1.09121,0.664215,0,um,Surface,Displacement Delta,4,1000018775,18876,
-0.565048,-0.726486,0,um,Surface,Displacement Delta,4,1000018776,18877,
0.754791,0.792526,0.409088,um,Surface,Displacement Delta,4,1000018777,18878,
0.884182,-0.296539,-1,um,Surface,Displacement Delta,4,1000018809,18879,
-0.588104,-0.380539,-0.75,um,Surface,Displacement Delta,4,1000018778,18880,
-0.0216522,-0.158833,0,um,Surface,Displacement Delta,4,1000018779,18881,
-1.60809,-0.677307,0.347368,um,Surface,Displacement Delta,5,1000018755,18882,
-1.51523,1.84735,2.925,um,Surface,Displacement Delta,5,1000018812,18883,
0.39537,-3.47919,-0.428574,um,Surface,Displacement Delta,5,1000018756,18884,
-0.0830231,0.249054,0,um,Surface,Displacement Delta,5,1000018757,18885,
-0.407578,-1.91714,-3.76364,um,Surface,Displacement Delta,5,1000018816,18886,
-0.207581,-0.249054,1.05,um,Surface,Displacement Delta,5,1000018759,18887,
0.415115,-1.66052,0,um,Surface,Displacement Delta,5,1000018758,18888,
-0.447052,-0.447052,-0.461538,um,Surface,Displacement Delta,5,1000018760,18889,
-0.964386,-0.402374,-0.161539,um,Surface,Displacement Delta,5,1000018788,18890,
0.664215,-0.996307,-0.599998,um,Surface,Displacement Delta,5,1000018858,18891,
0.719788,-1.49869,-0.165321,um,Surface,Displacement Delta,5,1000018761,18892,
-0.988403,-0.144989,2.14286,um,Surface,Displacement Delta,5,1000018762,18893,
-0.0132141,-1.22006,-1.09416,um,Surface,Displacement Delta,5,1000018764,18894,
-0.446564,0.0125732,0.438311,um,Surface,Displacement Delta,5,1000018763,18895,
-0.668671,-1.40802,-0.815331,um,Surface,Displacement Delta,5,1000018765,18896,
-1.36993,-2.47003,1.125,um,Surface,Displacement Delta,5,1000018794,18897,
-0.809448,-1.04825,-0.551842,um,Surface,Displacement Delta,5,1000018766,18898,
-1.24541,-3.73621,0,um,Surface,Displacement Delta,5,1000018867,18899,
-0.581192,0.830261,1.2,um,Surface,Displacement Delta,5,1000018767,18900,
-0.652344,-0.830261,0,um,Surface,Displacement Delta,5,1000018797,18901,
-0.670929,-0.796722,-0.363636,um,Surface,Displacement Delta,5,1000018768,18902,
-0.0805359,-0.863617,-0.447727,um,Surface,Displacement Delta,5,1000018799,18903,
0,0,0,um,Surface,Displacement Delta,5,1000018904,18904,
-1.66052,-0.830261,0,um,Surface,Displacement Delta,5,1000018754,18905,
-0.25946,0.0155792,0.46875,um,Surface,Displacement Delta,5,1000018769,18906,
-0.15567,-0.377075,0.637501,um,Surface,Displacement Delta,5,1000018770,18907,
-0.691895,-0.691879,0,um,Surface,Displacement Delta,5,1000018771,18908,
-0.830269,-1.48264,0,um,Surface,Displacement Delta,5,1000018802,18909,
0.249069,-0.553497,-1.4,um,Surface,Displacement Delta,5,1000018772,18910,
-0.40329,-0.498169,0,um,Surface,Displacement Delta,5,1000018773,18911,
0,0,0,um,Surface,Displacement Delta,5,1000018912,18912,
0,0,0,um,Surface,Displacement Delta,5,1000018913,18913,
-0.369003,-0.922531,-0.833332,um,Surface,Displacement Delta,5,1000018774,18914,
0.939751,-0.957977,0.92308,um,Surface,Displacement Delta,5,1000018775,18915,
-0.628464,-1.08972,0,um,Surface,Displacement Delta,5,1000018776,18916,
-0.717056,-0.377396,0,um,Surface,Displacement Delta,5,1000018777,18917,
2.27936,-0.804474,0.608696,um,Surface,Displacement Delta,5,1000018809,18918,
0,0,0,um,Surface,Displacement Delta,5,1000018919,18919,
0.484329,-0.242157,0,um,Surface,Displacement Delta,5,1000018778,18920,
-0.663315,-0.539974,0,um,Surface,Displacement Delta,5,1000018779,18921,
0.158127,0.988403,-2.57143,um,Surface,Displacement Delta,6,1000018756,18922,
-0.415131,-0.415131,0,um,Surface,Displacement Delta,6,1000018757,18923,
-0.31134,-0.415131,0.75,um,Surface,Displacement Delta,6,1000018758,18924,
1.73601,-0.22644,-1.63636,um,Surface,Displacement Delta,6,1000018816,18925,
-0.207565,-0.284668,0.450001,um,Surface,Displacement Delta,6,1000018759,18926,
0.553497,-0.345947,0.5,um,Surface,Displacement Delta,6,1000018760,18927,
0.567688,-0.510925,1.79487,um,Surface,Displacement Delta,6,1000018788,18928,
0.166046,0.166046,0.599998,um,Surface,Displacement Delta,6,1000018858,18929,
0,0,0,um,Surface,Displacement Delta,6,1000018930,18930,
0.563812,0.408081,-0.104416,um,Surface,Displacement Delta,6,1000018761,18931,
1.258,-0.545105,-2.45454,um,Surface,Displacement Delta,6,1000018762,18932,
0,0,0,um,Surface,Displacement Delta,6,1000018933,18933,
0.881805,0.512054,0.00295639,um,Surface,Displacement Delta,6,1000018764,18934,
1.15836,0.629395,0.203918,um,Surface,Displacement Delta,6,1000018763,18935,
0.332123,0.0830383,-1.5,um,Surface,Displacement Delta,6,1000018794,18936,
1.04778,1.04068,0.0598011,um,Surface,Displacement Delta,6,1000018765,18937,
0.788147,0.124847,0.407608,um,Surface,Displacement Delta,6,1000018766,18938,
1.66054,0,-3,um,Surface,Displacement Delta,6,1000018867,18939,
0.581192,0,-1.2,um,Surface,Displacement Delta,6,1000018767,18940,
0.276764,-0.138367,0,um,Surface,Displacement Delta,6,1000018797,18941,
0.0528564,-0.637787,1.51364,um,Surface,Displacement Delta,6,1000018768,18942,
0.257904,0.0314636,0.181818,um,Surface,Displacement Delta,6,1000018799,18943,
0,-0.415131,0,um,Surface,Displacement Delta,6,1000018904,18944,
0.493164,-0.0936432,-0.518797,um,Surface,Displacement Delta,6,1000018755,18945,
0.415131,-0.304443,-3,um,Surface,Displacement Delta,6,1000018812,18946,
0,0,0,um,Surface,Displacement Delta,6,1000018947,18947,
-0.55352,-1.38379,-3,um,Surface,Displacement Delta,6,1000018754,18948,
0.239502,-0.536484,-0.115385,um,Surface,Displacement Delta,6,1000018769,18949,
0.622711,-0.193726,-1.575,um,Surface,Displacement Delta,6,1000018770,18950,
-0.415131,-0.533752,0.857143,um,Surface,Displacement Delta,6,1000018771,18951,
-0.276756,-0.138367,0,um,Surface,Displacement Delta,6,1000018802,18952,
0,0.415131,3,um,Surface,Displacement Delta,6,1000018772,18953,
-0.249084,0.0830307,0,um,Surface,Displacement Delta,6,1000018773,18954,
0.240662,-1.29782,0.0434783,um,Surface,Displacement Delta,6,1000018912,18955,
2.84663,-3.55829,-0.428574,um,Surface,Displacement Delta,6,1000018913,18956,
1.78827,-1.53281,-0.92308,um,Surface,Displacement Delta,6,1000018775,18957,
-1.18774,-1.04936,0.583332,um,Surface,Displacement Delta,6,1000018774,18958,
1.31616,0.25946,0,um,Surface,Displacement Delta,6,1000018776,18959,
0.234818,-0.826065,-0.0606079,um,Surface,Displacement Delta,6,1000018777,18960,
0.00656509,0.233002,0.391304,um,Surface,Displacement Delta,6,1000018809,18961,
-0.138374,0.553497,0.416664,um,Surface,Displacement Delta,6,1000018919,18962,
-0.622711,-0.311348,0,um,Surface,Displacement Delta,6,1000018778,18963,
0,0,0,um,Surface,Displacement Delta,6,1000018964,18964,
0.726486,-0.380543,0,um,Surface,Displacement Delta,6,1000018779,18965,
-0.761078,0.484314,0,um,Surface,Displacement Delta,7,1000018760,18966,
0.0645752,-0.913269,-0.133333,um,Surface,Displacement Delta,7,1000018788,18967,
-0.118607,-2.60941,-1.28571,um,Surface,Displacement Delta,7,1000018858,18968,
-0.622711,0.00741577,0.0267856,um,Surface,Displacement Delta,7,1000018930,18969,
0,0,0,um,Surface,Displacement Delta,7,1000018970,18970,
-0.282227,-0.170654,-0.902561,um,Surface,Displacement Delta,7,1000018761,18971,
0,0.603821,-0.545456,um,Surface,Displacement Delta,7,1000018762,18972,
-1.45297,-0.207581,-0.75,um,Surface,Displacement Delta,7,1000018933,18973,
0.0415039,0.157135,0.608036,um,Surface,Displacement Delta,7,1000018764,18974,
-0.208588,0.490219,-0.187685,um,Surface,Displacement Delta,7,1000018763,18975,
0.118591,1.1861,0.214285,um,Surface,Displacement Delta,7,1000018794,18976,
0.544586,0.262878,1.14799,um,Surface,Displacement Delta,7,1000018765,18977,
0,0,0,um,Surface,Displacement Delta,7,1000018978,18978,
-0.242157,0.276749,-0.125,um,Surface,Displacement Delta,7,1000018766,18979,
0.138382,0,1,um,Surface,Displacement Delta,7,1000018867,18980,
0.691879,-0.276764,0,um,Surface,Displacement Delta,7,1000018767,18981,
-0.668579,1.09464,-2.51842,um,Surface,Displacement Delta,7,1000018768,18982,
-0.276764,0.138367,0,um,Surface,Displacement Delta,7,1000018797,18983,
-0.275986,0.31842,-0.596591,um,Surface,Displacement Delta,7,1000018799,18984,
