
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0,um,Surface,1,1000018754,18754,
0,um,Surface,1,1000018755,18755,
0,um,Surface,1,1000018756,18756,
0,um,Surface,1,1000018757,18757,
0,um,Surface,1,1000018758,18758,
0,um,Surface,1,1000018759,18759,
0,um,Surface,1,1000018760,18760,
0,um,Surface,1,1000018761,18761,
0,um,Surface,1,1000018762,18762,
0,um,Surface,1,1000018763,18763,
0,um,Surface,1,1000018764,18764,
0,um,Surface,1,1000018765,18765,
0,um,Surface,1,1000018766,18766,
0,um,Surface,1,1000018767,18767,
0,um,Surface,1,1000018768,18768,
0,um,Surface,1,1000018769,18769,
0,um,Surface,1,1000018770,18770,
0,um,Surface,1,1000018771,18771,
0,um,Surface,1,1000018772,18772,
0,um,Surface,1,1000018773,18773,
0,um,Surface,1,1000018774,18774,
0,um,Surface,1,1000018775,18775,
0,um,Surface,1,1000018776,18776,
0,um,Surface,1,1000018777,18777,
0,um,Surface,1,1000018778,18778,
0,um,Surface,1,1000018779,18779,
1.89328,um,Surface,2,1000018770,18780,
2.05713,um,Surface,2,1000018754,18781,
1.38406,um,Surface,2,1000018755,18782,
2.24436,um,Surface,2,1000018756,18783,
1.13907,um,Surface,2,1000018757,18784,
0.195691,um,Surface,2,1000018759,18785,
3.50894,um,Surface,2,1000018758,18786,
1.12943,um,Surface,2,1000018760,18787,
0,um,Surface,2,1000018788,18788,
2.23203,um,Surface,2,1000018761,18789,
1.38024,um,Surface,2,1000018762,18790,
1.52419,um,Surface,2,1000018763,18791,
0.704939,um,Surface,2,1000018764,18792,
2.87342,um,Surface,2,1000018765,18793,
0,um,Surface,2,1000018794,18794,
0.691738,um,Surface,2,1000018766,18795,
0.570534,um,Surface,2,1000018767,18796,
0,um,Surface,2,1000018797,18797,
0.894347,um,Surface,2,1000018768,18798,
0,um,Surface,2,1000018799,18799,
1.00941,um,Surface,2,1000018769,18800,
0.195691,um,Surface,2,1000018771,18801,
0,um,Surface,2,1000018802,18802,
1.764,um,Surface,2,1000018772,18803,
1.17417,um,Surface,2,1000018773,18804,
1.65948,um,Surface,2,1000018774,18805,
0.665224,um,Surface,2,1000018775,18806,
1.46865,um,Surface,2,1000018776,18807,
0.760138,um,Surface,2,1000018777,18808,
0,um,Surface,2,1000018809,18809,
0.866249,um,Surface,2,1000018778,18810,
0.253345,um,Surface,2,1000018779,18811,
0,um,Surface,3,1000018812,18812,
0.740349,um,Surface,3,1000018755,18813,
1.50989,um,Surface,3,1000018756,18814,
1.92381,um,Surface,3,1000018757,18815,
0,um,Surface,3,1000018816,18816,
1.75928,um,Surface,3,1000018759,18817,
1.11562,um,Surface,3,1000018758,18818,
1.32789,um,Surface,3,1000018760,18819,
2.60124,um,Surface,3,1000018788,18820,
1.06884,um,Surface,3,1000018761,18821,
1.68293,um,Surface,3,1000018762,18822,
1.91136,um,Surface,3,1000018763,18823,
1.38081,um,Surface,3,1000018764,18824,
2.01509,um,Surface,3,1000018765,18825,
1.11856,um,Surface,3,1000018794,18826,
0.337022,um,Surface,3,1000018766,18827,
3.05377,um,Surface,3,1000018767,18828,
0.28528,um,Surface,3,1000018797,18829,
0.499204,um,Surface,3,1000018768,18830,
0.914742,um,Surface,3,1000018799,18831,
1.11564,um,Surface,3,1000018754,18832,
3.72216,um,Surface,3,1000018769,18833,
1.36102,um,Surface,3,1000018770,18834,
2.49706,um,Surface,3,1000018771,18835,
0.888477,um,Surface,3,1000018802,18836,
1.24541,um,Surface,3,1000018772,18837,
0.773261,um,Surface,3,1000018773,18838,
1.37756,um,Surface,3,1000018774,18839,
1.13811,um,Surface,3,1000018775,18840,
1.81072,um,Surface,3,1000018776,18841,
0.988628,um,Surface,3,1000018777,18842,
1.40886,um,Surface,3,1000018809,18843,
1.7694,um,Surface,3,1000018778,18844,
2.52758,um,Surface,3,1000018779,18845,
1.69487,um,Surface,4,1000018770,18846,
2.02514,um,Surface,4,1000018769,18847,
1.71165,um,Surface,4,1000018754,18848,
3.35634,um,Surface,4,1000018812,18849,
1.89895,um,Surface,4,1000018755,18850,
3.13114,um,Surface,4,1000018756,18851,
2.52107,um,Surface,4,1000018757,18852,
0.830261,um,Surface,4,1000018758,18853,
1.73974,um,Surface,4,1000018759,18854,
2.96205,um,Surface,4,1000018816,18855,
0.656538,um,Surface,4,1000018760,18856,
1.07923,um,Surface,4,1000018788,18857,
0,um,Surface,4,1000018858,18858,
1.29685,um,Surface,4,1000018761,18859,
1.03067,um,Surface,4,1000018762,18860,
0.634635,um,Surface,4,1000018764,18861,
1.10737,um,Surface,4,1000018763,18862,
1.6343,um,Surface,4,1000018765,18863,
1.08877,um,Surface,4,1000018794,18864,
0.589827,um,Surface,4,1000018766,18865,
0.587083,um,Surface,4,1000018767,18866,
0,um,Surface,4,1000018867,18867,
1.63888,um,Surface,4,1000018797,18868,
0.640877,um,Surface,4,1000018768,18869,
0.586493,um,Surface,4,1000018799,18870,
0.765788,um,Surface,4,1000018771,18871,
0.667039,um,Surface,4,1000018802,18872,
2.15946,um,Surface,4,1000018772,18873,
0.830261,um,Surface,4,1000018773,18874,
0.864787,um,Surface,4,1000018774,18875,
1.27747,um,Surface,4,1000018775,18876,
0.92036,um,Surface,4,1000018776,18877,
1.1684,um,Surface,4,1000018777,18878,
1.36737,um,Surface,4,1000018809,18879,
1.02624,um,Surface,4,1000018778,18880,
0.160302,um,Surface,4,1000018779,18881,
1.77915,um,Surface,5,1000018755,18882,
3.77681,um,Surface,5,1000018812,18883,
3.52771,um,Surface,5,1000018756,18884,
0.262528,um,Surface,5,1000018757,18885,
4.24341,um,Surface,5,1000018816,18886,
1.09892,um,Surface,5,1000018759,18887,
1.71162,um,Surface,5,1000018758,18888,
0.78277,um,Surface,5,1000018760,18889,
1.05737,um,Surface,5,1000018788,18890,
1.33933,um,Surface,5,1000018858,18891,
1.67078,um,Surface,5,1000018761,18892,
2.36428,um,Surface,5,1000018762,18893,
1.63888,um,Surface,5,1000018764,18894,
0.625854,um,Surface,5,1000018763,18895,
1.75909,um,Surface,5,1000018765,18896,
3.0403,um,Surface,5,1000018794,18897,
1.43477,um,Surface,5,1000018766,18898,
3.93831,um,Surface,5,1000018867,18899,
1.57071,um,Surface,5,1000018767,18900,
1.05588,um,Surface,5,1000018797,18901,
1.10324,um,Surface,5,1000018768,18902,
0.976104,um,Surface,5,1000018799,18903,
0,um,Surface,5,1000018904,18904,
1.85652,um,Surface,5,1000018754,18905,
0.535993,um,Surface,5,1000018769,18906,
0.756853,um,Surface,5,1000018770,18907,
0.978476,um,Surface,5,1000018771,18908,
1.69928,um,Surface,5,1000018802,18909,
1.52591,um,Surface,5,1000018772,18910,
0.640948,um,Surface,5,1000018773,18911,
0,um,Surface,5,1000018912,18912,
0,um,Surface,5,1000018913,18913,
1.29679,um,Surface,5,1000018774,18914,
1.62878,um,Surface,5,1000018775,18915,
1.25796,um,Surface,5,1000018776,18916,
0.810307,um,Surface,5,1000018777,18917,
2.49262,um,Surface,5,1000018809,18918,
0,um,Surface,5,1000018919,18919,
0.541493,um,Surface,5,1000018778,18920,
0.855312,um,Surface,5,1000018779,18921,
2.75938,um,Surface,6,1000018756,18922,
0.587083,um,Surface,6,1000018757,18923,
0.912012,um,Surface,6,1000018758,18924,
2.39639,um,Surface,6,1000018816,18925,
0.571507,um,Surface,6,1000018759,18926,
0.822216,um,Surface,6,1000018760,18927,
1.95061,um,Surface,6,1000018788,18928,
0.644314,um,Surface,6,1000018858,18929,
0,um,Surface,6,1000018930,18930,
0.703788,um,Surface,6,1000018761,18931,
2.81149,um,Surface,6,1000018762,18932,
0,um,Surface,6,1000018933,18933,
1.0197,um,Surface,6,1000018764,18934,
1.33398,um,Surface,6,1000018763,18935,
1.53857,um,Surface,6,1000018794,18936,
1.47798,um,Surface,6,1000018765,18937,
0.896051,um,Surface,6,1000018766,18938,
3.4289,um,Surface,6,1000018867,18939,
1.33334,um,Surface,6,1000018767,18940,
0.309425,um,Surface,6,1000018797,18941,
1.64337,um,Surface,6,1000018768,18942,
0.317116,um,Surface,6,1000018799,18943,
0.415131,um,Surface,6,1000018904,18944,
0.721893,um,Surface,6,1000018755,18945,
3.04385,um,Surface,6,1000018812,18946,
0,um,Surface,6,1000018947,18947,
3.34981,um,Surface,6,1000018754,18948,
0.59874,um,Surface,6,1000018769,18949,
1.70468,um,Surface,6,1000018770,18950,
1.09175,um,Surface,6,1000018771,18951,
0.309418,um,Surface,6,1000018802,18952,
3.02859,um,Surface,6,1000018772,18953,
0.262559,um,Surface,6,1000018773,18954,
1.32066,um,Surface,6,1000018912,18955,
4.57694,um,Surface,6,1000018913,18956,
2.52972,um,Surface,6,1000018775,18957,
1.68884,um,Surface,6,1000018774,18958,
1.34149,um,Surface,6,1000018776,18959,
0.860927,um,Surface,6,1000018777,18960,
0.455469,um,Surface,6,1000018809,18961,
0.706481,um,Surface,6,1000018919,18962,
0.696209,um,Surface,6,1000018778,18963,
0,um,Surface,6,1000018964,18964,
0.820119,um,Surface,6,1000018779,18965,
0.902108,um,Surface,7,1000018760,18966,
0.925207,um,Surface,7,1000018788,18967,
2.91138,um,Surface,7,1000018858,18968,
0.623331,um,Surface,7,1000018930,18969,
0,um,Surface,7,1000018970,18970,
0.960933,um,Surface,7,1000018761,18971,
0.813709,um,Surface,7,1000018762,18972,
1.64825,um,Surface,7,1000018933,18973,
0.629382,um,Surface,7,1000018764,18974,
0.564844,um,Surface,7,1000018763,18975,
1.21112,um,Surface,7,1000018794,18976,
1.29752,um,Surface,7,1000018765,18977,
0,um,Surface,7,1000018978,18978,
0.3884,um,Surface,7,1000018766,18979,
1.00953,um,Surface,7,1000018867,18980,
0.745181,um,Surface,7,1000018767,18981,
2.82625,um,Surface,7,1000018768,18982,
0.309425,um,Surface,7,1000018797,18983,
0.730398,um,Surface,7,1000018799,18984,
0.415131,um,Surface,7,1000018904,18985,
2.7241,um,Surface,7,1000018816,18986,
0.706719,um,Surface,7,1000018759,18987,
0.980306,um,Surface,7,1000018758,18988,
0.391392,um,Surface,7,1000018757,18989,
2.6109,um,Surface,7,1000018756,18990,
0.98948,um,Surface,7,1000018755,18991,
2.194,um,Surface,7,1000018812,18992,
1.48284,um,Surface,7,1000018947,18993,
0.665091,um,Surface,7,1000018769,18994,
1.81553,um,Surface,7,1000018770,18995,
0,um,Surface,7,1000018996,18996,
2.06129,um,Surface,7,1000018802,18997,
3.27465,um,Surface,7,1000018772,18998,
0.928264,um,Surface,7,1000018773,18999,
3.96212,um,Surface,7,1000018912,19000,
1.69414,um,Surface,7,1000018913,19001,
0,um,Surface,7,1000019002,19002,
0,um,Surface,7,1000019003,19003,
0,um,Surface,7,1000019004,19004,
0.917896,um,Surface,7,1000018774,19005,
0.880614,um,Surface,7,1000018775,19006,
0,um,Surface,7,1000019007,19007,
0.798013,um,Surface,7,1000018776,19008,
0.596089,um,Surface,7,1000018777,19009,
1.34036,um,Surface,7,1000018809,19010,
1.05033,um,Surface,7,1000018919,19011,
1.31275,um,Surface,7,1000018778,19012,
1.82575,um,Surface,7,1000018964,19013,
1.18331,um,Surface,7,1000018779,19014,
0.777475,um,Surface,8,1000018947,19015,
2.75516,um,Surface,8,1000018812,19016,
0.26618,um,Surface,8,1000018755,19017,
1.17417,um,Surface,8,1000018756,19018,
1.13662,um,Surface,8,1000018759,19019,
2.59481,um,Surface,8,1000018816,19020,
0.592504,um,Surface,8,1000018760,19021,
1.0584,um,Surface,8,1000018788,19022,
2.56632,um,Surface,8,1000018858,19023,
1.59412,um,Surface,8,1000018970,19024,
0.407086,um,Surface,8,1000018930,19025,
1.16645,um,Surface,8,1000018761,19026,
1.77443,um,Surface,8,1000018762,19027,
1.67345,um,Surface,8,1000018933,19028,
1.42529,um,Surface,8,1000018764,19029,
0.950333,um,Surface,8,1000018763,19030,
2.58021,um,Surface,8,1000018794,19031,
1.9748,um,Surface,8,1000018978,19032,
0.615751,um,Surface,8,1000018766,19033,
1.33606,um,Surface,8,1000018867,19034,
2.15003,um,Surface,8,1000018768,19035,
0.415131,um,Surface,8,1000018797,19036,
1.04849,um,Surface,8,1000018799,19037,
1.49677,um,Surface,8,1000018904,19038,
2.08431,um,Surface,8,1000018769,19039,
0.781029,um,Surface,8,1000018770,19040,
0.691887,um,Surface,8,1000018996,19041,
2.22222,um,Surface,8,1000018802,19042,
1.66053,um,Surface,8,1000018773,19043,
1.7938,um,Surface,8,1000018912,19044,
2.87373,um,Surface,8,1000019003,19045,
0.853647,um,Surface,8,1000018913,19046,
4.00821,um,Surface,8,1000019002,19047,
0.847612,um,Surface,8,1000019004,19048,
0,um,Surface,8,1000019049,19049,
2.16705,um,Surface,8,1000018774,19050,
2.36661,um,Surface,8,1000018775,19051,
0.84911,um,Surface,8,1000019007,19052,
1.02741,um,Surface,8,1000018776,19053,
0.878191,um,Surface,8,1000018777,19054,
2.68417,um,Surface,8,1000018919,19055,
0.529191,um,Surface,8,1000018778,19056,
2.11932,um,Surface,8,1000018964,19057,
1.90021,um,Surface,8,1000018779,19058,
0.609881,um,Surface,9,1000018770,19059,
0.813327,um,Surface,9,1000018769,19060,
0.47295,um,Surface,9,1000018947,19061,
2.51234,um,Surface,9,1000018812,19062,
2.08263,um,Surface,9,1000018755,19063,
0,um,Surface,9,1000019064,19064,
0.587083,um,Surface,9,1000018756,19065,
1.91846,um,Surface,9,1000018759,19066,
0.663532,um,Surface,9,1000018760,19067,
3.09366,um,Surface,9,1000018788,19068,
2.15943,um,Surface,9,1000018816,19069,
2.60317,um,Surface,9,1000018858,19070,
0.608967,um,Surface,9,1000018930,19071,
1.76055,um,Surface,9,1000018970,19072,
1.26125,um,Surface,9,1000018761,19073,
0.862652,um,Surface,9,1000018762,19074,
0.830261,um,Surface,9,1000018933,19075,
1.26176,um,Surface,9,1000018764,19076,
0.546225,um,Surface,9,1000018763,19077,
2.80194,um,Surface,9,1000018794,19078,
1.08809,um,Surface,9,1000018978,19079,
1.02541,um,Surface,9,1000018766,19080,
1.62264,um,Surface,9,1000018867,19081,
1.95818,um,Surface,9,1000018797,19082,
1.00212,um,Surface,9,1000018768,19083,
1.63733,um,Surface,9,1000018799,19084,
2.0986,um,Surface,9,1000018904,19085,
0.420856,um,Surface,9,1000018996,19086,
0,um,Surface,9,1000019087,19087,
0.415131,um,Surface,9,1000018773,19088,
0.853047,um,Surface,9,1000018912,19089,
1.85653,um,Surface,9,1000018913,19090,
2.4267,um,Surface,9,1000019003,19091,
1.63733,um,Surface,9,1000019002,19092,
3.1205,um,Surface,9,1000019004,19093,
1.33192,um,Surface,9,1000018774,19094,
1.0959,um,Surface,9,1000019049,19095,
0.722174,um,Surface,9,1000019007,19096,
1.15269,um,Surface,9,1000018776,19097,
1.70226,um,Surface,9,1000018777,19098,
2.46242,um,Surface,9,1000018919,19099,
0.994345,um,Surface,9,1000018778,19100,
