
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
392.175,um,Surface,Distance from Origin,1,1000018754,18754,
370.386,um,Surface,Distance from Origin,1,1000018755,18755,
389.64,um,Surface,Distance from Origin,1,1000018756,18756,
418.132,um,Surface,Distance from Origin,1,1000018757,18757,
415.303,um,Surface,Distance from Origin,1,1000018758,18758,
405.196,um,Surface,Distance from Origin,1,1000018759,18759,
386.433,um,Surface,Distance from Origin,1,1000018760,18760,
388.172,um,Surface,Distance from Origin,1,1000018761,18761,
392.622,um,Surface,Distance from Origin,1,1000018762,18762,
415.697,um,Surface,Distance from Origin,1,1000018763,18763,
438.333,um,Surface,Distance from Origin,1,1000018764,18764,
433.945,um,Surface,Distance from Origin,1,1000018765,18765,
431.482,um,Surface,Distance from Origin,1,1000018766,18766,
460.559,um,Surface,Distance from Origin,1,1000018767,18767,
464.833,um,Surface,Distance from Origin,1,1000018768,18768,
339.17,um,Surface,Distance from Origin,1,1000018769,18769,
371.643,um,Surface,Distance from Origin,1,1000018770,18770,
313.594,um,Surface,Distance from Origin,1,1000018771,18771,
327.374,um,Surface,Distance from Origin,1,1000018772,18772,
300.299,um,Surface,Distance from Origin,1,1000018773,18773,
279.702,um,Surface,Distance from Origin,1,1000018774,18774,
287.259,um,Surface,Distance from Origin,1,1000018775,18775,
248.511,um,Surface,Distance from Origin,1,1000018776,18776,
250.434,um,Surface,Distance from Origin,1,1000018777,18777,
198.299,um,Surface,Distance from Origin,1,1000018778,18778,
208.64,um,Surface,Distance from Origin,1,1000018779,18779,
373.521,um,Surface,Distance from Origin,2,1000018770,18780,
393.841,um,Surface,Distance from Origin,2,1000018754,18781,
371.698,um,Surface,Distance from Origin,2,1000018755,18782,
387.607,um,Surface,Distance from Origin,2,1000018756,18783,
418.459,um,Surface,Distance from Origin,2,1000018757,18784,
405.27,um,Surface,Distance from Origin,2,1000018759,18785,
415.758,um,Surface,Distance from Origin,2,1000018758,18786,
