
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
72.6483,um,Surface,Image 1,1,1000018754,18754,
76.938,um,Surface,Image 1,1,1000018755,18755,
96.726,um,Surface,Image 1,1,1000018756,18756,
47.7403,um,Surface,Image 1,1,1000018757,18757,
55.2127,um,Surface,Image 1,1,1000018758,18758,
72.7866,um,Surface,Image 1,1,1000018759,18759,
91.0802,um,Surface,Image 1,1,1000018760,18760,
143.148,um,Surface,Image 1,1,1000018761,18761,
130.951,um,Surface,Image 1,1,1000018762,18762,
41.1785,um,Surface,Image 1,1,1000018763,18763,
39.5414,um,Surface,Image 1,1,1000018764,18764,
55.4014,um,Surface,Image 1,1,1000018765,18765,
39.246,um,Surface,Image 1,1,1000018766,18766,
22.002,um,Surface,Image 1,1,1000018767,18767,
72.2331,um,Surface,Image 1,1,1000018768,18768,
126.831,um,Surface,Image 1,1,1000018769,18769,
43.4333,um,Surface,Image 1,1,1000018770,18770,
129.937,um,Surface,Image 1,1,1000018771,18771,
127.446,um,Surface,Image 1,1,1000018772,18772,
80.9509,um,Surface,Image 1,1,1000018773,18773,
137.409,um,Surface,Image 1,1,1000018774,18774,
114.3,um,Surface,Image 1,1,1000018775,18775,
150.601,um,Surface,Image 1,1,1000018776,18776,
68.5625,um,Surface,Image 1,1,1000018777,18777,
80.2244,um,Surface,Image 1,1,1000018778,18778,
17.6431,um,Surface,Image 1,1,1000018779,18779,
42.1129,um,Surface,Image 1,2,1000018770,18780,
70.2958,um,Surface,Image 1,2,1000018754,18781,
75.8309,um,Surface,Image 1,2,1000018755,18782,
99.2168,um,Surface,Image 1,2,1000018756,18783,
47.6573,um,Surface,Image 1,2,1000018757,18784,
72.6483,um,Surface,Image 1,2,1000018759,18785,
54.5208,um,Surface,Image 1,2,1000018758,18786,
90.7296,um,Surface,Image 1,2,1000018760,18787,
120.101,um,Surface,Image 1,2,1000018788,18788,
141.367,um,Surface,Image 1,2,1000018761,18789,
132.289,um,Surface,Image 1,2,1000018762,18790,
40.0742,um,Surface,Image 1,2,1000018763,18791,
38.8841,um,Surface,Image 1,2,1000018764,18792,
54.613,um,Surface,Image 1,2,1000018765,18793,
115.614,um,Surface,Image 1,2,1000018794,18794,
39.493,um,Surface,Image 1,2,1000018766,18795,
21.0334,um,Surface,Image 1,2,1000018767,18796,
41.9284,um,Surface,Image 1,2,1000018797,18797,
72.6483,um,Surface,Image 1,2,1000018768,18798,
25.1934,um,Surface,Image 1,2,1000018799,18799,
125.724,um,Surface,Image 1,2,1000018769,18800,
130.075,um,Surface,Image 1,2,1000018771,18801,
114.992,um,Surface,Image 1,2,1000018802,18802,
127.446,um,Surface,Image 1,2,1000018772,18803,
81.7812,um,Surface,Image 1,2,1000018773,18804,
136.638,um,Surface,Image 1,2,1000018774,18805,
114.254,um,Surface,Image 1,2,1000018775,18806,
149.78,um,Surface,Image 1,2,1000018776,18807,
68.6246,um,Surface,Image 1,2,1000018777,18808,
64.2418,um,Surface,Image 1,2,1000018809,18809,
80.259,um,Surface,Image 1,2,1000018778,18810,
17.9693,um,Surface,Image 1,2,1000018779,18811,
95.3026,um,Surface,Image 1,3,1000018812,18812,
75.2428,um,Surface,Image 1,3,1000018755,18813,
97.5562,um,Surface,Image 1,3,1000018756,18814,
47.4912,um,Surface,Image 1,3,1000018757,18815,
115.051,um,Surface,Image 1,3,1000018816,18816,
71.5807,um,Surface,Image 1,3,1000018759,18817,
53.5522,um,Surface,Image 1,3,1000018758,18818,
89.6687,um,Surface,Image 1,3,1000018760,18819,
120.043,um,Surface,Image 1,3,1000018788,18820,
140.808,um,Surface,Image 1,3,1000018761,18821,
