
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.256738,,Surface,1,1000018754,18754,
0.452617,,Surface,1,1000018755,18755,
0.43321,,Surface,1,1000018756,18756,
0.560412,,Surface,1,1000018757,18757,
0.256735,,Surface,1,1000018758,18758,
0.396997,,Surface,1,1000018759,18759,
0.458493,,Surface,1,1000018760,18760,
0.34298,,Surface,1,1000018761,18761,
0.629575,,Surface,1,1000018762,18762,
0.860005,,Surface,1,1000018763,18763,
0.709755,,Surface,1,1000018764,18764,
0.453144,,Surface,1,1000018765,18765,
0.791348,,Surface,1,1000018766,18766,
0.256741,,Surface,1,1000018767,18767,
0.644478,,Surface,1,1000018768,18768,
0.444765,,Surface,1,1000018769,18769,
0.548288,,Surface,1,1000018770,18770,
0.617027,,Surface,1,1000018771,18771,
0.641122,,Surface,1,1000018772,18772,
0.617018,,Surface,1,1000018773,18773,
0.256738,,Surface,1,1000018774,18774,
0.396994,,Surface,1,1000018775,18775,
0.258551,,Surface,1,1000018776,18776,
0.60264,,Surface,1,1000018777,18777,
0.694742,,Surface,1,1000018778,18778,
0.306637,,Surface,1,1000018779,18779,
0.649505,,Surface,2,1000018770,18780,
0.396994,,Surface,2,1000018754,18781,
0.251319,,Surface,2,1000018755,18782,
0.511742,,Surface,2,1000018756,18783,
0.245879,,Surface,2,1000018757,18784,
0.617027,,Surface,2,1000018759,18785,
0.396993,,Surface,2,1000018758,18786,
0.430999,,Surface,2,1000018760,18787,
0.751381,,Surface,2,1000018788,18788,
0.40297,,Surface,2,1000018761,18789,
0.725942,,Surface,2,1000018762,18790,
0.840845,,Surface,2,1000018763,18791,
0.727261,,Surface,2,1000018764,18792,
0.374018,,Surface,2,1000018765,18793,
0.60027,,Surface,2,1000018794,18794,
0.783351,,Surface,2,1000018766,18795,
0.396999,,Surface,2,1000018767,18796,
0.398816,,Surface,2,1000018797,18797,
0.566798,,Surface,2,1000018768,18798,
0.363734,,Surface,2,1000018799,18799,
0.545995,,Surface,2,1000018769,18800,
0.396997,,Surface,2,1000018771,18801,
0.520219,,Surface,2,1000018802,18802,
0.256728,,Surface,2,1000018772,18803,
0.617033,,Surface,2,1000018773,18804,
0.769944,,Surface,2,1000018774,18805,
0.258558,,Surface,2,1000018775,18806,
0.300676,,Surface,2,1000018776,18807,
0.667327,,Surface,2,1000018777,18808,
0.139654,,Surface,2,1000018809,18809,
0.923876,,Surface,2,1000018778,18810,
0.191115,,Surface,2,1000018779,18811,
0.254343,,Surface,3,1000018812,18812,
0.347638,,Surface,3,1000018755,18813,
0.43321,,Surface,3,1000018756,18814,
0.644816,,Surface,3,1000018757,18815,
0.555476,,Surface,3,1000018816,18816,
0.551493,,Surface,3,1000018759,18817,
0.217031,,Surface,3,1000018758,18818,
0.227069,,Surface,3,1000018760,18819,
0.571387,,Surface,3,1000018788,18820,
0.393018,,Surface,3,1000018761,18821,
0.563933,,Surface,3,1000018762,18822,
0.886791,,Surface,3,1000018763,18823,
0.754309,,Surface,3,1000018764,18824,
0.607767,,Surface,3,1000018765,18825,
0.806577,,Surface,3,1000018794,18826,
0.86627,,Surface,3,1000018766,18827,
0.256741,,Surface,3,1000018767,18828,
0.549029,,Surface,3,1000018797,18829,
0.776888,,Surface,3,1000018768,18830,
0.300129,,Surface,3,1000018799,18831,
0.256735,,Surface,3,1000018754,18832,
0.566118,,Surface,3,1000018769,18833,
0.661393,,Surface,3,1000018770,18834,
0.576922,,Surface,3,1000018771,18835,
0.436556,,Surface,3,1000018802,18836,
0.617018,,Surface,3,1000018772,18837,
0.254338,,Surface,3,1000018773,18838,
0.255168,,Surface,3,1000018774,18839,
0.245871,,Surface,3,1000018775,18840,
0.139654,,Surface,3,1000018776,18841,
0.559048,,Surface,3,1000018777,18842,
0.503403,,Surface,3,1000018809,18843,
0.719414,,Surface,3,1000018778,18844,
0.614793,,Surface,3,1000018779,18845,
0.787247,,Surface,4,1000018770,18846,
0.297614,,Surface,4,1000018769,18847,
0.923404,,Surface,4,1000018754,18848,
0.812032,,Surface,4,1000018812,18849,
0.202319,,Surface,4,1000018755,18850,
0.396995,,Surface,4,1000018756,18851,
0.245865,,Surface,4,1000018757,18852,
0.256741,,Surface,4,1000018758,18853,
0.256741,,Surface,4,1000018759,18854,
0.881349,,Surface,4,1000018816,18855,
