
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
255,,Surface,3,Image 1,1,1000018754,18754,
255,,Surface,3,Image 1,1,1000018755,18755,
255,,Surface,3,Image 1,1,1000018756,18756,
255,,Surface,3,Image 1,1,1000018757,18757,
255,,Surface,3,Image 1,1,1000018758,18758,
240,,Surface,3,Image 1,1,1000018759,18759,
255,,Surface,3,Image 1,1,1000018760,18760,
255,,Surface,3,Image 1,1,1000018761,18761,
255,,Surface,3,Image 1,1,1000018762,18762,
255,,Surface,3,Image 1,1,1000018763,18763,
255,,Surface,3,Image 1,1,1000018764,18764,
255,,Surface,3,Image 1,1,1000018765,18765,
255,,Surface,3,Image 1,1,1000018766,18766,
255,,Surface,3,Image 1,1,1000018767,18767,
255,,Surface,3,Image 1,1,1000018768,18768,
255,,Surface,3,Image 1,1,1000018769,18769,
255,,Surface,3,Image 1,1,1000018770,18770,
255,,Surface,3,Image 1,1,1000018771,18771,
255,,Surface,3,Image 1,1,1000018772,18772,
255,,Surface,3,Image 1,1,1000018773,18773,
255,,Surface,3,Image 1,1,1000018774,18774,
255,,Surface,3,Image 1,1,1000018775,18775,
255,,Surface,3,Image 1,1,1000018776,18776,
255,,Surface,3,Image 1,1,1000018777,18777,
255,,Surface,3,Image 1,1,1000018778,18778,
255,,Surface,3,Image 1,1,1000018779,18779,
255,,Surface,3,Image 1,2,1000018770,18780,
255,,Surface,3,Image 1,2,1000018754,18781,
255,,Surface,3,Image 1,2,1000018755,18782,
255,,Surface,3,Image 1,2,1000018756,18783,
255,,Surface,3,Image 1,2,1000018757,18784,
244,,Surface,3,Image 1,2,1000018759,18785,
255,,Surface,3,Image 1,2,1000018758,18786,
255,,Surface,3,Image 1,2,1000018760,18787,
255,,Surface,3,Image 1,2,1000018788,18788,
255,,Surface,3,Image 1,2,1000018761,18789,
255,,Surface,3,Image 1,2,1000018762,18790,
255,,Surface,3,Image 1,2,1000018763,18791,
255,,Surface,3,Image 1,2,1000018764,18792,
255,,Surface,3,Image 1,2,1000018765,18793,
255,,Surface,3,Image 1,2,1000018794,18794,
255,,Surface,3,Image 1,2,1000018766,18795,
255,,Surface,3,Image 1,2,1000018767,18796,
214,,Surface,3,Image 1,2,1000018797,18797,
255,,Surface,3,Image 1,2,1000018768,18798,
255,,Surface,3,Image 1,2,1000018799,18799,
255,,Surface,3,Image 1,2,1000018769,18800,
255,,Surface,3,Image 1,2,1000018771,18801,
255,,Surface,3,Image 1,2,1000018802,18802,
255,,Surface,3,Image 1,2,1000018772,18803,
255,,Surface,3,Image 1,2,1000018773,18804,
255,,Surface,3,Image 1,2,1000018774,18805,
255,,Surface,3,Image 1,2,1000018775,18806,
255,,Surface,3,Image 1,2,1000018776,18807,
255,,Surface,3,Image 1,2,1000018777,18808,
255,,Surface,3,Image 1,2,1000018809,18809,
255,,Surface,3,Image 1,2,1000018778,18810,
255,,Surface,3,Image 1,2,1000018779,18811,
255,,Surface,3,Image 1,3,1000018812,18812,
255,,Surface,3,Image 1,3,1000018755,18813,
255,,Surface,3,Image 1,3,1000018756,18814,
255,,Surface,3,Image 1,3,1000018757,18815,
255,,Surface,3,Image 1,3,1000018816,18816,
255,,Surface,3,Image 1,3,1000018759,18817,
255,,Surface,3,Image 1,3,1000018758,18818,
