
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
27,,Surface,1,Image 1,1,1000018754,18754,
228,,Surface,1,Image 1,1,1000018755,18755,
74.4,,Surface,1,Image 1,1,1000018756,18756,
253.8,,Surface,1,Image 1,1,1000018757,18757,
233,,Surface,1,Image 1,1,1000018758,18758,
198,,Surface,1,Image 1,1,1000018759,18759,
144,,Surface,1,Image 1,1,1000018760,18760,
246.353,,Surface,1,Image 1,1,1000018761,18761,
250.444,,Surface,1,Image 1,1,1000018762,18762,
145.129,,Surface,1,Image 1,1,1000018763,18763,
255,,Surface,1,Image 1,1,1000018764,18764,
15.1818,,Surface,1,Image 1,1,1000018765,18765,
186.423,,Surface,1,Image 1,1,1000018766,18766,
3.5,,Surface,1,Image 1,1,1000018767,18767,
220.154,,Surface,1,Image 1,1,1000018768,18768,
76.2,,Surface,1,Image 1,1,1000018769,18769,
255,,Surface,1,Image 1,1,1000018770,18770,
255,,Surface,1,Image 1,1,1000018771,18771,
34.8333,,Surface,1,Image 1,1,1000018772,18772,
243,,Surface,1,Image 1,1,1000018773,18773,
52.5,,Surface,1,Image 1,1,1000018774,18774,
37.6667,,Surface,1,Image 1,1,1000018775,18775,
182.778,,Surface,1,Image 1,1,1000018776,18776,
82.8947,,Surface,1,Image 1,1,1000018777,18777,
66.375,,Surface,1,Image 1,1,1000018778,18778,
133.5,,Surface,1,Image 1,1,1000018779,18779,
255,,Surface,1,Image 1,2,1000018770,18780,
15.3333,,Surface,1,Image 1,2,1000018754,18781,
234.067,,Surface,1,Image 1,2,1000018755,18782,
85.5,,Surface,1,Image 1,2,1000018756,18783,
255,,Surface,1,Image 1,2,1000018757,18784,
239.75,,Surface,1,Image 1,2,1000018759,18785,
152.333,,Surface,1,Image 1,2,1000018758,18786,
87.7778,,Surface,1,Image 1,2,1000018760,18787,
24.4615,,Surface,1,Image 1,2,1000018788,18788,
246.5,,Surface,1,Image 1,2,1000018761,18789,
252.833,,Surface,1,Image 1,2,1000018762,18790,
122.4,,Surface,1,Image 1,2,1000018763,18791,
244.238,,Surface,1,Image 1,2,1000018764,18792,
7.27778,,Surface,1,Image 1,2,1000018765,18793,
23.45,,Surface,1,Image 1,2,1000018794,18794,
153.4,,Surface,1,Image 1,2,1000018766,18795,
16,,Surface,1,Image 1,2,1000018767,18796,
148.333,,Surface,1,Image 1,2,1000018797,18797,
229.615,,Surface,1,Image 1,2,1000018768,18798,
224.063,,Surface,1,Image 1,2,1000018799,18799,
88.7778,,Surface,1,Image 1,2,1000018769,18800,
255,,Surface,1,Image 1,2,1000018771,18801,
12.8571,,Surface,1,Image 1,2,1000018802,18802,
52,,Surface,1,Image 1,2,1000018772,18803,
229,,Surface,1,Image 1,2,1000018773,18804,
31.2857,,Surface,1,Image 1,2,1000018774,18805,
7.88889,,Surface,1,Image 1,2,1000018775,18806,
148.3,,Surface,1,Image 1,2,1000018776,18807,
78.6154,,Surface,1,Image 1,2,1000018777,18808,
7.5,,Surface,1,Image 1,2,1000018809,18809,
27.5,,Surface,1,Image 1,2,1000018778,18810,
80.2857,,Surface,1,Image 1,2,1000018779,18811,
9.57143,,Surface,1,Image 1,3,1000018812,18812,
239.167,,Surface,1,Image 1,3,1000018755,18813,
73.8,,Surface,1,Image 1,3,1000018756,18814,
255,,Surface,1,Image 1,3,1000018757,18815,
51.9286,,Surface,1,Image 1,3,1000018816,18816,
158.571,,Surface,1,Image 1,3,1000018759,18817,
103,,Surface,1,Image 1,3,1000018758,18818,
128.333,,Surface,1,Image 1,3,1000018760,18819,
21.4167,,Surface,1,Image 1,3,1000018788,18820,
242.5,,Surface,1,Image 1,3,1000018761,18821,
245.214,,Surface,1,Image 1,3,1000018762,18822,
80.12,,Surface,1,Image 1,3,1000018763,18823,
244.81,,Surface,1,Image 1,3,1000018764,18824,
10.8723,,Surface,1,Image 1,3,1000018765,18825,
37.0833,,Surface,1,Image 1,3,1000018794,18826,
163.571,,Surface,1,Image 1,3,1000018766,18827,
12,,Surface,1,Image 1,3,1000018767,18828,
200.333,,Surface,1,Image 1,3,1000018797,18829,
244.667,,Surface,1,Image 1,3,1000018768,18830,
210.31,,Surface,1,Image 1,3,1000018799,18831,
22.5,,Surface,1,Image 1,3,1000018754,18832,
68.3333,,Surface,1,Image 1,3,1000018769,18833,
255,,Surface,1,Image 1,3,1000018770,18834,
255,,Surface,1,Image 1,3,1000018771,18835,
7.09091,,Surface,1,Image 1,3,1000018802,18836,
67.25,,Surface,1,Image 1,3,1000018772,18837,
255,,Surface,1,Image 1,3,1000018773,18838,
33.3333,,Surface,1,Image 1,3,1000018774,18839,
23,,Surface,1,Image 1,3,1000018775,18840,
149.5,,Surface,1,Image 1,3,1000018776,18841,
67.3636,,Surface,1,Image 1,3,1000018777,18842,
5.18182,,Surface,1,Image 1,3,1000018809,18843,
45,,Surface,1,Image 1,3,1000018778,18844,
80.6667,,Surface,1,Image 1,3,1000018779,18845,
255,,Surface,1,Image 1,4,1000018770,18846,
87.6875,,Surface,1,Image 1,4,1000018769,18847,
0,,Surface,1,Image 1,4,1000018754,18848,
71.5,,Surface,1,Image 1,4,1000018812,18849,
239.5,,Surface,1,Image 1,4,1000018755,18850,
18,,Surface,1,Image 1,4,1000018756,18851,
255,,Surface,1,Image 1,4,1000018757,18852,
170,,Surface,1,Image 1,4,1000018758,18853,
206.5,,Surface,1,Image 1,4,1000018759,18854,
109.8,,Surface,1,Image 1,4,1000018816,18855,
159.769,,Surface,1,Image 1,4,1000018760,18856,
6.4,,Surface,1,Image 1,4,1000018788,18857,
56,,Surface,1,Image 1,4,1000018858,18858,
255,,Surface,1,Image 1,4,1000018761,18859,
249.143,,Surface,1,Image 1,4,1000018762,18860,
250.769,,Surface,1,Image 1,4,1000018764,18861,
106.121,,Surface,1,Image 1,4,1000018763,18862,
2.53659,,Surface,1,Image 1,4,1000018765,18863,
24.125,,Surface,1,Image 1,4,1000018794,18864,
162.615,,Surface,1,Image 1,4,1000018766,18865,
41.5,,Surface,1,Image 1,4,1000018767,18866,
36,,Surface,1,Image 1,4,1000018867,18867,
172,,Surface,1,Image 1,4,1000018797,18868,
202.111,,Surface,1,Image 1,4,1000018768,18869,
230.85,,Surface,1,Image 1,4,1000018799,18870,
255,,Surface,1,Image 1,4,1000018771,18871,
12.8571,,Surface,1,Image 1,4,1000018802,18872,
91.0667,,Surface,1,Image 1,4,1000018772,18873,
254.571,,Surface,1,Image 1,4,1000018773,18874,
49,,Surface,1,Image 1,4,1000018774,18875,
23.1429,,Surface,1,Image 1,4,1000018775,18876,
156.444,,Surface,1,Image 1,4,1000018776,18877,
59,,Surface,1,Image 1,4,1000018777,18878,
5.85714,,Surface,1,Image 1,4,1000018809,18879,
33.5,,Surface,1,Image 1,4,1000018778,18880,
78.7826,,Surface,1,Image 1,4,1000018779,18881,
231.789,,Surface,1,Image 1,5,1000018755,18882,
71.3,,Surface,1,Image 1,5,1000018812,18883,
15,,Surface,1,Image 1,5,1000018756,18884,
255,,Surface,1,Image 1,5,1000018757,18885,
50.8182,,Surface,1,Image 1,5,1000018816,18886,
206.8,,Surface,1,Image 1,5,1000018759,18887,
215.5,,Surface,1,Image 1,5,1000018758,18888,
148.364,,Surface,1,Image 1,5,1000018760,18889,
6.76923,,Surface,1,Image 1,5,1000018788,18890,
26.2,,Surface,1,Image 1,5,1000018858,18891,
255,,Surface,1,Image 1,5,1000018761,18892,
255,,Surface,1,Image 1,5,1000018762,18893,
247.931,,Surface,1,Image 1,5,1000018764,18894,
119.214,,Surface,1,Image 1,5,1000018763,18895,
11.4898,,Surface,1,Image 1,5,1000018765,18896,
22.4,,Surface,1,Image 1,5,1000018794,18897,
146.261,,Surface,1,Image 1,5,1000018766,18898,
77,,Surface,1,Image 1,5,1000018867,18899,
33,,Surface,1,Image 1,5,1000018767,18900,
155.625,,Surface,1,Image 1,5,1000018797,18901,
241.364,,Surface,1,Image 1,5,1000018768,18902,
229.424,,Surface,1,Image 1,5,1000018799,18903,
255,,Surface,1,Image 1,5,1000018904,18904,
0,,Surface,1,Image 1,5,1000018754,18905,
84,,Surface,1,Image 1,5,1000018769,18906,
255,,Surface,1,Image 1,5,1000018770,18907,
255,,Surface,1,Image 1,5,1000018771,18908,
8.16667,,Surface,1,Image 1,5,1000018802,18909,
29.5,,Surface,1,Image 1,5,1000018772,18910,
253.4,,Surface,1,Image 1,5,1000018773,18911,
12.087,,Surface,1,Image 1,5,1000018912,18912,
5.14286,,Surface,1,Image 1,5,1000018913,18913,
43.1111,,Surface,1,Image 1,5,1000018774,18914,
47.6154,,Surface,1,Image 1,5,1000018775,18915,
138.375,,Surface,1,Image 1,5,1000018776,18916,
78.6364,,Surface,1,Image 1,5,1000018777,18917,
15.3913,,Surface,1,Image 1,5,1000018809,18918,
35.5,,Surface,1,Image 1,5,1000018919,18919,
75.375,,Surface,1,Image 1,5,1000018778,18920,
76.7917,,Surface,1,Image 1,5,1000018779,18921,
9,,Surface,1,Image 1,6,1000018756,18922,
223,,Surface,1,Image 1,6,1000018757,18923,
156.5,,Surface,1,Image 1,6,1000018758,18924,
22.1818,,Surface,1,Image 1,6,1000018816,18925,
163.929,,Surface,1,Image 1,6,1000018759,18926,
143.917,,Surface,1,Image 1,6,1000018760,18927,
24,,Surface,1,Image 1,6,1000018788,18928,
71.2,,Surface,1,Image 1,6,1000018858,18929,
114.643,,Surface,1,Image 1,6,1000018930,18930,
255,,Surface,1,Image 1,6,1000018761,18931,
221.727,,Surface,1,Image 1,6,1000018762,18932,
239.5,,Surface,1,Image 1,6,1000018933,18933,
244.314,,Surface,1,Image 1,6,1000018764,18934,
129.548,,Surface,1,Image 1,6,1000018763,18935,
41.8333,,Surface,1,Image 1,6,1000018794,18936,
7.90698,,Surface,1,Image 1,6,1000018765,18937,
132.542,,Surface,1,Image 1,6,1000018766,18938,
97.5,,Surface,1,Image 1,6,1000018867,18939,
0,,Surface,1,Image 1,6,1000018767,18940,
181.5,,Surface,1,Image 1,6,1000018797,18941,
254.7,,Surface,1,Image 1,6,1000018768,18942,
231.205,,Surface,1,Image 1,6,1000018799,18943,
255,,Surface,1,Image 1,6,1000018904,18944,
225,,Surface,1,Image 1,6,1000018755,18945,
71.9333,,Surface,1,Image 1,6,1000018812,18946,
75.3333,,Surface,1,Image 1,6,1000018947,18947,
8.33333,,Surface,1,Image 1,6,1000018754,18948,
59.4615,,Surface,1,Image 1,6,1000018769,18949,
255,,Surface,1,Image 1,6,1000018770,18950,
255,,Surface,1,Image 1,6,1000018771,18951,
15,,Surface,1,Image 1,6,1000018802,18952,
76,,Surface,1,Image 1,6,1000018772,18953,
250.75,,Surface,1,Image 1,6,1000018773,18954,
5.14286,,Surface,1,Image 1,6,1000018912,18955,
0,,Surface,1,Image 1,6,1000018913,18956,
3,,Surface,1,Image 1,6,1000018775,18957,
34.375,,Surface,1,Image 1,6,1000018774,18958,
130.091,,Surface,1,Image 1,6,1000018776,18959,
91.2222,,Surface,1,Image 1,6,1000018777,18960,
14.3636,,Surface,1,Image 1,6,1000018809,18961,
25.4167,,Surface,1,Image 1,6,1000018919,18962,
63.1667,,Surface,1,Image 1,6,1000018778,18963,
0,,Surface,1,Image 1,6,1000018964,18964,
65.5,,Surface,1,Image 1,6,1000018779,18965,
163.333,,Surface,1,Image 1,7,1000018760,18966,
26.5,,Surface,1,Image 1,7,1000018788,18967,
38,,Surface,1,Image 1,7,1000018858,18968,
115.125,,Surface,1,Image 1,7,1000018930,18969,
142.4,,Surface,1,Image 1,7,1000018970,18970,
255,,Surface,1,Image 1,7,1000018761,18971,
242.091,,Surface,1,Image 1,7,1000018762,18972,
255,,Surface,1,Image 1,7,1000018933,18973,
245.625,,Surface,1,Image 1,7,1000018764,18974,
156.394,,Surface,1,Image 1,7,1000018763,18975,
19.7143,,Surface,1,Image 1,7,1000018794,18976,
16.3864,,Surface,1,Image 1,7,1000018765,18977,
45.75,,Surface,1,Image 1,7,1000018978,18978,
161.042,,Surface,1,Image 1,7,1000018766,18979,
127,,Surface,1,Image 1,7,1000018867,18980,
12.6667,,Surface,1,Image 1,7,1000018767,18981,
247.684,,Surface,1,Image 1,7,1000018768,18982,
147,,Surface,1,Image 1,7,1000018797,18983,
242.438,,Surface,1,Image 1,7,1000018799,18984,
234.5,,Surface,1,Image 1,7,1000018904,18985,
41,,Surface,1,Image 1,7,1000018816,18986,
178,,Surface,1,Image 1,7,1000018759,18987,
110.5,,Surface,1,Image 1,7,1000018758,18988,
255,,Surface,1,Image 1,7,1000018757,18989,
29,,Surface,1,Image 1,7,1000018756,18990,
222.889,,Surface,1,Image 1,7,1000018755,18991,
59.4615,,Surface,1,Image 1,7,1000018812,18992,
64.5556,,Surface,1,Image 1,7,1000018947,18993,
55.2667,,Surface,1,Image 1,7,1000018769,18994,
255,,Surface,1,Image 1,7,1000018770,18995,
10,,Surface,1,Image 1,7,1000018996,18996,
10.8333,,Surface,1,Image 1,7,1000018802,18997,
76.6667,,Surface,1,Image 1,7,1000018772,18998,
219.167,,Surface,1,Image 1,7,1000018773,18999,
6.69231,,Surface,1,Image 1,7,1000018912,19000,
9.16667,,Surface,1,Image 1,7,1000018913,19001,
55.5,,Surface,1,Image 1,7,1000019002,19002,
11.2381,,Surface,1,Image 1,7,1000019003,19003,
15,,Surface,1,Image 1,7,1000019004,19004,
17.5,,Surface,1,Image 1,7,1000018774,19005,
16.75,,Surface,1,Image 1,7,1000018775,19006,
12,,Surface,1,Image 1,7,1000019007,19007,
140.625,,Surface,1,Image 1,7,1000018776,19008,
87.5,,Surface,1,Image 1,7,1000018777,19009,
13.6111,,Surface,1,Image 1,7,1000018809,19010,
21.4667,,Surface,1,Image 1,7,1000018919,19011,
45.5,,Surface,1,Image 1,7,1000018778,19012,
0,,Surface,1,Image 1,7,1000018964,19013,
95.5,,Surface,1,Image 1,7,1000018779,19014,
61.875,,Surface,1,Image 1,8,1000018947,19015,
14.6667,,Surface,1,Image 1,8,1000018812,19016,
247.235,,Surface,1,Image 1,8,1000018755,19017,
5,,Surface,1,Image 1,8,1000018756,19018,
191.905,,Surface,1,Image 1,8,1000018759,19019,
45.2,,Surface,1,Image 1,8,1000018816,19020,
152.412,,Surface,1,Image 1,8,1000018760,19021,
60,,Surface,1,Image 1,8,1000018788,19022,
18.5,,Surface,1,Image 1,8,1000018858,19023,
133.091,,Surface,1,Image 1,8,1000018970,19024,
118.8,,Surface,1,Image 1,8,1000018930,19025,
255,,Surface,1,Image 1,8,1000018761,19026,
244.533,,Surface,1,Image 1,8,1000018762,19027,
255,,Surface,1,Image 1,8,1000018933,19028,
241.412,,Surface,1,Image 1,8,1000018764,19029,
150.8,,Surface,1,Image 1,8,1000018763,19030,
29.8571,,Surface,1,Image 1,8,1000018794,19031,
68.1786,,Surface,1,Image 1,8,1000018978,19032,
145.316,,Surface,1,Image 1,8,1000018766,19033,
41.6667,,Surface,1,Image 1,8,1000018867,19034,
243.8,,Surface,1,Image 1,8,1000018768,19035,
160.4,,Surface,1,Image 1,8,1000018797,19036,
243.75,,Surface,1,Image 1,8,1000018799,19037,
255,,Surface,1,Image 1,8,1000018904,19038,
61.95,,Surface,1,Image 1,8,1000018769,19039,
255,,Surface,1,Image 1,8,1000018770,19040,
14,,Surface,1,Image 1,8,1000018996,19041,
2.66667,,Surface,1,Image 1,8,1000018802,19042,
230,,Surface,1,Image 1,8,1000018773,19043,
3.4,,Surface,1,Image 1,8,1000018912,19044,
5.63636,,Surface,1,Image 1,8,1000019003,19045,
2.83333,,Surface,1,Image 1,8,1000018913,19046,
52.5,,Surface,1,Image 1,8,1000019002,19047,
8.6,,Surface,1,Image 1,8,1000019004,19048,
7.2,,Surface,1,Image 1,8,1000019049,19049,
22,,Surface,1,Image 1,8,1000018774,19050,
56.5,,Surface,1,Image 1,8,1000018775,19051,
32.2857,,Surface,1,Image 1,8,1000019007,19052,
161.857,,Surface,1,Image 1,8,1000018776,19053,
83.1364,,Surface,1,Image 1,8,1000018777,19054,
28,,Surface,1,Image 1,8,1000018919,19055,
51.875,,Surface,1,Image 1,8,1000018778,19056,
1.86667,,Surface,1,Image 1,8,1000018964,19057,
89.7778,,Surface,1,Image 1,8,1000018779,19058,
255,,Surface,1,Image 1,9,1000018770,19059,
69.2857,,Surface,1,Image 1,9,1000018769,19060,
70.5556,,Surface,1,Image 1,9,1000018947,19061,
11.625,,Surface,1,Image 1,9,1000018812,19062,
227.909,,Surface,1,Image 1,9,1000018755,19063,
81,,Surface,1,Image 1,9,1000019064,19064,
5,,Surface,1,Image 1,9,1000018756,19065,
190,,Surface,1,Image 1,9,1000018759,19066,
170.053,,Surface,1,Image 1,9,1000018760,19067,
22.5714,,Surface,1,Image 1,9,1000018788,19068,
33,,Surface,1,Image 1,9,1000018816,19069,
19.6667,,Surface,1,Image 1,9,1000018858,19070,
128.118,,Surface,1,Image 1,9,1000018930,19071,
156,,Surface,1,Image 1,9,1000018970,19072,
255,,Surface,1,Image 1,9,1000018761,19073,
215.7,,Surface,1,Image 1,9,1000018762,19074,
255,,Surface,1,Image 1,9,1000018933,19075,
240.567,,Surface,1,Image 1,9,1000018764,19076,
165,,Surface,1,Image 1,9,1000018763,19077,
0,,Surface,1,Image 1,9,1000018794,19078,
63.8571,,Surface,1,Image 1,9,1000018978,19079,
158.556,,Surface,1,Image 1,9,1000018766,19080,
64,,Surface,1,Image 1,9,1000018867,19081,
156,,Surface,1,Image 1,9,1000018797,19082,
236.556,,Surface,1,Image 1,9,1000018768,19083,
243.853,,Surface,1,Image 1,9,1000018799,19084,
240.5,,Surface,1,Image 1,9,1000018904,19085,
5,,Surface,1,Image 1,9,1000018996,19086,
36.1538,,Surface,1,Image 1,9,1000019087,19087,
229.2,,Surface,1,Image 1,9,1000018773,19088,
4.8,,Surface,1,Image 1,9,1000018912,19089,
2.5,,Surface,1,Image 1,9,1000018913,19090,
7.8,,Surface,1,Image 1,9,1000019003,19091,
78.25,,Surface,1,Image 1,9,1000019002,19092,
8.16667,,Surface,1,Image 1,9,1000019004,19093,
42.6364,,Surface,1,Image 1,9,1000018774,19094,
27.1,,Surface,1,Image 1,9,1000019049,19095,
33.3684,,Surface,1,Image 1,9,1000019007,19096,
95.3636,,Surface,1,Image 1,9,1000018776,19097,
44.0909,,Surface,1,Image 1,9,1000018777,19098,
8.16667,,Surface,1,Image 1,9,1000018919,19099,
58.8571,,Surface,1,Image 1,9,1000018778,19100,
3.53846,,Surface,1,Image 1,9,1000018964,19101,
93.6364,,Surface,1,Image 1,9,1000018779,19102,
65.8182,,Surface,1,Image 1,10,1000018947,19103,
18.1667,,Surface,1,Image 1,10,1000018812,19104,
234,,Surface,1,Image 1,10,1000018755,19105,
116,,Surface,1,Image 1,10,1000019064,19106,
11.5,,Surface,1,Image 1,10,1000018756,19107,
105.333,,Surface,1,Image 1,10,1000019108,19108,
227.75,,Surface,1,Image 1,10,1000019109,19109,
164,,Surface,1,Image 1,10,1000018759,19110,
25,,Surface,1,Image 1,10,1000018788,19111,
155.895,,Surface,1,Image 1,10,1000018760,19112,
29,,Surface,1,Image 1,10,1000018858,19113,
2,,Surface,1,Image 1,10,1000019114,19114,
55.1,,Surface,1,Image 1,10,1000018816,19115,
145,,Surface,1,Image 1,10,1000018970,19116,
148,,Surface,1,Image 1,10,1000018930,19117,
255,,Surface,1,Image 1,10,1000018761,19118,
249.286,,Surface,1,Image 1,10,1000018762,19119,
255,,Surface,1,Image 1,10,1000018933,19120,
189.6,,Surface,1,Image 1,10,1000018764,19121,
12.4444,,Surface,1,Image 1,10,1000018794,19122,
50.6842,,Surface,1,Image 1,10,1000018978,19123,
169.588,,Surface,1,Image 1,10,1000018766,19124,
118.5,,Surface,1,Image 1,10,1000018867,19125,
199,,Surface,1,Image 1,10,1000018797,19126,
229.727,,Surface,1,Image 1,10,1000018768,19127,
239.346,,Surface,1,Image 1,10,1000018799,19128,
214.667,,Surface,1,Image 1,10,1000018904,19129,
82.875,,Surface,1,Image 1,10,1000018769,19130,
255,,Surface,1,Image 1,10,1000018770,19131,
0,,Surface,1,Image 1,10,1000018996,19132,
14.5,,Surface,1,Image 1,10,1000019133,19133,
27.8,,Surface,1,Image 1,10,1000019087,19134,
255,,Surface,1,Image 1,10,1000018773,19135,
6.53333,,Surface,1,Image 1,10,1000018912,19136,
19.1818,,Surface,1,Image 1,10,1000019003,19137,
87.25,,Surface,1,Image 1,10,1000019002,19138,
17.3333,,Surface,1,Image 1,10,1000018913,19139,
3.8,,Surface,1,Image 1,10,1000019004,19140,
23.8889,,Surface,1,Image 1,10,1000018774,19141,
27,,Surface,1,Image 1,10,1000019049,19142,
22.4667,,Surface,1,Image 1,10,1000019007,19143,
145.727,,Surface,1,Image 1,10,1000018776,19144,
67.25,,Surface,1,Image 1,10,1000018777,19145,
36,,Surface,1,Image 1,10,1000018919,19146,
63.3333,,Surface,1,Image 1,10,1000018778,19147,
0,,Surface,1,Image 1,10,1000018964,19148,
83.6923,,Surface,1,Image 1,10,1000018779,19149,
142.356,,Surface,1,Image 1,11,1000019150,19150,
252.25,,Surface,1,Image 1,11,1000018770,19151,
195.182,,Surface,1,Image 1,11,1000019152,19152,
13.5,,Surface,1,Image 1,11,1000018812,19153,
113.4,,Surface,1,Image 1,11,1000018947,19154,
217.375,,Surface,1,Image 1,11,1000018755,19155,
98.8333,,Surface,1,Image 1,11,1000019064,19156,
22.2222,,Surface,1,Image 1,11,1000018756,19157,
