
Intensity Median Ch=4 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
126.5,,Surface,4,Image 1,1,1000018754,18754,
199.08,,Surface,4,Image 1,1,1000018755,18755,
122.016,,Surface,4,Image 1,1,1000018756,18756,
255,,Surface,4,Image 1,1,1000018757,18757,
255,,Surface,4,Image 1,1,1000018758,18758,
255,,Surface,4,Image 1,1,1000018759,18759,
254.973,,Surface,4,Image 1,1,1000018760,18760,
255,,Surface,4,Image 1,1,1000018761,18761,
255,,Surface,4,Image 1,1,1000018762,18762,
136.042,,Surface,4,Image 1,1,1000018763,18763,
255,,Surface,4,Image 1,1,1000018764,18764,
42.952,,Surface,4,Image 1,1,1000018765,18765,
254.977,,Surface,4,Image 1,1,1000018766,18766,
71.5,,Surface,4,Image 1,1,1000018767,18767,
254.978,,Surface,4,Image 1,1,1000018768,18768,
237.972,,Surface,4,Image 1,1,1000018769,18769,
254.985,,Surface,4,Image 1,1,1000018770,18770,
255,,Surface,4,Image 1,1,1000018771,18771,
216.018,,Surface,4,Image 1,1,1000018772,18772,
255,,Surface,4,Image 1,1,1000018773,18773,
211,,Surface,4,Image 1,1,1000018774,18774,
185.98,,Surface,4,Image 1,1,1000018775,18775,
177.956,,Surface,4,Image 1,1,1000018776,18776,
244.04,,Surface,4,Image 1,1,1000018777,18777,
15.9795,,Surface,4,Image 1,1,1000018778,18778,
198.486,,Surface,4,Image 1,1,1000018779,18779,
255,,Surface,4,Image 1,2,1000018770,18780,
171.93,,Surface,4,Image 1,2,1000018754,18781,
190.943,,Surface,4,Image 1,2,1000018755,18782,
145.019,,Surface,4,Image 1,2,1000018756,18783,
254.991,,Surface,4,Image 1,2,1000018757,18784,
255,,Surface,4,Image 1,2,1000018759,18785,
255,,Surface,4,Image 1,2,1000018758,18786,
254.957,,Surface,4,Image 1,2,1000018760,18787,
80.076,,Surface,4,Image 1,2,1000018788,18788,
255,,Surface,4,Image 1,2,1000018761,18789,
255,,Surface,4,Image 1,2,1000018762,18790,
121.54,,Surface,4,Image 1,2,1000018763,18791,
255,,Surface,4,Image 1,2,1000018764,18792,
48.54,,Surface,4,Image 1,2,1000018765,18793,
120.565,,Surface,4,Image 1,2,1000018794,18794,
254.975,,Surface,4,Image 1,2,1000018766,18795,
130.046,,Surface,4,Image 1,2,1000018767,18796,
199.98,,Surface,4,Image 1,2,1000018797,18797,
254.986,,Surface,4,Image 1,2,1000018768,18798,
255,,Surface,4,Image 1,2,1000018799,18799,
254.994,,Surface,4,Image 1,2,1000018769,18800,
255,,Surface,4,Image 1,2,1000018771,18801,
47.953,,Surface,4,Image 1,2,1000018802,18802,
243,,Surface,4,Image 1,2,1000018772,18803,
255,,Surface,4,Image 1,2,1000018773,18804,
155,,Surface,4,Image 1,2,1000018774,18805,
132.904,,Surface,4,Image 1,2,1000018775,18806,
159.6,,Surface,4,Image 1,2,1000018776,18807,
245.99,,Surface,4,Image 1,2,1000018777,18808,
48.507,,Surface,4,Image 1,2,1000018809,18809,
35,,Surface,4,Image 1,2,1000018778,18810,
155.997,,Surface,4,Image 1,2,1000018779,18811,
114.031,,Surface,4,Image 1,3,1000018812,18812,
168.021,,Surface,4,Image 1,3,1000018755,18813,
116.048,,Surface,4,Image 1,3,1000018756,18814,
255,,Surface,4,Image 1,3,1000018757,18815,
184.002,,Surface,4,Image 1,3,1000018816,18816,
255,,Surface,4,Image 1,3,1000018759,18817,
254.972,,Surface,4,Image 1,3,1000018758,18818,
254.952,,Surface,4,Image 1,3,1000018760,18819,
81.53,,Surface,4,Image 1,3,1000018788,18820,
255,,Surface,4,Image 1,3,1000018761,18821,
255,,Surface,4,Image 1,3,1000018762,18822,
106.991,,Surface,4,Image 1,3,1000018763,18823,
255,,Surface,4,Image 1,3,1000018764,18824,
64.06,,Surface,4,Image 1,3,1000018765,18825,
108.032,,Surface,4,Image 1,3,1000018794,18826,
254.965,,Surface,4,Image 1,3,1000018766,18827,
130,,Surface,4,Image 1,3,1000018767,18828,
254.962,,Surface,4,Image 1,3,1000018797,18829,
254.99,,Surface,4,Image 1,3,1000018768,18830,
255,,Surface,4,Image 1,3,1000018799,18831,
160.5,,Surface,4,Image 1,3,1000018754,18832,
208.973,,Surface,4,Image 1,3,1000018769,18833,
254.982,,Surface,4,Image 1,3,1000018770,18834,
255,,Surface,4,Image 1,3,1000018771,18835,
60.0525,,Surface,4,Image 1,3,1000018802,18836,
254.981,,Surface,4,Image 1,3,1000018772,18837,
255,,Surface,4,Image 1,3,1000018773,18838,
203.025,,Surface,4,Image 1,3,1000018774,18839,
150.965,,Surface,4,Image 1,3,1000018775,18840,
195.04,,Surface,4,Image 1,3,1000018776,18841,
202.021,,Surface,4,Image 1,3,1000018777,18842,
40.05,,Surface,4,Image 1,3,1000018809,18843,
90.5,,Surface,4,Image 1,3,1000018778,18844,
200.08,,Surface,4,Image 1,3,1000018779,18845,
255,,Surface,4,Image 1,4,1000018770,18846,
221.496,,Surface,4,Image 1,4,1000018769,18847,
53,,Surface,4,Image 1,4,1000018754,18848,
106.992,,Surface,4,Image 1,4,1000018812,18849,
157.988,,Surface,4,Image 1,4,1000018755,18850,
104.058,,Surface,4,Image 1,4,1000018756,18851,
255,,Surface,4,Image 1,4,1000018757,18852,
235,,Surface,4,Image 1,4,1000018758,18853,
255,,Surface,4,Image 1,4,1000018759,18854,
204.966,,Surface,4,Image 1,4,1000018816,18855,
254.961,,Surface,4,Image 1,4,1000018760,18856,
60.99,,Surface,4,Image 1,4,1000018788,18857,
115,,Surface,4,Image 1,4,1000018858,18858,
255,,Surface,4,Image 1,4,1000018761,18859,
255,,Surface,4,Image 1,4,1000018762,18860,
255,,Surface,4,Image 1,4,1000018764,18861,
147.936,,Surface,4,Image 1,4,1000018763,18862,
73.144,,Surface,4,Image 1,4,1000018765,18863,
125,,Surface,4,Image 1,4,1000018794,18864,
254.979,,Surface,4,Image 1,4,1000018766,18865,
131.5,,Surface,4,Image 1,4,1000018767,18866,
60,,Surface,4,Image 1,4,1000018867,18867,
241.967,,Surface,4,Image 1,4,1000018797,18868,
255,,Surface,4,Image 1,4,1000018768,18869,
255,,Surface,4,Image 1,4,1000018799,18870,
255,,Surface,4,Image 1,4,1000018771,18871,
81.961,,Surface,4,Image 1,4,1000018802,18872,
254.966,,Surface,4,Image 1,4,1000018772,18873,
255,,Surface,4,Image 1,4,1000018773,18874,
211,,Surface,4,Image 1,4,1000018774,18875,
159.97,,Surface,4,Image 1,4,1000018775,18876,
196.973,,Surface,4,Image 1,4,1000018776,18877,
205.53,,Surface,4,Image 1,4,1000018777,18878,
50.968,,Surface,4,Image 1,4,1000018809,18879,
35.472,,Surface,4,Image 1,4,1000018778,18880,
161.022,,Surface,4,Image 1,4,1000018779,18881,
174.918,,Surface,4,Image 1,5,1000018755,18882,
74.592,,Surface,4,Image 1,5,1000018812,18883,
76.039,,Surface,4,Image 1,5,1000018756,18884,
254.965,,Surface,4,Image 1,5,1000018757,18885,
124.908,,Surface,4,Image 1,5,1000018816,18886,
255,,Surface,4,Image 1,5,1000018759,18887,
254.987,,Surface,4,Image 1,5,1000018758,18888,
254.986,,Surface,4,Image 1,5,1000018760,18889,
115.916,,Surface,4,Image 1,5,1000018788,18890,
127.999,,Surface,4,Image 1,5,1000018858,18891,
255,,Surface,4,Image 1,5,1000018761,18892,
255,,Surface,4,Image 1,5,1000018762,18893,
255,,Surface,4,Image 1,5,1000018764,18894,
112.54,,Surface,4,Image 1,5,1000018763,18895,
73.025,,Surface,4,Image 1,5,1000018765,18896,
113.452,,Surface,4,Image 1,5,1000018794,18897,
254.978,,Surface,4,Image 1,5,1000018766,18898,
73.057,,Surface,4,Image 1,5,1000018867,18899,
120.967,,Surface,4,Image 1,5,1000018767,18900,
218.535,,Surface,4,Image 1,5,1000018797,18901,
254.988,,Surface,4,Image 1,5,1000018768,18902,
255,,Surface,4,Image 1,5,1000018799,18903,
255,,Surface,4,Image 1,5,1000018904,18904,
45,,Surface,4,Image 1,5,1000018754,18905,
246.472,,Surface,4,Image 1,5,1000018769,18906,
254.999,,Surface,4,Image 1,5,1000018770,18907,
255,,Surface,4,Image 1,5,1000018771,18908,
64.04,,Surface,4,Image 1,5,1000018802,18909,
119.5,,Surface,4,Image 1,5,1000018772,18910,
255,,Surface,4,Image 1,5,1000018773,18911,
14.988,,Surface,4,Image 1,5,1000018912,18912,
116.042,,Surface,4,Image 1,5,1000018913,18913,
187.914,,Surface,4,Image 1,5,1000018774,18914,
210.036,,Surface,4,Image 1,5,1000018775,18915,
191.52,,Surface,4,Image 1,5,1000018776,18916,
212.49,,Surface,4,Image 1,5,1000018777,18917,
28.98,,Surface,4,Image 1,5,1000018809,18918,
192.011,,Surface,4,Image 1,5,1000018919,18919,
104.012,,Surface,4,Image 1,5,1000018778,18920,
216.512,,Surface,4,Image 1,5,1000018779,18921,
104.97,,Surface,4,Image 1,6,1000018756,18922,
255,,Surface,4,Image 1,6,1000018757,18923,
255,,Surface,4,Image 1,6,1000018758,18924,
130.914,,Surface,4,Image 1,6,1000018816,18925,
255,,Surface,4,Image 1,6,1000018759,18926,
254.966,,Surface,4,Image 1,6,1000018760,18927,
99.98,,Surface,4,Image 1,6,1000018788,18928,
156.012,,Surface,4,Image 1,6,1000018858,18929,
232.972,,Surface,4,Image 1,6,1000018930,18930,
255,,Surface,4,Image 1,6,1000018761,18931,
255,,Surface,4,Image 1,6,1000018762,18932,
255,,Surface,4,Image 1,6,1000018933,18933,
255,,Surface,4,Image 1,6,1000018764,18934,
161.972,,Surface,4,Image 1,6,1000018763,18935,
208.509,,Surface,4,Image 1,6,1000018794,18936,
74.956,,Surface,4,Image 1,6,1000018765,18937,
254.987,,Surface,4,Image 1,6,1000018766,18938,
79.5,,Surface,4,Image 1,6,1000018867,18939,
74.5,,Surface,4,Image 1,6,1000018767,18940,
205.98,,Surface,4,Image 1,6,1000018797,18941,
254.983,,Surface,4,Image 1,6,1000018768,18942,
255,,Surface,4,Image 1,6,1000018799,18943,
255,,Surface,4,Image 1,6,1000018904,18944,
125.997,,Surface,4,Image 1,6,1000018755,18945,
152.959,,Surface,4,Image 1,6,1000018812,18946,
205.944,,Surface,4,Image 1,6,1000018947,18947,
114.02,,Surface,4,Image 1,6,1000018754,18948,
175.928,,Surface,4,Image 1,6,1000018769,18949,
254.987,,Surface,4,Image 1,6,1000018770,18950,
255,,Surface,4,Image 1,6,1000018771,18951,
74.013,,Surface,4,Image 1,6,1000018802,18952,
185.48,,Surface,4,Image 1,6,1000018772,18953,
255,,Surface,4,Image 1,6,1000018773,18954,
30.03,,Surface,4,Image 1,6,1000018912,18955,
35.9955,,Surface,4,Image 1,6,1000018913,18956,
56,,Surface,4,Image 1,6,1000018775,18957,
161.936,,Surface,4,Image 1,6,1000018774,18958,
145.028,,Surface,4,Image 1,6,1000018776,18959,
254.46,,Surface,4,Image 1,6,1000018777,18960,
33.025,,Surface,4,Image 1,6,1000018809,18961,
148.494,,Surface,4,Image 1,6,1000018919,18962,
39.998,,Surface,4,Image 1,6,1000018778,18963,
17.976,,Surface,4,Image 1,6,1000018964,18964,
166.044,,Surface,4,Image 1,6,1000018779,18965,
254.997,,Surface,4,Image 1,7,1000018760,18966,
68.45,,Surface,4,Image 1,7,1000018788,18967,
135.008,,Surface,4,Image 1,7,1000018858,18968,
252.5,,Surface,4,Image 1,7,1000018930,18969,
255,,Surface,4,Image 1,7,1000018970,18970,
255,,Surface,4,Image 1,7,1000018761,18971,
255,,Surface,4,Image 1,7,1000018762,18972,
255,,Surface,4,Image 1,7,1000018933,18973,
255,,Surface,4,Image 1,7,1000018764,18974,
180.898,,Surface,4,Image 1,7,1000018763,18975,
145.998,,Surface,4,Image 1,7,1000018794,18976,
76.1,,Surface,4,Image 1,7,1000018765,18977,
172.004,,Surface,4,Image 1,7,1000018978,18978,
254.94,,Surface,4,Image 1,7,1000018766,18979,
126.08,,Surface,4,Image 1,7,1000018867,18980,
100.077,,Surface,4,Image 1,7,1000018767,18981,
254.979,,Surface,4,Image 1,7,1000018768,18982,
199.5,,Surface,4,Image 1,7,1000018797,18983,
255,,Surface,4,Image 1,7,1000018799,18984,
255,,Surface,4,Image 1,7,1000018904,18985,
