
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Surface,1,Image 1,1,1000018754,18754,
141,,Surface,1,Image 1,1,1000018755,18755,
17,,Surface,1,Image 1,1,1000018756,18756,
249,,Surface,1,Image 1,1,1000018757,18757,
211,,Surface,1,Image 1,1,1000018758,18758,
148,,Surface,1,Image 1,1,1000018759,18759,
51,,Surface,1,Image 1,1,1000018760,18760,
148,,Surface,1,Image 1,1,1000018761,18761,
183,,Surface,1,Image 1,1,1000018762,18762,
11,,Surface,1,Image 1,1,1000018763,18763,
255,,Surface,1,Image 1,1,1000018764,18764,
0,,Surface,1,Image 1,1,1000018765,18765,
23,,Surface,1,Image 1,1,1000018766,18766,
0,,Surface,1,Image 1,1,1000018767,18767,
122,,Surface,1,Image 1,1,1000018768,18768,
0,,Surface,1,Image 1,1,1000018769,18769,
255,,Surface,1,Image 1,1,1000018770,18770,
255,,Surface,1,Image 1,1,1000018771,18771,
17,,Surface,1,Image 1,1,1000018772,18772,
207,,Surface,1,Image 1,1,1000018773,18773,
23,,Surface,1,Image 1,1,1000018774,18774,
0,,Surface,1,Image 1,1,1000018775,18775,
97,,Surface,1,Image 1,1,1000018776,18776,
6,,Surface,1,Image 1,1,1000018777,18777,
0,,Surface,1,Image 1,1,1000018778,18778,
0,,Surface,1,Image 1,1,1000018779,18779,
255,,Surface,1,Image 1,2,1000018770,18780,
0,,Surface,1,Image 1,2,1000018754,18781,
126,,Surface,1,Image 1,2,1000018755,18782,
0,,Surface,1,Image 1,2,1000018756,18783,
255,,Surface,1,Image 1,2,1000018757,18784,
200,,Surface,1,Image 1,2,1000018759,18785,
108,,Surface,1,Image 1,2,1000018758,18786,
59,,Surface,1,Image 1,2,1000018760,18787,
0,,Surface,1,Image 1,2,1000018788,18788,
158,,Surface,1,Image 1,2,1000018761,18789,
229,,Surface,1,Image 1,2,1000018762,18790,
12,,Surface,1,Image 1,2,1000018763,18791,
74,,Surface,1,Image 1,2,1000018764,18792,
0,,Surface,1,Image 1,2,1000018765,18793,
0,,Surface,1,Image 1,2,1000018794,18794,
16,,Surface,1,Image 1,2,1000018766,18795,
12,,Surface,1,Image 1,2,1000018767,18796,
101,,Surface,1,Image 1,2,1000018797,18797,
132,,Surface,1,Image 1,2,1000018768,18798,
113,,Surface,1,Image 1,2,1000018799,18799,
0,,Surface,1,Image 1,2,1000018769,18800,
255,,Surface,1,Image 1,2,1000018771,18801,
0,,Surface,1,Image 1,2,1000018802,18802,
51,,Surface,1,Image 1,2,1000018772,18803,
187,,Surface,1,Image 1,2,1000018773,18804,
0,,Surface,1,Image 1,2,1000018774,18805,
0,,Surface,1,Image 1,2,1000018775,18806,
69,,Surface,1,Image 1,2,1000018776,18807,
17,,Surface,1,Image 1,2,1000018777,18808,
0,,Surface,1,Image 1,2,1000018809,18809,
9,,Surface,1,Image 1,2,1000018778,18810,
44,,Surface,1,Image 1,2,1000018779,18811,
0,,Surface,1,Image 1,3,1000018812,18812,
157,,Surface,1,Image 1,3,1000018755,18813,
43,,Surface,1,Image 1,3,1000018756,18814,
255,,Surface,1,Image 1,3,1000018757,18815,
0,,Surface,1,Image 1,3,1000018816,18816,
64,,Surface,1,Image 1,3,1000018759,18817,
33,,Surface,1,Image 1,3,1000018758,18818,
63,,Surface,1,Image 1,3,1000018760,18819,
0,,Surface,1,Image 1,3,1000018788,18820,
169,,Surface,1,Image 1,3,1000018761,18821,
185,,Surface,1,Image 1,3,1000018762,18822,
31,,Surface,1,Image 1,3,1000018763,18823,
146,,Surface,1,Image 1,3,1000018764,18824,
0,,Surface,1,Image 1,3,1000018765,18825,
0,,Surface,1,Image 1,3,1000018794,18826,
35,,Surface,1,Image 1,3,1000018766,18827,
0,,Surface,1,Image 1,3,1000018767,18828,
110,,Surface,1,Image 1,3,1000018797,18829,
175,,Surface,1,Image 1,3,1000018768,18830,
115,,Surface,1,Image 1,3,1000018799,18831,
0,,Surface,1,Image 1,3,1000018754,18832,
27,,Surface,1,Image 1,3,1000018769,18833,
255,,Surface,1,Image 1,3,1000018770,18834,
255,,Surface,1,Image 1,3,1000018771,18835,
0,,Surface,1,Image 1,3,1000018802,18836,
7,,Surface,1,Image 1,3,1000018772,18837,
255,,Surface,1,Image 1,3,1000018773,18838,
0,,Surface,1,Image 1,3,1000018774,18839,
3,,Surface,1,Image 1,3,1000018775,18840,
100,,Surface,1,Image 1,3,1000018776,18841,
17,,Surface,1,Image 1,3,1000018777,18842,
0,,Surface,1,Image 1,3,1000018809,18843,
0,,Surface,1,Image 1,3,1000018778,18844,
4,,Surface,1,Image 1,3,1000018779,18845,
255,,Surface,1,Image 1,4,1000018770,18846,
2,,Surface,1,Image 1,4,1000018769,18847,
0,,Surface,1,Image 1,4,1000018754,18848,
3,,Surface,1,Image 1,4,1000018812,18849,
156,,Surface,1,Image 1,4,1000018755,18850,
0,,Surface,1,Image 1,4,1000018756,18851,
255,,Surface,1,Image 1,4,1000018757,18852,
118,,Surface,1,Image 1,4,1000018758,18853,
197,,Surface,1,Image 1,4,1000018759,18854,
97,,Surface,1,Image 1,4,1000018816,18855,
97,,Surface,1,Image 1,4,1000018760,18856,
0,,Surface,1,Image 1,4,1000018788,18857,
