
Intensity StdDev Ch=6 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Surface,6,Image 1,1,1000018754,18754,
42.199,,Surface,6,Image 1,1,1000018755,18755,
0,,Surface,6,Image 1,1,1000018756,18756,
23.2,,Surface,6,Image 1,1,1000018757,18757,
20,,Surface,6,Image 1,1,1000018758,18758,
12.1929,,Surface,6,Image 1,1,1000018759,18759,
59.1892,,Surface,6,Image 1,1,1000018760,18760,
37.2426,,Surface,6,Image 1,1,1000018761,18761,
28.0872,,Surface,6,Image 1,1,1000018762,18762,
13.5183,,Surface,6,Image 1,1,1000018763,18763,
39.9639,,Surface,6,Image 1,1,1000018764,18764,
32.5265,,Surface,6,Image 1,1,1000018765,18765,
19.721,,Surface,6,Image 1,1,1000018766,18766,
7,,Surface,6,Image 1,1,1000018767,18767,
42.7176,,Surface,6,Image 1,1,1000018768,18768,
46.3751,,Surface,6,Image 1,1,1000018769,18769,
17.9531,,Surface,6,Image 1,1,1000018770,18770,
0,,Surface,6,Image 1,1,1000018771,18771,
26.5419,,Surface,6,Image 1,1,1000018772,18772,
0,,Surface,6,Image 1,1,1000018773,18773,
23,,Surface,6,Image 1,1,1000018774,18774,
11.3137,,Surface,6,Image 1,1,1000018775,18775,
49.2793,,Surface,6,Image 1,1,1000018776,18776,
25.2823,,Surface,6,Image 1,1,1000018777,18777,
32.1004,,Surface,6,Image 1,1,1000018778,18778,
44.1439,,Surface,6,Image 1,1,1000018779,18779,
7.28943,,Surface,6,Image 1,2,1000018770,18780,
0,,Surface,6,Image 1,2,1000018754,18781,
40.2926,,Surface,6,Image 1,2,1000018755,18782,
2.23607,,Surface,6,Image 1,2,1000018756,18783,
33.8373,,Surface,6,Image 1,2,1000018757,18784,
27.3896,,Surface,6,Image 1,2,1000018759,18785,
19.3276,,Surface,6,Image 1,2,1000018758,18786,
50.7275,,Surface,6,Image 1,2,1000018760,18787,
34.0438,,Surface,6,Image 1,2,1000018788,18788,
43.7508,,Surface,6,Image 1,2,1000018761,18789,
37.2443,,Surface,6,Image 1,2,1000018762,18790,
16.7856,,Surface,6,Image 1,2,1000018763,18791,
40.7666,,Surface,6,Image 1,2,1000018764,18792,
48.0789,,Surface,6,Image 1,2,1000018765,18793,
6.10246,,Surface,6,Image 1,2,1000018794,18794,
15.4914,,Surface,6,Image 1,2,1000018766,18795,
0,,Surface,6,Image 1,2,1000018767,18796,
4.10961,,Surface,6,Image 1,2,1000018797,18797,
15.0408,,Surface,6,Image 1,2,1000018768,18798,
49.269,,Surface,6,Image 1,2,1000018799,18799,
44.8069,,Surface,6,Image 1,2,1000018769,18800,
0,,Surface,6,Image 1,2,1000018771,18801,
36.4092,,Surface,6,Image 1,2,1000018802,18802,
0,,Surface,6,Image 1,2,1000018772,18803,
0,,Surface,6,Image 1,2,1000018773,18804,
20.455,,Surface,6,Image 1,2,1000018774,18805,
16.3216,,Surface,6,Image 1,2,1000018775,18806,
25.5938,,Surface,6,Image 1,2,1000018776,18807,
41.3566,,Surface,6,Image 1,2,1000018777,18808,
40.6615,,Surface,6,Image 1,2,1000018809,18809,
53.1758,,Surface,6,Image 1,2,1000018778,18810,
66.984,,Surface,6,Image 1,2,1000018779,18811,
1.39971,,Surface,6,Image 1,3,1000018812,18812,
48.2829,,Surface,6,Image 1,3,1000018755,18813,
0,,Surface,6,Image 1,3,1000018756,18814,
18.9905,,Surface,6,Image 1,3,1000018757,18815,
1.2877,,Surface,6,Image 1,3,1000018816,18816,
28.7785,,Surface,6,Image 1,3,1000018759,18817,
54.5357,,Surface,6,Image 1,3,1000018758,18818,
27.7472,,Surface,6,Image 1,3,1000018760,18819,
18.5038,,Surface,6,Image 1,3,1000018788,18820,
28.9816,,Surface,6,Image 1,3,1000018761,18821,
27.8667,,Surface,6,Image 1,3,1000018762,18822,
31.5544,,Surface,6,Image 1,3,1000018763,18823,
42.8532,,Surface,6,Image 1,3,1000018764,18824,
37.6709,,Surface,6,Image 1,3,1000018765,18825,
0,,Surface,6,Image 1,3,1000018794,18826,
23.3458,,Surface,6,Image 1,3,1000018766,18827,
0,,Surface,6,Image 1,3,1000018767,18828,
36.3635,,Surface,6,Image 1,3,1000018797,18829,
27.3019,,Surface,6,Image 1,3,1000018768,18830,
48.9065,,Surface,6,Image 1,3,1000018799,18831,
0,,Surface,6,Image 1,3,1000018754,18832,
26.2255,,Surface,6,Image 1,3,1000018769,18833,
15.2604,,Surface,6,Image 1,3,1000018770,18834,
0,,Surface,6,Image 1,3,1000018771,18835,
29.8617,,Surface,6,Image 1,3,1000018802,18836,
0,,Surface,6,Image 1,3,1000018772,18837,
1.04978,,Surface,6,Image 1,3,1000018773,18838,
6.33553,,Surface,6,Image 1,3,1000018774,18839,
43.299,,Surface,6,Image 1,3,1000018775,18840,
11.5752,,Surface,6,Image 1,3,1000018776,18841,
42.1587,,Surface,6,Image 1,3,1000018777,18842,
51.784,,Surface,6,Image 1,3,1000018809,18843,
32.3282,,Surface,6,Image 1,3,1000018778,18844,
47.1246,,Surface,6,Image 1,3,1000018779,18845,
17.3273,,Surface,6,Image 1,4,1000018770,18846,
52.6723,,Surface,6,Image 1,4,1000018769,18847,
0,,Surface,6,Image 1,4,1000018754,18848,
0,,Surface,6,Image 1,4,1000018812,18849,
25.3535,,Surface,6,Image 1,4,1000018755,18850,
0,,Surface,6,Image 1,4,1000018756,18851,
17.2696,,Surface,6,Image 1,4,1000018757,18852,
2.5,,Surface,6,Image 1,4,1000018758,18853,
19.5,,Surface,6,Image 1,4,1000018759,18854,
0,,Surface,6,Image 1,4,1000018816,18855,
55.6562,,Surface,6,Image 1,4,1000018760,18856,
14.7855,,Surface,6,Image 1,4,1000018788,18857,
0,,Surface,6,Image 1,4,1000018858,18858,
41.0252,,Surface,6,Image 1,4,1000018761,18859,
30.9272,,Surface,6,Image 1,4,1000018762,18860,
38.0112,,Surface,6,Image 1,4,1000018764,18861,
11.9213,,Surface,6,Image 1,4,1000018763,18862,
25.3802,,Surface,6,Image 1,4,1000018765,18863,
36.6154,,Surface,6,Image 1,4,1000018794,18864,
17.0372,,Surface,6,Image 1,4,1000018766,18865,
25.5,,Surface,6,Image 1,4,1000018767,18866,
0,,Surface,6,Image 1,4,1000018867,18867,
22.1921,,Surface,6,Image 1,4,1000018797,18868,
0,,Surface,6,Image 1,4,1000018768,18869,
48.3895,,Surface,6,Image 1,4,1000018799,18870,
0,,Surface,6,Image 1,4,1000018771,18871,
26.2515,,Surface,6,Image 1,4,1000018802,18872,
33.9804,,Surface,6,Image 1,4,1000018772,18873,
9.44803,,Surface,6,Image 1,4,1000018773,18874,
0.372678,,Surface,6,Image 1,4,1000018774,18875,
7.9949,,Surface,6,Image 1,4,1000018775,18876,
46.1385,,Surface,6,Image 1,4,1000018776,18877,
38.6847,,Surface,6,Image 1,4,1000018777,18878,
50.163,,Surface,6,Image 1,4,1000018809,18879,
22.5961,,Surface,6,Image 1,4,1000018778,18880,
40.2661,,Surface,6,Image 1,4,1000018779,18881,
38.4733,,Surface,6,Image 1,5,1000018755,18882,
9.6,,Surface,6,Image 1,5,1000018812,18883,
0,,Surface,6,Image 1,5,1000018756,18884,
26.4422,,Surface,6,Image 1,5,1000018757,18885,
23.1285,,Surface,6,Image 1,5,1000018816,18886,
37.8411,,Surface,6,Image 1,5,1000018759,18887,
38.8483,,Surface,6,Image 1,5,1000018758,18888,
45.7922,,Surface,6,Image 1,5,1000018760,18889,
0,,Surface,6,Image 1,5,1000018788,18890,
0,,Surface,6,Image 1,5,1000018858,18891,
40.2203,,Surface,6,Image 1,5,1000018761,18892,
37.976,,Surface,6,Image 1,5,1000018762,18893,
35.4674,,Surface,6,Image 1,5,1000018764,18894,
22.1327,,Surface,6,Image 1,5,1000018763,18895,
23.2094,,Surface,6,Image 1,5,1000018765,18896,
0,,Surface,6,Image 1,5,1000018794,18897,
23.7136,,Surface,6,Image 1,5,1000018766,18898,
20.6322,,Surface,6,Image 1,5,1000018867,18899,
0,,Surface,6,Image 1,5,1000018767,18900,
37.7821,,Surface,6,Image 1,5,1000018797,18901,
14.6474,,Surface,6,Image 1,5,1000018768,18902,
50.9346,,Surface,6,Image 1,5,1000018799,18903,
14,,Surface,6,Image 1,5,1000018904,18904,
0,,Surface,6,Image 1,5,1000018754,18905,
35.4352,,Surface,6,Image 1,5,1000018769,18906,
15.7217,,Surface,6,Image 1,5,1000018770,18907,
0,,Surface,6,Image 1,5,1000018771,18908,
49.5278,,Surface,6,Image 1,5,1000018802,18909,
9.5,,Surface,6,Image 1,5,1000018772,18910,
0,,Surface,6,Image 1,5,1000018773,18911,
48.3184,,Surface,6,Image 1,5,1000018912,18912,
18.1962,,Surface,6,Image 1,5,1000018913,18913,
6.87094,,Surface,6,Image 1,5,1000018774,18914,
32.2481,,Surface,6,Image 1,5,1000018775,18915,
38.3974,,Surface,6,Image 1,5,1000018776,18916,
50.7377,,Surface,6,Image 1,5,1000018777,18917,
52.5628,,Surface,6,Image 1,5,1000018809,18918,
57.884,,Surface,6,Image 1,5,1000018919,18919,
26.4194,,Surface,6,Image 1,5,1000018778,18920,
48.1282,,Surface,6,Image 1,5,1000018779,18921,
0,,Surface,6,Image 1,6,1000018756,18922,
0,,Surface,6,Image 1,6,1000018757,18923,
20.573,,Surface,6,Image 1,6,1000018758,18924,
14.9207,,Surface,6,Image 1,6,1000018816,18925,
42.0547,,Surface,6,Image 1,6,1000018759,18926,
62.5367,,Surface,6,Image 1,6,1000018760,18927,
11.9422,,Surface,6,Image 1,6,1000018788,18928,
0,,Surface,6,Image 1,6,1000018858,18929,
20.9854,,Surface,6,Image 1,6,1000018930,18930,
36.1341,,Surface,6,Image 1,6,1000018761,18931,
23.7428,,Surface,6,Image 1,6,1000018762,18932,
0,,Surface,6,Image 1,6,1000018933,18933,
39.6116,,Surface,6,Image 1,6,1000018764,18934,
24.5546,,Surface,6,Image 1,6,1000018763,18935,
0,,Surface,6,Image 1,6,1000018794,18936,
34.4726,,Surface,6,Image 1,6,1000018765,18937,
18.2458,,Surface,6,Image 1,6,1000018766,18938,
0,,Surface,6,Image 1,6,1000018867,18939,
0,,Surface,6,Image 1,6,1000018767,18940,
