
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
510,,Surface,5,Image 1,1,1000018754,18754,
4853,,Surface,5,Image 1,1,1000018755,18755,
1275,,Surface,5,Image 1,1,1000018756,18756,
1217,,Surface,5,Image 1,1,1000018757,18757,
470,,Surface,5,Image 1,1,1000018758,18758,
669,,Surface,5,Image 1,1,1000018759,18759,
2242,,Surface,5,Image 1,1,1000018760,18760,
8074,,Surface,5,Image 1,1,1000018761,18761,
4206,,Surface,5,Image 1,1,1000018762,18762,
7792,,Surface,5,Image 1,1,1000018763,18763,
1615,,Surface,5,Image 1,1,1000018764,18764,
5180,,Surface,5,Image 1,1,1000018765,18765,
6431,,Surface,5,Image 1,1,1000018766,18766,
496,,Surface,5,Image 1,1,1000018767,18767,
6029,,Surface,5,Image 1,1,1000018768,18768,
5264,,Surface,5,Image 1,1,1000018769,18769,
3956,,Surface,5,Image 1,1,1000018770,18770,
1020,,Surface,5,Image 1,1,1000018771,18771,
1363,,Surface,5,Image 1,1,1000018772,18772,
1020,,Surface,5,Image 1,1,1000018773,18773,
464,,Surface,5,Image 1,1,1000018774,18774,
741,,Surface,5,Image 1,1,1000018775,18775,
2058,,Surface,5,Image 1,1,1000018776,18776,
4513,,Surface,5,Image 1,1,1000018777,18777,
1798,,Surface,5,Image 1,1,1000018778,18778,
1610,,Surface,5,Image 1,1,1000018779,18779,
4544,,Surface,5,Image 1,2,1000018770,18780,
765,,Surface,5,Image 1,2,1000018754,18781,
3198,,Surface,5,Image 1,2,1000018755,18782,
1524,,Surface,5,Image 1,2,1000018756,18783,
1174,,Surface,5,Image 1,2,1000018757,18784,
825,,Surface,5,Image 1,2,1000018759,18785,
724,,Surface,5,Image 1,2,1000018758,18786,
2068,,Surface,5,Image 1,2,1000018760,18787,
3059,,Surface,5,Image 1,2,1000018788,18788,
7022,,Surface,5,Image 1,2,1000018761,18789,
2806,,Surface,5,Image 1,2,1000018762,18790,
7490,,Surface,5,Image 1,2,1000018763,18791,
4740,,Surface,5,Image 1,2,1000018764,18792,
8137,,Surface,5,Image 1,2,1000018765,18793,
5072,,Surface,5,Image 1,2,1000018794,18794,
7466,,Surface,5,Image 1,2,1000018766,18795,
765,,Surface,5,Image 1,2,1000018767,18796,
628,,Surface,5,Image 1,2,1000018797,18797,
3210,,Surface,5,Image 1,2,1000018768,18798,
6776,,Surface,5,Image 1,2,1000018799,18799,
5664,,Surface,5,Image 1,2,1000018769,18800,
765,,Surface,5,Image 1,2,1000018771,18801,
1496,,Surface,5,Image 1,2,1000018802,18802,
510,,Surface,5,Image 1,2,1000018772,18803,
1020,,Surface,5,Image 1,2,1000018773,18804,
1674,,Surface,5,Image 1,2,1000018774,18805,
2212,,Surface,5,Image 1,2,1000018775,18806,
2424,,Surface,5,Image 1,2,1000018776,18807,
2479,,Surface,5,Image 1,2,1000018777,18808,
1751,,Surface,5,Image 1,2,1000018809,18809,
1260,,Surface,5,Image 1,2,1000018778,18810,
1498,,Surface,5,Image 1,2,1000018779,18811,
1781,,Surface,5,Image 1,3,1000018812,18812,
5049,,Surface,5,Image 1,3,1000018755,18813,
1275,,Surface,5,Image 1,3,1000018756,18814,
1198,,Surface,5,Image 1,3,1000018757,18815,
3565,,Surface,5,Image 1,3,1000018816,18816,
1472,,Surface,5,Image 1,3,1000018759,18817,
1301,,Surface,5,Image 1,3,1000018758,18818,
2885,,Surface,5,Image 1,3,1000018760,18819,
2972,,Surface,5,Image 1,3,1000018788,18820,
7758,,Surface,5,Image 1,3,1000018761,18821,
3288,,Surface,5,Image 1,3,1000018762,18822,
5830,,Surface,5,Image 1,3,1000018763,18823,
4383,,Surface,5,Image 1,3,1000018764,18824,
10837,,Surface,5,Image 1,3,1000018765,18825,
3060,,Surface,5,Image 1,3,1000018794,18826,
6882,,Surface,5,Image 1,3,1000018766,18827,
510,,Surface,5,Image 1,3,1000018767,18828,
2638,,Surface,5,Image 1,3,1000018797,18829,
3629,,Surface,5,Image 1,3,1000018768,18830,
5912,,Surface,5,Image 1,3,1000018799,18831,
510,,Surface,5,Image 1,3,1000018754,18832,
2094,,Surface,5,Image 1,3,1000018769,18833,
4702,,Surface,5,Image 1,3,1000018770,18834,
1020,,Surface,5,Image 1,3,1000018771,18835,
2498,,Surface,5,Image 1,3,1000018802,18836,
1020,,Surface,5,Image 1,3,1000018772,18837,
1782,,Surface,5,Image 1,3,1000018773,18838,
1513,,Surface,5,Image 1,3,1000018774,18839,
1100,,Surface,5,Image 1,3,1000018775,18840,
2005,,Surface,5,Image 1,3,1000018776,18841,
2386,,Surface,5,Image 1,3,1000018777,18842,
4547,,Surface,5,Image 1,3,1000018809,18843,
1865,,Surface,5,Image 1,3,1000018778,18844,
3019,,Surface,5,Image 1,3,1000018779,18845,
3994,,Surface,5,Image 1,4,1000018770,18846,
6995,,Surface,5,Image 1,4,1000018769,18847,
255,,Surface,5,Image 1,4,1000018754,18848,
2040,,Surface,5,Image 1,4,1000018812,18849,
2210,,Surface,5,Image 1,4,1000018755,18850,
765,,Surface,5,Image 1,4,1000018756,18851,
1227,,Surface,5,Image 1,4,1000018757,18852,
293,,Surface,5,Image 1,4,1000018758,18853,
441,,Surface,5,Image 1,4,1000018759,18854,
1275,,Surface,5,Image 1,4,1000018816,18855,
2952,,Surface,5,Image 1,4,1000018760,18856,
2457,,Surface,5,Image 1,4,1000018788,18857,
255,,Surface,5,Image 1,4,1000018858,18858,
5631,,Surface,5,Image 1,4,1000018761,18859,
1605,,Surface,5,Image 1,4,1000018762,18860,
5788,,Surface,5,Image 1,4,1000018764,18861,
8296,,Surface,5,Image 1,4,1000018763,18862,
9958,,Surface,5,Image 1,4,1000018765,18863,
1874,,Surface,5,Image 1,4,1000018794,18864,
6475,,Surface,5,Image 1,4,1000018766,18865,
459,,Surface,5,Image 1,4,1000018767,18866,
233,,Surface,5,Image 1,4,1000018867,18867,
1542,,Surface,5,Image 1,4,1000018797,18868,
2295,,Surface,5,Image 1,4,1000018768,18869,
8697,,Surface,5,Image 1,4,1000018799,18870,
765,,Surface,5,Image 1,4,1000018771,18871,
1659,,Surface,5,Image 1,4,1000018802,18872,
3345,,Surface,5,Image 1,4,1000018772,18873,
