
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,1,1000018754,18754,
1,,Surface,1,1000018755,18755,
1,,Surface,1,1000018756,18756,
1,,Surface,1,1000018757,18757,
1,,Surface,1,1000018758,18758,
1,,Surface,1,1000018759,18759,
1,,Surface,1,1000018760,18760,
1,,Surface,1,1000018761,18761,
1,,Surface,1,1000018762,18762,
1,,Surface,1,1000018763,18763,
1,,Surface,1,1000018764,18764,
1,,Surface,1,1000018765,18765,
1,,Surface,1,1000018766,18766,
1,,Surface,1,1000018767,18767,
1,,Surface,1,1000018768,18768,
1,,Surface,1,1000018769,18769,
1,,Surface,1,1000018770,18770,
1,,Surface,1,1000018771,18771,
1,,Surface,1,1000018772,18772,
1,,Surface,1,1000018773,18773,
1,,Surface,1,1000018774,18774,
1,,Surface,1,1000018775,18775,
1,,Surface,1,1000018776,18776,
1,,Surface,1,1000018777,18777,
1,,Surface,1,1000018778,18778,
1,,Surface,1,1000018779,18779,
1,,Surface,2,1000018770,18780,
1,,Surface,2,1000018754,18781,
1,,Surface,2,1000018755,18782,
1,,Surface,2,1000018756,18783,
1,,Surface,2,1000018757,18784,
1,,Surface,2,1000018759,18785,
1,,Surface,2,1000018758,18786,
1,,Surface,2,1000018760,18787,
1,,Surface,2,1000018788,18788,
1,,Surface,2,1000018761,18789,
1,,Surface,2,1000018762,18790,
1,,Surface,2,1000018763,18791,
1,,Surface,2,1000018764,18792,
1,,Surface,2,1000018765,18793,
1,,Surface,2,1000018794,18794,
1,,Surface,2,1000018766,18795,
1,,Surface,2,1000018767,18796,
1,,Surface,2,1000018797,18797,
1,,Surface,2,1000018768,18798,
1,,Surface,2,1000018799,18799,
1,,Surface,2,1000018769,18800,
1,,Surface,2,1000018771,18801,
1,,Surface,2,1000018802,18802,
1,,Surface,2,1000018772,18803,
1,,Surface,2,1000018773,18804,
1,,Surface,2,1000018774,18805,
1,,Surface,2,1000018775,18806,
1,,Surface,2,1000018776,18807,
1,,Surface,2,1000018777,18808,
1,,Surface,2,1000018809,18809,
1,,Surface,2,1000018778,18810,
1,,Surface,2,1000018779,18811,
1,,Surface,3,1000018812,18812,
1,,Surface,3,1000018755,18813,
1,,Surface,3,1000018756,18814,
1,,Surface,3,1000018757,18815,
1,,Surface,3,1000018816,18816,
1,,Surface,3,1000018759,18817,
1,,Surface,3,1000018758,18818,
1,,Surface,3,1000018760,18819,
1,,Surface,3,1000018788,18820,
1,,Surface,3,1000018761,18821,
1,,Surface,3,1000018762,18822,
1,,Surface,3,1000018763,18823,
1,,Surface,3,1000018764,18824,
1,,Surface,3,1000018765,18825,
1,,Surface,3,1000018794,18826,
1,,Surface,3,1000018766,18827,
1,,Surface,3,1000018767,18828,
1,,Surface,3,1000018797,18829,
1,,Surface,3,1000018768,18830,
1,,Surface,3,1000018799,18831,
1,,Surface,3,1000018754,18832,
1,,Surface,3,1000018769,18833,
1,,Surface,3,1000018770,18834,
1,,Surface,3,1000018771,18835,
1,,Surface,3,1000018802,18836,
1,,Surface,3,1000018772,18837,
1,,Surface,3,1000018773,18838,
1,,Surface,3,1000018774,18839,
1,,Surface,3,1000018775,18840,
