
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Disconnected Components per Time Point,26,,1,,
Number of Disconnected Components per Time Point,32,,2,,
Number of Disconnected Components per Time Point,34,,3,,
Number of Disconnected Components per Time Point,36,,4,,
Number of Disconnected Components per Time Point,40,,5,,
Number of Disconnected Components per Time Point,44,,6,,
Number of Disconnected Components per Time Point,49,,7,,
Number of Disconnected Components per Time Point,44,,8,,
Number of Disconnected Components per Time Point,44,,9,,
Number of Disconnected Components per Time Point,47,,10,,
Number of Disconnected Components per Time Point,47,,11,,
Number of Disconnected Components per Time Point,43,,12,,
Number of Disconnected Components per Time Point,39,,13,,
Number of Disconnected Components per Time Point,38,,14,,
Number of Disconnected Components per Time Point,39,,15,,
Number of Disconnected Components per Time Point,37,,16,,
Number of Disconnected Components per Time Point,39,,17,,
Number of Disconnected Components per Time Point,39,,18,,
Number of Disconnected Components per Time Point,38,,19,,
Number of Disconnected Components per Time Point,36,,20,,
Number of Disconnected Components per Time Point,35,,21,,
Number of Disconnected Components per Time Point,38,,22,,
Number of Disconnected Components per Time Point,41,,23,,
Number of Disconnected Components per Time Point,38,,24,,
Number of Disconnected Components per Time Point,38,,25,,
Number of Disconnected Components per Time Point,41,,26,,
Number of Disconnected Components per Time Point,42,,27,,
Number of Disconnected Components per Time Point,45,,28,,
Number of Disconnected Components per Time Point,47,,29,,
Number of Disconnected Components per Time Point,50,,30,,
Number of Disconnected Components per Time Point,48,,31,,
Number of Disconnected Components per Time Point,42,,32,,
Number of Disconnected Components per Time Point,41,,33,,
Number of Disconnected Components per Time Point,44,,34,,
Number of Disconnected Components per Time Point,44,,35,,
Number of Disconnected Components per Time Point,38,,36,,
Number of Disconnected Components per Time Point,43,,37,,
Number of Disconnected Components per Time Point,46,,38,,
Number of Disconnected Components per Time Point,46,,39,,
Number of Disconnected Components per Time Point,47,,40,,
Number of Disconnected Components per Time Point,41,,41,,
Number of Disconnected Components per Time Point,39,,42,,
Number of Disconnected Components per Time Point,39,,43,,
Number of Disconnected Components per Time Point,39,,44,,
Number of Disconnected Components per Time Point,36,,45,,
Number of Disconnected Components per Time Point,36,,46,,
Number of Disconnected Components per Time Point,35,,47,,
Number of Disconnected Components per Time Point,37,,48,,
Number of Disconnected Components per Time Point,41,,49,,
Number of Disconnected Components per Time Point,39,,50,,
Number of Disconnected Components per Time Point,41,,51,,
Number of Disconnected Components per Time Point,39,,52,,
Number of Disconnected Components per Time Point,39,,53,,
Number of Disconnected Components per Time Point,40,,54,,
Number of Disconnected Components per Time Point,41,,55,,
Number of Disconnected Components per Time Point,38,,56,,
Number of Disconnected Components per Time Point,36,,57,,
Number of Disconnected Components per Time Point,32,,58,,
Number of Disconnected Components per Time Point,29,,59,,
Number of Disconnected Components per Time Point,26,,60,,
Number of Surfaces per Time Point,26,,1,,
Number of Surfaces per Time Point,32,,2,,
Number of Surfaces per Time Point,34,,3,,
Number of Surfaces per Time Point,36,,4,,
Number of Surfaces per Time Point,40,,5,,
Number of Surfaces per Time Point,44,,6,,
Number of Surfaces per Time Point,49,,7,,
Number of Surfaces per Time Point,44,,8,,
Number of Surfaces per Time Point,44,,9,,
Number of Surfaces per Time Point,47,,10,,
Number of Surfaces per Time Point,47,,11,,
Number of Surfaces per Time Point,43,,12,,
Number of Surfaces per Time Point,39,,13,,
Number of Surfaces per Time Point,38,,14,,
Number of Surfaces per Time Point,39,,15,,
Number of Surfaces per Time Point,37,,16,,
Number of Surfaces per Time Point,39,,17,,
Number of Surfaces per Time Point,39,,18,,
Number of Surfaces per Time Point,38,,19,,
Number of Surfaces per Time Point,36,,20,,
Number of Surfaces per Time Point,35,,21,,
Number of Surfaces per Time Point,38,,22,,
Number of Surfaces per Time Point,41,,23,,
Number of Surfaces per Time Point,38,,24,,
Number of Surfaces per Time Point,38,,25,,
Number of Surfaces per Time Point,41,,26,,
Number of Surfaces per Time Point,42,,27,,
Number of Surfaces per Time Point,45,,28,,
Number of Surfaces per Time Point,47,,29,,
Number of Surfaces per Time Point,50,,30,,
Number of Surfaces per Time Point,48,,31,,
Number of Surfaces per Time Point,42,,32,,
Number of Surfaces per Time Point,41,,33,,
Number of Surfaces per Time Point,44,,34,,
Number of Surfaces per Time Point,44,,35,,
Number of Surfaces per Time Point,38,,36,,
Number of Surfaces per Time Point,43,,37,,
Number of Surfaces per Time Point,46,,38,,
Number of Surfaces per Time Point,46,,39,,
Number of Surfaces per Time Point,47,,40,,
Number of Surfaces per Time Point,41,,41,,
Number of Surfaces per Time Point,39,,42,,
Number of Surfaces per Time Point,39,,43,,
Number of Surfaces per Time Point,39,,44,,
Number of Surfaces per Time Point,36,,45,,
Number of Surfaces per Time Point,36,,46,,
Number of Surfaces per Time Point,35,,47,,
Number of Surfaces per Time Point,37,,48,,
Number of Surfaces per Time Point,41,,49,,
Number of Surfaces per Time Point,39,,50,,
Number of Surfaces per Time Point,41,,51,,
Number of Surfaces per Time Point,39,,52,,
Number of Surfaces per Time Point,39,,53,,
Number of Surfaces per Time Point,40,,54,,
Number of Surfaces per Time Point,41,,55,,
Number of Surfaces per Time Point,38,,56,,
Number of Surfaces per Time Point,36,,57,,
Number of Surfaces per Time Point,32,,58,,
Number of Surfaces per Time Point,29,,59,,
Number of Surfaces per Time Point,26,,60,,
Number of Tracks,197,,,,
Total Number of Disconnected Components,2388,,,,
Total Number of Surfaces,2388,,,,
