
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
97.1411,371.544,79.5,um,Surface,Position,1,1000018754,18754,
318.684,188.727,2.92857,um,Surface,Position,1,1000018755,18755,
160.656,346.636,76.5,um,Surface,Position,1,1000018756,18756,
119.309,395.622,63.9,um,Surface,Position,1,1000018757,18757,
134.503,388.979,55.5,um,Surface,Position,1,1000018758,18758,
152.077,370.99,58.5,um,Surface,Position,1,1000018759,18759,
304.541,237.871,1.5,um,Surface,Position,1,1000018760,18760,
252.889,290.739,46.8529,um,Surface,Position,1,1000018761,18761,
265.5,281.691,65.6667,um,Surface,Position,1,1000018762,18762,
354.858,214.463,29.7581,um,Surface,Position,1,1000018763,18763,
156.713,403.82,67.125,um,Surface,Position,1,1000018764,18764,
194.66,386.715,29.4545,um,Surface,Position,1,1000018765,18765,
357.206,231.644,70.1538,um,Surface,Position,1,1000018766,18766,
182.658,422.19,22.5,um,Surface,Position,1,1000018767,18767,
280.566,370.298,15.2308,um,Surface,Position,1,1000018768,18768,
269.62,205.458,11.34,um,Surface,Position,1,1000018769,18769,
352.603,113.227,31.125,um,Surface,Position,1,1000018770,18770,
267.346,151.939,61.5,um,Surface,Position,1,1000018771,18771,
102.538,298.48,87,um,Surface,Position,1,1000018772,18772,
268.176,102.123,88.5,um,Surface,Position,1,1000018773,18773,
112.086,249.495,58.5,um,Surface,Position,1,1000018774,18774,
88.9768,263.056,73.5,um,Surface,Position,1,1000018775,18775,
162.04,172.188,76.5,um,Surface,Position,1,1000018776,18776,
222.183,90.5645,71.7632,um,Surface,Position,1,1000018777,18777,
158.373,101.811,62.25,um,Surface,Position,1,1000018778,18778,
184.734,39.6452,88.5,um,Surface,Position,1,1000018779,18779,
354.339,113.885,31.5,um,Surface,Position,2,1000018770,18780,
96.4492,373.481,79.5,um,Surface,Position,2,1000018754,18781,
319.791,189.439,2.5,um,Surface,Position,2,1000018755,18782,
159.965,344.56,77,um,Surface,Position,2,1000018756,18783,
118.479,396.12,64.5,um,Surface,Position,2,1000018757,18784,
151.939,371.129,58.5,um,Surface,Position,2,1000018759,18785,
136.302,389.256,52.5,um,Surface,Position,2,1000018758,18786,
305.307,238.701,1.5,um,Surface,Position,2,1000018760,18787,
276.766,264.631,26.8846,um,Surface,Position,2,1000018788,18788,
254.67,291.229,45.6,um,Surface,Position,2,1000018761,18789,
264.578,282.29,66.5,um,Surface,Position,2,1000018762,18790,
355.963,214.928,30.7,um,Surface,Position,2,1000018763,18791,
156.228,403.647,66.6429,um,Surface,Position,2,1000018764,18792,
197.211,387.919,30,um,Surface,Position,2,1000018765,18793,
280.837,306.949,23.85,um,Surface,Position,2,1000018794,18794,
356.959,231.644,70.8,um,Surface,Position,2,1000018766,18795,
182.52,422.744,22.5,um,Surface,Position,2,1000018767,18796,
355.769,294.883,5.5,um,Surface,Position,2,1000018797,18797,
281.109,370.714,14.6538,um,Surface,Position,2,1000018768,18798,
