
Shortest Distance to Surfaces Surfaces=Surfaces 1
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,TrackID,ID,
185.469,um,Surface,Surfaces 1,1,1000018754,18754,
135.343,um,Surface,Surfaces 1,1,1000018755,18755,
138.468,um,Surface,Surfaces 1,1,1000018756,18756,
198.65,um,Surface,Surfaces 1,1,1000018757,18757,
189.09,um,Surface,Surfaces 1,1,1000018758,18758,
166.207,um,Surface,Surfaces 1,1,1000018759,18759,
128.33,um,Surface,Surfaces 1,1,1000018760,18760,
100.595,um,Surface,Surfaces 1,1,1000018761,18761,
96.8063,um,Surface,Surfaces 1,1,1000018762,18762,
156.979,um,Surface,Surfaces 1,1,1000018763,18763,
195.398,um,Surface,Surfaces 1,1,1000018764,18764,
180.984,um,Surface,Surfaces 1,1,1000018765,18765,
154.104,um,Surface,Surfaces 1,1,1000018766,18766,
219.282,um,Surface,Surfaces 1,1,1000018767,18767,
189.243,um,Surface,Surfaces 1,1,1000018768,18768,
89.7536,um,Surface,Surfaces 1,1,1000018769,18769,
177.356,um,Surface,Surfaces 1,1,1000018770,18770,
81.3854,um,Surface,Surfaces 1,1,1000018771,18771,
122.729,um,Surface,Surfaces 1,1,1000018772,18772,
115.377,um,Surface,Surfaces 1,1,1000018773,18773,
89.6444,um,Surface,Surfaces 1,1,1000018774,18774,
112.101,um,Surface,Surfaces 1,1,1000018775,18775,
36.2874,um,Surface,Surfaces 1,1,1000018776,18776,
106.609,um,Surface,Surfaces 1,1,1000018777,18777,
100.398,um,Surface,Surfaces 1,1,1000018778,18778,
153.632,um,Surface,Surfaces 1,1,1000018779,18779,
179.57,um,Surface,Surfaces 1,2,1000018770,18780,
187.179,um,Surface,Surfaces 1,2,1000018754,18781,
138.063,um,Surface,Surfaces 1,2,1000018755,18782,
136.517,um,Surface,Surfaces 1,2,1000018756,18783,
199.299,um,Surface,Surfaces 1,2,1000018757,18784,
166.501,um,Surface,Surfaces 1,2,1000018759,18785,
188.855,um,Surface,Surfaces 1,2,1000018758,18786,
131.064,um,Surface,Surfaces 1,2,1000018760,18787,
106.16,um,Surface,Surfaces 1,2,1000018788,18788,
102.702,um,Surface,Surfaces 1,2,1000018761,18789,
96.9012,um,Surface,Surfaces 1,2,1000018762,18790,
158.782,um,Surface,Surfaces 1,2,1000018763,18791,
194.811,um,Surface,Surfaces 1,2,1000018764,18792,
182.408,um,Surface,Surfaces 1,2,1000018765,18793,
136.958,um,Surface,Surfaces 1,2,1000018794,18794,
154.974,um,Surface,Surfaces 1,2,1000018766,18795,
219.559,um,Surface,Surfaces 1,2,1000018767,18796,
191.375,um,Surface,Surfaces 1,2,1000018797,18797,
190.706,um,Surface,Surfaces 1,2,1000018768,18798,
223.129,um,Surface,Surfaces 1,2,1000018799,18799,
91.4768,um,Surface,Surfaces 1,2,1000018769,18800,
81.9028,um,Surface,Surfaces 1,2,1000018771,18801,
163.087,um,Surface,Surfaces 1,2,1000018802,18802,
123.586,um,Surface,Surfaces 1,2,1000018772,18803,
114.904,um,Surface,Surfaces 1,2,1000018773,18804,
89.5821,um,Surface,Surfaces 1,2,1000018774,18805,
111.07,um,Surface,Surfaces 1,2,1000018775,18806,
37.8335,um,Surface,Surfaces 1,2,1000018776,18807,
107.428,um,Surface,Surfaces 1,2,1000018777,18808,
148.816,um,Surface,Surfaces 1,2,1000018809,18809,
101.101,um,Surface,Surfaces 1,2,1000018778,18810,
153.932,um,Surface,Surfaces 1,2,1000018779,18811,
146.227,um,Surface,Surfaces 1,3,1000018812,18812,
137.448,um,Surface,Surfaces 1,3,1000018755,18813,
137.131,um,Surface,Surfaces 1,3,1000018756,18814,
198.953,um,Surface,Surfaces 1,3,1000018757,18815,
115.076,um,Surface,Surfaces 1,3,1000018816,18816,
166.339,um,Surface,Surfaces 1,3,1000018759,18817,
189.407,um,Surface,Surfaces 1,3,1000018758,18818,
131.208,um,Surface,Surfaces 1,3,1000018760,18819,
103.647,um,Surface,Surfaces 1,3,1000018788,18820,
102.588,um,Surface,Surfaces 1,3,1000018761,18821,
97.207,um,Surface,Surfaces 1,3,1000018762,18822,
158.835,um,Surface,Surfaces 1,3,1000018763,18823,
194.519,um,Surface,Surfaces 1,3,1000018764,18824,
181.566,um,Surface,Surfaces 1,3,1000018765,18825,
136.41,um,Surface,Surfaces 1,3,1000018794,18826,
154.362,um,Surface,Surfaces 1,3,1000018766,18827,
217.764,um,Surface,Surfaces 1,3,1000018767,18828,
190.068,um,Surface,Surfaces 1,3,1000018797,18829,
190.282,um,Surface,Surfaces 1,3,1000018768,18830,
222.905,um,Surface,Surfaces 1,3,1000018799,18831,
187.038,um,Surface,Surfaces 1,3,1000018754,18832,
91.218,um,Surface,Surfaces 1,3,1000018769,18833,
178.542,um,Surface,Surfaces 1,3,1000018770,18834,
82.9681,um,Surface,Surfaces 1,3,1000018771,18835,
163.146,um,Surface,Surfaces 1,3,1000018802,18836,
123.257,um,Surface,Surfaces 1,3,1000018772,18837,
114.612,um,Surface,Surfaces 1,3,1000018773,18838,
90.3676,um,Surface,Surfaces 1,3,1000018774,18839,
111.411,um,Surface,Surfaces 1,3,1000018775,18840,
37.0455,um,Surface,Surfaces 1,3,1000018776,18841,
108.132,um,Surface,Surfaces 1,3,1000018777,18842,
149.552,um,Surface,Surfaces 1,3,1000018809,18843,
100.851,um,Surface,Surfaces 1,3,1000018778,18844,
150.512,um,Surface,Surfaces 1,3,1000018779,18845,
178.785,um,Surface,Surfaces 1,4,1000018770,18846,
91.097,um,Surface,Surfaces 1,4,1000018769,18847,
187.62,um,Surface,Surfaces 1,4,1000018754,18848,
147.333,um,Surface,Surfaces 1,4,1000018812,18849,
139.03,um,Surface,Surfaces 1,4,1000018755,18850,
133.684,um,Surface,Surfaces 1,4,1000018756,18851,
197.351,um,Surface,Surfaces 1,4,1000018757,18852,
189.603,um,Surface,Surfaces 1,4,1000018758,18853,
166.935,um,Surface,Surfaces 1,4,1000018759,18854,
116.223,um,Surface,Surfaces 1,4,1000018816,18855,
131.308,um,Surface,Surfaces 1,4,1000018760,18856,
104.795,um,Surface,Surfaces 1,4,1000018788,18857,
96.0147,um,Surface,Surfaces 1,4,1000018858,18858,
103.488,um,Surface,Surfaces 1,4,1000018761,18859,
97.5373,um,Surface,Surfaces 1,4,1000018762,18860,
193.83,um,Surface,Surfaces 1,4,1000018764,18861,
158.846,um,Surface,Surfaces 1,4,1000018763,18862,
182.475,um,Surface,Surfaces 1,4,1000018765,18863,
136.221,um,Surface,Surfaces 1,4,1000018794,18864,
