
Shortest Distance to Surfaces Surfaces=Surfaces 2 Selection ["Volume" above 150 um^3]
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,TrackID,ID,
5.8052,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018754,18754,
2.98248,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018755,18755,
3.96473,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018756,18756,
12.3446,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018757,18757,
7.57008,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018758,18758,
8.55244,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018759,18759,
3.42215,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018760,18760,
6.93585,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018761,18761,
14.6904,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018762,18762,
6.14293,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018763,18763,
20.2104,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018764,18764,
4.2897,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018765,18765,
27.0944,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018766,18766,
22.7437,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018767,18767,
16.0451,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018768,18768,
5.50713,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018769,18769,
34.4872,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018770,18770,
10.5543,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018771,18771,
7.34732,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018772,18772,
32.0046,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018773,18773,
10.4615,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018774,18774,
8.24209,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018775,18775,
17.2044,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018776,18776,
24.2807,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018777,18777,
45.3099,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018778,18778,
77.651,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],1,1000018779,18779,
36.0051,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],2,1000018770,18780,
4.82002,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],2,1000018754,18781,
