
Track Ellipticity Oblate Mean
 ==================== 
Track Ellipticity Oblate Mean,Unit,Category,ID,
0.360214,um,Track,1000018754,
0.428042,um,Track,1000018755,
0.255439,um,Track,1000018756,
0.338753,um,Track,1000018757,
0.431216,um,Track,1000018758,
0.328411,um,Track,1000018759,
0.480933,um,Track,1000018760,
0.274011,um,Track,1000018761,
0.276359,um,Track,1000018762,
0.183129,um,Track,1000018763,
0.271397,um,Track,1000018764,
0.370036,um,Track,1000018765,
0.276885,um,Track,1000018766,
0.434721,um,Track,1000018767,
0.213131,um,Track,1000018768,
0.295537,um,Track,1000018769,
0.29688,um,Track,1000018770,
0.294703,um,Track,1000018771,
0.410399,um,Track,1000018772,
0.378274,um,Track,1000018773,
0.318543,um,Track,1000018774,
0.399137,um,Track,1000018775,
0.319806,um,Track,1000018776,
0.279555,um,Track,1000018777,
0.390679,um,Track,1000018778,
0.373154,um,Track,1000018779,
0.187221,um,Track,1000018788,
0.146905,um,Track,1000018794,
0.298089,um,Track,1000018797,
0.437979,um,Track,1000018799,
0.357254,um,Track,1000018802,
0.338886,um,Track,1000018809,
0.284077,um,Track,1000018812,
0.219887,um,Track,1000018816,
0.26069,um,Track,1000018858,
0.293373,um,Track,1000018867,
0.362931,um,Track,1000018904,
0.398698,um,Track,1000018912,
0.340511,um,Track,1000018913,
0.391389,um,Track,1000018919,
0.281177,um,Track,1000018930,
0.451593,um,Track,1000018933,
0.335354,um,Track,1000018947,
0.434321,um,Track,1000018964,
0.328185,um,Track,1000018970,
0.292593,um,Track,1000018978,
0.37662,um,Track,1000018996,
0.276853,um,Track,1000019002,
0.401938,um,Track,1000019003,
0.296763,um,Track,1000019004,
0.355665,um,Track,1000019007,
0.34338,um,Track,1000019049,
0.369667,um,Track,1000019064,
0.316604,um,Track,1000019087,
0.405115,um,Track,1000019108,
0.209411,um,Track,1000019109,
0.228522,um,Track,1000019114,
0.346801,um,Track,1000019133,
0.304803,um,Track,1000019150,
0.247347,um,Track,1000019152,
0.389561,um,Track,1000019180,
