
Track Ellipticity Prolate Mean
 ==================== 
Track Ellipticity Prolate Mean,Unit,Category,ID,
0.525705,um,Track,1000018754,
0.401002,um,Track,1000018755,
0.564623,um,Track,1000018756,
0.519198,um,Track,1000018757,
0.386504,um,Track,1000018758,
0.493948,um,Track,1000018759,
0.343762,um,Track,1000018760,
0.513333,um,Track,1000018761,
0.411286,um,Track,1000018762,
0.804558,um,Track,1000018763,
0.625675,um,Track,1000018764,
0.500288,um,Track,1000018765,
0.596384,um,Track,1000018766,
0.352252,um,Track,1000018767,
0.688568,um,Track,1000018768,
0.598763,um,Track,1000018769,
0.578338,um,Track,1000018770,
0.567586,um,Track,1000018771,
0.406647,um,Track,1000018772,
0.360824,um,Track,1000018773,
0.480506,um,Track,1000018774,
0.414067,um,Track,1000018775,
0.463406,um,Track,1000018776,
0.578121,um,Track,1000018777,
0.380205,um,Track,1000018778,
0.416753,um,Track,1000018779,
0.772233,um,Track,1000018788,
0.709753,um,Track,1000018794,
0.389839,um,Track,1000018797,
0.362896,um,Track,1000018799,
0.424692,um,Track,1000018802,
0.444868,um,Track,1000018809,
0.51716,um,Track,1000018812,
0.678069,um,Track,1000018816,
0.533557,um,Track,1000018858,
0.520367,um,Track,1000018867,
0.475724,um,Track,1000018904,
0.469772,um,Track,1000018912,
0.402453,um,Track,1000018913,
0.458615,um,Track,1000018919,
0.608286,um,Track,1000018930,
0.320826,um,Track,1000018933,
0.387697,um,Track,1000018947,
0.418632,um,Track,1000018964,
0.547563,um,Track,1000018970,
0.614636,um,Track,1000018978,
0.467578,um,Track,1000018996,
0.619429,um,Track,1000019002,
0.422411,um,Track,1000019003,
0.447865,um,Track,1000019004,
0.477967,um,Track,1000019007,
0.519372,um,Track,1000019049,
0.469155,um,Track,1000019064,
0.473894,um,Track,1000019087,
0.436388,um,Track,1000019108,
0.640114,um,Track,1000019109,
0.722018,um,Track,1000019114,
0.536459,um,Track,1000019133,
0.568763,um,Track,1000019150,
0.676664,um,Track,1000019152,
0.393848,um,Track,1000019180,
0.389492,um,Track,1000019191,
0.7183,um,Track,1000019216,
0.43382,um,Track,1000019240,
0.46646,um,Track,1000019271,
0.633335,um,Track,1000019284,
0.388373,um,Track,1000019297,
0.428102,um,Track,1000019310,
0.654477,um,Track,1000019324,
0.564464,um,Track,1000019340,
0.500467,um,Track,1000019350,
0.378619,um,Track,1000019353,
0.372815,um,Track,1000019354,
0.527967,um,Track,1000019361,
0.524104,um,Track,1000019395,
0.463186,um,Track,1000019396,
0.360641,um,Track,1000019405,
0.604746,um,Track,1000019412,
0.369319,um,Track,1000019436,
0.569144,um,Track,1000019450,
0.566206,um,Track,1000019465,
0.417151,um,Track,1000019472,
0.488086,um,Track,1000019477,
0.556726,um,Track,1000019486,
0.448428,um,Track,1000019491,
0.502826,um,Track,1000019516,
0.517026,um,Track,1000019522,
0.534709,um,Track,1000019553,
0.607976,um,Track,1000019599,
0.289553,um,Track,1000019600,
0.349012,um,Track,1000019614,
0.290799,um,Track,1000019617,
0.437038,um,Track,1000019632,
0.819367,um,Track,1000019633,
0.311473,um,Track,1000019658,
0.517319,um,Track,1000019676,
0.248565,um,Track,1000019699,
0.337017,um,Track,1000019726,
0.424908,um,Track,1000019742,
0.395466,um,Track,1000019751,
0.68686,um,Track,1000019755,
0.507487,um,Track,1000019758,
0.590615,um,Track,1000019764,
0.592376,um,Track,1000019783,
0.576345,um,Track,1000019786,
0.509651,um,Track,1000019826,
0.576209,um,Track,1000019827,
0.393518,um,Track,1000019831,
0.335284,um,Track,1000019844,
0.615533,um,Track,1000019845,
0.401136,um,Track,1000019850,
0.302492,um,Track,1000019861,
0.609759,um,Track,1000019878,
0.436933,um,Track,1000019903,
0.436303,um,Track,1000019906,
0.443972,um,Track,1000019933,
0.465663,um,Track,1000019940,
0.456835,um,Track,1000019946,
0.502399,um,Track,1000019966,
0.492888,um,Track,1000019974,
0.542539,um,Track,1000020053,
0.371543,um,Track,1000020057,
0.329368,um,Track,1000020077,
0.415213,um,Track,1000020087,
0.620606,um,Track,1000020103,
0.577243,um,Track,1000020120,
0.379021,um,Track,1000020125,
0.623267,um,Track,1000020126,
0.46526,um,Track,1000020133,
0.373792,um,Track,1000020165,
0.455213,um,Track,1000020170,
0.653857,um,Track,1000020171,
0.32041,um,Track,1000020183,
0.657129,um,Track,1000020189,
0.458758,um,Track,1000020218,
0.638157,um,Track,1000020219,
0.360506,um,Track,1000020221,
0.446905,um,Track,1000020222,
0.589113,um,Track,1000020224,
0.463345,um,Track,1000020226,
0.541285,um,Track,1000020228,
0.425554,um,Track,1000020245,
0.557179,um,Track,1000020250,
0.615204,um,Track,1000020287,
0.314961,um,Track,1000020289,
0.57176,um,Track,1000020293,
0.499267,um,Track,1000020297,
0.518238,um,Track,1000020331,
0.515474,um,Track,1000020336,
0.615365,um,Track,1000020363,
0.490827,um,Track,1000020386,
0.328806,um,Track,1000020388,
0.423159,um,Track,1000020440,
0.300754,um,Track,1000020457,
0.555377,um,Track,1000020475,
0.341388,um,Track,1000020486,
0.342565,um,Track,1000020497,
0.403915,um,Track,1000020507,
0.392026,um,Track,1000020516,
0.496215,um,Track,1000020521,
0.629623,um,Track,1000020533,
0.545944,um,Track,1000020536,
0.394889,um,Track,1000020556,
0.380983,um,Track,1000020594,
0.34081,um,Track,1000020611,
0.365396,um,Track,1000020618,
0.558587,um,Track,1000020622,
0.413496,um,Track,1000020625,
0.519271,um,Track,1000020644,
0.424906,um,Track,1000020652,
0.374816,um,Track,1000020662,
0.722831,um,Track,1000020673,
0.268951,um,Track,1000020676,
0.609626,um,Track,1000020690,
0.613803,um,Track,1000020691,
0.404688,um,Track,1000020693,
0.522125,um,Track,1000020709,
0.501963,um,Track,1000020710,
0.499568,um,Track,1000020724,
0.493158,um,Track,1000020737,
0.407522,um,Track,1000020760,
0.504615,um,Track,1000020787,
0.469698,um,Track,1000020788,
0.388735,um,Track,1000020805,
0.481757,um,Track,1000020823,
0.364346,um,Track,1000020845,
0.414536,um,Track,1000020850,
0.520322,um,Track,1000020869,
0.600304,um,Track,1000020890,
