
Track Intensity Max Ch=1 Img=1
 ==================== 
Track Intensity Max,Unit,Category,Channel,Image,ID,
54,,Track,1,Image 1,1000018754,
255,,Track,1,Image 1,1000018755,
141,,Track,1,Image 1,1000018756,
255,,Track,1,Image 1,1000018757,
255,,Track,1,Image 1,1000018758,
255,,Track,1,Image 1,1000018759,
255,,Track,1,Image 1,1000018760,
255,,Track,1,Image 1,1000018761,
255,,Track,1,Image 1,1000018762,
255,,Track,1,Image 1,1000018763,
255,,Track,1,Image 1,1000018764,
76,,Track,1,Image 1,1000018765,
255,,Track,1,Image 1,1000018766,
83,,Track,1,Image 1,1000018767,
255,,Track,1,Image 1,1000018768,
199,,Track,1,Image 1,1000018769,
255,,Track,1,Image 1,1000018770,
255,,Track,1,Image 1,1000018771,
192,,Track,1,Image 1,1000018772,
255,,Track,1,Image 1,1000018773,
130,,Track,1,Image 1,1000018774,
147,,Track,1,Image 1,1000018775,
255,,Track,1,Image 1,1000018776,
255,,Track,1,Image 1,1000018777,
192,,Track,1,Image 1,1000018778,
251,,Track,1,Image 1,1000018779,
151,,Track,1,Image 1,1000018788,
110,,Track,1,Image 1,1000018794,
255,,Track,1,Image 1,1000018797,
255,,Track,1,Image 1,1000018799,
55,,Track,1,Image 1,1000018802,
112,,Track,1,Image 1,1000018809,
237,,Track,1,Image 1,1000018812,
205,,Track,1,Image 1,1000018816,
140,,Track,1,Image 1,1000018858,
253,,Track,1,Image 1,1000018867,
255,,Track,1,Image 1,1000018904,
101,,Track,1,Image 1,1000018912,
65,,Track,1,Image 1,1000018913,
145,,Track,1,Image 1,1000018919,
255,,Track,1,Image 1,1000018930,
255,,Track,1,Image 1,1000018933,
210,,Track,1,Image 1,1000018947,
28,,Track,1,Image 1,1000018964,
255,,Track,1,Image 1,1000018970,
221,,Track,1,Image 1,1000018978,
49,,Track,1,Image 1,1000018996,
121,,Track,1,Image 1,1000019002,
104,,Track,1,Image 1,1000019003,
97,,Track,1,Image 1,1000019004,
185,,Track,1,Image 1,1000019007,
122,,Track,1,Image 1,1000019049,
206,,Track,1,Image 1,1000019064,
150,,Track,1,Image 1,1000019087,
255,,Track,1,Image 1,1000019108,
255,,Track,1,Image 1,1000019109,
255,,Track,1,Image 1,1000019114,
196,,Track,1,Image 1,1000019133,
255,,Track,1,Image 1,1000019150,
255,,Track,1,Image 1,1000019152,
118,,Track,1,Image 1,1000019180,
94,,Track,1,Image 1,1000019191,
255,,Track,1,Image 1,1000019216,
164,,Track,1,Image 1,1000019240,
101,,Track,1,Image 1,1000019271,
180,,Track,1,Image 1,1000019284,
255,,Track,1,Image 1,1000019297,
86,,Track,1,Image 1,1000019310,
207,,Track,1,Image 1,1000019324,
58,,Track,1,Image 1,1000019340,
127,,Track,1,Image 1,1000019350,
78,,Track,1,Image 1,1000019353,
100,,Track,1,Image 1,1000019354,
217,,Track,1,Image 1,1000019361,
248,,Track,1,Image 1,1000019395,
255,,Track,1,Image 1,1000019396,
255,,Track,1,Image 1,1000019405,
255,,Track,1,Image 1,1000019412,
149,,Track,1,Image 1,1000019436,
255,,Track,1,Image 1,1000019450,
67,,Track,1,Image 1,1000019465,
255,,Track,1,Image 1,1000019472,
255,,Track,1,Image 1,1000019477,
163,,Track,1,Image 1,1000019486,
255,,Track,1,Image 1,1000019491,
134,,Track,1,Image 1,1000019516,
255,,Track,1,Image 1,1000019522,
255,,Track,1,Image 1,1000019553,
255,,Track,1,Image 1,1000019599,
78,,Track,1,Image 1,1000019600,
106,,Track,1,Image 1,1000019614,
133,,Track,1,Image 1,1000019617,
156,,Track,1,Image 1,1000019632,
255,,Track,1,Image 1,1000019633,
234,,Track,1,Image 1,1000019658,
185,,Track,1,Image 1,1000019676,
195,,Track,1,Image 1,1000019699,
58,,Track,1,Image 1,1000019726,
243,,Track,1,Image 1,1000019742,
255,,Track,1,Image 1,1000019751,
255,,Track,1,Image 1,1000019755,
113,,Track,1,Image 1,1000019758,
153,,Track,1,Image 1,1000019764,
147,,Track,1,Image 1,1000019783,
200,,Track,1,Image 1,1000019786,
255,,Track,1,Image 1,1000019826,
255,,Track,1,Image 1,1000019827,
255,,Track,1,Image 1,1000019831,
255,,Track,1,Image 1,1000019844,
255,,Track,1,Image 1,1000019845,
175,,Track,1,Image 1,1000019850,
255,,Track,1,Image 1,1000019861,
255,,Track,1,Image 1,1000019878,
105,,Track,1,Image 1,1000019903,
74,,Track,1,Image 1,1000019906,
255,,Track,1,Image 1,1000019933,
195,,Track,1,Image 1,1000019940,
148,,Track,1,Image 1,1000019946,
255,,Track,1,Image 1,1000019966,
255,,Track,1,Image 1,1000019974,
255,,Track,1,Image 1,1000020053,
239,,Track,1,Image 1,1000020057,
242,,Track,1,Image 1,1000020077,
255,,Track,1,Image 1,1000020087,
255,,Track,1,Image 1,1000020103,
255,,Track,1,Image 1,1000020120,
94,,Track,1,Image 1,1000020125,
95,,Track,1,Image 1,1000020126,
100,,Track,1,Image 1,1000020133,
140,,Track,1,Image 1,1000020165,
108,,Track,1,Image 1,1000020170,
63,,Track,1,Image 1,1000020171,
183,,Track,1,Image 1,1000020183,
255,,Track,1,Image 1,1000020189,
255,,Track,1,Image 1,1000020218,
255,,Track,1,Image 1,1000020219,
125,,Track,1,Image 1,1000020221,
255,,Track,1,Image 1,1000020222,
126,,Track,1,Image 1,1000020224,
245,,Track,1,Image 1,1000020226,
255,,Track,1,Image 1,1000020228,
255,,Track,1,Image 1,1000020245,
255,,Track,1,Image 1,1000020250,
255,,Track,1,Image 1,1000020287,
71,,Track,1,Image 1,1000020289,
203,,Track,1,Image 1,1000020293,
127,,Track,1,Image 1,1000020297,
255,,Track,1,Image 1,1000020331,
153,,Track,1,Image 1,1000020336,
89,,Track,1,Image 1,1000020363,
110,,Track,1,Image 1,1000020386,
182,,Track,1,Image 1,1000020388,
158,,Track,1,Image 1,1000020440,
255,,Track,1,Image 1,1000020457,
127,,Track,1,Image 1,1000020475,
255,,Track,1,Image 1,1000020486,
255,,Track,1,Image 1,1000020497,
255,,Track,1,Image 1,1000020507,
91,,Track,1,Image 1,1000020516,
255,,Track,1,Image 1,1000020521,
255,,Track,1,Image 1,1000020533,
255,,Track,1,Image 1,1000020536,
246,,Track,1,Image 1,1000020556,
44,,Track,1,Image 1,1000020594,
255,,Track,1,Image 1,1000020611,
255,,Track,1,Image 1,1000020618,
163,,Track,1,Image 1,1000020622,
66,,Track,1,Image 1,1000020625,
215,,Track,1,Image 1,1000020644,
213,,Track,1,Image 1,1000020652,
44,,Track,1,Image 1,1000020662,
255,,Track,1,Image 1,1000020673,
255,,Track,1,Image 1,1000020676,
255,,Track,1,Image 1,1000020690,
58,,Track,1,Image 1,1000020691,
255,,Track,1,Image 1,1000020693,
255,,Track,1,Image 1,1000020709,
255,,Track,1,Image 1,1000020710,
255,,Track,1,Image 1,1000020724,
131,,Track,1,Image 1,1000020737,
206,,Track,1,Image 1,1000020760,
255,,Track,1,Image 1,1000020787,
255,,Track,1,Image 1,1000020788,
245,,Track,1,Image 1,1000020805,
255,,Track,1,Image 1,1000020823,
255,,Track,1,Image 1,1000020845,
70,,Track,1,Image 1,1000020850,
255,,Track,1,Image 1,1000020869,
255,,Track,1,Image 1,1000020890,
255,,Track,1,Image 1,1000020917,
255,,Track,1,Image 1,1000020919,
33,,Track,1,Image 1,1000020924,
216,,Track,1,Image 1,1000020929,
255,,Track,1,Image 1,1000020942,
242,,Track,1,Image 1,1000020962,
255,,Track,1,Image 1,1000020967,
255,,Track,1,Image 1,1000020974,
