
Track Intensity Mean Ch=1 Img=1
 ==================== 
Track Intensity Mean,Unit,Category,Channel,Image,ID,
14.1667,,Track,1,Image 1,1000018754,
235.971,,Track,1,Image 1,1000018755,
35.6923,,Track,1,Image 1,1000018756,
253.643,,Track,1,Image 1,1000018757,
153,,Track,1,Image 1,1000018758,
193.952,,Track,1,Image 1,1000018759,
149.441,,Track,1,Image 1,1000018760,
252.856,,Track,1,Image 1,1000018761,
222.5,,Track,1,Image 1,1000018762,
132.425,,Track,1,Image 1,1000018763,
227.957,,Track,1,Image 1,1000018764,
10.0532,,Track,1,Image 1,1000018765,
150.86,,Track,1,Image 1,1000018766,
19.2105,,Track,1,Image 1,1000018767,
238.447,,Track,1,Image 1,1000018768,
76.1257,,Track,1,Image 1,1000018769,
254.752,,Track,1,Image 1,1000018770,
255,,Track,1,Image 1,1000018771,
70.5833,,Track,1,Image 1,1000018772,
242.89,,Track,1,Image 1,1000018773,
32.75,,Track,1,Image 1,1000018774,
28.7045,,Track,1,Image 1,1000018775,
154.824,,Track,1,Image 1,1000018776,
76.6706,,Track,1,Image 1,1000018777,
55.6081,,Track,1,Image 1,1000018778,
85.0515,,Track,1,Image 1,1000018779,
21.7611,,Track,1,Image 1,1000018788,
25.7921,,Track,1,Image 1,1000018794,
173.042,,Track,1,Image 1,1000018797,
236.701,,Track,1,Image 1,1000018799,
9.88372,,Track,1,Image 1,1000018802,
10.7355,,Track,1,Image 1,1000018809,
36.6126,,Track,1,Image 1,1000018812,
52.3833,,Track,1,Image 1,1000018816,
34.5161,,Track,1,Image 1,1000018858,
86.3077,,Track,1,Image 1,1000018867,
240.231,,Track,1,Image 1,1000018904,
6.7459,,Track,1,Image 1,1000018912,
6.28333,,Track,1,Image 1,1000018913,
26.9815,,Track,1,Image 1,1000018919,
120.496,,Track,1,Image 1,1000018930,
252.048,,Track,1,Image 1,1000018933,
69.0238,,Track,1,Image 1,1000018947,
1.36842,,Track,1,Image 1,1000018964,
142.544,,Track,1,Image 1,1000018970,
55.3756,,Track,1,Image 1,1000018978,
6.41463,,Track,1,Image 1,1000018996,
70.7222,,Track,1,Image 1,1000019002,
11.0098,,Track,1,Image 1,1000019003,
7.34043,,Track,1,Image 1,1000019004,
30.0156,,Track,1,Image 1,1000019007,
24.1888,,Track,1,Image 1,1000019049,
71.9064,,Track,1,Image 1,1000019064,
38.3217,,Track,1,Image 1,1000019087,
131.754,,Track,1,Image 1,1000019108,
197.211,,Track,1,Image 1,1000019109,
37.4808,,Track,1,Image 1,1000019114,
29.3353,,Track,1,Image 1,1000019133,
129.792,,Track,1,Image 1,1000019150,
199.22,,Track,1,Image 1,1000019152,
48.027,,Track,1,Image 1,1000019180,
12.9304,,Track,1,Image 1,1000019191,
146.863,,Track,1,Image 1,1000019216,
67.3103,,Track,1,Image 1,1000019240,
18.3163,,Track,1,Image 1,1000019271,
31.8788,,Track,1,Image 1,1000019284,
247.568,,Track,1,Image 1,1000019297,
10.5263,,Track,1,Image 1,1000019310,
49.3386,,Track,1,Image 1,1000019324,
4.00704,,Track,1,Image 1,1000019340,
23.8667,,Track,1,Image 1,1000019350,
17.96,,Track,1,Image 1,1000019353,
21.2593,,Track,1,Image 1,1000019354,
61.6574,,Track,1,Image 1,1000019361,
58.5948,,Track,1,Image 1,1000019395,
245.614,,Track,1,Image 1,1000019396,
192.93,,Track,1,Image 1,1000019405,
130.847,,Track,1,Image 1,1000019412,
34.9636,,Track,1,Image 1,1000019436,
246.611,,Track,1,Image 1,1000019450,
6.43564,,Track,1,Image 1,1000019465,
143.18,,Track,1,Image 1,1000019472,
175.966,,Track,1,Image 1,1000019477,
21.348,,Track,1,Image 1,1000019486,
70.2763,,Track,1,Image 1,1000019491,
24.9817,,Track,1,Image 1,1000019516,
83.7168,,Track,1,Image 1,1000019522,
200.77,,Track,1,Image 1,1000019553,
76.5687,,Track,1,Image 1,1000019599,
20.9434,,Track,1,Image 1,1000019600,
16.1154,,Track,1,Image 1,1000019614,
20.4094,,Track,1,Image 1,1000019617,
60.5522,,Track,1,Image 1,1000019632,
177.41,,Track,1,Image 1,1000019633,
122.807,,Track,1,Image 1,1000019658,
43.3056,,Track,1,Image 1,1000019676,
92.8182,,Track,1,Image 1,1000019699,
6.35714,,Track,1,Image 1,1000019726,
85.7848,,Track,1,Image 1,1000019742,
101.24,,Track,1,Image 1,1000019751,
142.723,,Track,1,Image 1,1000019755,
13.0185,,Track,1,Image 1,1000019758,
58.5,,Track,1,Image 1,1000019764,
40.0172,,Track,1,Image 1,1000019783,
62.0286,,Track,1,Image 1,1000019786,
150.731,,Track,1,Image 1,1000019826,
220.781,,Track,1,Image 1,1000019827,
224.082,,Track,1,Image 1,1000019831,
167.974,,Track,1,Image 1,1000019844,
223.968,,Track,1,Image 1,1000019845,
68.125,,Track,1,Image 1,1000019850,
86.6863,,Track,1,Image 1,1000019861,
223.757,,Track,1,Image 1,1000019878,
11.8203,,Track,1,Image 1,1000019903,
13.0278,,Track,1,Image 1,1000019906,
144.917,,Track,1,Image 1,1000019933,
40.4461,,Track,1,Image 1,1000019940,
28.5349,,Track,1,Image 1,1000019946,
91.4046,,Track,1,Image 1,1000019966,
152.837,,Track,1,Image 1,1000019974,
245.167,,Track,1,Image 1,1000020053,
109.06,,Track,1,Image 1,1000020057,
151.875,,Track,1,Image 1,1000020077,
79.8095,,Track,1,Image 1,1000020087,
165.111,,Track,1,Image 1,1000020103,
255,,Track,1,Image 1,1000020120,
18.3898,,Track,1,Image 1,1000020125,
18.2188,,Track,1,Image 1,1000020126,
6.28458,,Track,1,Image 1,1000020133,
62.6522,,Track,1,Image 1,1000020165,
12.8367,,Track,1,Image 1,1000020170,
4.61856,,Track,1,Image 1,1000020171,
107.2,,Track,1,Image 1,1000020183,
107.933,,Track,1,Image 1,1000020189,
202.567,,Track,1,Image 1,1000020218,
117.875,,Track,1,Image 1,1000020219,
25.5,,Track,1,Image 1,1000020221,
79.4805,,Track,1,Image 1,1000020222,
17.503,,Track,1,Image 1,1000020224,
29.5806,,Track,1,Image 1,1000020226,
198.253,,Track,1,Image 1,1000020228,
220,,Track,1,Image 1,1000020245,
95,,Track,1,Image 1,1000020250,
217.407,,Track,1,Image 1,1000020287,
10.2609,,Track,1,Image 1,1000020289,
37.2695,,Track,1,Image 1,1000020293,
25.6702,,Track,1,Image 1,1000020297,
250.812,,Track,1,Image 1,1000020331,
17.2857,,Track,1,Image 1,1000020336,
25.9688,,Track,1,Image 1,1000020363,
15.5517,,Track,1,Image 1,1000020386,
50.2174,,Track,1,Image 1,1000020388,
