
Track Intensity Min Ch=3 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
255,,Track,3,Image 1,1000018754,
84,,Track,3,Image 1,1000018755,
249,,Track,3,Image 1,1000018756,
168,,Track,3,Image 1,1000018757,
127,,Track,3,Image 1,1000018758,
51,,Track,3,Image 1,1000018759,
65,,Track,3,Image 1,1000018760,
65,,Track,3,Image 1,1000018761,
133,,Track,3,Image 1,1000018762,
152,,Track,3,Image 1,1000018763,
44,,Track,3,Image 1,1000018764,
100,,Track,3,Image 1,1000018765,
122,,Track,3,Image 1,1000018766,
204,,Track,3,Image 1,1000018767,
125,,Track,3,Image 1,1000018768,
58,,Track,3,Image 1,1000018769,
150,,Track,3,Image 1,1000018770,
181,,Track,3,Image 1,1000018771,
103,,Track,3,Image 1,1000018772,
191,,Track,3,Image 1,1000018773,
181,,Track,3,Image 1,1000018774,
138,,Track,3,Image 1,1000018775,
42,,Track,3,Image 1,1000018776,
67,,Track,3,Image 1,1000018777,
122,,Track,3,Image 1,1000018778,
9,,Track,3,Image 1,1000018779,
142,,Track,3,Image 1,1000018788,
158,,Track,3,Image 1,1000018794,
132,,Track,3,Image 1,1000018797,
47,,Track,3,Image 1,1000018799,
86,,Track,3,Image 1,1000018802,
70,,Track,3,Image 1,1000018809,
203,,Track,3,Image 1,1000018812,
177,,Track,3,Image 1,1000018816,
255,,Track,3,Image 1,1000018858,
206,,Track,3,Image 1,1000018867,
227,,Track,3,Image 1,1000018904,
74,,Track,3,Image 1,1000018912,
189,,Track,3,Image 1,1000018913,
53,,Track,3,Image 1,1000018919,
96,,Track,3,Image 1,1000018930,
239,,Track,3,Image 1,1000018933,
99,,Track,3,Image 1,1000018947,
86,,Track,3,Image 1,1000018964,
85,,Track,3,Image 1,1000018970,
82,,Track,3,Image 1,1000018978,
81,,Track,3,Image 1,1000018996,
217,,Track,3,Image 1,1000019002,
74,,Track,3,Image 1,1000019003,
141,,Track,3,Image 1,1000019004,
67,,Track,3,Image 1,1000019007,
138,,Track,3,Image 1,1000019049,
64,,Track,3,Image 1,1000019064,
49,,Track,3,Image 1,1000019087,
28,,Track,3,Image 1,1000019108,
227,,Track,3,Image 1,1000019109,
146,,Track,3,Image 1,1000019114,
54,,Track,3,Image 1,1000019133,
47,,Track,3,Image 1,1000019150,
68,,Track,3,Image 1,1000019152,
166,,Track,3,Image 1,1000019180,
71,,Track,3,Image 1,1000019191,
106,,Track,3,Image 1,1000019216,
144,,Track,3,Image 1,1000019240,
90,,Track,3,Image 1,1000019271,
232,,Track,3,Image 1,1000019284,
41,,Track,3,Image 1,1000019297,
117,,Track,3,Image 1,1000019310,
202,,Track,3,Image 1,1000019324,
86,,Track,3,Image 1,1000019340,
42,,Track,3,Image 1,1000019350,
77,,Track,3,Image 1,1000019353,
106,,Track,3,Image 1,1000019354,
66,,Track,3,Image 1,1000019361,
148,,Track,3,Image 1,1000019395,
189,,Track,3,Image 1,1000019396,
96,,Track,3,Image 1,1000019405,
179,,Track,3,Image 1,1000019412,
157,,Track,3,Image 1,1000019436,
255,,Track,3,Image 1,1000019450,
79,,Track,3,Image 1,1000019465,
133,,Track,3,Image 1,1000019472,
255,,Track,3,Image 1,1000019477,
74,,Track,3,Image 1,1000019486,
38,,Track,3,Image 1,1000019491,
84,,Track,3,Image 1,1000019516,
47,,Track,3,Image 1,1000019522,
109,,Track,3,Image 1,1000019553,
70,,Track,3,Image 1,1000019599,
53,,Track,3,Image 1,1000019600,
60,,Track,3,Image 1,1000019614,
124,,Track,3,Image 1,1000019617,
96,,Track,3,Image 1,1000019632,
157,,Track,3,Image 1,1000019633,
90,,Track,3,Image 1,1000019658,
59,,Track,3,Image 1,1000019676,
105,,Track,3,Image 1,1000019699,
52,,Track,3,Image 1,1000019726,
26,,Track,3,Image 1,1000019742,
64,,Track,3,Image 1,1000019751,
162,,Track,3,Image 1,1000019755,
