
Track Intensity StdDev Ch=1 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
20.0949,,Track,1,Image 1,1000018754,
35.9606,,Track,1,Image 1,1000018755,
40.7608,,Track,1,Image 1,1000018756,
6.00158,,Track,1,Image 1,1000018757,
60.0167,,Track,1,Image 1,1000018758,
49.3167,,Track,1,Image 1,1000018759,
51.0057,,Track,1,Image 1,1000018760,
11.6733,,Track,1,Image 1,1000018761,
49.851,,Track,1,Image 1,1000018762,
65.5386,,Track,1,Image 1,1000018763,
45.9217,,Track,1,Image 1,1000018764,
15.4033,,Track,1,Image 1,1000018765,
62.7101,,Track,1,Image 1,1000018766,
21.9271,,Track,1,Image 1,1000018767,
34.3206,,Track,1,Image 1,1000018768,
42.6733,,Track,1,Image 1,1000018769,
3.18626,,Track,1,Image 1,1000018770,
0,,Track,1,Image 1,1000018771,
43.0693,,Track,1,Image 1,1000018772,
25.9125,,Track,1,Image 1,1000018773,
30.1258,,Track,1,Image 1,1000018774,
38.1239,,Track,1,Image 1,1000018775,
60.4547,,Track,1,Image 1,1000018776,
44.9712,,Track,1,Image 1,1000018777,
38.7929,,Track,1,Image 1,1000018778,
49.3139,,Track,1,Image 1,1000018779,
28.6645,,Track,1,Image 1,1000018788,
26.1581,,Track,1,Image 1,1000018794,
49.1078,,Track,1,Image 1,1000018797,
34.9012,,Track,1,Image 1,1000018799,
16.6694,,Track,1,Image 1,1000018802,
19.9096,,Track,1,Image 1,1000018809,
43.6351,,Track,1,Image 1,1000018812,
42.2388,,Track,1,Image 1,1000018816,
34.3867,,Track,1,Image 1,1000018858,
63.7886,,Track,1,Image 1,1000018867,
29.3772,,Track,1,Image 1,1000018904,
14.1778,,Track,1,Image 1,1000018912,
14.1104,,Track,1,Image 1,1000018913,
28.3333,,Track,1,Image 1,1000018919,
60.1663,,Track,1,Image 1,1000018930,
13.2034,,Track,1,Image 1,1000018933,
44.1156,,Track,1,Image 1,1000018947,
4.86171,,Track,1,Image 1,1000018964,
55.0227,,Track,1,Image 1,1000018970,
46.006,,Track,1,Image 1,1000018978,
12.4704,,Track,1,Image 1,1000018996,
34.4187,,Track,1,Image 1,1000019002,
17.4993,,Track,1,Image 1,1000019003,
16.0468,,Track,1,Image 1,1000019004,
27.8834,,Track,1,Image 1,1000019007,
25.411,,Track,1,Image 1,1000019049,
46.0255,,Track,1,Image 1,1000019064,
30.9197,,Track,1,Image 1,1000019087,
59.8322,,Track,1,Image 1,1000019108,
52.2807,,Track,1,Image 1,1000019109,
42.8572,,Track,1,Image 1,1000019114,
32.1106,,Track,1,Image 1,1000019133,
60.2949,,Track,1,Image 1,1000019150,
56.3167,,Track,1,Image 1,1000019152,
30.1039,,Track,1,Image 1,1000019180,
19.7086,,Track,1,Image 1,1000019191,
65.6075,,Track,1,Image 1,1000019216,
42.306,,Track,1,Image 1,1000019240,
26.2778,,Track,1,Image 1,1000019271,
33.2928,,Track,1,Image 1,1000019284,
24.0596,,Track,1,Image 1,1000019297,
18.6643,,Track,1,Image 1,1000019310,
42.6286,,Track,1,Image 1,1000019324,
10.55,,Track,1,Image 1,1000019340,
27.1973,,Track,1,Image 1,1000019350,
20.192,,Track,1,Image 1,1000019353,
25.868,,Track,1,Image 1,1000019354,
46.657,,Track,1,Image 1,1000019361,
54.0501,,Track,1,Image 1,1000019395,
25.1352,,Track,1,Image 1,1000019396,
54.0077,,Track,1,Image 1,1000019405,
54.385,,Track,1,Image 1,1000019412,
