
Track Intensity Sum Ch=1 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
170,,Track,1,Image 1,1000018754,
48846,,Track,1,Image 1,1000018755,
1856,,Track,1,Image 1,1000018756,
7102,,Track,1,Image 1,1000018757,
4437,,Track,1,Image 1,1000018758,
40536,,Track,1,Image 1,1000018759,
30486,,Track,1,Image 1,1000018760,
131485,,Track,1,Image 1,1000018761,
66750,,Track,1,Image 1,1000018762,
37079,,Track,1,Image 1,1000018763,
164585,,Track,1,Image 1,1000018764,
2835,,Track,1,Image 1,1000018765,
78447,,Track,1,Image 1,1000018766,
365,,Track,1,Image 1,1000018767,
46974,,Track,1,Image 1,1000018768,
14540,,Track,1,Image 1,1000018769,
84323,,Track,1,Image 1,1000018770,
6375,,Track,1,Image 1,1000018771,
2541,,Track,1,Image 1,1000018772,
41777,,Track,1,Image 1,1000018773,
6812,,Track,1,Image 1,1000018774,
1263,,Track,1,Image 1,1000018775,
112557,,Track,1,Image 1,1000018776,
13034,,Track,1,Image 1,1000018777,
4115,,Track,1,Image 1,1000018778,
16500,,Track,1,Image 1,1000018779,
2459,,Track,1,Image 1,1000018788,
2605,,Track,1,Image 1,1000018794,
8306,,Track,1,Image 1,1000018797,
149832,,Track,1,Image 1,1000018799,
425,,Track,1,Image 1,1000018802,
1299,,Track,1,Image 1,1000018809,
4064,,Track,1,Image 1,1000018812,
6286,,Track,1,Image 1,1000018816,
1070,,Track,1,Image 1,1000018858,
2244,,Track,1,Image 1,1000018867,
6246,,Track,1,Image 1,1000018904,
823,,Track,1,Image 1,1000018912,
377,,Track,1,Image 1,1000018913,
2914,,Track,1,Image 1,1000018919,
14580,,Track,1,Image 1,1000018930,
5293,,Track,1,Image 1,1000018933,
5798,,Track,1,Image 1,1000018947,
78,,Track,1,Image 1,1000018964,
20954,,Track,1,Image 1,1000018970,
10909,,Track,1,Image 1,1000018978,
263,,Track,1,Image 1,1000018996,
1273,,Track,1,Image 1,1000019002,
1123,,Track,1,Image 1,1000019003,
345,,Track,1,Image 1,1000019004,
3842,,Track,1,Image 1,1000019007,
3459,,Track,1,Image 1,1000019049,
16898,,Track,1,Image 1,1000019064,
4407,,Track,1,Image 1,1000019087,
23584,,Track,1,Image 1,1000019108,
7494,,Track,1,Image 1,1000019109,
27361,,Track,1,Image 1,1000019114,
9974,,Track,1,Image 1,1000019133,
181709,,Track,1,Image 1,1000019150,
87856,,Track,1,Image 1,1000019152,
1777,,Track,1,Image 1,1000019180,
1487,,Track,1,Image 1,1000019191,
195034,,Track,1,Image 1,1000019216,
1952,,Track,1,Image 1,1000019240,
1795,,Track,1,Image 1,1000019271,
2104,,Track,1,Image 1,1000019284,
136410,,Track,1,Image 1,1000019297,
400,,Track,1,Image 1,1000019310,
9325,,Track,1,Image 1,1000019324,
1138,,Track,1,Image 1,1000019340,
3938,,Track,1,Image 1,1000019350,
1796,,Track,1,Image 1,1000019353,
574,,Track,1,Image 1,1000019354,
6659,,Track,1,Image 1,1000019361,
6797,,Track,1,Image 1,1000019395,
20386,,Track,1,Image 1,1000019396,
16592,,Track,1,Image 1,1000019405,
16225,,Track,1,Image 1,1000019412,
1923,,Track,1,Image 1,1000019436,
4439,,Track,1,Image 1,1000019450,
650,,Track,1,Image 1,1000019465,
7159,,Track,1,Image 1,1000019472,
5103,,Track,1,Image 1,1000019477,
20430,,Track,1,Image 1,1000019486,
35349,,Track,1,Image 1,1000019491,
2723,,Track,1,Image 1,1000019516,
32817,,Track,1,Image 1,1000019522,
39351,,Track,1,Image 1,1000019553,
16156,,Track,1,Image 1,1000019599,
1110,,Track,1,Image 1,1000019600,
2095,,Track,1,Image 1,1000019614,
2592,,Track,1,Image 1,1000019617,
4057,,Track,1,Image 1,1000019632,
6919,,Track,1,Image 1,1000019633,
10193,,Track,1,Image 1,1000019658,
15590,,Track,1,Image 1,1000019676,
5105,,Track,1,Image 1,1000019699,
356,,Track,1,Image 1,1000019726,
6777,,Track,1,Image 1,1000019742,
35029,,Track,1,Image 1,1000019751,
18554,,Track,1,Image 1,1000019755,
1406,,Track,1,Image 1,1000019758,
1989,,Track,1,Image 1,1000019764,
4642,,Track,1,Image 1,1000019783,
2171,,Track,1,Image 1,1000019786,
7838,,Track,1,Image 1,1000019826,
151235,,Track,1,Image 1,1000019827,
63191,,Track,1,Image 1,1000019831,
6551,,Track,1,Image 1,1000019844,
34715,,Track,1,Image 1,1000019845,
2725,,Track,1,Image 1,1000019850,
8842,,Track,1,Image 1,1000019861,
24837,,Track,1,Image 1,1000019878,
1513,,Track,1,Image 1,1000019903,
1876,,Track,1,Image 1,1000019906,
5217,,Track,1,Image 1,1000019933,
8251,,Track,1,Image 1,1000019940,
1227,,Track,1,Image 1,1000019946,
15813,,Track,1,Image 1,1000019966,
15895,,Track,1,Image 1,1000019974,
22065,,Track,1,Image 1,1000020053,
14614,,Track,1,Image 1,1000020057,
3645,,Track,1,Image 1,1000020077,
33520,,Track,1,Image 1,1000020087,
2972,,Track,1,Image 1,1000020103,
15300,,Track,1,Image 1,1000020120,
1085,,Track,1,Image 1,1000020125,
1749,,Track,1,Image 1,1000020126,
1590,,Track,1,Image 1,1000020133,
1441,,Track,1,Image 1,1000020165,
1258,,Track,1,Image 1,1000020170,
448,,Track,1,Image 1,1000020171,
3216,,Track,1,Image 1,1000020183,
3238,,Track,1,Image 1,1000020189,
6077,,Track,1,Image 1,1000020218,
73790,,Track,1,Image 1,1000020219,
663,,Track,1,Image 1,1000020221,
6120,,Track,1,Image 1,1000020222,
2923,,Track,1,Image 1,1000020224,
1834,,Track,1,Image 1,1000020226,
31324,,Track,1,Image 1,1000020228,
13420,,Track,1,Image 1,1000020245,
13585,,Track,1,Image 1,1000020250,
79571,,Track,1,Image 1,1000020287,
472,,Track,1,Image 1,1000020289,
12448,,Track,1,Image 1,1000020293,
2413,,Track,1,Image 1,1000020297,
67970,,Track,1,Image 1,1000020331,
2783,,Track,1,Image 1,1000020336,
831,,Track,1,Image 1,1000020363,
902,,Track,1,Image 1,1000020386,
2310,,Track,1,Image 1,1000020388,
2956,,Track,1,Image 1,1000020440,
7577,,Track,1,Image 1,1000020457,
2883,,Track,1,Image 1,1000020475,
19637,,Track,1,Image 1,1000020486,
54719,,Track,1,Image 1,1000020497,
33996,,Track,1,Image 1,1000020507,
3619,,Track,1,Image 1,1000020516,
19368,,Track,1,Image 1,1000020521,
116275,,Track,1,Image 1,1000020533,
43737,,Track,1,Image 1,1000020536,
11753,,Track,1,Image 1,1000020556,
150,,Track,1,Image 1,1000020594,
6545,,Track,1,Image 1,1000020611,
69537,,Track,1,Image 1,1000020618,
4622,,Track,1,Image 1,1000020622,
379,,Track,1,Image 1,1000020625,
8058,,Track,1,Image 1,1000020644,
5958,,Track,1,Image 1,1000020652,
310,,Track,1,Image 1,1000020662,
11013,,Track,1,Image 1,1000020673,
9593,,Track,1,Image 1,1000020676,
15142,,Track,1,Image 1,1000020690,
510,,Track,1,Image 1,1000020691,
3881,,Track,1,Image 1,1000020693,
79979,,Track,1,Image 1,1000020709,
6630,,Track,1,Image 1,1000020710,
28761,,Track,1,Image 1,1000020724,
2853,,Track,1,Image 1,1000020737,
1180,,Track,1,Image 1,1000020760,
3914,,Track,1,Image 1,1000020787,
56914,,Track,1,Image 1,1000020788,
7549,,Track,1,Image 1,1000020805,
11836,,Track,1,Image 1,1000020823,
6345,,Track,1,Image 1,1000020845,
404,,Track,1,Image 1,1000020850,
7897,,Track,1,Image 1,1000020869,
6236,,Track,1,Image 1,1000020890,
42813,,Track,1,Image 1,1000020917,
4049,,Track,1,Image 1,1000020919,
226,,Track,1,Image 1,1000020924,
6276,,Track,1,Image 1,1000020929,
16133,,Track,1,Image 1,1000020942,
2788,,Track,1,Image 1,1000020962,
4769,,Track,1,Image 1,1000020967,
17240,,Track,1,Image 1,1000020974,
