
Track Number Of Generations
 ==================== 
Track Number Of Generations,Unit,Category,ID,
1,,Track,1000018754,
1,,Track,1000018755,
1,,Track,1000018756,
1,,Track,1000018757,
1,,Track,1000018758,
1,,Track,1000018759,
1,,Track,1000018760,
1,,Track,1000018761,
1,,Track,1000018762,
1,,Track,1000018763,
1,,Track,1000018764,
1,,Track,1000018765,
1,,Track,1000018766,
1,,Track,1000018767,
1,,Track,1000018768,
1,,Track,1000018769,
1,,Track,1000018770,
1,,Track,1000018771,
1,,Track,1000018772,
1,,Track,1000018773,
1,,Track,1000018774,
1,,Track,1000018775,
1,,Track,1000018776,
1,,Track,1000018777,
1,,Track,1000018778,
1,,Track,1000018779,
1,,Track,1000018788,
1,,Track,1000018794,
1,,Track,1000018797,
1,,Track,1000018799,
1,,Track,1000018802,
1,,Track,1000018809,
1,,Track,1000018812,
1,,Track,1000018816,
1,,Track,1000018858,
1,,Track,1000018867,
1,,Track,1000018904,
1,,Track,1000018912,
1,,Track,1000018913,
1,,Track,1000018919,
1,,Track,1000018930,
1,,Track,1000018933,
1,,Track,1000018947,
1,,Track,1000018964,
1,,Track,1000018970,
1,,Track,1000018978,
1,,Track,1000018996,
1,,Track,1000019002,
1,,Track,1000019003,
1,,Track,1000019004,
1,,Track,1000019007,
1,,Track,1000019049,
1,,Track,1000019064,
1,,Track,1000019087,
1,,Track,1000019108,
1,,Track,1000019109,
1,,Track,1000019114,
1,,Track,1000019133,
1,,Track,1000019150,
1,,Track,1000019152,
1,,Track,1000019180,
1,,Track,1000019191,
1,,Track,1000019216,
1,,Track,1000019240,
1,,Track,1000019271,
1,,Track,1000019284,
1,,Track,1000019297,
1,,Track,1000019310,
1,,Track,1000019324,
1,,Track,1000019340,
1,,Track,1000019350,
1,,Track,1000019353,
1,,Track,1000019354,
1,,Track,1000019361,
1,,Track,1000019395,
1,,Track,1000019396,
1,,Track,1000019405,
1,,Track,1000019412,
1,,Track,1000019436,
1,,Track,1000019450,
1,,Track,1000019465,
1,,Track,1000019472,
1,,Track,1000019477,
1,,Track,1000019486,
1,,Track,1000019491,
1,,Track,1000019516,
1,,Track,1000019522,
1,,Track,1000019553,
1,,Track,1000019599,
1,,Track,1000019600,
1,,Track,1000019614,
1,,Track,1000019617,
1,,Track,1000019632,
1,,Track,1000019633,
1,,Track,1000019658,
1,,Track,1000019676,
1,,Track,1000019699,
1,,Track,1000019726,
1,,Track,1000019742,
1,,Track,1000019751,
1,,Track,1000019755,
1,,Track,1000019758,
1,,Track,1000019764,
1,,Track,1000019783,
1,,Track,1000019786,
1,,Track,1000019826,
1,,Track,1000019827,
1,,Track,1000019831,
1,,Track,1000019844,
1,,Track,1000019845,
1,,Track,1000019850,
1,,Track,1000019861,
1,,Track,1000019878,
1,,Track,1000019903,
1,,Track,1000019906,
1,,Track,1000019933,
1,,Track,1000019940,
1,,Track,1000019946,
1,,Track,1000019966,
1,,Track,1000019974,
1,,Track,1000020053,
1,,Track,1000020057,
1,,Track,1000020077,
1,,Track,1000020087,
1,,Track,1000020103,
1,,Track,1000020120,
1,,Track,1000020125,
1,,Track,1000020126,
1,,Track,1000020133,
1,,Track,1000020165,
1,,Track,1000020170,
1,,Track,1000020171,
1,,Track,1000020183,
1,,Track,1000020189,
1,,Track,1000020218,
1,,Track,1000020219,
1,,Track,1000020221,
1,,Track,1000020222,
1,,Track,1000020224,
1,,Track,1000020226,
1,,Track,1000020228,
1,,Track,1000020245,
1,,Track,1000020250,
1,,Track,1000020287,
1,,Track,1000020289,
1,,Track,1000020293,
1,,Track,1000020297,
1,,Track,1000020331,
1,,Track,1000020336,
1,,Track,1000020363,
1,,Track,1000020386,
1,,Track,1000020388,
1,,Track,1000020440,
1,,Track,1000020457,
1,,Track,1000020475,
1,,Track,1000020486,
1,,Track,1000020497,
1,,Track,1000020507,
1,,Track,1000020516,
1,,Track,1000020521,
1,,Track,1000020533,
1,,Track,1000020536,
1,,Track,1000020556,
1,,Track,1000020594,
1,,Track,1000020611,
1,,Track,1000020618,
1,,Track,1000020622,
1,,Track,1000020625,
1,,Track,1000020644,
1,,Track,1000020652,
1,,Track,1000020662,
1,,Track,1000020673,
1,,Track,1000020676,
1,,Track,1000020690,
1,,Track,1000020691,
1,,Track,1000020693,
1,,Track,1000020709,
1,,Track,1000020710,
1,,Track,1000020724,
1,,Track,1000020737,
1,,Track,1000020760,
1,,Track,1000020787,
1,,Track,1000020788,
1,,Track,1000020805,
1,,Track,1000020823,
1,,Track,1000020845,
1,,Track,1000020850,
1,,Track,1000020869,
1,,Track,1000020890,
1,,Track,1000020917,
1,,Track,1000020919,
1,,Track,1000020924,
1,,Track,1000020929,
1,,Track,1000020942,
1,,Track,1000020962,
1,,Track,1000020967,
1,,Track,1000020974,
