
Track Number of Surfaces
 ==================== 
Track Number of Surfaces,Unit,Category,ID,
6,,Track,1000018754,
15,,Track,1000018755,
11,,Track,1000018756,
7,,Track,1000018757,
7,,Track,1000018758,
19,,Track,1000018759,
14,,Track,1000018760,
17,,Track,1000018761,
25,,Track,1000018762,
9,,Track,1000018763,
33,,Track,1000018764,
7,,Track,1000018765,
41,,Track,1000018766,
7,,Track,1000018767,
12,,Track,1000018768,
10,,Track,1000018769,
32,,Track,1000018770,
6,,Track,1000018771,
7,,Track,1000018772,
31,,Track,1000018773,
32,,Track,1000018774,
8,,Track,1000018775,
60,,Track,1000018776,
11,,Track,1000018777,
11,,Track,1000018778,
17,,Track,1000018779,
11,,Track,1000018788,
10,,Track,1000018794,
9,,Track,1000018797,
29,,Track,1000018799,
7,,Track,1000018802,
6,,Track,1000018809,
12,,Track,1000018812,
12,,Track,1000018816,
9,,Track,1000018858,
8,,Track,1000018867,
11,,Track,1000018904,
6,,Track,1000018912,
8,,Track,1000018913,
6,,Track,1000018919,
9,,Track,1000018930,
8,,Track,1000018933,
12,,Track,1000018947,
7,,Track,1000018964,
12,,Track,1000018970,
10,,Track,1000018978,
7,,Track,1000018996,
6,,Track,1000019002,
7,,Track,1000019003,
7,,Track,1000019004,
9,,Track,1000019007,
13,,Track,1000019049,
22,,Track,1000019064,
13,,Track,1000019087,
9,,Track,1000019108,
7,,Track,1000019109,
51,,Track,1000019114,
27,,Track,1000019133,
35,,Track,1000019150,
13,,Track,1000019152,
9,,Track,1000019180,
8,,Track,1000019191,
48,,Track,1000019216,
6,,Track,1000019240,
6,,Track,1000019271,
6,,Track,1000019284,
24,,Track,1000019297,
6,,Track,1000019310,
21,,Track,1000019324,
31,,Track,1000019340,
13,,Track,1000019350,
13,,Track,1000019353,
6,,Track,1000019354,
9,,Track,1000019361,
15,,Track,1000019395,
15,,Track,1000019396,
11,,Track,1000019405,
16,,Track,1000019412,
6,,Track,1000019436,
6,,Track,1000019450,
6,,Track,1000019465,
6,,Track,1000019472,
8,,Track,1000019477,
27,,Track,1000019486,
42,,Track,1000019491,
6,,Track,1000019516,
15,,Track,1000019522,
15,,Track,1000019553,
6,,Track,1000019599,
9,,Track,1000019600,
10,,Track,1000019614,
20,,Track,1000019617,
11,,Track,1000019632,
6,,Track,1000019633,
13,,Track,1000019658,
17,,Track,1000019676,
10,,Track,1000019699,
6,,Track,1000019726,
6,,Track,1000019742,
11,,Track,1000019751,
11,,Track,1000019755,
7,,Track,1000019758,
6,,Track,1000019764,
6,,Track,1000019783,
9,,Track,1000019786,
15,,Track,1000019826,
20,,Track,1000019827,
28,,Track,1000019831,
8,,Track,1000019844,
9,,Track,1000019845,
8,,Track,1000019850,
15,,Track,1000019861,
19,,Track,1000019878,
6,,Track,1000019903,
11,,Track,1000019906,
6,,Track,1000019933,
13,,Track,1000019940,
6,,Track,1000019946,
11,,Track,1000019966,
8,,Track,1000019974,
18,,Track,1000020053,
8,,Track,1000020057,
6,,Track,1000020077,
28,,Track,1000020087,
6,,Track,1000020103,
18,,Track,1000020120,
7,,Track,1000020125,
13,,Track,1000020126,
8,,Track,1000020133,
6,,Track,1000020165,
6,,Track,1000020170,
6,,Track,1000020171,
6,,Track,1000020183,
8,,Track,1000020189,
6,,Track,1000020218,
18,,Track,1000020219,
11,,Track,1000020221,
7,,Track,1000020222,
8,,Track,1000020224,
8,,Track,1000020226,
9,,Track,1000020228,
7,,Track,1000020245,
10,,Track,1000020250,
23,,Track,1000020287,
6,,Track,1000020289,
23,,Track,1000020293,
7,,Track,1000020297,
22,,Track,1000020331,
11,,Track,1000020336,
7,,Track,1000020363,
6,,Track,1000020386,
7,,Track,1000020388,
8,,Track,1000020440,
8,,Track,1000020457,
19,,Track,1000020475,
14,,Track,1000020486,
9,,Track,1000020497,
9,,Track,1000020507,
16,,Track,1000020516,
17,,Track,1000020521,
17,,Track,1000020533,
17,,Track,1000020536,
14,,Track,1000020556,
6,,Track,1000020594,
7,,Track,1000020611,
9,,Track,1000020618,
8,,Track,1000020622,
6,,Track,1000020625,
12,,Track,1000020644,
6,,Track,1000020652,
14,,Track,1000020662,
8,,Track,1000020673,
6,,Track,1000020676,
13,,Track,1000020690,
6,,Track,1000020691,
8,,Track,1000020693,
11,,Track,1000020709,
10,,Track,1000020710,
6,,Track,1000020724,
12,,Track,1000020737,
8,,Track,1000020760,
6,,Track,1000020787,
10,,Track,1000020788,
7,,Track,1000020805,
9,,Track,1000020823,
9,,Track,1000020845,
6,,Track,1000020850,
8,,Track,1000020869,
8,,Track,1000020890,
7,,Track,1000020917,
7,,Track,1000020919,
7,,Track,1000020924,
6,,Track,1000020929,
6,,Track,1000020942,
6,,Track,1000020962,
6,,Track,1000020967,
6,,Track,1000020974,
