
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
95.8265,372.951,79,um,Track,Track Position,1000018754,
320.468,188.98,2.45746,um,Track,Track Position,1000018755,
164.682,342.676,74.2413,um,Track,Track Position,1000018756,
118.886,395.436,62.5286,um,Track,Track Position,1000018757,
135.249,388.989,53.0357,um,Track,Track Position,1000018758,
154.125,371.196,55.5397,um,Track,Track Position,1000018759,
306.423,239.362,2.23435,um,Track,Track Position,1000018760,
257.992,289.487,44.726,um,Track,Track Position,1000018761,
267.093,280.214,63.6788,um,Track,Track Position,1000018762,
355.67,215.79,28.8328,um,Track,Track Position,1000018763,
158.953,401.712,61.476,um,Track,Track Position,1000018764,
197.487,387.944,29.7396,um,Track,Track Position,1000018765,
358.204,229.883,68.0538,um,Track,Track Position,1000018766,
182.714,422.645,24.8143,um,Track,Track Position,1000018767,
280.611,369.486,15.0243,um,Track,Track Position,1000018768,
269.479,206.486,11.8146,um,Track,Track Position,1000018769,
355.511,112.996,29.5817,um,Track,Track Position,1000018770,
267.507,152.092,59.7679,um,Track,Track Position,1000018771,
102.028,299.212,87.2,um,Track,Track Position,1000018772,
268.683,101.187,87.0187,um,Track,Track Position,1000018773,
110.957,247.843,55.045,um,Track,Track Position,1000018774,
91.8988,261.564,73.6154,um,Track,Track Position,1000018775,
163.478,169.15,74.1548,um,Track,Track Position,1000018776,
221.988,89.6299,71.3712,um,Track,Track Position,1000018777,
159.333,101.603,61.7727,um,Track,Track Position,1000018778,
185.699,39.4058,88.3235,um,Track,Track Position,1000018779,
276.519,261.521,28.9894,um,Track,Track Position,1000018788,
280.542,304.74,24.5761,um,Track,Track Position,1000018794,
355.695,294.998,4.72222,um,Track,Track Position,1000018797,
244.067,415.557,2.23232,um,Track,Track Position,1000018799,
104.45,328.088,7.41466,um,Track,Track Position,1000018802,
41.1974,241.666,88.1848,um,Track,Track Position,1000018809,
135.5,350.521,77.195,um,Track,Track Position,1000018812,
197.514,327.138,69.1588,um,Track,Track Position,1000018816,
247.403,286.318,48.7349,um,Track,Track Position,1000018858,
183.385,419.094,27.3125,um,Track,Track Position,1000018867,
277.602,409.103,10.4182,um,Track,Track Position,1000018904,
314.596,78.7153,3.98609,um,Track,Track Position,1000018912,
114.662,249.938,77.8304,um,Track,Track Position,1000018913,
63.4932,208.58,82.3961,um,Track,Track Position,1000018919,
311.365,242.256,3.34393,um,Track,Track Position,1000018930,
247.843,308.712,55.5938,um,Track,Track Position,1000018933,
299.025,195.403,43.4538,um,Track,Track Position,1000018947,
14.2442,235.737,87.1857,um,Track,Track Position,1000018964,
241.128,301.505,41.2813,um,Track,Track Position,1000018970,
192.117,399.985,6.02473,um,Track,Track Position,1000018978,
84.1596,346.728,46.5536,um,Track,Track Position,1000018996,
112.766,252.112,71.25,um,Track,Track Position,1000019002,
239.039,138.184,38.5757,um,Track,Track Position,1000019003,
244.264,124.143,36.9679,um,Track,Track Position,1000019004,
110.163,241.682,64.4405,um,Track,Track Position,1000019007,
98.2799,254.994,68.1539,um,Track,Track Position,1000019049,
131.544,360.478,62.3398,um,Track,Track Position,1000019064,
84.6899,304.965,73.0719,um,Track,Track Position,1000019087,
163.114,363.814,52.4479,um,Track,Track Position,1000019108,
148.365,379.887,39.6724,um,Track,Track Position,1000019109,
195.506,338.397,62.6717,um,Track,Track Position,1000019114,
243.436,187.793,6.77774,um,Track,Track Position,1000019133,
202.422,243.163,84.5272,um,Track,Track Position,1000019150,
207.945,250.841,78.4536,um,Track,Track Position,1000019152,
102.83,315.384,81.5,um,Track,Track Position,1000019180,
110.267,223.588,73.5497,um,Track,Track Position,1000019191,
355.101,215.216,24.8798,um,Track,Track Position,1000019216,
270.128,205.591,9.22222,um,Track,Track Position,1000019240,
238.549,140.868,35.7196,um,Track,Track Position,1000019271,
276.199,252.308,24.8745,um,Track,Track Position,1000019284,
331.582,269.841,29.2076,um,Track,Track Position,1000019297,
112.736,247.951,78.1389,um,Track,Track Position,1000019310,
201.958,322.285,67.5195,um,Track,Track Position,1000019324,
82.2545,345.563,45.0571,um,Track,Track Position,1000019340,
323.837,22.0767,49.7164,um,Track,Track Position,1000019350,
94.0154,237.529,52.6053,um,Track,Track Position,1000019353,
100.806,171.159,86.5,um,Track,Track Position,1000019354,
234.16,301.486,30.8757,um,Track,Track Position,1000019361,
140.152,350.485,69.8143,um,Track,Track Position,1000019395,
120.193,393.116,55.8758,um,Track,Track Position,1000019396,
215.514,328.867,46.6893,um,Track,Track Position,1000019405,
176.846,298.118,72.7319,um,Track,Track Position,1000019412,
239.201,283.33,27.498,um,Track,Track Position,1000019436,
277.651,408.178,7.10714,um,Track,Track Position,1000019450,
149.396,194.469,73.6417,um,Track,Track Position,1000019465,
219.593,273.619,49.7167,um,Track,Track Position,1000019472,
148.407,379.725,35.0375,um,Track,Track Position,1000019477,
182.795,388.434,36.8792,um,Track,Track Position,1000019486,
243.601,238.639,41.1284,um,Track,Track Position,1000019491,
245.979,280.839,32.6855,um,Track,Track Position,1000019516,
245.524,301.537,39.0476,um,Track,Track Position,1000019522,
155.345,372.109,52.8839,um,Track,Track Position,1000019553,
272.219,341.698,1.53333,um,Track,Track Position,1000019599,
191.461,423.199,4.80952,um,Track,Track Position,1000019600,
223.643,105.502,82.2183,um,Track,Track Position,1000019614,
99.4082,170.837,85.46,um,Track,Track Position,1000019617,
191.002,399.408,3.04598,um,Track,Track Position,1000019632,
287.116,309.903,7.00404,um,Track,Track Position,1000019633,
186.945,38.2281,85.5,um,Track,Track Position,1000019658,
267.089,335.605,11.3538,um,Track,Track Position,1000019676,
218.648,279.186,19.5,um,Track,Track Position,1000019699,
221.554,168.805,55.4028,um,Track,Track Position,1000019726,
235.023,303.302,32.2038,um,Track,Track Position,1000019742,
199.795,405.426,2.23828,um,Track,Track Position,1000019751,
206.379,403.141,3.48785,um,Track,Track Position,1000019755,
197.131,416.81,1.5,um,Track,Track Position,1000019758,
102.822,314.096,80.3214,um,Track,Track Position,1000019764,
183.567,350.194,31.7614,um,Track,Track Position,1000019783,
171.844,361.984,58.473,um,Track,Track Position,1000019786,
163.572,366.16,49.8071,um,Track,Track Position,1000019826,
264.267,276.3,40.5621,um,Track,Track Position,1000019827,
269.518,280.676,62.987,um,Track,Track Position,1000019831,
354.216,293.624,1.5,um,Track,Track Position,1000019844,
280.212,369.15,11.908,um,Track,Track Position,1000019845,
269.629,207.249,7.76299,um,Track,Track Position,1000019850,
161.738,102.819,61.3,um,Track,Track Position,1000019861,
261.083,280.592,40.7107,um,Track,Track Position,1000019878,
146.641,194.668,76.0651,um,Track,Track Position,1000019903,
