
Track Speed Mean
 ==================== 
Track Speed Mean,Unit,Category,ID,
0.0570573,um/s,Track,1000018754,
0.0382032,um/s,Track,1000018755,
0.0720222,um/s,Track,1000018756,
0.0321203,um/s,Track,1000018757,
0.0426333,um/s,Track,1000018758,
0.0469253,um/s,Track,1000018759,
0.0272056,um/s,Track,1000018760,
0.0379633,um/s,Track,1000018761,
0.0415793,um/s,Track,1000018762,
0.0302745,um/s,Track,1000018763,
0.0372157,um/s,Track,1000018764,
0.0520395,um/s,Track,1000018765,
0.0281879,um/s,Track,1000018766,
0.0369944,um/s,Track,1000018767,
0.0377597,um/s,Track,1000018768,
0.0387023,um/s,Track,1000018769,
0.0416666,um/s,Track,1000018770,
0.0312619,um/s,Track,1000018771,
0.0611726,um/s,Track,1000018772,
0.0286308,um/s,Track,1000018773,
0.0407992,um/s,Track,1000018774,
0.0423561,um/s,Track,1000018775,
0.0362883,um/s,Track,1000018776,
0.0332983,um/s,Track,1000018777,
0.0259773,um/s,Track,1000018778,
0.0364694,um/s,Track,1000018779,
0.0534252,um/s,Track,1000018788,
0.0572153,um/s,Track,1000018794,
0.0218357,um/s,Track,1000018797,
0.0310896,um/s,Track,1000018799,
0.0370025,um/s,Track,1000018802,
0.0399164,um/s,Track,1000018809,
0.0731088,um/s,Track,1000018812,
0.0799987,um/s,Track,1000018816,
0.0563199,um/s,Track,1000018858,
0.0674425,um/s,Track,1000018867,
0.0442905,um/s,Track,1000018904,
0.057631,um/s,Track,1000018912,
0.0606908,um/s,Track,1000018913,
0.0542749,um/s,Track,1000018919,
0.0252156,um/s,Track,1000018930,
0.040132,um/s,Track,1000018933,
0.035079,um/s,Track,1000018947,
0.0838367,um/s,Track,1000018964,
0.0456971,um/s,Track,1000018970,
0.0342928,um/s,Track,1000018978,
0.027909,um/s,Track,1000018996,
0.0566557,um/s,Track,1000019002,
0.0716908,um/s,Track,1000019003,
0.0626206,um/s,Track,1000019004,
0.0394877,um/s,Track,1000019007,
0.0493046,um/s,Track,1000019049,
0.0410341,um/s,Track,1000019064,
0.0457522,um/s,Track,1000019087,
0.0540248,um/s,Track,1000019108,
0.0391495,um/s,Track,1000019109,
0.0609125,um/s,Track,1000019114,
0.0317505,um/s,Track,1000019133,
0.0268252,um/s,Track,1000019150,
0.035129,um/s,Track,1000019152,
0.0375235,um/s,Track,1000019180,
0.0765265,um/s,Track,1000019191,
0.0354292,um/s,Track,1000019216,
0.0549242,um/s,Track,1000019240,
0.0805998,um/s,Track,1000019271,
0.0825121,um/s,Track,1000019284,
0.0391322,um/s,Track,1000019297,
0.0498655,um/s,Track,1000019310,
0.0759723,um/s,Track,1000019324,
0.0386498,um/s,Track,1000019340,
0.0678773,um/s,Track,1000019350,
0.0409242,um/s,Track,1000019353,
0.0397017,um/s,Track,1000019354,
0.0466198,um/s,Track,1000019361,
0.0644197,um/s,Track,1000019395,
0.0340221,um/s,Track,1000019396,
0.0301589,um/s,Track,1000019405,
0.0386227,um/s,Track,1000019412,
0.0768738,um/s,Track,1000019436,
0.0326869,um/s,Track,1000019450,
0.0514971,um/s,Track,1000019465,
0.0279982,um/s,Track,1000019472,
0.0355716,um/s,Track,1000019477,
0.0597238,um/s,Track,1000019486,
0.037526,um/s,Track,1000019491,
0.0713528,um/s,Track,1000019516,
0.0422,um/s,Track,1000019522,
0.0321715,um/s,Track,1000019553,
0.050915,um/s,Track,1000019599,
0.063689,um/s,Track,1000019600,
0.0553486,um/s,Track,1000019614,
0.0289033,um/s,Track,1000019617,
0.0629807,um/s,Track,1000019632,
0.0722974,um/s,Track,1000019633,
0.0195421,um/s,Track,1000019658,
0.0402016,um/s,Track,1000019676,
0.038423,um/s,Track,1000019699,
0.0868595,um/s,Track,1000019726,
0.0401242,um/s,Track,1000019742,
0.0366389,um/s,Track,1000019751,
0.0375941,um/s,Track,1000019755,
0.0623533,um/s,Track,1000019758,
0.0369886,um/s,Track,1000019764,
0.0444641,um/s,Track,1000019783,
0.0654107,um/s,Track,1000019786,
0.0336717,um/s,Track,1000019826,
0.033251,um/s,Track,1000019827,
0.0370203,um/s,Track,1000019831,
0.0282262,um/s,Track,1000019844,
0.0398243,um/s,Track,1000019845,
0.0317797,um/s,Track,1000019850,
0.0320024,um/s,Track,1000019861,
0.0434237,um/s,Track,1000019878,
0.069879,um/s,Track,1000019903,
0.0306385,um/s,Track,1000019906,
0.0327461,um/s,Track,1000019933,
0.0491441,um/s,Track,1000019940,
0.0378322,um/s,Track,1000019946,
0.0485794,um/s,Track,1000019966,
0.0403162,um/s,Track,1000019974,
0.0401073,um/s,Track,1000020053,
0.0434368,um/s,Track,1000020057,
0.0485491,um/s,Track,1000020077,
0.0347058,um/s,Track,1000020087,
0.0401435,um/s,Track,1000020103,
0.0422639,um/s,Track,1000020120,
0.0314639,um/s,Track,1000020125,
0.0488772,um/s,Track,1000020126,
0.0518417,um/s,Track,1000020133,
0.0228273,um/s,Track,1000020165,
0.0583932,um/s,Track,1000020170,
0.0372754,um/s,Track,1000020171,
0.0295132,um/s,Track,1000020183,
0.0601814,um/s,Track,1000020189,
0.0397655,um/s,Track,1000020218,
0.037075,um/s,Track,1000020219,
0.076765,um/s,Track,1000020221,
0.0409598,um/s,Track,1000020222,
0.0728993,um/s,Track,1000020224,
0.0676595,um/s,Track,1000020226,
0.0328188,um/s,Track,1000020228,
0.0421461,um/s,Track,1000020245,
0.0309914,um/s,Track,1000020250,
0.0358583,um/s,Track,1000020287,
0.0698635,um/s,Track,1000020289,
0.0412607,um/s,Track,1000020293,
0.0299725,um/s,Track,1000020297,
0.0373167,um/s,Track,1000020331,
0.0328431,um/s,Track,1000020336,
0.0605324,um/s,Track,1000020363,
0.0558793,um/s,Track,1000020386,
0.0382506,um/s,Track,1000020388,
0.040816,um/s,Track,1000020440,
0.047495,um/s,Track,1000020457,
0.0642989,um/s,Track,1000020475,
0.0267864,um/s,Track,1000020486,
0.0392409,um/s,Track,1000020497,
0.0335385,um/s,Track,1000020507,
0.0356744,um/s,Track,1000020516,
0.0401231,um/s,Track,1000020521,
0.0332301,um/s,Track,1000020533,
0.041304,um/s,Track,1000020536,
0.0393232,um/s,Track,1000020556,
0.0762112,um/s,Track,1000020594,
0.0180601,um/s,Track,1000020611,
0.0203724,um/s,Track,1000020618,
0.0447387,um/s,Track,1000020622,
0.0438368,um/s,Track,1000020625,
0.0415981,um/s,Track,1000020644,
0.0302622,um/s,Track,1000020652,
0.0691959,um/s,Track,1000020662,
0.0446227,um/s,Track,1000020673,
0.0246444,um/s,Track,1000020676,
0.047977,um/s,Track,1000020690,
0.0951879,um/s,Track,1000020691,
0.0490901,um/s,Track,1000020693,
0.0347133,um/s,Track,1000020709,
0.0639068,um/s,Track,1000020710,
0.0234895,um/s,Track,1000020724,
0.0666411,um/s,Track,1000020737,
0.0560279,um/s,Track,1000020760,
0.0349904,um/s,Track,1000020787,
0.050821,um/s,Track,1000020788,
0.0546911,um/s,Track,1000020805,
0.072758,um/s,Track,1000020823,
0.0392051,um/s,Track,1000020845,
0.0846886,um/s,Track,1000020850,
0.0400335,um/s,Track,1000020869,
0.0459647,um/s,Track,1000020890,
0.0312812,um/s,Track,1000020917,
0.0313463,um/s,Track,1000020919,
0.0479691,um/s,Track,1000020924,
0.0405735,um/s,Track,1000020929,
0.0382137,um/s,Track,1000020942,
0.0543247,um/s,Track,1000020962,
0.0324462,um/s,Track,1000020967,
0.0387487,um/s,Track,1000020974,
