
Track Speed Min
 ==================== 
Track Speed Min,Unit,Category,ID,
0.0401746,um/s,Track,1000018754,
0.0177536,um/s,Track,1000018755,
0.0250167,um/s,Track,1000018756,
0.0109855,um/s,Track,1000018757,
0.0265727,um/s,Track,1000018758,
0.00551335,um/s,Track,1000018759,
0.0178406,um/s,Track,1000018760,
0.0233766,um/s,Track,1000018761,
0.0239096,um/s,Track,1000018762,
0.015472,um/s,Track,1000018763,
0.0198608,um/s,Track,1000018764,
0.0364186,um/s,Track,1000018765,
0.0115466,um/s,Track,1000018766,
0.0160741,um/s,Track,1000018767,
0.0162001,um/s,Track,1000018768,
0.0159858,um/s,Track,1000018769,
0.0169768,um/s,Track,1000018770,
0.00551335,um/s,Track,1000018771,
0.0426478,um/s,Track,1000018772,
0.0127283,um/s,Track,1000018773,
0.0182365,um/s,Track,1000018774,
0.0187419,um/s,Track,1000018775,
0.0176823,um/s,Track,1000018776,
0.02046,um/s,Track,1000018777,
0.0174364,um/s,Track,1000018778,
0.00713769,um/s,Track,1000018779,
0.0124797,um/s,Track,1000018788,
0.0313652,um/s,Track,1000018794,
0.00582731,um/s,Track,1000018797,
0.00700329,um/s,Track,1000018799,
0.0221032,um/s,Track,1000018802,
0.0252176,um/s,Track,1000018809,
0.0409367,um/s,Track,1000018812,
0.0580285,um/s,Track,1000018816,
0.0233909,um/s,Track,1000018858,
0.033164,um/s,Track,1000018867,
0.0116588,um/s,Track,1000018904,
0.0371129,um/s,Track,1000018912,
0.0360228,um/s,Track,1000018913,
0.0198533,um/s,Track,1000018919,
0.014432,um/s,Track,1000018930,
0.028261,um/s,Track,1000018933,
0.0177609,um/s,Track,1000018947,
0.0331945,um/s,Track,1000018964,
0.013156,um/s,Track,1000018970,
0.024794,um/s,Track,1000018978,
0.0124776,um/s,Track,1000018996,
0.0385827,um/s,Track,1000019002,
0.034261,um/s,Track,1000019003,
0.0241492,um/s,Track,1000019004,
0.0223184,um/s,Track,1000019007,
0.0232788,um/s,Track,1000019049,
0.0218386,um/s,Track,1000019064,
0.0160687,um/s,Track,1000019087,
0.0265947,um/s,Track,1000019108,
0.0225645,um/s,Track,1000019109,
0.0183193,um/s,Track,1000019114,
0.0172888,um/s,Track,1000019133,
0.00691144,um/s,Track,1000019150,
0.0219029,um/s,Track,1000019152,
0.0174351,um/s,Track,1000019180,
0.0473036,um/s,Track,1000019191,
0.011686,um/s,Track,1000019216,
0.0337547,um/s,Track,1000019240,
0.0646818,um/s,Track,1000019271,
0.0610831,um/s,Track,1000019284,
0.0142911,um/s,Track,1000019297,
0.027102,um/s,Track,1000019310,
0.0244176,um/s,Track,1000019324,
0.0115971,um/s,Track,1000019340,
0.0375138,um/s,Track,1000019350,
0.0213556,um/s,Track,1000019353,
0.0211374,um/s,Track,1000019354,
0.0307851,um/s,Track,1000019361,
0.0275953,um/s,Track,1000019395,
0.0137301,um/s,Track,1000019396,
0.0218435,um/s,Track,1000019405,
0.0160194,um/s,Track,1000019412,
0.0462553,um/s,Track,1000019436,
0.0295075,um/s,Track,1000019450,
0.0291444,um/s,Track,1000019465,
0.0201132,um/s,Track,1000019472,
0.0279775,um/s,Track,1000019477,
0.0200958,um/s,Track,1000019486,
0.00813951,um/s,Track,1000019491,
0.0495911,um/s,Track,1000019516,
0.0226496,um/s,Track,1000019522,
0.0133634,um/s,Track,1000019553,
0.0218164,um/s,Track,1000019599,
0.042219,um/s,Track,1000019600,
0.0389231,um/s,Track,1000019614,
0.0155803,um/s,Track,1000019617,
0.0311078,um/s,Track,1000019632,
0.0654865,um/s,Track,1000019633,
0.00690974,um/s,Track,1000019658,
0.0219649,um/s,Track,1000019676,
0.0238928,um/s,Track,1000019699,
0.0548818,um/s,Track,1000019726,
0.0223851,um/s,Track,1000019742,
0.0260988,um/s,Track,1000019751,
0.0172898,um/s,Track,1000019755,
0.0315746,um/s,Track,1000019758,
0.0188531,um/s,Track,1000019764,
0.0265596,um/s,Track,1000019783,
0.0440638,um/s,Track,1000019786,
0.0116391,um/s,Track,1000019826,
0.0226134,um/s,Track,1000019827,
0.0139605,um/s,Track,1000019831,
0.0116659,um/s,Track,1000019844,
0.0272462,um/s,Track,1000019845,
0.0116659,um/s,Track,1000019850,
0.0187693,um/s,Track,1000019861,
0,um/s,Track,1000019878,
0.036016,um/s,Track,1000019903,
0.0168388,um/s,Track,1000019906,
0.0116659,um/s,Track,1000019933,
0.0158442,um/s,Track,1000019940,
0.0221569,um/s,Track,1000019946,
0.0294585,um/s,Track,1000019966,
0.0200014,um/s,Track,1000019974,
0.0221812,um/s,Track,1000020053,
0.0310131,um/s,Track,1000020057,
0.0213849,um/s,Track,1000020077,
0.015089,um/s,Track,1000020087,
0.0231213,um/s,Track,1000020103,
0.0188329,um/s,Track,1000020120,
0.01014,um/s,Track,1000020125,
0.0238197,um/s,Track,1000020126,
0.00881254,um/s,Track,1000020133,
0.0118428,um/s,Track,1000020165,
0.037291,um/s,Track,1000020170,
0.0136268,um/s,Track,1000020171,
0.0203319,um/s,Track,1000020183,
0.0111454,um/s,Track,1000020189,
0.0115331,um/s,Track,1000020218,
0.0234854,um/s,Track,1000020219,
0.0549519,um/s,Track,1000020221,
0.0115218,um/s,Track,1000020222,
0.0429486,um/s,Track,1000020224,
0.0580062,um/s,Track,1000020226,
0.0208657,um/s,Track,1000020228,
0.0238885,um/s,Track,1000020245,
0.0125666,um/s,Track,1000020250,
0.0169151,um/s,Track,1000020287,
0.0490817,um/s,Track,1000020289,
0.0156816,um/s,Track,1000020293,
0.0155656,um/s,Track,1000020297,
0.0111895,um/s,Track,1000020331,
0.0234324,um/s,Track,1000020336,
0.0317241,um/s,Track,1000020363,
0.0265976,um/s,Track,1000020386,
0.026093,um/s,Track,1000020388,
0.0288993,um/s,Track,1000020440,
0.0343457,um/s,Track,1000020457,
0.0305087,um/s,Track,1000020475,
0.0157249,um/s,Track,1000020486,
0.0272172,um/s,Track,1000020497,
0.018479,um/s,Track,1000020507,
0.00218526,um/s,Track,1000020516,
0.0115545,um/s,Track,1000020521,
0.0141485,um/s,Track,1000020533,
0.0183134,um/s,Track,1000020536,
0.0193918,um/s,Track,1000020556,
0.0491929,um/s,Track,1000020594,
0.00552191,um/s,Track,1000020611,
0.0101182,um/s,Track,1000020618,
0.015102,um/s,Track,1000020622,
0.0232137,um/s,Track,1000020625,
0.0229082,um/s,Track,1000020644,
0.0171204,um/s,Track,1000020652,
0.0396168,um/s,Track,1000020662,
0.0290729,um/s,Track,1000020673,
0.0039818,um/s,Track,1000020676,
0.0248708,um/s,Track,1000020690,
0.011212,um/s,Track,1000020691,
0.0323878,um/s,Track,1000020693,
0.0130957,um/s,Track,1000020709,
0.0332682,um/s,Track,1000020710,
0.0115185,um/s,Track,1000020724,
0.0209737,um/s,Track,1000020737,
0.0415376,um/s,Track,1000020760,
0.0145266,um/s,Track,1000020787,
0.0189339,um/s,Track,1000020788,
0.0218058,um/s,Track,1000020805,
0.0546879,um/s,Track,1000020823,
0.0185957,um/s,Track,1000020845,
0.0467798,um/s,Track,1000020850,
0.0277471,um/s,Track,1000020869,
0.0302277,um/s,Track,1000020890,
0.00812967,um/s,Track,1000020917,
0.0163406,um/s,Track,1000020919,
0.028557,um/s,Track,1000020924,
0.0302107,um/s,Track,1000020929,
0.0254922,um/s,Track,1000020942,
0.0405085,um/s,Track,1000020962,
0.0159581,um/s,Track,1000020967,
0.0259162,um/s,Track,1000020974,
