
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
109.657,19.6544,90.0027,°,Surface,Velocity Angle,1,1000018754,18754,
36.8865,59.0592,108.041,°,Surface,Velocity Angle,1,1000018755,18755,
107.958,157.649,77.1299,°,Surface,Velocity Angle,1,1000018756,18756,
136.798,64.0689,58.2161,°,Surface,Velocity Angle,1,1000018757,18757,
59.1603,85.4787,148.76,°,Surface,Velocity Angle,1,1000018758,18758,
135.007,45.0045,90.0027,°,Surface,Velocity Angle,1,1000018759,18759,
47.3184,42.6842,90.0027,°,Surface,Velocity Angle,1,1000018760,18760,
37.0682,77.3202,124.153,°,Surface,Velocity Angle,1,1000018761,18761,
131.947,64.2533,52.8619,°,Surface,Velocity Angle,1,1000018762,18762,
43.5706,72.2339,51.832,°,Surface,Velocity Angle,1,1000018763,18763,
133.399,104.207,133.157,°,Surface,Velocity Angle,1,1000018764,18764,
27.378,65.2408,79.0596,°,Surface,Velocity Angle,1,1000018765,18765,
110.919,90.0027,20.9165,°,Surface,Velocity Angle,1,1000018766,18766,
104.04,14.0374,90.0027,°,Surface,Velocity Angle,1,1000018767,18767,
52.6304,62.3452,130.175,°,Surface,Velocity Angle,1,1000018768,18768,
46.6831,95.1058,136.232,°,Surface,Velocity Angle,1,1000018769,18769,
23.5599,69.6879,78.5783,°,Surface,Velocity Angle,1,1000018770,18770,
135.001,44.9982,90.0027,°,Surface,Velocity Angle,1,1000018771,18771,
118.082,76.3909,31.752,°,Surface,Velocity Angle,1,1000018772,18772,
135.004,45.0013,90.0027,°,Surface,Velocity Angle,1,1000018773,18773,
117.686,64.6079,39.2173,°,Surface,Velocity Angle,1,1000018774,18774,
56.3112,146.314,90.0027,°,Surface,Velocity Angle,1,1000018775,18775,
146.014,123.994,90.0027,°,Surface,Velocity Angle,1,1000018776,18776,
150.596,117.669,80.8084,°,Surface,Velocity Angle,1,1000018777,18777,
76.1395,116.062,30.0265,°,Surface,Velocity Angle,1,1000018778,18778,
159.448,110.56,90.0027,°,Surface,Velocity Angle,1,1000018779,18779,
55.2399,42.627,111.436,°,Surface,Velocity Angle,2,1000018770,18780,
78.6922,11.3105,90.0027,°,Surface,Velocity Angle,2,1000018754,18781,
36.1412,56.4085,101.784,°,Surface,Velocity Angle,2,1000018755,18782,
90.0027,180.005,90.0027,°,Surface,Velocity Angle,2,1000018756,18783,
53.423,53.425,122.573,°,Surface,Velocity Angle,2,1000018757,18784,
60.0492,63.0074,137.568,°,Surface,Velocity Angle,2,1000018759,18785,
69.0247,69.0249,149.588,°,Surface,Velocity Angle,2,1000018758,18786,
40.0726,52.5054,77.9109,°,Surface,Velocity Angle,2,1000018760,18787,
97.8822,113.135,24.5878,°,Surface,Velocity Angle,2,1000018788,18788,
20.0572,78.596,106.274,°,Surface,Velocity Angle,2,1000018761,18789,
51.6122,39.2772,97.0654,°,Surface,Velocity Angle,2,1000018762,18790,
60.0209,56.0213,131.437,°,Surface,Velocity Angle,2,1000018763,18791,
72.8305,99.22,160.378,°,Surface,Velocity Angle,2,1000018764,18792,
29.1503,67.638,72.2974,°,Surface,Velocity Angle,2,1000018765,18793,
90.0027,53.5736,36.429,°,Surface,Velocity Angle,2,1000018794,18794,
91.6484,108.108,18.1853,°,Surface,Velocity Angle,2,1000018766,18795,
82.1975,82.1975,11.0729,°,Surface,Velocity Angle,2,1000018767,18796,
75.9675,14.0352,90.0027,°,Surface,Velocity Angle,2,1000018797,18797,
28.5121,68.0816,107.308,°,Surface,Velocity Angle,2,1000018768,18798,
110.859,37.1454,60.8122,°,Surface,Velocity Angle,2,1000018799,18799,
77.2314,36.9052,56.0627,°,Surface,Velocity Angle,2,1000018769,18800,
70.4248,75.4473,155.243,°,Surface,Velocity Angle,2,1000018771,18801,
93.4824,20.8567,110.54,°,Surface,Velocity Angle,2,1000018802,18802,
75.0673,75.0676,21.3756,°,Surface,Velocity Angle,2,1000018772,18803,
98.1318,8.12912,90.0027,°,Surface,Velocity Angle,2,1000018773,18804,
111.805,21.8019,90.0027,°,Surface,Velocity Angle,2,1000018774,18805,
33.1798,123.183,90.0027,°,Surface,Velocity Angle,2,1000018775,18806,
118.783,28.7802,90.0027,°,Surface,Velocity Angle,2,1000018776,18807,
104.991,153.344,111.514,°,Surface,Velocity Angle,2,1000018777,18808,
73.2661,16.7366,90.0027,°,Surface,Velocity Angle,2,1000018809,18809,
0,90.0027,90.0027,°,Surface,Velocity Angle,2,1000018778,18810,
64.8007,25.2019,90.0027,°,Surface,Velocity Angle,2,1000018779,18811,
58.2887,38.5687,109.587,°,Surface,Velocity Angle,3,1000018812,18812,
36.8068,54.5911,98.7613,°,Surface,Velocity Angle,3,1000018755,18813,
20.5625,108.189,99.2737,°,Surface,Velocity Angle,3,1000018756,18814,
84.1091,111.065,158.057,°,Surface,Velocity Angle,3,1000018757,18815,
24.08,74.2014,72.3135,°,Surface,Velocity Angle,3,1000018816,18816,
68.1959,75.6642,153.489,°,Surface,Velocity Angle,3,1000018759,18817,
145.012,55.0097,90.0027,°,Surface,Velocity Angle,3,1000018758,18818,
51.1797,42.8852,74.6495,°,Surface,Velocity Angle,3,1000018760,18819,
94.2966,125.406,35.7427,°,Surface,Velocity Angle,3,1000018788,18820,
21.3517,81.044,70.7879,°,Surface,Velocity Angle,3,1000018761,18821,
47.3566,119.121,123.482,°,Surface,Velocity Angle,3,1000018762,18822,
97.2752,71.4746,160.003,°,Surface,Velocity Angle,3,1000018763,18823,
51.8097,93.0582,141.645,°,Surface,Velocity Angle,3,1000018764,18824,
52.3144,42.5113,106.731,°,Surface,Velocity Angle,3,1000018765,18825,
125.121,111.961,43.3236,°,Surface,Velocity Angle,3,1000018794,18826,
40.9045,81.1899,129.543,°,Surface,Velocity Angle,3,1000018766,18827,
87.4053,100.446,10.7681,°,Surface,Velocity Angle,3,1000018767,18828,
54.4158,52.8818,123.038,°,Surface,Velocity Angle,3,1000018797,18829,
70.5923,101.595,22.8525,°,Surface,Velocity Angle,3,1000018768,18830,
105.455,39.8468,54.361,°,Surface,Velocity Angle,3,1000018799,18831,
135.003,45.0005,90.0027,°,Surface,Velocity Angle,3,1000018754,18832,
102.951,32.3205,60.9619,°,Surface,Velocity Angle,3,1000018769,18833,
96.0331,52.6933,37.9632,°,Surface,Velocity Angle,3,1000018770,18834,
74.7773,79.9197,161.607,°,Surface,Velocity Angle,3,1000018771,18835,
104.573,41.0051,127.302,°,Surface,Velocity Angle,3,1000018802,18836,
84.9288,58.9463,148.444,°,Surface,Velocity Angle,3,1000018772,18837,
15.6427,74.3599,90.0027,°,Surface,Velocity Angle,3,1000018773,18838,
56.4673,86.8354,146.28,°,Surface,Velocity Angle,3,1000018774,18839,
7.29659,82.7061,90.0027,°,Surface,Velocity Angle,3,1000018775,18840,
77.4743,12.5284,90.0027,°,Surface,Velocity Angle,3,1000018776,18841,
8.69677,86.8713,98.108,°,Surface,Velocity Angle,3,1000018777,18842,
48.3835,57.1814,120.994,°,Surface,Velocity Angle,3,1000018809,18843,
57.1488,90.0027,147.152,°,Surface,Velocity Angle,3,1000018778,18844,
59.3787,30.6239,90.0027,°,Surface,Velocity Angle,3,1000018779,18845,
74.4083,101.148,19.3361,°,Surface,Velocity Angle,4,1000018770,18846,
114.138,128.508,131.859,°,Surface,Velocity Angle,4,1000018769,18847,
172.881,97.1273,90.0027,°,Surface,Velocity Angle,4,1000018754,18848,
87.0445,22.1164,68.1059,°,Surface,Velocity Angle,4,1000018812,18849,
103.118,15.1185,97.3914,°,Surface,Velocity Angle,4,1000018755,18850,
65.4395,155.091,93.9175,°,Surface,Velocity Angle,4,1000018756,18851,
120.688,116.252,137.528,°,Surface,Velocity Angle,4,1000018757,18852,
104.04,165.968,90.0027,°,Surface,Velocity Angle,4,1000018758,18853,
87.4616,96.1117,173.385,°,Surface,Velocity Angle,4,1000018759,18854,
53.2138,106.836,138.307,°,Surface,Velocity Angle,4,1000018816,18855,
127.485,72.2877,137.134,°,Surface,Velocity Angle,4,1000018760,18856,
120.201,102.729,146.699,°,Surface,Velocity Angle,4,1000018788,18857,
60.2707,138.067,116.618,°,Surface,Velocity Angle,4,1000018858,18858,
32.49,122.111,85.5513,°,Surface,Velocity Angle,4,1000018761,18859,
113.747,118.021,38.2219,°,Surface,Velocity Angle,4,1000018762,18860,
82.522,126.56,142.438,°,Surface,Velocity Angle,4,1000018764,18861,
116.048,43.2273,121.713,°,Surface,Velocity Angle,4,1000018763,18862,
