
Area
 ==================== 
Area,Unit,Category,Time,TrackID,ID,
31.3986,µm^2,Spot,1,1000000426,426,
79.1188,µm^2,Spot,1,1000005575,5575,
38.825,µm^2,Spot,1,1000008102,8102,
7.84976,µm^2,Spot,1,1000011182,11182,
38.825,µm^2,Spot,1,1000014633,14633,
25.919,µm^2,Spot,1,1000014915,14915,
22.9526,µm^2,Spot,1,1000018381,18381,
51.8976,µm^2,Spot,1,1000019405,19405,
45.5968,µm^2,Spot,1,1000022248,22248,
38.825,µm^2,Spot,1,1000023039,23039,
38.825,µm^2,Spot,1,1000023639,23639,
33.9635,µm^2,Spot,1,1000024512,24512,
41.1437,µm^2,Spot,1,1000025762,25762,
33.9635,µm^2,Spot,1,1000025863,25863,
31.3986,µm^2,Spot,1,1000025898,25898,
33.9635,µm^2,Spot,1,1000026374,26374,
7.84976,µm^2,Spot,1,1000026660,26660,
43.3988,µm^2,Spot,1,1000026789,26789,
36.4348,µm^2,Spot,1,1000026990,26990,
57.8364,µm^2,Spot,1,1000027048,27048,
53.9134,µm^2,Spot,1,1000027245,27245,
47.743,µm^2,Spot,1,1000027656,27656,
45.5968,µm^2,Spot,1,1000028849,28849,
45.5968,µm^2,Spot,1,1000028860,28860,
28.7243,µm^2,Spot,1,1000029962,29962,
25.919,µm^2,Spot,2,1000000426,31408,
47.743,µm^2,Spot,2,1000034728,34728,
36.4348,µm^2,Spot,2,1000005575,36136,
36.4348,µm^2,Spot,2,1000008102,38443,
57.8364,µm^2,Spot,2,1000011182,41290,
31.3986,µm^2,Spot,2,1000014633,44511,
31.3986,µm^2,Spot,2,1000014915,44743,
33.9635,µm^2,Spot,2,1000018381,48029,
53.9134,µm^2,Spot,2,1000019405,48982,
68.891,µm^2,Spot,2,1000023639,50349,
43.3988,µm^2,Spot,2,1000022248,51941,
63.4843,µm^2,Spot,2,1000023039,52388,
41.1437,µm^2,Spot,2,1000024512,53806,
36.4348,µm^2,Spot,2,1000026990,53878,
47.743,µm^2,Spot,2,1000025863,54980,
31.3986,µm^2,Spot,2,1000025898,55022,
7.84976,µm^2,Spot,2,1000025762,55178,
38.825,µm^2,Spot,2,1000026374,55483,
33.9635,µm^2,Spot,2,1000026660,55751,
51.8976,µm^2,Spot,2,1000026789,55877,
49.842,µm^2,Spot,2,1000027048,56142,
