
Average Distance To 5 Nearest Neighbours
 ==================== 
Average Distance To 5 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
153.449,µm,Spot,1,1000000426,426,
97.8369,µm,Spot,1,1000005575,5575,
86.6981,µm,Spot,1,1000008102,8102,
97.6255,µm,Spot,1,1000011182,11182,
114.434,µm,Spot,1,1000014633,14633,
49.0945,µm,Spot,1,1000014915,14915,
69.6078,µm,Spot,1,1000018381,18381,
69.5457,µm,Spot,1,1000019405,19405,
76.7751,µm,Spot,1,1000022248,22248,
39.7015,µm,Spot,1,1000023039,23039,
45.0883,µm,Spot,1,1000023639,23639,
89.1881,µm,Spot,1,1000024512,24512,
43.6892,µm,Spot,1,1000025762,25762,
53.7,µm,Spot,1,1000025863,25863,
75.4304,µm,Spot,1,1000025898,25898,
38.4807,µm,Spot,1,1000026374,26374,
31.9585,µm,Spot,1,1000026660,26660,
59.0728,µm,Spot,1,1000026789,26789,
45.1209,µm,Spot,1,1000026990,26990,
51.8421,µm,Spot,1,1000027048,27048,
48.4946,µm,Spot,1,1000027245,27245,
60.2229,µm,Spot,1,1000027656,27656,
30.0641,µm,Spot,1,1000028849,28849,
30.269,µm,Spot,1,1000028860,28860,
66.2222,µm,Spot,1,1000029962,29962,
125.816,µm,Spot,2,1000000426,31408,
106.538,µm,Spot,2,1000034728,34728,
96.8682,µm,Spot,2,1000005575,36136,
88.5977,µm,Spot,2,1000008102,38443,
91.693,µm,Spot,2,1000011182,41290,
110.42,µm,Spot,2,1000014633,44511,
49.5518,µm,Spot,2,1000014915,44743,
70.2651,µm,Spot,2,1000018381,48029,
68.6791,µm,Spot,2,1000019405,48982,
40.0554,µm,Spot,2,1000023639,50349,
76.4285,µm,Spot,2,1000022248,51941,
40.6303,µm,Spot,2,1000023039,52388,
82.9399,µm,Spot,2,1000024512,53806,
39.4365,µm,Spot,2,1000026990,53878,
54.7401,µm,Spot,2,1000025863,54980,
75.6669,µm,Spot,2,1000025898,55022,
43.5728,µm,Spot,2,1000025762,55178,
39.0485,µm,Spot,2,1000026374,55483,
31.6871,µm,Spot,2,1000026660,55751,
58.9425,µm,Spot,2,1000026789,55877,
44.7988,µm,Spot,2,1000027048,56142,
41.1332,µm,Spot,2,1000027245,56330,
52.4434,µm,Spot,2,1000027656,56728,
30.3026,µm,Spot,2,1000028849,57830,
30.3515,µm,Spot,2,1000028860,57836,
45.1395,µm,Spot,2,1000058544,58544,
58.1646,µm,Spot,2,1000029962,58891,
124.747,µm,Spot,3,1000000426,60244,
106.04,µm,Spot,3,1000034728,63643,
83.237,µm,Spot,3,1000005575,65097,
75.063,µm,Spot,3,1000008102,67443,
88.057,µm,Spot,3,1000069455,69455,
81.1954,µm,Spot,3,1000011182,70317,
71.0077,µm,Spot,3,1000071729,71729,
101.049,µm,Spot,3,1000014633,73446,
50.561,µm,Spot,3,1000014915,73705,
62.2173,µm,Spot,3,1000074239,74239,
58.48,µm,Spot,3,1000018381,76943,
62.3612,µm,Spot,3,1000019405,77924,
40.5613,µm,Spot,3,1000023639,79247,
45.0991,µm,Spot,3,1000080712,80712,
73.3806,µm,Spot,3,1000022248,80953,
39.0792,µm,Spot,3,1000023039,81387,
53.1661,µm,Spot,3,1000082174,82174,
42.6686,µm,Spot,3,1000025863,84084,
71.6774,µm,Spot,3,1000025898,84121,
42.88,µm,Spot,3,1000025762,84276,
39.1999,µm,Spot,3,1000026374,84574,
31.831,µm,Spot,3,1000026660,84846,
66.2659,µm,Spot,3,1000024512,85119,
39.9408,µm,Spot,3,1000026990,85188,
45.2411,µm,Spot,3,1000027048,85231,
37.1884,µm,Spot,3,1000027245,85436,
51.2926,µm,Spot,3,1000027656,85840,
29.8155,µm,Spot,3,1000028860,87067,
29.9588,µm,Spot,3,1000028849,87068,
48.0725,µm,Spot,3,1000026789,87113,
45.765,µm,Spot,3,1000058544,87764,
51.3796,µm,Spot,3,1000029962,88111,
124.482,µm,Spot,4,1000000426,89999,
106.521,µm,Spot,4,1000034728,92817,
64.8353,µm,Spot,4,1000005575,94472,
63.7222,µm,Spot,4,1000094504,94504,
75.1395,µm,Spot,4,1000008102,96642,
81.5901,µm,Spot,4,1000011182,99638,
