
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
3.16141,3.16141,3.16141,µm,Spot,Diameter,1,1000000426,426,
5.0184,5.0184,5.0184,µm,Spot,Diameter,1,1000005575,5575,
3.51545,3.51545,3.51545,µm,Spot,Diameter,1,1000008102,8102,
1.58071,1.58071,1.58071,µm,Spot,Diameter,1,1000011182,11182,
3.51545,3.51545,3.51545,µm,Spot,Diameter,1,1000014633,14633,
2.87233,2.87233,2.87233,µm,Spot,Diameter,1,1000014915,14915,
2.70297,2.70297,2.70297,µm,Spot,Diameter,1,1000018381,18381,
4.06442,4.06442,4.06442,µm,Spot,Diameter,1,1000019405,19405,
3.80971,3.80971,3.80971,µm,Spot,Diameter,1,1000022248,22248,
3.51545,3.51545,3.51545,µm,Spot,Diameter,1,1000023039,23039,
3.51545,3.51545,3.51545,µm,Spot,Diameter,1,1000023639,23639,
3.28799,3.28799,3.28799,µm,Spot,Diameter,1,1000024512,24512,
3.6189,3.6189,3.6189,µm,Spot,Diameter,1,1000025762,25762,
3.28799,3.28799,3.28799,µm,Spot,Diameter,1,1000025863,25863,
3.16141,3.16141,3.16141,µm,Spot,Diameter,1,1000025898,25898,
3.28799,3.28799,3.28799,µm,Spot,Diameter,1,1000026374,26374,
1.58071,1.58071,1.58071,µm,Spot,Diameter,1,1000026660,26660,
3.71676,3.71676,3.71676,µm,Spot,Diameter,1,1000026789,26789,
3.40552,3.40552,3.40552,µm,Spot,Diameter,1,1000026990,26990,
4.29068,4.29068,4.29068,µm,Spot,Diameter,1,1000027048,27048,
4.1426,4.1426,4.1426,µm,Spot,Diameter,1,1000027245,27245,
3.89834,3.89834,3.89834,µm,Spot,Diameter,1,1000027656,27656,
3.80971,3.80971,3.80971,µm,Spot,Diameter,1,1000028849,28849,
3.80971,3.80971,3.80971,µm,Spot,Diameter,1,1000028860,28860,
3.02378,3.02378,3.02378,µm,Spot,Diameter,1,1000029962,29962,
2.87233,2.87233,2.87233,µm,Spot,Diameter,2,1000000426,31408,
3.89834,3.89834,3.89834,µm,Spot,Diameter,2,1000034728,34728,
3.40552,3.40552,3.40552,µm,Spot,Diameter,2,1000005575,36136,
3.40552,3.40552,3.40552,µm,Spot,Diameter,2,1000008102,38443,
4.29068,4.29068,4.29068,µm,Spot,Diameter,2,1000011182,41290,
3.16141,3.16141,3.16141,µm,Spot,Diameter,2,1000014633,44511,
3.16141,3.16141,3.16141,µm,Spot,Diameter,2,1000014915,44743,
3.28799,3.28799,3.28799,µm,Spot,Diameter,2,1000018381,48029,
4.1426,4.1426,4.1426,µm,Spot,Diameter,2,1000019405,48982,
4.68281,4.68281,4.68281,µm,Spot,Diameter,2,1000023639,50349,
3.71676,3.71676,3.71676,µm,Spot,Diameter,2,1000022248,51941,
4.49529,4.49529,4.49529,µm,Spot,Diameter,2,1000023039,52388,
3.6189,3.6189,3.6189,µm,Spot,Diameter,2,1000024512,53806,
3.40552,3.40552,3.40552,µm,Spot,Diameter,2,1000026990,53878,
3.89834,3.89834,3.89834,µm,Spot,Diameter,2,1000025863,54980,
3.16141,3.16141,3.16141,µm,Spot,Diameter,2,1000025898,55022,
1.58071,1.58071,1.58071,µm,Spot,Diameter,2,1000025762,55178,
3.51545,3.51545,3.51545,µm,Spot,Diameter,2,1000026374,55483,
3.28799,3.28799,3.28799,µm,Spot,Diameter,2,1000026660,55751,
4.06442,4.06442,4.06442,µm,Spot,Diameter,2,1000026789,55877,
3.98311,3.98311,3.98311,µm,Spot,Diameter,2,1000027048,56142,
3.80971,3.80971,3.80971,µm,Spot,Diameter,2,1000027245,56330,
3.6189,3.6189,3.6189,µm,Spot,Diameter,2,1000027656,56728,
3.02378,3.02378,3.02378,µm,Spot,Diameter,2,1000028849,57830,
3.71676,3.71676,3.71676,µm,Spot,Diameter,2,1000028860,57836,
3.89834,3.89834,3.89834,µm,Spot,Diameter,2,1000058544,58544,
2.70297,2.70297,2.70297,µm,Spot,Diameter,2,1000029962,58891,
4.1426,4.1426,4.1426,µm,Spot,Diameter,3,1000000426,60244,
3.89834,3.89834,3.89834,µm,Spot,Diameter,3,1000034728,63643,
4.79993,4.79993,4.79993,µm,Spot,Diameter,3,1000005575,65097,
3.40552,3.40552,3.40552,µm,Spot,Diameter,3,1000008102,67443,
5.45058,5.45058,5.45058,µm,Spot,Diameter,3,1000069455,69455,
3.89834,3.89834,3.89834,µm,Spot,Diameter,3,1000011182,70317,
4.55952,4.55952,4.55952,µm,Spot,Diameter,3,1000071729,71729,
3.16141,3.16141,3.16141,µm,Spot,Diameter,3,1000014633,73446,
5.21934,5.21934,5.21934,µm,Spot,Diameter,3,1000014915,73705,
3.89834,3.89834,3.89834,µm,Spot,Diameter,3,1000074239,74239,
2.70297,2.70297,2.70297,µm,Spot,Diameter,3,1000018381,76943,
3.6189,3.6189,3.6189,µm,Spot,Diameter,3,1000019405,77924,
3.80971,3.80971,3.80971,µm,Spot,Diameter,3,1000023639,79247,
3.16141,3.16141,3.16141,µm,Spot,Diameter,3,1000080712,80712,
2.50922,2.50922,2.50922,µm,Spot,Diameter,3,1000022248,80953,
3.51545,3.51545,3.51545,µm,Spot,Diameter,3,1000023039,81387,
4.06442,4.06442,4.06442,µm,Spot,Diameter,3,1000082174,82174,
4.29068,4.29068,4.29068,µm,Spot,Diameter,3,1000025863,84084,
3.02378,3.02378,3.02378,µm,Spot,Diameter,3,1000025898,84121,
3.02378,3.02378,3.02378,µm,Spot,Diameter,3,1000025762,84276,
2.70297,2.70297,2.70297,µm,Spot,Diameter,3,1000026374,84574,
3.28799,3.28799,3.28799,µm,Spot,Diameter,3,1000026660,84846,
3.40552,3.40552,3.40552,µm,Spot,Diameter,3,1000024512,85119,
3.28799,3.28799,3.28799,µm,Spot,Diameter,3,1000026990,85188,
3.28799,3.28799,3.28799,µm,Spot,Diameter,3,1000027048,85231,
3.02378,3.02378,3.02378,µm,Spot,Diameter,3,1000027245,85436,
4.06442,4.06442,4.06442,µm,Spot,Diameter,3,1000027656,85840,
3.6189,3.6189,3.6189,µm,Spot,Diameter,3,1000028860,87067,
3.71676,3.71676,3.71676,µm,Spot,Diameter,3,1000028849,87068,
1.58071,1.58071,1.58071,µm,Spot,Diameter,3,1000026789,87113,
3.28799,3.28799,3.28799,µm,Spot,Diameter,3,1000058544,87764,
3.02378,3.02378,3.02378,µm,Spot,Diameter,3,1000029962,88111,
2.87233,2.87233,2.87233,µm,Spot,Diameter,4,1000000426,89999,
3.28799,3.28799,3.28799,µm,Spot,Diameter,4,1000034728,92817,
3.6189,3.6189,3.6189,µm,Spot,Diameter,4,1000005575,94472,
4.91159,4.91159,4.91159,µm,Spot,Diameter,4,1000094504,94504,
3.16141,3.16141,3.16141,µm,Spot,Diameter,4,1000008102,96642,
4.36103,4.36103,4.36103,µm,Spot,Diameter,4,1000011182,99638,
4.49529,4.49529,4.49529,µm,Spot,Diameter,4,1000071729,100780,
1.58071,1.58071,1.58071,µm,Spot,Diameter,4,1000069455,101402,
3.40552,3.40552,3.40552,µm,Spot,Diameter,4,1000014633,102466,
4.21794,4.21794,4.21794,µm,Spot,Diameter,4,1000014915,102705,
