
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,µm,Spot,Displacement Delta,1,1000000426,426,
0,0,0,µm,Spot,Displacement Delta,1,1000005575,5575,
0,0,0,µm,Spot,Displacement Delta,1,1000008102,8102,
0,0,0,µm,Spot,Displacement Delta,1,1000011182,11182,
0,0,0,µm,Spot,Displacement Delta,1,1000014633,14633,
0,0,0,µm,Spot,Displacement Delta,1,1000014915,14915,
0,0,0,µm,Spot,Displacement Delta,1,1000018381,18381,
0,0,0,µm,Spot,Displacement Delta,1,1000019405,19405,
0,0,0,µm,Spot,Displacement Delta,1,1000022248,22248,
0,0,0,µm,Spot,Displacement Delta,1,1000023039,23039,
0,0,0,µm,Spot,Displacement Delta,1,1000023639,23639,
0,0,0,µm,Spot,Displacement Delta,1,1000024512,24512,
0,0,0,µm,Spot,Displacement Delta,1,1000025762,25762,
0,0,0,µm,Spot,Displacement Delta,1,1000025863,25863,
0,0,0,µm,Spot,Displacement Delta,1,1000025898,25898,
0,0,0,µm,Spot,Displacement Delta,1,1000026374,26374,
0,0,0,µm,Spot,Displacement Delta,1,1000026660,26660,
0,0,0,µm,Spot,Displacement Delta,1,1000026789,26789,
0,0,0,µm,Spot,Displacement Delta,1,1000026990,26990,
0,0,0,µm,Spot,Displacement Delta,1,1000027048,27048,
0,0,0,µm,Spot,Displacement Delta,1,1000027245,27245,
0,0,0,µm,Spot,Displacement Delta,1,1000027656,27656,
0,0,0,µm,Spot,Displacement Delta,1,1000028849,28849,
0,0,0,µm,Spot,Displacement Delta,1,1000028860,28860,
0,0,0,µm,Spot,Displacement Delta,1,1000029962,29962,
-2.41664,0.983139,0,µm,Spot,Displacement Delta,2,1000000426,31408,
0,0,0,µm,Spot,Displacement Delta,2,1000034728,34728,
-0.382584,3.52858,0.408693,µm,Spot,Displacement Delta,2,1000005575,36136,
-4.08859,-1.83008,0.0600224,µm,Spot,Displacement Delta,2,1000008102,38443,
-2.01295,-0.308987,0.0185547,µm,Spot,Displacement Delta,2,1000011182,41290,
-0.950211,0.390289,0.590649,µm,Spot,Displacement Delta,2,1000014633,44511,
-1.84137,-1.14737,-0.315834,µm,Spot,Displacement Delta,2,1000014915,44743,
-0.107513,1.19003,0.136101,µm,Spot,Displacement Delta,2,1000018381,48029,
-1.66071,1.48908,-0.27346,µm,Spot,Displacement Delta,2,1000019405,48982,
-1.3339,1.04343,-1.16461,µm,Spot,Displacement Delta,2,1000023639,50349,
-3.36667,2.03754,1.57651,µm,Spot,Displacement Delta,2,1000022248,51941,
-1.91946,0.7108,0.415382,µm,Spot,Displacement Delta,2,1000023039,52388,
0.10817,1.73679,0.155205,µm,Spot,Displacement Delta,2,1000024512,53806,
-0.431915,-2.34747,-0.70665,µm,Spot,Displacement Delta,2,1000026990,53878,
-3.31592,-0.292175,0.0499268,µm,Spot,Displacement Delta,2,1000025863,54980,
-1.54767,-0.107651,1.05189,µm,Spot,Displacement Delta,2,1000025898,55022,
-0.939728,0.182007,2.28545,µm,Spot,Displacement Delta,2,1000025762,55178,
-0.811646,-0.932877,0.474594,µm,Spot,Displacement Delta,2,1000026374,55483,
-1.09848,0.493973,-0.472786,µm,Spot,Displacement Delta,2,1000026660,55751,
-2.1889,-1.09987,1.15461,µm,Spot,Displacement Delta,2,1000026789,55877,
-1.24559,0.310608,-0.00590515,µm,Spot,Displacement Delta,2,1000027048,56142,
-2.64931,1.37192,-0.0382462,µm,Spot,Displacement Delta,2,1000027245,56330,
-1.94398,0.672974,0.278908,µm,Spot,Displacement Delta,2,1000027656,56728,
-0.617981,0.502625,-0.1493,µm,Spot,Displacement Delta,2,1000028849,57830,
-0.948242,0.140076,0.0800323,µm,Spot,Displacement Delta,2,1000028860,57836,
0,0,0,µm,Spot,Displacement Delta,2,1000058544,58544,
-1.53685,-1.40747,0,µm,Spot,Displacement Delta,2,1000029962,58891,
2.74242,-0.539063,0,µm,Spot,Displacement Delta,3,1000000426,60244,
1.63229,-0.0229187,-0.349361,µm,Spot,Displacement Delta,3,1000034728,63643,
0.0441437,-1.98477,0.523815,µm,Spot,Displacement Delta,3,1000005575,65097,
0.594818,0.423119,0.0349598,µm,Spot,Displacement Delta,3,1000008102,67443,
0,0,0,µm,Spot,Displacement Delta,3,1000069455,69455,
1.70961,1.43026,0.618748,µm,Spot,Displacement Delta,3,1000011182,70317,
0,0,0,µm,Spot,Displacement Delta,3,1000071729,71729,
-1.16181,-0.313751,-0.912655,µm,Spot,Displacement Delta,3,1000014633,73446,
1.1488,-1.27722,-0.889744,µm,Spot,Displacement Delta,3,1000014915,73705,
0,0,0,µm,Spot,Displacement Delta,3,1000074239,74239,
-1.12106,-2.12209,-0.247543,µm,Spot,Displacement Delta,3,1000018381,76943,
0.292572,-1.21335,0.809944,µm,Spot,Displacement Delta,3,1000019405,77924,
0.850227,-0.279724,-1.6041,µm,Spot,Displacement Delta,3,1000023639,79247,
0,0,0,µm,Spot,Displacement Delta,3,1000080712,80712,
2.3096,1.66191,0.919029,µm,Spot,Displacement Delta,3,1000022248,80953,
-0.0334473,-1.13882,-0.13401,µm,Spot,Displacement Delta,3,1000023039,81387,
0,0,0,µm,Spot,Displacement Delta,3,1000082174,82174,
0.287338,-1.82376,0.670212,µm,Spot,Displacement Delta,3,1000025863,84084,
1.19003,1.90057,-0.185165,µm,Spot,Displacement Delta,3,1000025898,84121,
-1.56497,-0.8293,-0.0214157,µm,Spot,Displacement Delta,3,1000025762,84276,
-0.130371,0.233414,0.801666,µm,Spot,Displacement Delta,3,1000026374,84574,
0.794098,0.650497,0.533379,µm,Spot,Displacement Delta,3,1000026660,84846,
-2.57191,-1.8446,1.78252,µm,Spot,Displacement Delta,3,1000024512,85119,
1.7726,0.404297,0.934875,µm,Spot,Displacement Delta,3,1000026990,85188,
1.8696,1.4046,0.529167,µm,Spot,Displacement Delta,3,1000027048,85231,
2.95037,0.652496,0.344322,µm,Spot,Displacement Delta,3,1000027245,85436,
0.0935593,-0.150024,-0.725304,µm,Spot,Displacement Delta,3,1000027656,85840,
0.0435181,-0.913498,0.349808,µm,Spot,Displacement Delta,3,1000028860,87067,
-0.586792,-0.3022,0.505676,µm,Spot,Displacement Delta,3,1000028849,87068,
0.393982,0.317123,1.78653,µm,Spot,Displacement Delta,3,1000026789,87113,
2.30518,1.71735,0.0666351,µm,Spot,Displacement Delta,3,1000058544,87764,
0.475815,-0.224304,0,µm,Spot,Displacement Delta,3,1000029962,88111,
0.880455,2.43144,3.05599,µm,Spot,Displacement Delta,4,1000000426,89999,
1.64258,0.167496,0.407719,µm,Spot,Displacement Delta,4,1000034728,92817,
0.202255,1.44316,2.51701,µm,Spot,Displacement Delta,4,1000005575,94472,
0,0,0,µm,Spot,Displacement Delta,4,1000094504,94504,
1.51389,0.210186,0.415005,µm,Spot,Displacement Delta,4,1000008102,96642,
2.11076,-0.86972,1.82278,µm,Spot,Displacement Delta,4,1000011182,99638,
2.24966,0.489899,0.449219,µm,Spot,Displacement Delta,4,1000071729,100780,
0.0903778,1.58585,2.60457,µm,Spot,Displacement Delta,4,1000069455,101402,
3.46945,2.45097,0.950821,µm,Spot,Displacement Delta,4,1000014633,102466,
0.271088,1.56519,0.713867,µm,Spot,Displacement Delta,4,1000014915,102705,
2.03998,-0.1259,-0.553429,µm,Spot,Displacement Delta,4,1000074239,103194,
1.92612,1.54918,0.156525,µm,Spot,Displacement Delta,4,1000018381,105925,
2.13562,0.319145,0.317688,µm,Spot,Displacement Delta,4,1000019405,106901,
1.60983,0.180542,-1.80703,µm,Spot,Displacement Delta,4,1000023639,107889,
1.94427,-0.398376,0.334267,µm,Spot,Displacement Delta,4,1000080712,109580,
1.0688,-0.0155182,0.125282,µm,Spot,Displacement Delta,4,1000022248,109796,
2.28925,1.26997,1.73072,µm,Spot,Displacement Delta,4,1000023039,110552,
-0.0995255,0.236176,-1.05323,µm,Spot,Displacement Delta,4,1000082174,111030,
0,0,0,µm,Spot,Displacement Delta,4,1000111173,111173,
0.68856,2.05402,-2.5185,µm,Spot,Displacement Delta,4,1000026990,111660,
1.43591,-0.183121,-0.125046,µm,Spot,Displacement Delta,4,1000025863,112778,
0.893524,-2.04091,0.673439,µm,Spot,Displacement Delta,4,1000025898,112805,
1.20636,-0.417068,0.212769,µm,Spot,Displacement Delta,4,1000025762,112950,
0.0664673,0.952698,-0.101059,µm,Spot,Displacement Delta,4,1000026374,113239,
-0.841461,0.331818,0.410851,µm,Spot,Displacement Delta,4,1000026660,113520,
-0.763031,2.17599,0.464729,µm,Spot,Displacement Delta,4,1000024512,113757,
0.649841,-2.43655,1.09566,µm,Spot,Displacement Delta,4,1000027048,113865,
-0.274925,-1.52847,-0.772911,µm,Spot,Displacement Delta,4,1000027245,114053,
2.00487,1.75339,0.193718,µm,Spot,Displacement Delta,4,1000027656,114406,
-0.546295,-0.491669,-0.486237,µm,Spot,Displacement Delta,4,1000028849,115497,
-0.271774,-0.453415,-0.70948,µm,Spot,Displacement Delta,4,1000026789,115539,
0.583954,0.521301,2.31842,µm,Spot,Displacement Delta,4,1000028860,115808,
-1.16687,-2.42819,-0.0967865,µm,Spot,Displacement Delta,4,1000058544,116209,
-0.999725,0.0981445,0,µm,Spot,Displacement Delta,4,1000029962,116546,
0,0,0,µm,Spot,Displacement Delta,4,1000117221,117221,
-2.34212,-0.54039,-0.570434,µm,Spot,Displacement Delta,5,1000000426,118445,
-2.14191,0.675209,-1.10881,µm,Spot,Displacement Delta,5,1000034728,121251,
-2.11246,-0.15889,-0.887667,µm,Spot,Displacement Delta,5,1000005575,122895,
-1.32129,0.905975,0.326181,µm,Spot,Displacement Delta,5,1000094504,122921,
-1.2135,1.37676,2.36326,µm,Spot,Displacement Delta,5,1000008102,125190,
-0.953705,-0.474152,-2.17723,µm,Spot,Displacement Delta,5,1000069455,126997,
0.208603,2.5227,0.455868,µm,Spot,Displacement Delta,5,1000011182,128077,
-2.06438,0.356903,0.622463,µm,Spot,Displacement Delta,5,1000071729,129533,
