
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
116.667,µm,Spot,1,1000000426,426,
72.6765,µm,Spot,1,1000005575,5575,
49.9616,µm,Spot,1,1000008102,8102,
49.9616,µm,Spot,1,1000011182,11182,
72.6765,µm,Spot,1,1000014633,14633,
40.5529,µm,Spot,1,1000014915,14915,
50.8818,µm,Spot,1,1000018381,18381,
33.6341,µm,Spot,1,1000019405,19405,
50.8818,µm,Spot,1,1000022248,22248,
19.454,µm,Spot,1,1000023039,23039,
15.4518,µm,Spot,1,1000023639,23639,
45.2376,µm,Spot,1,1000024512,24512,
20.0377,µm,Spot,1,1000025762,25762,
12.5377,µm,Spot,1,1000025863,25863,
33.6341,µm,Spot,1,1000025898,25898,
19.454,µm,Spot,1,1000026374,26374,
18.1992,µm,Spot,1,1000026660,26660,
12.5377,µm,Spot,1,1000026789,26789,
15.4518,µm,Spot,1,1000026990,26990,
27.4174,µm,Spot,1,1000027048,27048,
36.6196,µm,Spot,1,1000027245,27245,
39.1317,µm,Spot,1,1000027656,27656,
3.58456,µm,Spot,1,1000028849,28849,
3.58456,µm,Spot,1,1000028860,28860,
41.0299,µm,Spot,1,1000029962,29962,
38.7619,µm,Spot,2,1000000426,31408,
38.7619,µm,Spot,2,1000034728,34728,
75.2551,µm,Spot,2,1000005575,36136,
47.9066,µm,Spot,2,1000008102,38443,
47.9066,µm,Spot,2,1000011182,41290,
75.2551,µm,Spot,2,1000014633,44511,
41.1148,µm,Spot,2,1000014915,44743,
53.9432,µm,Spot,2,1000018381,48029,
34.487,µm,Spot,2,1000019405,48982,
14.2323,µm,Spot,2,1000023639,50349,
53.9432,µm,Spot,2,1000022248,51941,
21.1779,µm,Spot,2,1000023039,52388,
45.9524,µm,Spot,2,1000024512,53806,
14.2323,µm,Spot,2,1000026990,53878,
12.7678,µm,Spot,2,1000025863,54980,
34.487,µm,Spot,2,1000025898,55022,
19.4355,µm,Spot,2,1000025762,55178,
21.1779,µm,Spot,2,1000026374,55483,
18.0344,µm,Spot,2,1000026660,55751,
12.7678,µm,Spot,2,1000026789,55877,
30.0119,µm,Spot,2,1000027048,56142,
29.0487,µm,Spot,2,1000027245,56330,
38.6578,µm,Spot,2,1000027656,56728,
3.79951,µm,Spot,2,1000028849,57830,
3.79951,µm,Spot,2,1000028860,57836,
29.0487,µm,Spot,2,1000058544,58544,
41.0689,µm,Spot,2,1000029962,58891,
37.5899,µm,Spot,3,1000000426,60244,
37.5899,µm,Spot,3,1000034728,63643,
69.8642,µm,Spot,3,1000005575,65097,
46.9508,µm,Spot,3,1000008102,67443,
61.3629,µm,Spot,3,1000069455,69455,
46.9508,µm,Spot,3,1000011182,70317,
54.9677,µm,Spot,3,1000071729,71729,
73.7538,µm,Spot,3,1000014633,73446,
42.4557,µm,Spot,3,1000014915,73705,
37.7638,µm,Spot,3,1000074239,74239,
37.7638,µm,Spot,3,1000018381,76943,
34.6866,µm,Spot,3,1000019405,77924,
16.2751,µm,Spot,3,1000023639,79247,
21.3367,µm,Spot,3,1000080712,80712,
54.9598,µm,Spot,3,1000022248,80953,
20.6925,µm,Spot,3,1000023039,81387,
37.0666,µm,Spot,3,1000082174,82174,
13.3774,µm,Spot,3,1000025863,84084,
34.6866,µm,Spot,3,1000025898,84121,
19.4228,µm,Spot,3,1000025762,84276,
20.6925,µm,Spot,3,1000026374,84574,
17.9539,µm,Spot,3,1000026660,84846,
42.8637,µm,Spot,3,1000024512,85119,
16.2751,µm,Spot,3,1000026990,85188,
31.0057,µm,Spot,3,1000027048,85231,
29.2634,µm,Spot,3,1000027245,85436,
36.2756,µm,Spot,3,1000027656,85840,
3.0435,µm,Spot,3,1000028860,87067,
3.0435,µm,Spot,3,1000028849,87068,
13.3774,µm,Spot,3,1000026789,87113,
29.2634,µm,Spot,3,1000058544,87764,
41.2296,µm,Spot,3,1000029962,88111,
37.4645,µm,Spot,4,1000000426,89999,
37.4645,µm,Spot,4,1000034728,92817,
14.9135,µm,Spot,4,1000005575,94472,
14.9135,µm,Spot,4,1000094504,94504,
46.6589,µm,Spot,4,1000008102,96642,
46.6589,µm,Spot,4,1000011182,99638,
56.6191,µm,Spot,4,1000071729,100780,
59.6612,µm,Spot,4,1000069455,101402,
70.8081,µm,Spot,4,1000014633,102466,
41.9734,µm,Spot,4,1000014915,102705,
37.5385,µm,Spot,4,1000074239,103194,
37.5385,µm,Spot,4,1000018381,105925,
33.8175,µm,Spot,4,1000019405,106901,
16.5651,µm,Spot,4,1000023639,107889,
21.2199,µm,Spot,4,1000080712,109580,
54.2658,µm,Spot,4,1000022248,109796,
18.8545,µm,Spot,4,1000023039,110552,
35.4928,µm,Spot,4,1000082174,111030,
15.513,µm,Spot,4,1000111173,111173,
16.5651,µm,Spot,4,1000026990,111660,
13.964,µm,Spot,4,1000025863,112778,
33.8175,µm,Spot,4,1000025898,112805,
21.1579,µm,Spot,4,1000025762,112950,
18.8545,µm,Spot,4,1000026374,113239,
16.9596,µm,Spot,4,1000026660,113520,
42.465,µm,Spot,4,1000024512,113757,
26.8481,µm,Spot,4,1000027048,113865,
28.276,µm,Spot,4,1000027245,114053,
15.513,µm,Spot,4,1000027656,114406,
3.91202,µm,Spot,4,1000028849,115497,
13.964,µm,Spot,4,1000026789,115539,
3.91202,µm,Spot,4,1000028860,115808,
28.276,µm,Spot,4,1000058544,116209,
39.8434,µm,Spot,4,1000029962,116546,
68.5219,µm,Spot,4,1000117221,117221,
37.4032,µm,Spot,5,1000000426,118445,
37.4032,µm,Spot,5,1000034728,121251,
16.2922,µm,Spot,5,1000005575,122895,
16.2922,µm,Spot,5,1000094504,122921,
44.8756,µm,Spot,5,1000008102,125190,
12.44,µm,Spot,5,1000069455,126997,
44.8756,µm,Spot,5,1000011182,128077,
50.8634,µm,Spot,5,1000071729,129533,
12.44,µm,Spot,5,1000130081,130081,
70.6903,µm,Spot,5,1000014633,130906,
40.6539,µm,Spot,5,1000014915,131163,
37.6944,µm,Spot,5,1000074239,131962,
37.6944,µm,Spot,5,1000018381,134403,
33.3257,µm,Spot,5,1000019405,135344,
14.7386,µm,Spot,5,1000135496,135496,
29.1903,µm,Spot,5,1000136105,136105,
16.1481,µm,Spot,5,1000023639,136650,
20.6876,µm,Spot,5,1000080712,138121,
53.4246,µm,Spot,5,1000022248,138370,
10.8497,µm,Spot,5,1000138478,138478,
14.7386,µm,Spot,5,1000023039,139141,
18.1725,µm,Spot,5,1000111173,139444,
35.7523,µm,Spot,5,1000082174,139613,
16.1481,µm,Spot,5,1000026990,140299,
10.8497,µm,Spot,5,1000025863,141518,
33.3257,µm,Spot,5,1000025898,141554,
20.9416,µm,Spot,5,1000025762,141715,
18.5165,µm,Spot,5,1000026374,142006,
18.2929,µm,Spot,5,1000026660,142309,
11.9013,µm,Spot,5,1000026789,142442,
41.213,µm,Spot,5,1000024512,142605,
27.676,µm,Spot,5,1000027048,142723,
29.4922,µm,Spot,5,1000027245,142911,
18.1725,µm,Spot,5,1000027656,143300,
3.41976,µm,Spot,5,1000028849,144692,
3.41976,µm,Spot,5,1000028860,144697,
29.4922,µm,Spot,5,1000058544,145135,
39.5167,µm,Spot,5,1000029962,145462,
61.9874,µm,Spot,5,1000145899,145899,
61.9874,µm,Spot,5,1000117221,146100,
38.0412,µm,Spot,6,1000000426,147253,
38.0412,µm,Spot,6,1000034728,149987,
16.9477,µm,Spot,6,1000005575,151677,
16.9477,µm,Spot,6,1000094504,151710,
46.5655,µm,Spot,6,1000008102,154042,
46.5655,µm,Spot,6,1000011182,156798,
51.5818,µm,Spot,6,1000071729,157999,
31.0871,µm,Spot,6,1000158060,158060,
10.2807,µm,Spot,6,1000069455,158557,
10.2807,µm,Spot,6,1000130081,158794,
68.7332,µm,Spot,6,1000014633,159593,
43.2371,µm,Spot,6,1000014915,159795,
34.7766,µm,Spot,6,1000074239,160614,
34.7766,µm,Spot,6,1000018381,163048,
15.8456,µm,Spot,6,1000135496,164167,
3.8473,µm,Spot,6,1000165097,165097,
29.0612,µm,Spot,6,1000136105,165141,
3.8473,µm,Spot,6,1000023639,165409,
34.1817,µm,Spot,6,1000019405,166686,
51.7169,µm,Spot,6,1000022248,166839,
16.2191,µm,Spot,6,1000080712,166933,
10.0683,µm,Spot,6,1000138478,167324,
15.8456,µm,Spot,6,1000023039,168006,
20.0474,µm,Spot,6,1000111173,168315,
35.8366,µm,Spot,6,1000082174,168492,
15.9005,µm,Spot,6,1000026990,169213,
10.0683,µm,Spot,6,1000025863,170750,
34.1817,µm,Spot,6,1000025898,170777,
21.5537,µm,Spot,6,1000025762,170880,
19.2348,µm,Spot,6,1000026374,170923,
17.5419,µm,Spot,6,1000026660,171211,
11.4824,µm,Spot,6,1000026789,171326,
39.5828,µm,Spot,6,1000024512,171491,
28.1694,µm,Spot,6,1000027048,171600,
31.1342,µm,Spot,6,1000027245,171786,
20.0474,µm,Spot,6,1000027656,172144,
2.69966,µm,Spot,6,1000028849,173596,
2.69966,µm,Spot,6,1000028860,173606,
31.1342,µm,Spot,6,1000058544,174031,
39.5828,µm,Spot,6,1000029962,174373,
62.7637,µm,Spot,6,1000117221,175066,
62.7637,µm,Spot,6,1000145899,175260,
88.5371,µm,Spot,7,1000178867,178867,
114.034,µm,Spot,7,1000034728,179036,
16.033,µm,Spot,7,1000005575,180676,
16.033,µm,Spot,7,1000094504,180709,
55.6374,µm,Spot,7,1000008102,183000,
32.4272,µm,Spot,7,1000158060,186936,
50.0799,µm,Spot,7,1000071729,187159,
12.6661,µm,Spot,7,1000069455,187472,
12.6661,µm,Spot,7,1000130081,187691,
69.4131,µm,Spot,7,1000014633,188535,
41.3582,µm,Spot,7,1000014915,188987,
37.2227,µm,Spot,7,1000074239,189513,
37.2227,µm,Spot,7,1000018381,191915,
49.7748,µm,Spot,7,1000019405,192882,
21.5711,µm,Spot,7,1000135496,193021,
19.2822,µm,Spot,7,1000165097,193932,
29.283,µm,Spot,7,1000136105,193991,
39.045,µm,Spot,7,1000196023,196023,
15.5547,µm,Spot,7,1000080712,196104,
9.42583,µm,Spot,7,1000138478,196432,
17.5247,µm,Spot,7,1000196749,196749,
20.5479,µm,Spot,7,1000111173,197053,
36.4432,µm,Spot,7,1000082174,197213,
19.2822,µm,Spot,7,1000026990,197885,
21.9233,µm,Spot,7,1000025762,199227,
9.42583,µm,Spot,7,1000025863,199350,
30.9106,µm,Spot,7,1000026374,199538,
3.84365,µm,Spot,7,1000199932,199932,
3.84365,µm,Spot,7,1000026789,199942,
42.8359,µm,Spot,7,1000024512,200064,
27.9166,µm,Spot,7,1000027048,200164,
28.7017,µm,Spot,7,1000027245,200359,
20.5479,µm,Spot,7,1000027656,200760,
20.5729,µm,Spot,7,1000026660,201704,
20.5729,µm,Spot,7,1000028860,202112,
28.7017,µm,Spot,7,1000058544,202550,
40.9129,µm,Spot,7,1000029962,202900,
62.5226,µm,Spot,7,1000117221,203538,
62.5226,µm,Spot,7,1000145899,203689,
88.4957,µm,Spot,8,1000178867,207307,
112.21,µm,Spot,8,1000034728,207491,
15.4029,µm,Spot,8,1000005575,209230,
15.4029,µm,Spot,8,1000094504,209263,
57.0305,µm,Spot,8,1000008102,211542,
31.3605,µm,Spot,8,1000158060,215684,
51.1608,µm,Spot,8,1000071729,215911,
10.0155,µm,Spot,8,1000069455,216187,
10.0155,µm,Spot,8,1000130081,216414,
70.8123,µm,Spot,8,1000014633,217248,
41.1352,µm,Spot,8,1000014915,217741,
23.1876,µm,Spot,8,1000218062,218062,
20.2298,µm,Spot,8,1000074239,218280,
34.3111,µm,Spot,8,1000018381,220701,
20.2298,µm,Spot,8,1000221333,221333,
25.1988,µm,Spot,8,1000019405,221685,
17.6421,µm,Spot,8,1000165097,222728,
29.9448,µm,Spot,8,1000136105,222780,
2.95645,µm,Spot,8,1000224234,224234,
2.95645,µm,Spot,8,1000224241,224241,
50.7212,µm,Spot,8,1000224431,224431,
17.7624,µm,Spot,8,1000135496,224496,
58.7511,µm,Spot,8,1000196023,224808,
9.73803,µm,Spot,8,1000138478,224884,
15.5131,µm,Spot,8,1000080712,224892,
17.7624,µm,Spot,8,1000196749,225577,
21.4416,µm,Spot,8,1000111173,225870,
37.4024,µm,Spot,8,1000082174,226025,
3.24801,µm,Spot,8,1000226383,226383,
3.24801,µm,Spot,8,1000026990,226673,
9.73803,µm,Spot,8,1000025863,228123,
28.1717,µm,Spot,8,1000026374,228289,
11.0967,µm,Spot,8,1000199932,228667,
43.1621,µm,Spot,8,1000024512,228832,
27.405,µm,Spot,8,1000027245,228847,
25.5214,µm,Spot,8,1000027048,228921,
21.4416,µm,Spot,8,1000027656,229877,
21.8573,µm,Spot,8,1000026660,230497,
21.8573,µm,Spot,8,1000028860,230918,
27.405,µm,Spot,8,1000058544,231336,
40.0726,µm,Spot,8,1000029962,231689,
62.507,µm,Spot,8,1000117221,232329,
10.4841,µm,Spot,8,1000145899,232497,
10.4841,µm,Spot,8,1000232501,232501,
75.2035,µm,Spot,9,1000178867,236041,
113.684,µm,Spot,9,1000034728,236229,
17.4187,µm,Spot,9,1000005575,237846,
17.4187,µm,Spot,9,1000094504,238096,
55.5005,µm,Spot,9,1000008102,240127,
49.5584,µm,Spot,9,1000071729,244439,
54.7214,µm,Spot,9,1000244446,244446,
31.1791,µm,Spot,9,1000158060,244507,
12.1246,µm,Spot,9,1000069455,244734,
12.1246,µm,Spot,9,1000130081,244994,
64.6525,µm,Spot,9,1000014633,245823,
42.0518,µm,Spot,9,1000014915,246314,
20.3071,µm,Spot,9,1000074239,246863,
21.4281,µm,Spot,9,1000218062,246918,
35.6146,µm,Spot,9,1000018381,249362,
20.3071,µm,Spot,9,1000221333,249997,
23.5688,µm,Spot,9,1000019405,250348,
17.4027,µm,Spot,9,1000165097,251399,
29.2402,µm,Spot,9,1000136105,251464,
2.7339,µm,Spot,9,1000224234,252909,
2.7339,µm,Spot,9,1000224241,252913,
50.8773,µm,Spot,9,1000224431,253095,
3.6678,µm,Spot,9,1000135496,253178,
58.1567,µm,Spot,9,1000196023,253490,
3.6678,µm,Spot,9,1000253547,253547,
16.4168,µm,Spot,9,1000080712,253569,
9.67317,µm,Spot,9,1000138478,253896,
17.2072,µm,Spot,9,1000196749,254212,
22.8866,µm,Spot,9,1000111173,254504,
