
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
122.561,µm,Spot,Distance from Origin,1,1000000426,426,
277.79,µm,Spot,Distance from Origin,1,1000005575,5575,
262.71,µm,Spot,Distance from Origin,1,1000008102,8102,
215.759,µm,Spot,Distance from Origin,1,1000011182,11182,
225.792,µm,Spot,Distance from Origin,1,1000014633,14633,
350.079,µm,Spot,Distance from Origin,1,1000014915,14915,
264.024,µm,Spot,Distance from Origin,1,1000018381,18381,
347.6,µm,Spot,Distance from Origin,1,1000019405,19405,
253.436,µm,Spot,Distance from Origin,1,1000022248,22248,
332.916,µm,Spot,Distance from Origin,1,1000023039,23039,
350.385,µm,Spot,Distance from Origin,1,1000023639,23639,
353.892,µm,Spot,Distance from Origin,1,1000024512,24512,
380.56,µm,Spot,Distance from Origin,1,1000025762,25762,
318.655,µm,Spot,Distance from Origin,1,1000025863,25863,
378.471,µm,Spot,Distance from Origin,1,1000025898,25898,
336.973,µm,Spot,Distance from Origin,1,1000026374,26374,
377.825,µm,Spot,Distance from Origin,1,1000026660,26660,
313.783,µm,Spot,Distance from Origin,1,1000026789,26789,
357.98,µm,Spot,Distance from Origin,1,1000026990,26990,
384.632,µm,Spot,Distance from Origin,1,1000027048,27048,
347.384,µm,Spot,Distance from Origin,1,1000027245,27245,
406.283,µm,Spot,Distance from Origin,1,1000027656,27656,
377.89,µm,Spot,Distance from Origin,1,1000028849,28849,
375.845,µm,Spot,Distance from Origin,1,1000028860,28860,
350.257,µm,Spot,Distance from Origin,1,1000029962,29962,
121.896,µm,Spot,Distance from Origin,2,1000000426,31408,
145.931,µm,Spot,Distance from Origin,2,1000034728,34728,
280.814,µm,Spot,Distance from Origin,2,1000005575,36136,
258.444,µm,Spot,Distance from Origin,2,1000008102,38443,
213.758,µm,Spot,Distance from Origin,2,1000011182,41290,
225.9,µm,Spot,Distance from Origin,2,1000014633,44511,
347.887,µm,Spot,Distance from Origin,2,1000014915,44743,
264.315,µm,Spot,Distance from Origin,2,1000018381,48029,
346.366,µm,Spot,Distance from Origin,2,1000019405,48982,
350.859,µm,Spot,Distance from Origin,2,1000023639,50349,
252.043,µm,Spot,Distance from Origin,2,1000022248,51941,
331.825,µm,Spot,Distance from Origin,2,1000023039,52388,
355.423,µm,Spot,Distance from Origin,2,1000024512,53806,
355.494,µm,Spot,Distance from Origin,2,1000026990,53878,
316.039,µm,Spot,Distance from Origin,2,1000025863,54980,
377.23,µm,Spot,Distance from Origin,2,1000025898,55022,
380.32,µm,Spot,Distance from Origin,2,1000025762,55178,
335.977,µm,Spot,Distance from Origin,2,1000026374,55483,
376.972,µm,Spot,Distance from Origin,2,1000026660,55751,
311.869,µm,Spot,Distance from Origin,2,1000026789,55877,
384.702,µm,Spot,Distance from Origin,2,1000027048,56142,
347.852,µm,Spot,Distance from Origin,2,1000027245,56330,
406.471,µm,Spot,Distance from Origin,2,1000027656,56728,
377.571,µm,Spot,Distance from Origin,2,1000028849,57830,
375.14,µm,Spot,Distance from Origin,2,1000028860,57836,
373.998,µm,Spot,Distance from Origin,2,1000058544,58544,
348.416,µm,Spot,Distance from Origin,2,1000029962,58891,
123.112,µm,Spot,Distance from Origin,3,1000000426,60244,
147.088,µm,Spot,Distance from Origin,3,1000034728,63643,
279.082,µm,Spot,Distance from Origin,3,1000005575,65097,
259.089,µm,Spot,Distance from Origin,3,1000008102,67443,
373.116,µm,Spot,Distance from Origin,3,1000069455,69455,
215.762,µm,Spot,Distance from Origin,3,1000011182,70317,
319.861,µm,Spot,Distance from Origin,3,1000071729,71729,
224.92,µm,Spot,Distance from Origin,3,1000014633,73446,
348.103,µm,Spot,Distance from Origin,3,1000014915,73705,
297.757,µm,Spot,Distance from Origin,3,1000074239,74239,
262.583,µm,Spot,Distance from Origin,3,1000018381,76943,
346.488,µm,Spot,Distance from Origin,3,1000019405,77924,
350.448,µm,Spot,Distance from Origin,3,1000023639,79247,
328.557,µm,Spot,Distance from Origin,3,1000080712,80712,
255.017,µm,Spot,Distance from Origin,3,1000022248,80953,
331.165,µm,Spot,Distance from Origin,3,1000023039,81387,
312.491,µm,Spot,Distance from Origin,3,1000082174,82174,
315.307,µm,Spot,Distance from Origin,3,1000025863,84084,
378.762,µm,Spot,Distance from Origin,3,1000025898,84121,
378.597,µm,Spot,Distance from Origin,3,1000025762,84276,
336.198,µm,Spot,Distance from Origin,3,1000026374,84574,
378.075,µm,Spot,Distance from Origin,3,1000026660,84846,
353.01,µm,Spot,Distance from Origin,3,1000024512,85119,
356.439,µm,Spot,Distance from Origin,3,1000026990,85188,
386.505,µm,Spot,Distance from Origin,3,1000027048,85231,
349.414,µm,Spot,Distance from Origin,3,1000027245,85436,
406.191,µm,Spot,Distance from Origin,3,1000027656,85840,
374.828,µm,Spot,Distance from Origin,3,1000028860,87067,
377.065,µm,Spot,Distance from Origin,3,1000028849,87068,
312.902,µm,Spot,Distance from Origin,3,1000026789,87113,
376.329,µm,Spot,Distance from Origin,3,1000058544,87764,
348.412,µm,Spot,Distance from Origin,3,1000029962,88111,
125.653,µm,Spot,Distance from Origin,4,1000000426,89999,
148.469,µm,Spot,Distance from Origin,4,1000034728,92817,
280.631,µm,Spot,Distance from Origin,4,1000005575,94472,
295.48,µm,Spot,Distance from Origin,4,1000094504,94504,
260.654,µm,Spot,Distance from Origin,4,1000008102,96642,
217.995,µm,Spot,Distance from Origin,4,1000011182,99638,
321.628,µm,Spot,Distance from Origin,4,1000071729,100780,
374.63,µm,Spot,Distance from Origin,4,1000069455,101402,
228.722,µm,Spot,Distance from Origin,4,1000014633,102466,
349.218,µm,Spot,Distance from Origin,4,1000014915,102705,
299.528,µm,Spot,Distance from Origin,4,1000074239,103194,
264.865,µm,Spot,Distance from Origin,4,1000018381,105925,
348.652,µm,Spot,Distance from Origin,4,1000019405,106901,
350.611,µm,Spot,Distance from Origin,4,1000023639,107889,
329.832,µm,Spot,Distance from Origin,4,1000080712,109580,
255.934,µm,Spot,Distance from Origin,4,1000022248,109796,
334.121,µm,Spot,Distance from Origin,4,1000023039,110552,
312.418,µm,Spot,Distance from Origin,4,1000082174,111030,
407.86,µm,Spot,Distance from Origin,4,1000111173,111173,
357.942,µm,Spot,Distance from Origin,4,1000026990,111660,
316.223,µm,Spot,Distance from Origin,4,1000025863,112778,
379.277,µm,Spot,Distance from Origin,4,1000025898,112805,
379.556,µm,Spot,Distance from Origin,4,1000025762,112950,
336.682,µm,Spot,Distance from Origin,4,1000026374,113239,
377.596,µm,Spot,Distance from Origin,4,1000026660,113520,
354.546,µm,Spot,Distance from Origin,4,1000024512,113757,
384.537,µm,Spot,Distance from Origin,4,1000027048,113865,
347.729,µm,Spot,Distance from Origin,4,1000027245,114053,
408.402,µm,Spot,Distance from Origin,4,1000027656,114406,
376.246,µm,Spot,Distance from Origin,4,1000028849,115497,
312.204,µm,Spot,Distance from Origin,4,1000026789,115539,
376.18,µm,Spot,Distance from Origin,4,1000028860,115808,
373.715,µm,Spot,Distance from Origin,4,1000058544,116209,
348.098,µm,Spot,Distance from Origin,4,1000029962,116546,
401.039,µm,Spot,Distance from Origin,4,1000117221,117221,
123.799,µm,Spot,Distance from Origin,5,1000000426,118445,
147.198,µm,Spot,Distance from Origin,5,1000034728,121251,
279.515,µm,Spot,Distance from Origin,5,1000005575,122895,
295.753,µm,Spot,Distance from Origin,5,1000094504,122921,
259.922,µm,Spot,Distance from Origin,5,1000008102,125190,
373.446,µm,Spot,Distance from Origin,5,1000069455,126997,
218.702,µm,Spot,Distance from Origin,5,1000011182,128077,
320.796,µm,Spot,Distance from Origin,5,1000071729,129533,
364.065,µm,Spot,Distance from Origin,5,1000130081,130081,
228.302,µm,Spot,Distance from Origin,5,1000014633,130906,
347.882,µm,Spot,Distance from Origin,5,1000014915,131163,
299.291,µm,Spot,Distance from Origin,5,1000074239,131962,
263.682,µm,Spot,Distance from Origin,5,1000018381,134403,
347.674,µm,Spot,Distance from Origin,5,1000019405,135344,
323.111,µm,Spot,Distance from Origin,5,1000135496,135496,
386.057,µm,Spot,Distance from Origin,5,1000136105,136105,
351.077,µm,Spot,Distance from Origin,5,1000023639,136650,
329.306,µm,Spot,Distance from Origin,5,1000080712,138121,
255.422,µm,Spot,Distance from Origin,5,1000022248,138370,
309.283,µm,Spot,Distance from Origin,5,1000138478,138478,
330.974,µm,Spot,Distance from Origin,5,1000023039,139141,
408.144,µm,Spot,Distance from Origin,5,1000111173,139444,
312.511,µm,Spot,Distance from Origin,5,1000082174,139613,
358.233,µm,Spot,Distance from Origin,5,1000026990,140299,
316.816,µm,Spot,Distance from Origin,5,1000025863,141518,
377.858,µm,Spot,Distance from Origin,5,1000025898,141554,
380.427,µm,Spot,Distance from Origin,5,1000025762,141715,
335.578,µm,Spot,Distance from Origin,5,1000026374,142006,
377.358,µm,Spot,Distance from Origin,5,1000026660,142309,
313.528,µm,Spot,Distance from Origin,5,1000026789,142442,
354.11,µm,Spot,Distance from Origin,5,1000024512,142605,
385.537,µm,Spot,Distance from Origin,5,1000027048,142723,
347.948,µm,Spot,Distance from Origin,5,1000027245,142911,
406.3,µm,Spot,Distance from Origin,5,1000027656,143300,
378.119,µm,Spot,Distance from Origin,5,1000028849,144692,
375.414,µm,Spot,Distance from Origin,5,1000028860,144697,
375.153,µm,Spot,Distance from Origin,5,1000058544,145135,
351.072,µm,Spot,Distance from Origin,5,1000029962,145462,
428.498,µm,Spot,Distance from Origin,5,1000145899,145899,
401.506,µm,Spot,Distance from Origin,5,1000117221,146100,
123.435,µm,Spot,Distance from Origin,6,1000000426,147253,
146.197,µm,Spot,Distance from Origin,6,1000034728,149987,
277.852,µm,Spot,Distance from Origin,6,1000005575,151677,
294.712,µm,Spot,Distance from Origin,6,1000094504,151710,
257.366,µm,Spot,Distance from Origin,6,1000008102,154042,
215.259,µm,Spot,Distance from Origin,6,1000011182,156798,
321.149,µm,Spot,Distance from Origin,6,1000071729,157999,
317.789,µm,Spot,Distance from Origin,6,1000158060,158060,
372.939,µm,Spot,Distance from Origin,6,1000069455,158557,
365.489,µm,Spot,Distance from Origin,6,1000130081,158794,
228.848,µm,Spot,Distance from Origin,6,1000014633,159593,
348.042,µm,Spot,Distance from Origin,6,1000014915,159795,
296.71,µm,Spot,Distance from Origin,6,1000074239,160614,
264.043,µm,Spot,Distance from Origin,6,1000018381,163048,
319.171,µm,Spot,Distance from Origin,6,1000135496,164167,
352.25,µm,Spot,Distance from Origin,6,1000165097,165097,
387.24,µm,Spot,Distance from Origin,6,1000136105,165141,
350.66,µm,Spot,Distance from Origin,6,1000023639,165409,
345.63,µm,Spot,Distance from Origin,6,1000019405,166686,
253.79,µm,Spot,Distance from Origin,6,1000022248,166839,
328.315,µm,Spot,Distance from Origin,6,1000080712,166933,
313.972,µm,Spot,Distance from Origin,6,1000138478,167324,
330.307,µm,Spot,Distance from Origin,6,1000023039,168006,
408.437,µm,Spot,Distance from Origin,6,1000111173,168315,
311.647,µm,Spot,Distance from Origin,6,1000082174,168492,
358.355,µm,Spot,Distance from Origin,6,1000026990,169213,
314.047,µm,Spot,Distance from Origin,6,1000025863,170750,
375.961,µm,Spot,Distance from Origin,6,1000025898,170777,
378.049,µm,Spot,Distance from Origin,6,1000025762,170880,
334.072,µm,Spot,Distance from Origin,6,1000026374,170923,
376.144,µm,Spot,Distance from Origin,6,1000026660,171211,
311.742,µm,Spot,Distance from Origin,6,1000026789,171326,
353.681,µm,Spot,Distance from Origin,6,1000024512,171491,
386.421,µm,Spot,Distance from Origin,6,1000027048,171600,
347.299,µm,Spot,Distance from Origin,6,1000027245,171786,
406.411,µm,Spot,Distance from Origin,6,1000027656,172144,
377.827,µm,Spot,Distance from Origin,6,1000028849,173596,
376.154,µm,Spot,Distance from Origin,6,1000028860,173606,
374.738,µm,Spot,Distance from Origin,6,1000058544,174031,
347.374,µm,Spot,Distance from Origin,6,1000029962,174373,
400.757,µm,Spot,Distance from Origin,6,1000117221,175066,
428.029,µm,Spot,Distance from Origin,6,1000145899,175260,
218.23,µm,Spot,Distance from Origin,7,1000178867,178867,
145.342,µm,Spot,Distance from Origin,7,1000034728,179036,
277.101,µm,Spot,Distance from Origin,7,1000005575,180676,
293.054,µm,Spot,Distance from Origin,7,1000094504,180709,
258.127,µm,Spot,Distance from Origin,7,1000008102,183000,
315.136,µm,Spot,Distance from Origin,7,1000158060,186936,
318.72,µm,Spot,Distance from Origin,7,1000071729,187159,
371.55,µm,Spot,Distance from Origin,7,1000069455,187472,
361.562,µm,Spot,Distance from Origin,7,1000130081,187691,
227.622,µm,Spot,Distance from Origin,7,1000014633,188535,
347.393,µm,Spot,Distance from Origin,7,1000014915,188987,
297.846,µm,Spot,Distance from Origin,7,1000074239,189513,
262.362,µm,Spot,Distance from Origin,7,1000018381,191915,
345.556,µm,Spot,Distance from Origin,7,1000019405,192882,
318.513,µm,Spot,Distance from Origin,7,1000135496,193021,
349.118,µm,Spot,Distance from Origin,7,1000165097,193932,
386.289,µm,Spot,Distance from Origin,7,1000136105,193991,
401.71,µm,Spot,Distance from Origin,7,1000196023,196023,
327.017,µm,Spot,Distance from Origin,7,1000080712,196104,
313.096,µm,Spot,Distance from Origin,7,1000138478,196432,
317.41,µm,Spot,Distance from Origin,7,1000196749,196749,
406.415,µm,Spot,Distance from Origin,7,1000111173,197053,
310.725,µm,Spot,Distance from Origin,7,1000082174,197213,
356.562,µm,Spot,Distance from Origin,7,1000026990,197885,
376.88,µm,Spot,Distance from Origin,7,1000025762,199227,
312.801,µm,Spot,Distance from Origin,7,1000025863,199350,
332.419,µm,Spot,Distance from Origin,7,1000026374,199538,
307.985,µm,Spot,Distance from Origin,7,1000199932,199932,
309.028,µm,Spot,Distance from Origin,7,1000026789,199942,
353.953,µm,Spot,Distance from Origin,7,1000024512,200064,
384.396,µm,Spot,Distance from Origin,7,1000027048,200164,
346.624,µm,Spot,Distance from Origin,7,1000027245,200359,
404.619,µm,Spot,Distance from Origin,7,1000027656,200760,
376.017,µm,Spot,Distance from Origin,7,1000026660,201704,
373.955,µm,Spot,Distance from Origin,7,1000028860,202112,
372.509,µm,Spot,Distance from Origin,7,1000058544,202550,
347.13,µm,Spot,Distance from Origin,7,1000029962,202900,
399.404,µm,Spot,Distance from Origin,7,1000117221,203538,
427.401,µm,Spot,Distance from Origin,7,1000145899,203689,
217.562,µm,Spot,Distance from Origin,8,1000178867,207307,
