
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
87.3397,µm,Spot,Image 1,1,1000000426,426,
134.615,µm,Spot,Image 1,1,1000005575,5575,
25.9231,µm,Spot,Image 1,1,1000008102,8102,
25.8634,µm,Spot,Image 1,1,1000011182,11182,
105.614,µm,Spot,Image 1,1,1000014633,14633,
110.391,µm,Spot,Image 1,1,1000014915,14915,
69.2735,µm,Spot,Image 1,1,1000018381,18381,
79.4261,µm,Spot,Image 1,1,1000019405,19405,
106.375,µm,Spot,Image 1,1,1000022248,22248,
136.424,µm,Spot,Image 1,1,1000023039,23039,
88.2304,µm,Spot,Image 1,1,1000023639,23639,
138.751,µm,Spot,Image 1,1,1000024512,24512,
69.2909,µm,Spot,Image 1,1,1000025762,25762,
172.478,µm,Spot,Image 1,1,1000025863,25863,
51.3433,µm,Spot,Image 1,1,1000025898,25898,
126.86,µm,Spot,Image 1,1,1000026374,26374,
82.1873,µm,Spot,Image 1,1,1000026660,26660,
180.964,µm,Spot,Image 1,1,1000026789,26789,
80.8754,µm,Spot,Image 1,1,1000026990,26990,
62.7476,µm,Spot,Image 1,1,1000027048,27048,
112.049,µm,Spot,Image 1,1,1000027245,27245,
50.4025,µm,Spot,Image 1,1,1000027656,27656,
90.1823,µm,Spot,Image 1,1,1000028849,28849,
93.481,µm,Spot,Image 1,1,1000028860,28860,
127.318,µm,Spot,Image 1,1,1000029962,29962,
85.7021,µm,Spot,Image 1,2,1000000426,31408,
86.6384,µm,Spot,Image 1,2,1000034728,34728,
135.039,µm,Spot,Image 1,2,1000005575,36136,
24.148,µm,Spot,Image 1,2,1000008102,38443,
24.1994,µm,Spot,Image 1,2,1000011182,41290,
104.841,µm,Spot,Image 1,2,1000014633,44511,
112.088,µm,Spot,Image 1,2,1000014915,44743,
70.1711,µm,Spot,Image 1,2,1000018381,48029,
80.8761,µm,Spot,Image 1,2,1000019405,48982,
86.3128,µm,Spot,Image 1,2,1000023639,50349,
108.459,µm,Spot,Image 1,2,1000022248,51941,
137.854,µm,Spot,Image 1,2,1000023039,52388,
136.849,µm,Spot,Image 1,2,1000024512,53806,
80.4435,µm,Spot,Image 1,2,1000026990,53878,
175.489,µm,Spot,Image 1,2,1000025863,54980,
52.8909,µm,Spot,Image 1,2,1000025898,55022,
71.2497,µm,Spot,Image 1,2,1000025762,55178,
127.558,µm,Spot,Image 1,2,1000026374,55483,
82.4321,µm,Spot,Image 1,2,1000026660,55751,
182.979,µm,Spot,Image 1,2,1000026789,55877,
62.5908,µm,Spot,Image 1,2,1000027048,56142,
110.844,µm,Spot,Image 1,2,1000027245,56330,
49.8693,µm,Spot,Image 1,2,1000027656,56728,
91.1932,µm,Spot,Image 1,2,1000028849,57830,
94.4757,µm,Spot,Image 1,2,1000028860,57836,
91.4164,µm,Spot,Image 1,2,1000058544,58544,
128.886,µm,Spot,Image 1,2,1000029962,58891,
87.2932,µm,Spot,Image 1,3,1000000426,60244,
86.6155,µm,Spot,Image 1,3,1000034728,63643,
134.386,µm,Spot,Image 1,3,1000005575,65097,
24.5711,µm,Spot,Image 1,3,1000008102,67443,
147.671,µm,Spot,Image 1,3,1000069455,69455,
25.8259,µm,Spot,Image 1,3,1000011182,70317,
174.703,µm,Spot,Image 1,3,1000071729,71729,
103.679,µm,Spot,Image 1,3,1000014633,73446,
109.91,µm,Spot,Image 1,3,1000014915,73705,
78.7985,µm,Spot,Image 1,3,1000074239,74239,
68.3415,µm,Spot,Image 1,3,1000018381,76943,
79.9246,µm,Spot,Image 1,3,1000019405,77924,
87.5996,µm,Spot,Image 1,3,1000023639,79247,
164.081,µm,Spot,Image 1,3,1000080712,80712,
110.725,µm,Spot,Image 1,3,1000022248,80953,
138.377,µm,Spot,Image 1,3,1000023039,81387,
108.915,µm,Spot,Image 1,3,1000082174,82174,
175.006,µm,Spot,Image 1,3,1000025863,84084,
51.7697,µm,Spot,Image 1,3,1000025898,84121,
