
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Spot,2,Image 1,1,1000000426,426,
0,,Spot,2,Image 1,1,1000005575,5575,
25,,Spot,2,Image 1,1,1000008102,8102,
255,,Spot,2,Image 1,1,1000011182,11182,
25,,Spot,2,Image 1,1,1000014633,14633,
0,,Spot,2,Image 1,1,1000014915,14915,
93,,Spot,2,Image 1,1,1000018381,18381,
55,,Spot,2,Image 1,1,1000019405,19405,
0,,Spot,2,Image 1,1,1000022248,22248,
0,,Spot,2,Image 1,1,1000023039,23039,
255,,Spot,2,Image 1,1,1000023639,23639,
0,,Spot,2,Image 1,1,1000024512,24512,
6,,Spot,2,Image 1,1,1000025762,25762,
96,,Spot,2,Image 1,1,1000025863,25863,
82,,Spot,2,Image 1,1,1000025898,25898,
0,,Spot,2,Image 1,1,1000026374,26374,
0,,Spot,2,Image 1,1,1000026660,26660,
26,,Spot,2,Image 1,1,1000026789,26789,
0,,Spot,2,Image 1,1,1000026990,26990,
0,,Spot,2,Image 1,1,1000027048,27048,
0,,Spot,2,Image 1,1,1000027245,27245,
0,,Spot,2,Image 1,1,1000027656,27656,
9,,Spot,2,Image 1,1,1000028849,28849,
131,,Spot,2,Image 1,1,1000028860,28860,
9,,Spot,2,Image 1,1,1000029962,29962,
13,,Spot,2,Image 1,2,1000000426,31408,
123,,Spot,2,Image 1,2,1000034728,34728,
0,,Spot,2,Image 1,2,1000005575,36136,
0,,Spot,2,Image 1,2,1000008102,38443,
251,,Spot,2,Image 1,2,1000011182,41290,
37,,Spot,2,Image 1,2,1000014633,44511,
0,,Spot,2,Image 1,2,1000014915,44743,
12,,Spot,2,Image 1,2,1000018381,48029,
0,,Spot,2,Image 1,2,1000019405,48982,
253,,Spot,2,Image 1,2,1000023639,50349,
83,,Spot,2,Image 1,2,1000022248,51941,
0,,Spot,2,Image 1,2,1000023039,52388,
0,,Spot,2,Image 1,2,1000024512,53806,
0,,Spot,2,Image 1,2,1000026990,53878,
87,,Spot,2,Image 1,2,1000025863,54980,
84,,Spot,2,Image 1,2,1000025898,55022,
35,,Spot,2,Image 1,2,1000025762,55178,
0,,Spot,2,Image 1,2,1000026374,55483,
0,,Spot,2,Image 1,2,1000026660,55751,
0,,Spot,2,Image 1,2,1000026789,55877,
0,,Spot,2,Image 1,2,1000027048,56142,
0,,Spot,2,Image 1,2,1000027245,56330,
0,,Spot,2,Image 1,2,1000027656,56728,
22,,Spot,2,Image 1,2,1000028849,57830,
9,,Spot,2,Image 1,2,1000028860,57836,
0,,Spot,2,Image 1,2,1000058544,58544,
0,,Spot,2,Image 1,2,1000029962,58891,
22,,Spot,2,Image 1,3,1000000426,60244,
147,,Spot,2,Image 1,3,1000034728,63643,
0,,Spot,2,Image 1,3,1000005575,65097,
154,,Spot,2,Image 1,3,1000008102,67443,
0,,Spot,2,Image 1,3,1000069455,69455,
251,,Spot,2,Image 1,3,1000011182,70317,
0,,Spot,2,Image 1,3,1000071729,71729,
46,,Spot,2,Image 1,3,1000014633,73446,
0,,Spot,2,Image 1,3,1000014915,73705,
79,,Spot,2,Image 1,3,1000074239,74239,
66,,Spot,2,Image 1,3,1000018381,76943,
104,,Spot,2,Image 1,3,1000019405,77924,
