
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
255,,Spot,6,Image 1,1,1000000426,426,
255,,Spot,6,Image 1,1,1000005575,5575,
255,,Spot,6,Image 1,1,1000008102,8102,
255,,Spot,6,Image 1,1,1000011182,11182,
255,,Spot,6,Image 1,1,1000014633,14633,
255,,Spot,6,Image 1,1,1000014915,14915,
255,,Spot,6,Image 1,1,1000018381,18381,
255,,Spot,6,Image 1,1,1000019405,19405,
255,,Spot,6,Image 1,1,1000022248,22248,
255,,Spot,6,Image 1,1,1000023039,23039,
255,,Spot,6,Image 1,1,1000023639,23639,
255,,Spot,6,Image 1,1,1000024512,24512,
255,,Spot,6,Image 1,1,1000025762,25762,
255,,Spot,6,Image 1,1,1000025863,25863,
255,,Spot,6,Image 1,1,1000025898,25898,
255,,Spot,6,Image 1,1,1000026374,26374,
255,,Spot,6,Image 1,1,1000026660,26660,
255,,Spot,6,Image 1,1,1000026789,26789,
255,,Spot,6,Image 1,1,1000026990,26990,
255,,Spot,6,Image 1,1,1000027048,27048,
255,,Spot,6,Image 1,1,1000027245,27245,
255,,Spot,6,Image 1,1,1000027656,27656,
255,,Spot,6,Image 1,1,1000028849,28849,
255,,Spot,6,Image 1,1,1000028860,28860,
255,,Spot,6,Image 1,1,1000029962,29962,
251,,Spot,6,Image 1,2,1000000426,31408,
252,,Spot,6,Image 1,2,1000034728,34728,
252,,Spot,6,Image 1,2,1000005575,36136,
252,,Spot,6,Image 1,2,1000008102,38443,
252,,Spot,6,Image 1,2,1000011182,41290,
251,,Spot,6,Image 1,2,1000014633,44511,
252,,Spot,6,Image 1,2,1000014915,44743,
252,,Spot,6,Image 1,2,1000018381,48029,
252,,Spot,6,Image 1,2,1000019405,48982,
253,,Spot,6,Image 1,2,1000023639,50349,
251,,Spot,6,Image 1,2,1000022248,51941,
251,,Spot,6,Image 1,2,1000023039,52388,
252,,Spot,6,Image 1,2,1000024512,53806,
252,,Spot,6,Image 1,2,1000026990,53878,
252,,Spot,6,Image 1,2,1000025863,54980,
251,,Spot,6,Image 1,2,1000025898,55022,
251,,Spot,6,Image 1,2,1000025762,55178,
251,,Spot,6,Image 1,2,1000026374,55483,
251,,Spot,6,Image 1,2,1000026660,55751,
251,,Spot,6,Image 1,2,1000026789,55877,
253,,Spot,6,Image 1,2,1000027048,56142,
251,,Spot,6,Image 1,2,1000027245,56330,
251,,Spot,6,Image 1,2,1000027656,56728,
251,,Spot,6,Image 1,2,1000028849,57830,
251,,Spot,6,Image 1,2,1000028860,57836,
248,,Spot,6,Image 1,2,1000058544,58544,
251,,Spot,6,Image 1,2,1000029962,58891,
251,,Spot,6,Image 1,3,1000000426,60244,
252,,Spot,6,Image 1,3,1000034728,63643,
252,,Spot,6,Image 1,3,1000005575,65097,
252,,Spot,6,Image 1,3,1000008102,67443,
253,,Spot,6,Image 1,3,1000069455,69455,
251,,Spot,6,Image 1,3,1000011182,70317,
252,,Spot,6,Image 1,3,1000071729,71729,
251,,Spot,6,Image 1,3,1000014633,73446,
252,,Spot,6,Image 1,3,1000014915,73705,
251,,Spot,6,Image 1,3,1000074239,74239,
252,,Spot,6,Image 1,3,1000018381,76943,
251,,Spot,6,Image 1,3,1000019405,77924,
252,,Spot,6,Image 1,3,1000023639,79247,
252,,Spot,6,Image 1,3,1000080712,80712,
251,,Spot,6,Image 1,3,1000022248,80953,
251,,Spot,6,Image 1,3,1000023039,81387,
251,,Spot,6,Image 1,3,1000082174,82174,
252,,Spot,6,Image 1,3,1000025863,84084,
251,,Spot,6,Image 1,3,1000025898,84121,
251,,Spot,6,Image 1,3,1000025762,84276,
251,,Spot,6,Image 1,3,1000026374,84574,
252,,Spot,6,Image 1,3,1000026660,84846,
252,,Spot,6,Image 1,3,1000024512,85119,
252,,Spot,6,Image 1,3,1000026990,85188,
252,,Spot,6,Image 1,3,1000027048,85231,
245,,Spot,6,Image 1,3,1000027245,85436,
251,,Spot,6,Image 1,3,1000027656,85840,
251,,Spot,6,Image 1,3,1000028860,87067,
251,,Spot,6,Image 1,3,1000028849,87068,
251,,Spot,6,Image 1,3,1000026789,87113,
251,,Spot,6,Image 1,3,1000058544,87764,
251,,Spot,6,Image 1,3,1000029962,88111,
251,,Spot,6,Image 1,4,1000000426,89999,
252,,Spot,6,Image 1,4,1000034728,92817,
252,,Spot,6,Image 1,4,1000005575,94472,
253,,Spot,6,Image 1,4,1000094504,94504,
251,,Spot,6,Image 1,4,1000008102,96642,
252,,Spot,6,Image 1,4,1000011182,99638,
252,,Spot,6,Image 1,4,1000071729,100780,
251,,Spot,6,Image 1,4,1000069455,101402,
251,,Spot,6,Image 1,4,1000014633,102466,
251,,Spot,6,Image 1,4,1000014915,102705,
251,,Spot,6,Image 1,4,1000074239,103194,
252,,Spot,6,Image 1,4,1000018381,105925,
252,,Spot,6,Image 1,4,1000019405,106901,
252,,Spot,6,Image 1,4,1000023639,107889,
252,,Spot,6,Image 1,4,1000080712,109580,
251,,Spot,6,Image 1,4,1000022248,109796,
251,,Spot,6,Image 1,4,1000023039,110552,
252,,Spot,6,Image 1,4,1000082174,111030,
242,,Spot,6,Image 1,4,1000111173,111173,
252,,Spot,6,Image 1,4,1000026990,111660,
251,,Spot,6,Image 1,4,1000025863,112778,
251,,Spot,6,Image 1,4,1000025898,112805,
252,,Spot,6,Image 1,4,1000025762,112950,
252,,Spot,6,Image 1,4,1000026374,113239,
251,,Spot,6,Image 1,4,1000026660,113520,
251,,Spot,6,Image 1,4,1000024512,113757,
252,,Spot,6,Image 1,4,1000027048,113865,
251,,Spot,6,Image 1,4,1000027245,114053,
251,,Spot,6,Image 1,4,1000027656,114406,
251,,Spot,6,Image 1,4,1000028849,115497,
251,,Spot,6,Image 1,4,1000026789,115539,
251,,Spot,6,Image 1,4,1000028860,115808,
249,,Spot,6,Image 1,4,1000058544,116209,
252,,Spot,6,Image 1,4,1000029962,116546,
251,,Spot,6,Image 1,4,1000117221,117221,
251,,Spot,6,Image 1,5,1000000426,118445,
252,,Spot,6,Image 1,5,1000034728,121251,
252,,Spot,6,Image 1,5,1000005575,122895,
252,,Spot,6,Image 1,5,1000094504,122921,
