
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
255,,Spot,1,Image 1,1,1000000426,426,
81.036,,Spot,1,Image 1,1,1000005575,5575,
255,,Spot,1,Image 1,1,1000008102,8102,
255,,Spot,1,Image 1,1,1000011182,11182,
255,,Spot,1,Image 1,1,1000014633,14633,
22.025,,Spot,1,Image 1,1,1000014915,14915,
254.988,,Spot,1,Image 1,1,1000018381,18381,
232.05,,Spot,1,Image 1,1,1000019405,19405,
255,,Spot,1,Image 1,1,1000022248,22248,
255,,Spot,1,Image 1,1,1000023039,23039,
255,,Spot,1,Image 1,1,1000023639,23639,
0.0065,,Spot,1,Image 1,1,1000024512,24512,
255,,Spot,1,Image 1,1,1000025762,25762,
255,,Spot,1,Image 1,1,1000025863,25863,
255,,Spot,1,Image 1,1,1000025898,25898,
255,,Spot,1,Image 1,1,1000026374,26374,
255,,Spot,1,Image 1,1,1000026660,26660,
255,,Spot,1,Image 1,1,1000026789,26789,
56.465,,Spot,1,Image 1,1,1000026990,26990,
84.032,,Spot,1,Image 1,1,1000027048,27048,
255,,Spot,1,Image 1,1,1000027245,27245,
254.964,,Spot,1,Image 1,1,1000027656,27656,
254.97,,Spot,1,Image 1,1,1000028849,28849,
255,,Spot,1,Image 1,1,1000028860,28860,
254.99,,Spot,1,Image 1,1,1000029962,29962,
253.001,,Spot,1,Image 1,2,1000000426,31408,
251,,Spot,1,Image 1,2,1000034728,34728,
58,,Spot,1,Image 1,2,1000005575,36136,
254.984,,Spot,1,Image 1,2,1000008102,38443,
253.008,,Spot,1,Image 1,2,1000011182,41290,
254.5,,Spot,1,Image 1,2,1000014633,44511,
26.512,,Spot,1,Image 1,2,1000014915,44743,
252.001,,Spot,1,Image 1,2,1000018381,48029,
251.058,,Spot,1,Image 1,2,1000019405,48982,
251.918,,Spot,1,Image 1,2,1000023639,50349,
255,,Spot,1,Image 1,2,1000022248,51941,
252.992,,Spot,1,Image 1,2,1000023039,52388,
0.00075,,Spot,1,Image 1,2,1000024512,53806,
83.024,,Spot,1,Image 1,2,1000026990,53878,
253.998,,Spot,1,Image 1,2,1000025863,54980,
253.999,,Spot,1,Image 1,2,1000025898,55022,
255,,Spot,1,Image 1,2,1000025762,55178,
254.999,,Spot,1,Image 1,2,1000026374,55483,
254.001,,Spot,1,Image 1,2,1000026660,55751,
251.984,,Spot,1,Image 1,2,1000026789,55877,
95.025,,Spot,1,Image 1,2,1000027048,56142,
255,,Spot,1,Image 1,2,1000027245,56330,
253.999,,Spot,1,Image 1,2,1000027656,56728,
247.964,,Spot,1,Image 1,2,1000028849,57830,
254.984,,Spot,1,Image 1,2,1000028860,57836,
255,,Spot,1,Image 1,2,1000058544,58544,
251.504,,Spot,1,Image 1,2,1000029962,58891,
253.999,,Spot,1,Image 1,3,1000000426,60244,
230.98,,Spot,1,Image 1,3,1000034728,63643,
44.934,,Spot,1,Image 1,3,1000005575,65097,
254.999,,Spot,1,Image 1,3,1000008102,67443,
0.003,,Spot,1,Image 1,3,1000069455,69455,
251.984,,Spot,1,Image 1,3,1000011182,70317,
32.016,,Spot,1,Image 1,3,1000071729,71729,
253.02,,Spot,1,Image 1,3,1000014633,73446,
23.504,,Spot,1,Image 1,3,1000014915,73705,
251.408,,Spot,1,Image 1,3,1000074239,74239,
253.006,,Spot,1,Image 1,3,1000018381,76943,
235.08,,Spot,1,Image 1,3,1000019405,77924,
251.924,,Spot,1,Image 1,3,1000023639,79247,
22.5165,,Spot,1,Image 1,3,1000080712,80712,
254.999,,Spot,1,Image 1,3,1000022248,80953,
252.999,,Spot,1,Image 1,3,1000023039,81387,
254.974,,Spot,1,Image 1,3,1000082174,82174,
252.008,,Spot,1,Image 1,3,1000025863,84084,
253.999,,Spot,1,Image 1,3,1000025898,84121,
