
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
255,,Spot,4,Image 1,1,1000000426,426,
43,,Spot,4,Image 1,1,1000005575,5575,
255,,Spot,4,Image 1,1,1000008102,8102,
255,,Spot,4,Image 1,1,1000011182,11182,
255,,Spot,4,Image 1,1,1000014633,14633,
0,,Spot,4,Image 1,1,1000014915,14915,
255,,Spot,4,Image 1,1,1000018381,18381,
195,,Spot,4,Image 1,1,1000019405,19405,
255,,Spot,4,Image 1,1,1000022248,22248,
255,,Spot,4,Image 1,1,1000023039,23039,
255,,Spot,4,Image 1,1,1000023639,23639,
0,,Spot,4,Image 1,1,1000024512,24512,
255,,Spot,4,Image 1,1,1000025762,25762,
255,,Spot,4,Image 1,1,1000025863,25863,
255,,Spot,4,Image 1,1,1000025898,25898,
255,,Spot,4,Image 1,1,1000026374,26374,
255,,Spot,4,Image 1,1,1000026660,26660,
255,,Spot,4,Image 1,1,1000026789,26789,
68,,Spot,4,Image 1,1,1000026990,26990,
13,,Spot,4,Image 1,1,1000027048,27048,
255,,Spot,4,Image 1,1,1000027245,27245,
255,,Spot,4,Image 1,1,1000027656,27656,
255,,Spot,4,Image 1,1,1000028849,28849,
255,,Spot,4,Image 1,1,1000028860,28860,
255,,Spot,4,Image 1,1,1000029962,29962,
252,,Spot,4,Image 1,2,1000000426,31408,
136,,Spot,4,Image 1,2,1000034728,34728,
67,,Spot,4,Image 1,2,1000005575,36136,
255,,Spot,4,Image 1,2,1000008102,38443,
255,,Spot,4,Image 1,2,1000011182,41290,
255,,Spot,4,Image 1,2,1000014633,44511,
9,,Spot,4,Image 1,2,1000014915,44743,
252,,Spot,4,Image 1,2,1000018381,48029,
221,,Spot,4,Image 1,2,1000019405,48982,
184,,Spot,4,Image 1,2,1000023639,50349,
255,,Spot,4,Image 1,2,1000022248,51941,
252,,Spot,4,Image 1,2,1000023039,52388,
0,,Spot,4,Image 1,2,1000024512,53806,
174,,Spot,4,Image 1,2,1000026990,53878,
252,,Spot,4,Image 1,2,1000025863,54980,
254,,Spot,4,Image 1,2,1000025898,55022,
255,,Spot,4,Image 1,2,1000025762,55178,
255,,Spot,4,Image 1,2,1000026374,55483,
253,,Spot,4,Image 1,2,1000026660,55751,
254,,Spot,4,Image 1,2,1000026789,55877,
24,,Spot,4,Image 1,2,1000027048,56142,
254,,Spot,4,Image 1,2,1000027245,56330,
253,,Spot,4,Image 1,2,1000027656,56728,
255,,Spot,4,Image 1,2,1000028849,57830,
255,,Spot,4,Image 1,2,1000028860,57836,
255,,Spot,4,Image 1,2,1000058544,58544,
252,,Spot,4,Image 1,2,1000029962,58891,
252,,Spot,4,Image 1,3,1000000426,60244,
163,,Spot,4,Image 1,3,1000034728,63643,
2,,Spot,4,Image 1,3,1000005575,65097,
255,,Spot,4,Image 1,3,1000008102,67443,
0,,Spot,4,Image 1,3,1000069455,69455,
255,,Spot,4,Image 1,3,1000011182,70317,
11,,Spot,4,Image 1,3,1000071729,71729,
255,,Spot,4,Image 1,3,1000014633,73446,
8,,Spot,4,Image 1,3,1000014915,73705,
96,,Spot,4,Image 1,3,1000074239,74239,
253,,Spot,4,Image 1,3,1000018381,76943,
150,,Spot,4,Image 1,3,1000019405,77924,
254,,Spot,4,Image 1,3,1000023639,79247,
10,,Spot,4,Image 1,3,1000080712,80712,
255,,Spot,4,Image 1,3,1000022248,80953,
253,,Spot,4,Image 1,3,1000023039,81387,
255,,Spot,4,Image 1,3,1000082174,82174,
252,,Spot,4,Image 1,3,1000025863,84084,
253,,Spot,4,Image 1,3,1000025898,84121,
255,,Spot,4,Image 1,3,1000025762,84276,
255,,Spot,4,Image 1,3,1000026374,84574,
253,,Spot,4,Image 1,3,1000026660,84846,
0,,Spot,4,Image 1,3,1000024512,85119,
74,,Spot,4,Image 1,3,1000026990,85188,
82,,Spot,4,Image 1,3,1000027048,85231,
254,,Spot,4,Image 1,3,1000027245,85436,
253,,Spot,4,Image 1,3,1000027656,85840,
255,,Spot,4,Image 1,3,1000028860,87067,
255,,Spot,4,Image 1,3,1000028849,87068,
255,,Spot,4,Image 1,3,1000026789,87113,
255,,Spot,4,Image 1,3,1000058544,87764,
251,,Spot,4,Image 1,3,1000029962,88111,
252,,Spot,4,Image 1,4,1000000426,89999,
218,,Spot,4,Image 1,4,1000034728,92817,
27,,Spot,4,Image 1,4,1000005575,94472,
40,,Spot,4,Image 1,4,1000094504,94504,
254,,Spot,4,Image 1,4,1000008102,96642,
255,,Spot,4,Image 1,4,1000011182,99638,
0,,Spot,4,Image 1,4,1000071729,100780,
0,,Spot,4,Image 1,4,1000069455,101402,
