
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Spot,1,Image 1,1,1000000426,426,
43.4563,,Spot,1,Image 1,1,1000005575,5575,
0,,Spot,1,Image 1,1,1000008102,8102,
0,,Spot,1,Image 1,1,1000011182,11182,
0,,Spot,1,Image 1,1,1000014633,14633,
15.2607,,Spot,1,Image 1,1,1000014915,14915,
12.0358,,Spot,1,Image 1,1,1000018381,18381,
36.2688,,Spot,1,Image 1,1,1000019405,19405,
0,,Spot,1,Image 1,1,1000022248,22248,
0,,Spot,1,Image 1,1,1000023039,23039,
0,,Spot,1,Image 1,1,1000023639,23639,
7.18602,,Spot,1,Image 1,1,1000024512,24512,
0,,Spot,1,Image 1,1,1000025762,25762,
0,,Spot,1,Image 1,1,1000025863,25863,
0,,Spot,1,Image 1,1,1000025898,25898,
0,,Spot,1,Image 1,1,1000026374,26374,
0,,Spot,1,Image 1,1,1000026660,26660,
0,,Spot,1,Image 1,1,1000026789,26789,
47.9322,,Spot,1,Image 1,1,1000026990,26990,
96.0352,,Spot,1,Image 1,1,1000027048,27048,
0,,Spot,1,Image 1,1,1000027245,27245,
22.6942,,Spot,1,Image 1,1,1000027656,27656,
17.3273,,Spot,1,Image 1,1,1000028849,28849,
0,,Spot,1,Image 1,1,1000028860,28860,
12.6,,Spot,1,Image 1,1,1000029962,29962,
1.06574,,Spot,1,Image 1,2,1000000426,31408,
59.9659,,Spot,1,Image 1,2,1000034728,34728,
43.5016,,Spot,1,Image 1,2,1000005575,36136,
9.7261,,Spot,1,Image 1,2,1000008102,38443,
11.0194,,Spot,1,Image 1,2,1000011182,41290,
0.663325,,Spot,1,Image 1,2,1000014633,44511,
17.0465,,Spot,1,Image 1,2,1000014915,44743,
1.06719,,Spot,1,Image 1,2,1000018381,48029,
34.9178,,Spot,1,Image 1,2,1000019405,48982,
43.3592,,Spot,1,Image 1,2,1000023639,50349,
0,,Spot,1,Image 1,2,1000022248,51941,
2.12091,,Spot,1,Image 1,2,1000023039,52388,
0.726184,,Spot,1,Image 1,2,1000024512,53806,
59.3691,,Spot,1,Image 1,2,1000026990,53878,
1.14063,,Spot,1,Image 1,2,1000025863,54980,
1.1,,Spot,1,Image 1,2,1000025898,55022,
0,,Spot,1,Image 1,2,1000025762,55178,
0.728431,,Spot,1,Image 1,2,1000026374,55483,
