
Intensity Sum Ch=1 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
3060,,Spot,1,Image 1,1,1000000426,426,
2726,,Spot,1,Image 1,1,1000005575,5575,
3315,,Spot,1,Image 1,1,1000008102,8102,
510,,Spot,1,Image 1,1,1000011182,11182,
3570,,Spot,1,Image 1,1,1000014633,14633,
168,,Spot,1,Image 1,1,1000014915,14915,
1985,,Spot,1,Image 1,1,1000018381,18381,
3991,,Spot,1,Image 1,1,1000019405,19405,
4080,,Spot,1,Image 1,1,1000022248,22248,
3060,,Spot,1,Image 1,1,1000023039,23039,
2550,,Spot,1,Image 1,1,1000023639,23639,
26,,Spot,1,Image 1,1,1000024512,24512,
2805,,Spot,1,Image 1,1,1000025762,25762,
3060,,Spot,1,Image 1,1,1000025863,25863,
1785,,Spot,1,Image 1,1,1000025898,25898,
2040,,Spot,1,Image 1,1,1000026374,26374,
510,,Spot,1,Image 1,1,1000026660,26660,
3825,,Spot,1,Image 1,1,1000026789,26789,
544,,Spot,1,Image 1,1,1000026990,26990,
1903,,Spot,1,Image 1,1,1000027048,27048,
5355,,Spot,1,Image 1,1,1000027245,27245,
3955,,Spot,1,Image 1,1,1000027656,27656,
3994,,Spot,1,Image 1,1,1000028849,28849,
4080,,Spot,1,Image 1,1,1000028860,28860,
2508,,Spot,1,Image 1,1,1000029962,29962,
2281,,Spot,1,Image 1,2,1000000426,31408,
3516,,Spot,1,Image 1,2,1000034728,34728,
890,,Spot,1,Image 1,2,1000005575,36136,
3525,,Spot,1,Image 1,2,1000008102,38443,
5013,,Spot,1,Image 1,2,1000011182,41290,
2544,,Spot,1,Image 1,2,1000014633,44511,
246,,Spot,1,Image 1,2,1000014915,44743,
3026,,Spot,1,Image 1,2,1000018381,48029,
3728,,Spot,1,Image 1,2,1000019405,48982,
6246,,Spot,1,Image 1,2,1000023639,50349,
3315,,Spot,1,Image 1,2,1000022248,51941,
6053,,Spot,1,Image 1,2,1000023039,52388,
3,,Spot,1,Image 1,2,1000024512,53806,
353,,Spot,1,Image 1,2,1000026990,53878,
4308,,Spot,1,Image 1,2,1000025863,54980,
2537,,Spot,1,Image 1,2,1000025898,55022,
765,,Spot,1,Image 1,2,1000025762,55178,
3562,,Spot,1,Image 1,2,1000026374,55483,
2286,,Spot,1,Image 1,2,1000026660,55751,
