
Intensity Sum of Square Ch=5 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
288781,,Spot,5,Image 1,1,1000000426,426,
714743,,Spot,5,Image 1,1,1000005575,5575,
407499,,Spot,5,Image 1,1,1000008102,8102,
130050,,Spot,5,Image 1,1,1000011182,11182,
393925,,Spot,5,Image 1,1,1000014633,14633,
368465,,Spot,5,Image 1,1,1000014915,14915,
294446,,Spot,5,Image 1,1,1000018381,18381,
653237,,Spot,5,Image 1,1,1000019405,19405,
469487,,Spot,5,Image 1,1,1000022248,22248,
307510,,Spot,5,Image 1,1,1000023039,23039,
542700,,Spot,5,Image 1,1,1000023639,23639,
356463,,Spot,5,Image 1,1,1000024512,24512,
292653,,Spot,5,Image 1,1,1000025762,25762,
361149,,Spot,5,Image 1,1,1000025863,25863,
317401,,Spot,5,Image 1,1,1000025898,25898,
293729,,Spot,5,Image 1,1,1000026374,26374,
111250,,Spot,5,Image 1,1,1000026660,26660,
477639,,Spot,5,Image 1,1,1000026789,26789,
369130,,Spot,5,Image 1,1,1000026990,26990,
736200,,Spot,5,Image 1,1,1000027048,27048,
525935,,Spot,5,Image 1,1,1000027245,27245,
311892,,Spot,5,Image 1,1,1000027656,27656,
507366,,Spot,5,Image 1,1,1000028849,28849,
539175,,Spot,5,Image 1,1,1000028860,28860,
284538,,Spot,5,Image 1,1,1000029962,29962,
308780,,Spot,5,Image 1,2,1000000426,31408,
420590,,Spot,5,Image 1,2,1000034728,34728,
480055,,Spot,5,Image 1,2,1000005575,36136,
450253,,Spot,5,Image 1,2,1000008102,38443,
830693,,Spot,5,Image 1,2,1000011182,41290,
350344,,Spot,5,Image 1,2,1000014633,44511,
515818,,Spot,5,Image 1,2,1000014915,44743,
344210,,Spot,5,Image 1,2,1000018381,48029,
518653,,Spot,5,Image 1,2,1000019405,48982,
1.10398e+06,,Spot,5,Image 1,2,1000023639,50349,
295148,,Spot,5,Image 1,2,1000022248,51941,
496801,,Spot,5,Image 1,2,1000023039,52388,
395981,,Spot,5,Image 1,2,1000024512,53806,
253010,,Spot,5,Image 1,2,1000026990,53878,
468923,,Spot,5,Image 1,2,1000025863,54980,
312034,,Spot,5,Image 1,2,1000025898,55022,
189003,,Spot,5,Image 1,2,1000025762,55178,
361921,,Spot,5,Image 1,2,1000026374,55483,
296895,,Spot,5,Image 1,2,1000026660,55751,
716246,,Spot,5,Image 1,2,1000026789,55877,
584820,,Spot,5,Image 1,2,1000027048,56142,
538897,,Spot,5,Image 1,2,1000027245,56330,
320910,,Spot,5,Image 1,2,1000027656,56728,
326494,,Spot,5,Image 1,2,1000028849,57830,
545006,,Spot,5,Image 1,2,1000028860,57836,
270285,,Spot,5,Image 1,2,1000058544,58544,
347130,,Spot,5,Image 1,2,1000029962,58891,
492542,,Spot,5,Image 1,3,1000000426,60244,
427800,,Spot,5,Image 1,3,1000034728,63643,
686947,,Spot,5,Image 1,3,1000005575,65097,
417855,,Spot,5,Image 1,3,1000008102,67443,
1.09876e+06,,Spot,5,Image 1,3,1000069455,69455,
345741,,Spot,5,Image 1,3,1000011182,70317,
742719,,Spot,5,Image 1,3,1000071729,71729,
320851,,Spot,5,Image 1,3,1000014633,73446,
1.68307e+06,,Spot,5,Image 1,3,1000014915,73705,
425908,,Spot,5,Image 1,3,1000074239,74239,
280864,,Spot,5,Image 1,3,1000018381,76943,
531562,,Spot,5,Image 1,3,1000019405,77924,
536911,,Spot,5,Image 1,3,1000023639,79247,
400595,,Spot,5,Image 1,3,1000080712,80712,
221775,,Spot,5,Image 1,3,1000022248,80953,
252566,,Spot,5,Image 1,3,1000023039,81387,
302742,,Spot,5,Image 1,3,1000082174,82174,
475525,,Spot,5,Image 1,3,1000025863,84084,
317834,,Spot,5,Image 1,3,1000025898,84121,
347710,,Spot,5,Image 1,3,1000025762,84276,
312591,,Spot,5,Image 1,3,1000026374,84574,
402312,,Spot,5,Image 1,3,1000026660,84846,
350118,,Spot,5,Image 1,3,1000024512,85119,
331919,,Spot,5,Image 1,3,1000026990,85188,
652932,,Spot,5,Image 1,3,1000027048,85231,
364006,,Spot,5,Image 1,3,1000027245,85436,
527422,,Spot,5,Image 1,3,1000027656,85840,
380859,,Spot,5,Image 1,3,1000028860,87067,
535734,,Spot,5,Image 1,3,1000028849,87068,
145883,,Spot,5,Image 1,3,1000026789,87113,
275616,,Spot,5,Image 1,3,1000058544,87764,
302204,,Spot,5,Image 1,3,1000029962,88111,
210158,,Spot,5,Image 1,4,1000000426,89999,
332238,,Spot,5,Image 1,4,1000034728,92817,
669679,,Spot,5,Image 1,4,1000005575,94472,
1.38721e+06,,Spot,5,Image 1,4,1000094504,94504,
312412,,Spot,5,Image 1,4,1000008102,96642,
561871,,Spot,5,Image 1,4,1000011182,99638,
743297,,Spot,5,Image 1,4,1000071729,100780,
190818,,Spot,5,Image 1,4,1000069455,101402,
367299,,Spot,5,Image 1,4,1000014633,102466,
574444,,Spot,5,Image 1,4,1000014915,102705,
363952,,Spot,5,Image 1,4,1000074239,103194,
270363,,Spot,5,Image 1,4,1000018381,105925,
521554,,Spot,5,Image 1,4,1000019405,106901,
372124,,Spot,5,Image 1,4,1000023639,107889,
470999,,Spot,5,Image 1,4,1000080712,109580,
237621,,Spot,5,Image 1,4,1000022248,109796,
420747,,Spot,5,Image 1,4,1000023039,110552,
711933,,Spot,5,Image 1,4,1000082174,111030,
130134,,Spot,5,Image 1,4,1000111173,111173,
307537,,Spot,5,Image 1,4,1000026990,111660,
601372,,Spot,5,Image 1,4,1000025863,112778,
232317,,Spot,5,Image 1,4,1000025898,112805,
423022,,Spot,5,Image 1,4,1000025762,112950,
378546,,Spot,5,Image 1,4,1000026374,113239,
360233,,Spot,5,Image 1,4,1000026660,113520,
460188,,Spot,5,Image 1,4,1000024512,113757,
537865,,Spot,5,Image 1,4,1000027048,113865,
612819,,Spot,5,Image 1,4,1000027245,114053,
284466,,Spot,5,Image 1,4,1000027656,114406,
443636,,Spot,5,Image 1,4,1000028849,115497,
412491,,Spot,5,Image 1,4,1000026789,115539,
399064,,Spot,5,Image 1,4,1000028860,115808,
330590,,Spot,5,Image 1,4,1000058544,116209,
303184,,Spot,5,Image 1,4,1000029962,116546,
234880,,Spot,5,Image 1,4,1000117221,117221,
246634,,Spot,5,Image 1,5,1000000426,118445,
371645,,Spot,5,Image 1,5,1000034728,121251,
774752,,Spot,5,Image 1,5,1000005575,122895,
1.65075e+06,,Spot,5,Image 1,5,1000094504,122921,
414499,,Spot,5,Image 1,5,1000008102,125190,
980329,,Spot,5,Image 1,5,1000069455,126997,
726332,,Spot,5,Image 1,5,1000011182,128077,
907350,,Spot,5,Image 1,5,1000071729,129533,
1.30557e+06,,Spot,5,Image 1,5,1000130081,130081,
370006,,Spot,5,Image 1,5,1000014633,130906,
927524,,Spot,5,Image 1,5,1000014915,131163,
439371,,Spot,5,Image 1,5,1000074239,131962,
273888,,Spot,5,Image 1,5,1000018381,134403,
574157,,Spot,5,Image 1,5,1000019405,135344,
363158,,Spot,5,Image 1,5,1000135496,135496,
326584,,Spot,5,Image 1,5,1000136105,136105,
391292,,Spot,5,Image 1,5,1000023639,136650,
387706,,Spot,5,Image 1,5,1000080712,138121,
230212,,Spot,5,Image 1,5,1000022248,138370,
258576,,Spot,5,Image 1,5,1000138478,138478,
416428,,Spot,5,Image 1,5,1000023039,139141,
1.82562e+06,,Spot,5,Image 1,5,1000111173,139444,
672967,,Spot,5,Image 1,5,1000082174,139613,
470923,,Spot,5,Image 1,5,1000026990,140299,
462215,,Spot,5,Image 1,5,1000025863,141518,
280436,,Spot,5,Image 1,5,1000025898,141554,
286533,,Spot,5,Image 1,5,1000025762,141715,
350136,,Spot,5,Image 1,5,1000026374,142006,
370071,,Spot,5,Image 1,5,1000026660,142309,
443673,,Spot,5,Image 1,5,1000026789,142442,
311948,,Spot,5,Image 1,5,1000024512,142605,
950644,,Spot,5,Image 1,5,1000027048,142723,
601498,,Spot,5,Image 1,5,1000027245,142911,
293458,,Spot,5,Image 1,5,1000027656,143300,
417799,,Spot,5,Image 1,5,1000028849,144692,
395490,,Spot,5,Image 1,5,1000028860,144697,
221389,,Spot,5,Image 1,5,1000058544,145135,
316805,,Spot,5,Image 1,5,1000029962,145462,
490877,,Spot,5,Image 1,5,1000145899,145899,
302726,,Spot,5,Image 1,5,1000117221,146100,
304345,,Spot,5,Image 1,6,1000000426,147253,
477793,,Spot,5,Image 1,6,1000034728,149987,
418615,,Spot,5,Image 1,6,1000005575,151677,
941893,,Spot,5,Image 1,6,1000094504,151710,
394939,,Spot,5,Image 1,6,1000008102,154042,
201612,,Spot,5,Image 1,6,1000011182,156798,
545035,,Spot,5,Image 1,6,1000071729,157999,
1.02435e+06,,Spot,5,Image 1,6,1000158060,158060,
897198,,Spot,5,Image 1,6,1000069455,158557,
402960,,Spot,5,Image 1,6,1000130081,158794,
316657,,Spot,5,Image 1,6,1000014633,159593,
710622,,Spot,5,Image 1,6,1000014915,159795,
349758,,Spot,5,Image 1,6,1000074239,160614,
