
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
74.6101,97.223,1.5,µm,Spot,Position,1,1000000426,426,
122.18,248.949,16.2293,µm,Spot,Position,1,1000005575,5575,
258.671,35.9835,28.479,µm,Spot,Position,1,1000008102,8102,
209.561,34.9564,37.6081,µm,Spot,Position,1,1000011182,11182,
92.4269,197.616,58.2003,µm,Spot,Position,1,1000014633,14633,
298.324,176.393,49.433,µm,Spot,Position,1,1000014915,14915,
244.333,78.9277,61.4857,µm,Spot,Position,1,1000018381,18381,
328.418,89.761,70.0736,µm,Spot,Position,1,1000019405,19405,
212.499,116.583,74.0428,µm,Spot,Position,1,1000022248,22248,
271.969,174.455,80.1935,µm,Spot,Position,1,1000023039,23039,
75.0433,334.438,72.728,µm,Spot,Position,1,1000023639,23639,
180.569,293.004,82.3615,µm,Spot,Position,1,1000024512,24512,
339.051,149.833,86.1459,µm,Spot,Position,1,1000025762,25762,
236.029,196.213,85.6262,µm,Spot,Position,1,1000025863,25863,
357.227,89.3626,87.427,µm,Spot,Position,1,1000025898,25898,
281.647,161.245,90.6955,µm,Spot,Position,1,1000026374,26374,
327.173,163.86,94.1258,µm,Spot,Position,1,1000026660,26660,
227.329,194.553,94.5005,µm,Spot,Position,1,1000026789,26789,
67.6333,341.236,84.4602,µm,Spot,Position,1,1000026990,26990,
70.4539,368.506,84.743,µm,Spot,Position,1,1000027048,27048,
104.382,319.278,88.5528,µm,Spot,Position,1,1000027245,27245,
106.808,381.047,91.9827,µm,Spot,Position,1,1000027656,27656,
318.064,179.249,97.4994,µm,Spot,Position,1,1000028849,28849,
314.765,180.629,97.7517,µm,Spot,Position,1,1000028860,28860,
140.774,304.569,100.5,µm,Spot,Position,1,1000029962,29962,
72.1935,98.2062,1.5,µm,Spot,Position,2,1000000426,31408,
107.847,96.8903,16.6517,µm,Spot,Position,2,1000034728,34728,
121.797,252.478,16.638,µm,Spot,Position,2,1000005575,36136,
254.582,34.1534,28.5391,µm,Spot,Position,2,1000008102,38443,
207.548,34.6474,37.6266,µm,Spot,Position,2,1000011182,41290,
91.4767,198.007,58.791,µm,Spot,Position,2,1000014633,44511,
296.483,175.246,49.1171,µm,Spot,Position,2,1000014915,44743,
244.226,80.1177,61.6218,µm,Spot,Position,2,1000018381,48029,
326.757,91.2501,69.8002,µm,Spot,Position,2,1000019405,48982,
73.7094,335.482,71.5634,µm,Spot,Position,2,1000023639,50349,
209.133,118.62,75.6193,µm,Spot,Position,2,1000022248,51941,
270.05,175.166,80.6089,µm,Spot,Position,2,1000023039,52388,
180.677,294.741,82.5167,µm,Spot,Position,2,1000024512,53806,
67.2014,338.888,83.7536,µm,Spot,Position,2,1000026990,53878,
232.713,195.921,85.6761,µm,Spot,Position,2,1000025863,54980,
355.679,89.2549,88.4789,µm,Spot,Position,2,1000025898,55022,
338.111,150.015,88.4313,µm,Spot,Position,2,1000025762,55178,
280.836,160.312,91.1701,µm,Spot,Position,2,1000026374,55483,
326.075,164.354,93.653,µm,Spot,Position,2,1000026660,55751,
225.14,193.453,95.6551,µm,Spot,Position,2,1000026789,55877,
69.2083,368.817,84.7371,µm,Spot,Position,2,1000027048,56142,
101.732,320.65,88.5145,µm,Spot,Position,2,1000027245,56330,
104.864,381.72,92.2616,µm,Spot,Position,2,1000027656,56728,
317.446,179.752,97.3501,µm,Spot,Position,2,1000028849,57830,
313.817,180.769,97.8318,µm,Spot,Position,2,1000028860,57836,
121.393,340.033,97.5466,µm,Spot,Position,2,1000058544,58544,
139.237,303.162,100.5,µm,Spot,Position,2,1000029962,58891,
74.9359,97.6671,1.5,µm,Spot,Position,3,1000000426,60244,
109.479,96.8674,16.3024,µm,Spot,Position,3,1000034728,63643,
121.841,250.493,17.1618,µm,Spot,Position,3,1000005575,65097,
255.177,34.5766,28.574,µm,Spot,Position,3,1000008102,67443,
240.642,283.003,34.8844,µm,Spot,Position,3,1000069455,69455,
209.258,36.0777,38.2454,µm,Spot,Position,3,1000011182,70317,
186.088,256.417,43.9633,µm,Spot,Position,3,1000071729,71729,
90.3149,197.693,57.8783,µm,Spot,Position,3,1000014633,73446,
297.631,173.969,48.2274,µm,Spot,Position,3,1000014915,73705,
278.697,89.0504,55.2883,µm,Spot,Position,3,1000074239,74239,
243.104,77.9956,61.3742,µm,Spot,Position,3,1000018381,76943,
327.05,90.0368,70.6101,µm,Spot,Position,3,1000019405,77924,
74.5596,335.202,69.9593,µm,Spot,Position,3,1000023639,79247,
244.489,206.779,73.6018,µm,Spot,Position,3,1000080712,80712,
211.442,120.282,76.5383,µm,Spot,Position,3,1000022248,80953,
270.016,174.027,80.4748,µm,Spot,Position,3,1000023039,81387,
96.0028,287.096,77.5231,µm,Spot,Position,3,1000082174,82174,
233,194.097,86.3463,µm,Spot,Position,3,1000025863,84084,
356.869,91.1555,88.2938,µm,Spot,Position,3,1000025898,84121,
336.546,149.185,88.4099,µm,Spot,Position,3,1000025762,84276,
280.705,160.545,91.9718,µm,Spot,Position,3,1000026374,84574,
326.869,165.004,94.1864,µm,Spot,Position,3,1000026660,84846,
