
Track Diameter Mean
 ==================== 
Track Diameter Mean,Unit,Category,ID,
3.2982,µm,Track,1000000426,
4.21841,µm,Track,1000005575,
3.21547,µm,Track,1000008102,
3.52073,µm,Track,1000011182,
3.42397,µm,Track,1000014633,
4.35221,µm,Track,1000014915,
2.96983,µm,Track,1000018381,
3.89415,µm,Track,1000019405,
3.16237,µm,Track,1000022248,
3.69856,µm,Track,1000023039,
3.6671,µm,Track,1000023639,
3.48594,µm,Track,1000024512,
3.17986,µm,Track,1000025762,
3.9794,µm,Track,1000025863,
3.05457,µm,Track,1000025898,
3.15421,µm,Track,1000026374,
3.04913,µm,Track,1000026660,
3.30097,µm,Track,1000026789,
3.56546,µm,Track,1000026990,
3.9168,µm,Track,1000027048,
3.78433,µm,Track,1000027245,
3.47983,µm,Track,1000027656,
3.43714,µm,Track,1000028849,
3.30273,µm,Track,1000028860,
3.08577,µm,Track,1000029962,
3.48273,µm,Track,1000034728,
3.26142,µm,Track,1000058544,
4.15482,µm,Track,1000069455,
4.26288,µm,Track,1000071729,
3.55628,µm,Track,1000074239,
3.1981,µm,Track,1000080712,
3.66327,µm,Track,1000082174,
4.45713,µm,Track,1000094504,
4.95543,µm,Track,1000111173,
2.80354,µm,Track,1000117221,
3.82674,µm,Track,1000130081,
3.93648,µm,Track,1000135496,
3.74184,µm,Track,1000136105,
3.24761,µm,Track,1000138478,
3.80626,µm,Track,1000145899,
4.61768,µm,Track,1000158060,
3.35097,µm,Track,1000165097,
3.76079,µm,Track,1000178867,
3.69254,µm,Track,1000196023,
3.20662,µm,Track,1000196749,
3.1068,µm,Track,1000199932,
4.76223,µm,Track,1000218062,
3.3443,µm,Track,1000221333,
3.33186,µm,Track,1000224234,
3.8951,µm,Track,1000224241,
3.41368,µm,Track,1000224431,
3.25154,µm,Track,1000226383,
4.22043,µm,Track,1000232501,
3.19841,µm,Track,1000244446,
3.6671,µm,Track,1000253547,
3.37463,µm,Track,1000257305,
3.48463,µm,Track,1000260417,
3.63045,µm,Track,1000260594,
3.31455,µm,Track,1000275823,
3.52515,µm,Track,1000278844,
3.40194,µm,Track,1000282540,
2.81781,µm,Track,1000282868,
3.69279,µm,Track,1000290426,
3.09511,µm,Track,1000290900,
3.59911,µm,Track,1000312915,
3.70232,µm,Track,1000320447,
3.20943,µm,Track,1000327258,
3.02971,µm,Track,1000338312,
3.96181,µm,Track,1000354440,
3.56726,µm,Track,1000354480,
3.31785,µm,Track,1000371442,
2.97317,µm,Track,1000373068,
3.89345,µm,Track,1000385100,
3.71947,µm,Track,1000401657,
3.20895,µm,Track,1000402605,
3.39747,µm,Track,1000405139,
3.67447,µm,Track,1000409035,
2.94712,µm,Track,1000421574,
3.02694,µm,Track,1000423376,
3.86396,µm,Track,1000429687,
3.16768,µm,Track,1000439186,
3.08149,µm,Track,1000449132,
4.69327,µm,Track,1000454057,
3.54233,µm,Track,1000454567,
2.97755,µm,Track,1000488632,
3.60108,µm,Track,1000489329,
2.81943,µm,Track,1000493396,
3.39953,µm,Track,1000515291,
4.18536,µm,Track,1000522409,
3.12272,µm,Track,1000522415,
3.64064,µm,Track,1000534158,
4.07539,µm,Track,1000535289,
3.45782,µm,Track,1000549440,
2.9194,µm,Track,1000566277,
3.88702,µm,Track,1000569584,
3.57028,µm,Track,1000572485,
4.51692,µm,Track,1000574056,
3.33453,µm,Track,1000576160,
3.37921,µm,Track,1000606742,
3.48514,µm,Track,1000623228,
4.22358,µm,Track,1000626063,
3.84426,µm,Track,1000628237,
3.0855,µm,Track,1000657926,
2.94875,µm,Track,1000667525,
3.96587,µm,Track,1000675627,
4.64051,µm,Track,1000684239,
3.43425,µm,Track,1000686553,
3.43723,µm,Track,1000689377,
3.84617,µm,Track,1000690930,
3.31719,µm,Track,1000692325,
3.51482,µm,Track,1000695046,
3.3303,µm,Track,1000704730,
3.85032,µm,Track,1000705525,
3.20733,µm,Track,1000712057,
3.74951,µm,Track,1000728131,
3.20053,µm,Track,1000755087,
4.33696,µm,Track,1000764459,
3.39227,µm,Track,1000809896,
3.36602,µm,Track,1000811156,
3.67381,µm,Track,1000813964,
3.63835,µm,Track,1000825954,
3.81262,µm,Track,1000835089,
3.52995,µm,Track,1000839692,
3.83025,µm,Track,1000855659,
3.67059,µm,Track,1000856861,
3.64607,µm,Track,1000858553,
4.52842,µm,Track,1000860086,
3.5244,µm,Track,1000860289,
5.13039,µm,Track,1000864199,
2.96272,µm,Track,1000865808,
3.13021,µm,Track,1000866048,
3.14295,µm,Track,1000887899,
4.90941,µm,Track,1000890207,
3.47119,µm,Track,1000898844,
3.98202,µm,Track,1000926710,
3.68828,µm,Track,1000946144,
4.37327,µm,Track,1000953090,
3.20343,µm,Track,1000962165,
4.02082,µm,Track,1000976176,
2.90301,µm,Track,1000988049,
3.0194,µm,Track,1001007366,
2.99974,µm,Track,1001020468,
3.03095,µm,Track,1001028919,
4.78041,µm,Track,1001035449,
3.4308,µm,Track,1001045764,
3.62275,µm,Track,1001046137,
3.45017,µm,Track,1001054405,
3.21433,µm,Track,1001070831,
3.42711,µm,Track,1001074979,
3.73775,µm,Track,1001078337,
4.0909,µm,Track,1001087121,
3.76009,µm,Track,1001088762,
3.7786,µm,Track,1001088789,
3.40488,µm,Track,1001102674,
5.16508,µm,Track,1001104072,
3.39874,µm,Track,1001115718,
3.55321,µm,Track,1001128302,
3.72587,µm,Track,1001128779,
3.43745,µm,Track,1001129977,
3.57697,µm,Track,1001132092,
3.33924,µm,Track,1001132873,
3.63926,µm,Track,1001138880,
3.19142,µm,Track,1001148839,
4.0669,µm,Track,1001162429,
3.56588,µm,Track,1001183631,
2.96915,µm,Track,1001190228,
3.45366,µm,Track,1001205984,
3.58875,µm,Track,1001222072,
3.72829,µm,Track,1001223904,
2.82037,µm,Track,1001236985,
4.44429,µm,Track,1001244289,
2.97124,µm,Track,1001261153,
2.93833,µm,Track,1001265495,
3.963,µm,Track,1001290709,
3.78264,µm,Track,1001298039,
4.68751,µm,Track,1001304416,
3.73327,µm,Track,1001307011,
2.85416,µm,Track,1001310725,
3.84056,µm,Track,1001347654,
2.94172,µm,Track,1001349662,
