
Track Displacement Length
 ==================== 
Track Displacement Length,Unit,Category,ID,
4.07927,µm,Track,1000000426,
5.29707,µm,Track,1000005575,
4.42421,µm,Track,1000008102,
4.84359,µm,Track,1000011182,
5.56221,µm,Track,1000014633,
4.10835,µm,Track,1000014915,
3.68113,µm,Track,1000018381,
2.51569,µm,Track,1000019405,
3.91572,µm,Track,1000022248,
4.04815,µm,Track,1000023039,
2.3041,µm,Track,1000023639,
10.3839,µm,Track,1000024512,
5.64178,µm,Track,1000025762,
6.23584,µm,Track,1000025863,
5.51832,µm,Track,1000025898,
5.30373,µm,Track,1000026374,
4.62313,µm,Track,1000026660,
5.10385,µm,Track,1000026789,
2.96687,µm,Track,1000026990,
5.81652,µm,Track,1000027048,
4.14962,µm,Track,1000027245,
3.86683,µm,Track,1000027656,
3.61758,µm,Track,1000028849,
3.19938,µm,Track,1000028860,
4.41239,µm,Track,1000029962,
3.66848,µm,Track,1000034728,
1.48356,µm,Track,1000058544,
3.75313,µm,Track,1000069455,
3.48391,µm,Track,1000071729,
4.38867,µm,Track,1000074239,
10.8399,µm,Track,1000080712,
1.65959,µm,Track,1000082174,
0.5319,µm,Track,1000094504,
4.55383,µm,Track,1000111173,
2.17951,µm,Track,1000117221,
4.45382,µm,Track,1000130081,
5.63434,µm,Track,1000135496,
2.01479,µm,Track,1000136105,
6.73215,µm,Track,1000138478,
8.60021,µm,Track,1000145899,
7.43214,µm,Track,1000158060,
3.94745,µm,Track,1000165097,
7.03218,µm,Track,1000178867,
7.72707,µm,Track,1000196023,
9.7505,µm,Track,1000196749,
3.24718,µm,Track,1000199932,
7.54502,µm,Track,1000218062,
2.95801,µm,Track,1000221333,
3.73762,µm,Track,1000224234,
3.02113,µm,Track,1000224241,
5.05282,µm,Track,1000224431,
2.36073,µm,Track,1000226383,
3.83472,µm,Track,1000232501,
4.59906,µm,Track,1000244446,
2.49271,µm,Track,1000253547,
2.85029,µm,Track,1000257305,
8.02528,µm,Track,1000260417,
2.16166,µm,Track,1000260594,
9.55222,µm,Track,1000275823,
5.92577,µm,Track,1000278844,
4.28138,µm,Track,1000282540,
5.59783,µm,Track,1000282868,
0.754104,µm,Track,1000290426,
2.57377,µm,Track,1000290900,
10.8918,µm,Track,1000312915,
11.3074,µm,Track,1000320447,
3.79849,µm,Track,1000327258,
2.16398,µm,Track,1000338312,
6.39506,µm,Track,1000354440,
11.0059,µm,Track,1000354480,
4.09099,µm,Track,1000371442,
2.68227,µm,Track,1000373068,
1.49793,µm,Track,1000385100,
1.03401,µm,Track,1000401657,
1.75537,µm,Track,1000402605,
1.76579,µm,Track,1000405139,
3.55641,µm,Track,1000409035,
1.50218,µm,Track,1000421574,
3.0128,µm,Track,1000423376,
4.68013,µm,Track,1000429687,
1.28392,µm,Track,1000439186,
6.1823,µm,Track,1000449132,
9.55197,µm,Track,1000454057,
2.94321,µm,Track,1000454567,
0.254154,µm,Track,1000488632,
1.53828,µm,Track,1000489329,
4.55514,µm,Track,1000493396,
1.27079,µm,Track,1000515291,
1.3996,µm,Track,1000522409,
0.853139,µm,Track,1000522415,
3.75736,µm,Track,1000534158,
8.42089,µm,Track,1000535289,
4.33758,µm,Track,1000549440,
2.36496,µm,Track,1000566277,
4.63062,µm,Track,1000569584,
8.97504,µm,Track,1000572485,
8.75204,µm,Track,1000574056,
6.23399,µm,Track,1000576160,
13.9619,µm,Track,1000606742,
3.59477,µm,Track,1000623228,
8.90492,µm,Track,1000626063,
6.68056,µm,Track,1000628237,
3.7946,µm,Track,1000657926,
1.71475,µm,Track,1000667525,
9.64026,µm,Track,1000675627,
2.1202,µm,Track,1000684239,
18.4543,µm,Track,1000686553,
4.08587,µm,Track,1000689377,
3.91263,µm,Track,1000690930,
3.0144,µm,Track,1000692325,
2.67517,µm,Track,1000695046,
4.70261,µm,Track,1000704730,
4.06797,µm,Track,1000705525,
2.91787,µm,Track,1000712057,
4.2917,µm,Track,1000728131,
4.64753,µm,Track,1000755087,
10.331,µm,Track,1000764459,
2.53139,µm,Track,1000809896,
3.58931,µm,Track,1000811156,
4.51278,µm,Track,1000813964,
8.56608,µm,Track,1000825954,
5.59375,µm,Track,1000835089,
4.74297,µm,Track,1000839692,
9.7793,µm,Track,1000855659,
10.3169,µm,Track,1000856861,
0.950564,µm,Track,1000858553,
2.66878,µm,Track,1000860086,
5.55648,µm,Track,1000860289,
2.06146,µm,Track,1000864199,
4.11166,µm,Track,1000865808,
3.87568,µm,Track,1000866048,
3.95015,µm,Track,1000887899,
5.1324,µm,Track,1000890207,
4.06617,µm,Track,1000898844,
3.27993,µm,Track,1000926710,
6.65097,µm,Track,1000946144,
3.76101,µm,Track,1000953090,
3.1772,µm,Track,1000962165,
11.2205,µm,Track,1000976176,
3.39036,µm,Track,1000988049,
5.22153,µm,Track,1001007366,
6.78598,µm,Track,1001020468,
4.33826,µm,Track,1001028919,
6.57036,µm,Track,1001035449,
9.098,µm,Track,1001045764,
4.61523,µm,Track,1001046137,
2.29135,µm,Track,1001054405,
7.50256,µm,Track,1001070831,
4.49136,µm,Track,1001074979,
4.12481,µm,Track,1001078337,
2.41661,µm,Track,1001087121,
4.40128,µm,Track,1001088762,
2.01539,µm,Track,1001088789,
3.41639,µm,Track,1001102674,
3.73644,µm,Track,1001104072,
7.36001,µm,Track,1001115718,
5.52333,µm,Track,1001128302,
1.25162,µm,Track,1001128779,
5.46478,µm,Track,1001129977,
7.00206,µm,Track,1001132092,
2.8774,µm,Track,1001132873,
4.70548,µm,Track,1001138880,
2.82385,µm,Track,1001148839,
3.81482,µm,Track,1001162429,
4.34906,µm,Track,1001183631,
6.19443,µm,Track,1001190228,
2.05776,µm,Track,1001205984,
3.36253,µm,Track,1001222072,
3.39152,µm,Track,1001223904,
2.6814,µm,Track,1001236985,
1.23028,µm,Track,1001244289,
3.24062,µm,Track,1001261153,
4.39071,µm,Track,1001265495,
8.12449,µm,Track,1001290709,
3.95849,µm,Track,1001298039,
3.52027,µm,Track,1001304416,
4.3059,µm,Track,1001307011,
1.08561,µm,Track,1001310725,
4.2687,µm,Track,1001347654,
4.29703,µm,Track,1001349662,
3.61694,µm,Track,1001351185,
1.66202,µm,Track,1001373018,
5.8108,µm,Track,1001374929,
5.00607,µm,Track,1001376957,
2.06673,µm,Track,1001382680,
3.30185,µm,Track,1001390095,
7.16277,µm,Track,1001399631,
6.08431,µm,Track,1001414282,
3.5096,µm,Track,1001432525,
1.74138,µm,Track,1001443126,
4.66349,µm,Track,1001444551,
2.65339,µm,Track,1001447832,
5.00567,µm,Track,1001459999,
8.58414,µm,Track,1001463577,
3.45298,µm,Track,1001470670,
1.01842,µm,Track,1001484970,
2.1924,µm,Track,1001498754,
5.41143,µm,Track,1001510065,
7.05528,µm,Track,1001511880,
2.74021,µm,Track,1001515348,
10.9322,µm,Track,1001524529,
7.0977,µm,Track,1001524797,
12.1587,µm,Track,1001531007,
3.48864,µm,Track,1001535243,
1.75415,µm,Track,1001536213,
1.77649,µm,Track,1001549656,
3.05731,µm,Track,1001571482,
0.578161,µm,Track,1001585322,
2.47852,µm,Track,1001597972,
16.346,µm,Track,1001634186,
1.26762,µm,Track,1001641521,
3.9539,µm,Track,1001649683,
2.34185,µm,Track,1001660310,
0.967988,µm,Track,1001662631,
2.75851,µm,Track,1001662802,
3.37744,µm,Track,1001692264,
4.9563,µm,Track,1001696991,
7.90556,µm,Track,1001705575,
9.04237,µm,Track,1001708522,
8.15431,µm,Track,1001717292,
2.41379,µm,Track,1001721190,
4.05903,µm,Track,1001721732,
4.90315,µm,Track,1001722530,
0.356514,µm,Track,1001723411,
2.07533,µm,Track,1001735688,
6.62019,µm,Track,1001739237,
3.28463,µm,Track,1001745981,
5.75973,µm,Track,1001748846,
1.96003,µm,Track,1001774250,
1.67275,µm,Track,1001792466,
2.44845,µm,Track,1001800294,
2.6781,µm,Track,1001831823,
2.00348,µm,Track,1001838017,
4.34691,µm,Track,1001843531,
2.99511,µm,Track,1001850191,
2.35166,µm,Track,1001869026,
3.23473,µm,Track,1001872907,
3.80382,µm,Track,1001874170,
3.50936,µm,Track,1001876881,
2.43777,µm,Track,1001878744,
3.76569,µm,Track,1001889904,
1.44315,µm,Track,1001895167,
7.89945,µm,Track,1001896809,
2.18827,µm,Track,1001904297,
3.73919,µm,Track,1001904618,
2.08876,µm,Track,1001939884,
0.441987,µm,Track,1001942811,
8.97408,µm,Track,1001954731,
