
Track Intensity Center Mean Ch=2 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
31.8333,,Track,2,Image 1,1000000426,
0,,Track,2,Image 1,1000005575,
42.3478,,Track,2,Image 1,1000008102,
252.167,,Track,2,Image 1,1000011182,
35,,Track,2,Image 1,1000014633,
0,,Track,2,Image 1,1000014915,
46.7,,Track,2,Image 1,1000018381,
29.55,,Track,2,Image 1,1000019405,
60,,Track,2,Image 1,1000022248,
0,,Track,2,Image 1,1000023039,
231.833,,Track,2,Image 1,1000023639,
0,,Track,2,Image 1,1000024512,
10,,Track,2,Image 1,1000025762,
72.4,,Track,2,Image 1,1000025863,
82.8333,,Track,2,Image 1,1000025898,
28.1111,,Track,2,Image 1,1000026374,
32.0769,,Track,2,Image 1,1000026660,
23.2857,,Track,2,Image 1,1000026789,
0,,Track,2,Image 1,1000026990,
0,,Track,2,Image 1,1000027048,
1.88889,,Track,2,Image 1,1000027245,
0.888889,,Track,2,Image 1,1000027656,
10.8333,,Track,2,Image 1,1000028849,
28.7,,Track,2,Image 1,1000028860,
38,,Track,2,Image 1,1000029962,
93.2308,,Track,2,Image 1,1000034728,
2.57143,,Track,2,Image 1,1000058544,
0,,Track,2,Image 1,1000069455,
1,,Track,2,Image 1,1000071729,
33.4545,,Track,2,Image 1,1000074239,
0.625,,Track,2,Image 1,1000080712,
251.167,,Track,2,Image 1,1000082174,
0,,Track,2,Image 1,1000094504,
0.259259,,Track,2,Image 1,1000111173,
34,,Track,2,Image 1,1000117221,
0,,Track,2,Image 1,1000130081,
0,,Track,2,Image 1,1000135496,
23,,Track,2,Image 1,1000136105,
0,,Track,2,Image 1,1000138478,
0.0526316,,Track,2,Image 1,1000145899,
0,,Track,2,Image 1,1000158060,
245.813,,Track,2,Image 1,1000165097,
8.07143,,Track,2,Image 1,1000178867,
14.4286,,Track,2,Image 1,1000196023,
0,,Track,2,Image 1,1000196749,
36.5,,Track,2,Image 1,1000199932,
0,,Track,2,Image 1,1000218062,
41.4286,,Track,2,Image 1,1000221333,
53.8571,,Track,2,Image 1,1000224234,
22.2857,,Track,2,Image 1,1000224241,
22.6667,,Track,2,Image 1,1000224431,
1.16667,,Track,2,Image 1,1000226383,
0,,Track,2,Image 1,1000232501,
78.625,,Track,2,Image 1,1000244446,
0,,Track,2,Image 1,1000253547,
11.375,,Track,2,Image 1,1000257305,
50.5,,Track,2,Image 1,1000260417,
3.11111,,Track,2,Image 1,1000260594,
85.5,,Track,2,Image 1,1000275823,
0,,Track,2,Image 1,1000278844,
33.0909,,Track,2,Image 1,1000282540,
30.8571,,Track,2,Image 1,1000282868,
0,,Track,2,Image 1,1000290426,
65.8571,,Track,2,Image 1,1000290900,
0,,Track,2,Image 1,1000312915,
0,,Track,2,Image 1,1000320447,
130.167,,Track,2,Image 1,1000327258,
