
Track Intensity Max Ch=4 Img=1
 ==================== 
Track Intensity Max,Unit,Category,Channel,Image,ID,
255,,Track,4,Image 1,1000000426,
255,,Track,4,Image 1,1000005575,
255,,Track,4,Image 1,1000008102,
255,,Track,4,Image 1,1000011182,
255,,Track,4,Image 1,1000014633,
221,,Track,4,Image 1,1000014915,
255,,Track,4,Image 1,1000018381,
255,,Track,4,Image 1,1000019405,
255,,Track,4,Image 1,1000022248,
255,,Track,4,Image 1,1000023039,
255,,Track,4,Image 1,1000023639,
208,,Track,4,Image 1,1000024512,
255,,Track,4,Image 1,1000025762,
255,,Track,4,Image 1,1000025863,
255,,Track,4,Image 1,1000025898,
255,,Track,4,Image 1,1000026374,
255,,Track,4,Image 1,1000026660,
255,,Track,4,Image 1,1000026789,
255,,Track,4,Image 1,1000026990,
255,,Track,4,Image 1,1000027048,
255,,Track,4,Image 1,1000027245,
255,,Track,4,Image 1,1000027656,
255,,Track,4,Image 1,1000028849,
255,,Track,4,Image 1,1000028860,
255,,Track,4,Image 1,1000029962,
255,,Track,4,Image 1,1000034728,
255,,Track,4,Image 1,1000058544,
46,,Track,4,Image 1,1000069455,
251,,Track,4,Image 1,1000071729,
255,,Track,4,Image 1,1000074239,
243,,Track,4,Image 1,1000080712,
255,,Track,4,Image 1,1000082174,
252,,Track,4,Image 1,1000094504,
253,,Track,4,Image 1,1000111173,
255,,Track,4,Image 1,1000117221,
38,,Track,4,Image 1,1000130081,
253,,Track,4,Image 1,1000135496,
255,,Track,4,Image 1,1000136105,
252,,Track,4,Image 1,1000138478,
255,,Track,4,Image 1,1000145899,
253,,Track,4,Image 1,1000158060,
255,,Track,4,Image 1,1000165097,
255,,Track,4,Image 1,1000178867,
255,,Track,4,Image 1,1000196023,
190,,Track,4,Image 1,1000196749,
255,,Track,4,Image 1,1000199932,
237,,Track,4,Image 1,1000218062,
255,,Track,4,Image 1,1000221333,
255,,Track,4,Image 1,1000224234,
255,,Track,4,Image 1,1000224241,
255,,Track,4,Image 1,1000224431,
255,,Track,4,Image 1,1000226383,
255,,Track,4,Image 1,1000232501,
255,,Track,4,Image 1,1000244446,
253,,Track,4,Image 1,1000253547,
255,,Track,4,Image 1,1000257305,
255,,Track,4,Image 1,1000260417,
255,,Track,4,Image 1,1000260594,
255,,Track,4,Image 1,1000275823,
156,,Track,4,Image 1,1000278844,
255,,Track,4,Image 1,1000282540,
255,,Track,4,Image 1,1000282868,
255,,Track,4,Image 1,1000290426,
255,,Track,4,Image 1,1000290900,
252,,Track,4,Image 1,1000312915,
144,,Track,4,Image 1,1000320447,
253,,Track,4,Image 1,1000327258,
255,,Track,4,Image 1,1000338312,
251,,Track,4,Image 1,1000354440,
179,,Track,4,Image 1,1000354480,
255,,Track,4,Image 1,1000371442,
207,,Track,4,Image 1,1000373068,
252,,Track,4,Image 1,1000385100,
255,,Track,4,Image 1,1000401657,
255,,Track,4,Image 1,1000402605,
255,,Track,4,Image 1,1000405139,
252,,Track,4,Image 1,1000409035,
255,,Track,4,Image 1,1000421574,
253,,Track,4,Image 1,1000423376,
255,,Track,4,Image 1,1000429687,
255,,Track,4,Image 1,1000439186,
255,,Track,4,Image 1,1000449132,
191,,Track,4,Image 1,1000454057,
255,,Track,4,Image 1,1000454567,
255,,Track,4,Image 1,1000488632,
126,,Track,4,Image 1,1000489329,
255,,Track,4,Image 1,1000493396,
167,,Track,4,Image 1,1000515291,
252,,Track,4,Image 1,1000522409,
255,,Track,4,Image 1,1000522415,
255,,Track,4,Image 1,1000534158,
40,,Track,4,Image 1,1000535289,
255,,Track,4,Image 1,1000549440,
255,,Track,4,Image 1,1000566277,
253,,Track,4,Image 1,1000569584,
255,,Track,4,Image 1,1000572485,
252,,Track,4,Image 1,1000574056,
255,,Track,4,Image 1,1000576160,
255,,Track,4,Image 1,1000606742,
255,,Track,4,Image 1,1000623228,
155,,Track,4,Image 1,1000626063,
255,,Track,4,Image 1,1000628237,
255,,Track,4,Image 1,1000657926,
255,,Track,4,Image 1,1000667525,
102,,Track,4,Image 1,1000675627,
125,,Track,4,Image 1,1000684239,
254,,Track,4,Image 1,1000686553,
243,,Track,4,Image 1,1000689377,
255,,Track,4,Image 1,1000690930,
255,,Track,4,Image 1,1000692325,
255,,Track,4,Image 1,1000695046,
255,,Track,4,Image 1,1000704730,
241,,Track,4,Image 1,1000705525,
255,,Track,4,Image 1,1000712057,
255,,Track,4,Image 1,1000728131,
255,,Track,4,Image 1,1000755087,
110,,Track,4,Image 1,1000764459,
255,,Track,4,Image 1,1000809896,
255,,Track,4,Image 1,1000811156,
255,,Track,4,Image 1,1000813964,
167,,Track,4,Image 1,1000825954,
255,,Track,4,Image 1,1000835089,
255,,Track,4,Image 1,1000839692,
41,,Track,4,Image 1,1000855659,
19,,Track,4,Image 1,1000856861,
255,,Track,4,Image 1,1000858553,
255,,Track,4,Image 1,1000860086,
255,,Track,4,Image 1,1000860289,
252,,Track,4,Image 1,1000864199,
255,,Track,4,Image 1,1000865808,
255,,Track,4,Image 1,1000866048,
74,,Track,4,Image 1,1000887899,
137,,Track,4,Image 1,1000890207,
255,,Track,4,Image 1,1000898844,
253,,Track,4,Image 1,1000926710,
255,,Track,4,Image 1,1000946144,
255,,Track,4,Image 1,1000953090,
254,,Track,4,Image 1,1000962165,
255,,Track,4,Image 1,1000976176,
255,,Track,4,Image 1,1000988049,
255,,Track,4,Image 1,1001007366,
255,,Track,4,Image 1,1001020468,
255,,Track,4,Image 1,1001028919,
251,,Track,4,Image 1,1001035449,
255,,Track,4,Image 1,1001045764,
255,,Track,4,Image 1,1001046137,
255,,Track,4,Image 1,1001054405,
255,,Track,4,Image 1,1001070831,
255,,Track,4,Image 1,1001074979,
255,,Track,4,Image 1,1001078337,
144,,Track,4,Image 1,1001087121,
182,,Track,4,Image 1,1001088762,
250,,Track,4,Image 1,1001088789,
255,,Track,4,Image 1,1001102674,
252,,Track,4,Image 1,1001104072,
253,,Track,4,Image 1,1001115718,
255,,Track,4,Image 1,1001128302,
171,,Track,4,Image 1,1001128779,
255,,Track,4,Image 1,1001129977,
77,,Track,4,Image 1,1001132092,
255,,Track,4,Image 1,1001132873,
255,,Track,4,Image 1,1001138880,
254,,Track,4,Image 1,1001148839,
253,,Track,4,Image 1,1001162429,
62,,Track,4,Image 1,1001183631,
254,,Track,4,Image 1,1001190228,
255,,Track,4,Image 1,1001205984,
255,,Track,4,Image 1,1001222072,
215,,Track,4,Image 1,1001223904,
255,,Track,4,Image 1,1001236985,
179,,Track,4,Image 1,1001244289,
255,,Track,4,Image 1,1001261153,
253,,Track,4,Image 1,1001265495,
252,,Track,4,Image 1,1001290709,
255,,Track,4,Image 1,1001298039,
104,,Track,4,Image 1,1001304416,
251,,Track,4,Image 1,1001307011,
251,,Track,4,Image 1,1001310725,
255,,Track,4,Image 1,1001347654,
251,,Track,4,Image 1,1001349662,
255,,Track,4,Image 1,1001351185,
117,,Track,4,Image 1,1001373018,
255,,Track,4,Image 1,1001374929,
255,,Track,4,Image 1,1001376957,
255,,Track,4,Image 1,1001382680,
255,,Track,4,Image 1,1001390095,
155,,Track,4,Image 1,1001399631,
254,,Track,4,Image 1,1001414282,
255,,Track,4,Image 1,1001432525,
252,,Track,4,Image 1,1001443126,
255,,Track,4,Image 1,1001444551,
251,,Track,4,Image 1,1001447832,
97,,Track,4,Image 1,1001459999,
255,,Track,4,Image 1,1001463577,
109,,Track,4,Image 1,1001470670,
255,,Track,4,Image 1,1001484970,
255,,Track,4,Image 1,1001498754,
255,,Track,4,Image 1,1001510065,
255,,Track,4,Image 1,1001511880,
254,,Track,4,Image 1,1001515348,
251,,Track,4,Image 1,1001524529,
132,,Track,4,Image 1,1001524797,
31,,Track,4,Image 1,1001531007,
190,,Track,4,Image 1,1001535243,
255,,Track,4,Image 1,1001536213,
254,,Track,4,Image 1,1001549656,
255,,Track,4,Image 1,1001571482,
252,,Track,4,Image 1,1001585322,
252,,Track,4,Image 1,1001597972,
195,,Track,4,Image 1,1001634186,
255,,Track,4,Image 1,1001641521,
253,,Track,4,Image 1,1001649683,
253,,Track,4,Image 1,1001660310,
251,,Track,4,Image 1,1001662631,
255,,Track,4,Image 1,1001662802,
253,,Track,4,Image 1,1001692264,
254,,Track,4,Image 1,1001696991,
251,,Track,4,Image 1,1001705575,
165,,Track,4,Image 1,1001708522,
37,,Track,4,Image 1,1001717292,
254,,Track,4,Image 1,1001721190,
254,,Track,4,Image 1,1001721732,
253,,Track,4,Image 1,1001722530,
255,,Track,4,Image 1,1001723411,
251,,Track,4,Image 1,1001735688,
142,,Track,4,Image 1,1001739237,
255,,Track,4,Image 1,1001745981,
252,,Track,4,Image 1,1001748846,
96,,Track,4,Image 1,1001774250,
255,,Track,4,Image 1,1001792466,
254,,Track,4,Image 1,1001800294,
99,,Track,4,Image 1,1001831823,
254,,Track,4,Image 1,1001838017,
252,,Track,4,Image 1,1001843531,
255,,Track,4,Image 1,1001850191,
254,,Track,4,Image 1,1001869026,
190,,Track,4,Image 1,1001872907,
255,,Track,4,Image 1,1001874170,
195,,Track,4,Image 1,1001876881,
255,,Track,4,Image 1,1001878744,
255,,Track,4,Image 1,1001889904,
255,,Track,4,Image 1,1001895167,
101,,Track,4,Image 1,1001896809,
253,,Track,4,Image 1,1001904297,
254,,Track,4,Image 1,1001904618,
255,,Track,4,Image 1,1001939884,
255,,Track,4,Image 1,1001942811,
191,,Track,4,Image 1,1001954731,
254,,Track,4,Image 1,1001968557,
251,,Track,4,Image 1,1001968819,
252,,Track,4,Image 1,1001978360,
255,,Track,4,Image 1,1002006710,
255,,Track,4,Image 1,1002029154,
252,,Track,4,Image 1,1002031500,
255,,Track,4,Image 1,1002047887,
254,,Track,4,Image 1,1002051985,
192,,Track,4,Image 1,1002059095,
255,,Track,4,Image 1,1002067444,
255,,Track,4,Image 1,1002067747,
255,,Track,4,Image 1,1002113497,
254,,Track,4,Image 1,1002124155,
251,,Track,4,Image 1,1002125541,
173,,Track,4,Image 1,1002142435,
255,,Track,4,Image 1,1002148602,
244,,Track,4,Image 1,1002150876,
255,,Track,4,Image 1,1002158806,
105,,Track,4,Image 1,1002180262,
255,,Track,4,Image 1,1002182375,
162,,Track,4,Image 1,1002205040,
254,,Track,4,Image 1,1002211774,
251,,Track,4,Image 1,1002213141,
251,,Track,4,Image 1,1002223441,
254,,Track,4,Image 1,1002227684,
204,,Track,4,Image 1,1002236414,
254,,Track,4,Image 1,1002242134,
255,,Track,4,Image 1,1002242329,
255,,Track,4,Image 1,1002243369,
255,,Track,4,Image 1,1002246854,
255,,Track,4,Image 1,1002262996,
254,,Track,4,Image 1,1002273437,
252,,Track,4,Image 1,1002278860,
45,,Track,4,Image 1,1002300559,
252,,Track,4,Image 1,1002307653,
251,,Track,4,Image 1,1002309454,
255,,Track,4,Image 1,1002316459,
255,,Track,4,Image 1,1002316883,
255,,Track,4,Image 1,1002317275,
185,,Track,4,Image 1,1002336151,
253,,Track,4,Image 1,1002336484,
151,,Track,4,Image 1,1002360360,
254,,Track,4,Image 1,1002367218,
251,,Track,4,Image 1,1002369367,
253,,Track,4,Image 1,1002382179,
68,,Track,4,Image 1,1002396861,
255,,Track,4,Image 1,1002402760,
251,,Track,4,Image 1,1002404222,
251,,Track,4,Image 1,1002429210,
251,,Track,4,Image 1,1002435411,
159,,Track,4,Image 1,1002453328,
44,,Track,4,Image 1,1002454260,
254,,Track,4,Image 1,1002458180,
161,,Track,4,Image 1,1002460030,
255,,Track,4,Image 1,1002460974,
251,,Track,4,Image 1,1002461635,
200,,Track,4,Image 1,1002463724,
