
Track Intensity Mean Ch=4 Img=1
 ==================== 
Track Intensity Mean,Unit,Category,Channel,Image,ID,
253.986,,Track,4,Image 1,1000000426,
108.016,,Track,4,Image 1,1000005575,
253.831,,Track,4,Image 1,1000008102,
253.337,,Track,4,Image 1,1000011182,
254.904,,Track,4,Image 1,1000014633,
56.6512,,Track,4,Image 1,1000014915,
254.426,,Track,4,Image 1,1000018381,
230.009,,Track,4,Image 1,1000019405,
254.839,,Track,4,Image 1,1000022248,
253.931,,Track,4,Image 1,1000023039,
253.965,,Track,4,Image 1,1000023639,
39.0803,,Track,4,Image 1,1000024512,
255,,Track,4,Image 1,1000025762,
254.208,,Track,4,Image 1,1000025863,
254.741,,Track,4,Image 1,1000025898,
254.77,,Track,4,Image 1,1000026374,
254.204,,Track,4,Image 1,1000026660,
254.233,,Track,4,Image 1,1000026789,
232.255,,Track,4,Image 1,1000026990,
236.163,,Track,4,Image 1,1000027048,
254.931,,Track,4,Image 1,1000027245,
254.505,,Track,4,Image 1,1000027656,
252.718,,Track,4,Image 1,1000028849,
254.992,,Track,4,Image 1,1000028860,
253.218,,Track,4,Image 1,1000029962,
246.47,,Track,4,Image 1,1000034728,
255,,Track,4,Image 1,1000058544,
2.30573,,Track,4,Image 1,1000069455,
87.9731,,Track,4,Image 1,1000071729,
249.611,,Track,4,Image 1,1000074239,
60.6708,,Track,4,Image 1,1000080712,
253.215,,Track,4,Image 1,1000082174,
94.7118,,Track,4,Image 1,1000094504,
112.512,,Track,4,Image 1,1000111173,
247.5,,Track,4,Image 1,1000117221,
2.41322,,Track,4,Image 1,1000130081,
131.817,,Track,4,Image 1,1000135496,
254.5,,Track,4,Image 1,1000136105,
184.803,,Track,4,Image 1,1000138478,
174.736,,Track,4,Image 1,1000145899,
164.321,,Track,4,Image 1,1000158060,
254.085,,Track,4,Image 1,1000165097,
255,,Track,4,Image 1,1000178867,
254.518,,Track,4,Image 1,1000196023,
54.44,,Track,4,Image 1,1000196749,
252.238,,Track,4,Image 1,1000199932,
83.631,,Track,4,Image 1,1000218062,
254.965,,Track,4,Image 1,1000221333,
255,,Track,4,Image 1,1000224234,
254.643,,Track,4,Image 1,1000224241,
253.746,,Track,4,Image 1,1000224431,
254.318,,Track,4,Image 1,1000226383,
190.92,,Track,4,Image 1,1000232501,
253.476,,Track,4,Image 1,1000244446,
129.709,,Track,4,Image 1,1000253547,
253.929,,Track,4,Image 1,1000257305,
253.667,,Track,4,Image 1,1000260417,
254.97,,Track,4,Image 1,1000260594,
254.568,,Track,4,Image 1,1000275823,
47.1538,,Track,4,Image 1,1000278844,
254.598,,Track,4,Image 1,1000282540,
254.894,,Track,4,Image 1,1000282868,
204.173,,Track,4,Image 1,1000290426,
254.182,,Track,4,Image 1,1000290900,
60.8327,,Track,4,Image 1,1000312915,
30.0079,,Track,4,Image 1,1000320447,
158.638,,Track,4,Image 1,1000327258,
224.318,,Track,4,Image 1,1000338312,
89.375,,Track,4,Image 1,1000354440,
53.9652,,Track,4,Image 1,1000354480,
247.271,,Track,4,Image 1,1000371442,
84.3333,,Track,4,Image 1,1000373068,
134.936,,Track,4,Image 1,1000385100,
253.815,,Track,4,Image 1,1000401657,
252.036,,Track,4,Image 1,1000402605,
253.517,,Track,4,Image 1,1000405139,
128.992,,Track,4,Image 1,1000409035,
252.736,,Track,4,Image 1,1000421574,
213.479,,Track,4,Image 1,1000423376,
254.548,,Track,4,Image 1,1000429687,
247.217,,Track,4,Image 1,1000439186,
254.972,,Track,4,Image 1,1000449132,
33.5803,,Track,4,Image 1,1000454057,
253.061,,Track,4,Image 1,1000454567,
254.988,,Track,4,Image 1,1000488632,
25.0306,,Track,4,Image 1,1000489329,
255,,Track,4,Image 1,1000493396,
62.8571,,Track,4,Image 1,1000515291,
184.667,,Track,4,Image 1,1000522409,
202.333,,Track,4,Image 1,1000522415,
253.827,,Track,4,Image 1,1000534158,
3.85507,,Track,4,Image 1,1000535289,
251.078,,Track,4,Image 1,1000549440,
244.435,,Track,4,Image 1,1000566277,
213.068,,Track,4,Image 1,1000569584,
254.733,,Track,4,Image 1,1000572485,
95.0764,,Track,4,Image 1,1000574056,
249.767,,Track,4,Image 1,1000576160,
190.654,,Track,4,Image 1,1000606742,
251.236,,Track,4,Image 1,1000623228,
5.7821,,Track,4,Image 1,1000626063,
254.906,,Track,4,Image 1,1000628237,
250.457,,Track,4,Image 1,1000657926,
227.444,,Track,4,Image 1,1000667525,
9.02208,,Track,4,Image 1,1000675627,
30.8025,,Track,4,Image 1,1000684239,
229.877,,Track,4,Image 1,1000686553,
61.1907,,Track,4,Image 1,1000689377,
251.185,,Track,4,Image 1,1000690930,
251.338,,Track,4,Image 1,1000692325,
251.824,,Track,4,Image 1,1000695046,
250.812,,Track,4,Image 1,1000704730,
67.2607,,Track,4,Image 1,1000705525,
241.836,,Track,4,Image 1,1000712057,
250.405,,Track,4,Image 1,1000728131,
252.262,,Track,4,Image 1,1000755087,
16.6901,,Track,4,Image 1,1000764459,
251.506,,Track,4,Image 1,1000809896,
253.408,,Track,4,Image 1,1000811156,
254.505,,Track,4,Image 1,1000813964,
17.1842,,Track,4,Image 1,1000825954,
254.42,,Track,4,Image 1,1000835089,
250.065,,Track,4,Image 1,1000839692,
2.7094,,Track,4,Image 1,1000855659,
0.25,,Track,4,Image 1,1000856861,
249.651,,Track,4,Image 1,1000858553,
254.185,,Track,4,Image 1,1000860086,
248.906,,Track,4,Image 1,1000860289,
108.587,,Track,4,Image 1,1000864199,
254.875,,Track,4,Image 1,1000865808,
254.25,,Track,4,Image 1,1000866048,
13.59,,Track,4,Image 1,1000887899,
34.7875,,Track,4,Image 1,1000890207,
251.465,,Track,4,Image 1,1000898844,
89.5847,,Track,4,Image 1,1000926710,
254.943,,Track,4,Image 1,1000946144,
247.756,,Track,4,Image 1,1000953090,
242.177,,Track,4,Image 1,1000962165,
254.275,,Track,4,Image 1,1000976176,
245.019,,Track,4,Image 1,1000988049,
246.991,,Track,4,Image 1,1001007366,
253.531,,Track,4,Image 1,1001020468,
254.953,,Track,4,Image 1,1001028919,
28.5506,,Track,4,Image 1,1001035449,
186.398,,Track,4,Image 1,1001045764,
223.796,,Track,4,Image 1,1001046137,
251,,Track,4,Image 1,1001054405,
254.6,,Track,4,Image 1,1001070831,
254.817,,Track,4,Image 1,1001074979,
250.26,,Track,4,Image 1,1001078337,
63.0066,,Track,4,Image 1,1001087121,
58.7596,,Track,4,Image 1,1001088762,
123.745,,Track,4,Image 1,1001088789,
254.721,,Track,4,Image 1,1001102674,
156.748,,Track,4,Image 1,1001104072,
144.997,,Track,4,Image 1,1001115718,
243.562,,Track,4,Image 1,1001128302,
71.55,,Track,4,Image 1,1001128779,
242.93,,Track,4,Image 1,1001129977,
3.36154,,Track,4,Image 1,1001132092,
254.357,,Track,4,Image 1,1001132873,
238.715,,Track,4,Image 1,1001138880,
239.614,,Track,4,Image 1,1001148839,
201.343,,Track,4,Image 1,1001162429,
11.0909,,Track,4,Image 1,1001183631,
247.515,,Track,4,Image 1,1001190228,
246.074,,Track,4,Image 1,1001205984,
246.505,,Track,4,Image 1,1001222072,
63.7438,,Track,4,Image 1,1001223904,
255,,Track,4,Image 1,1001236985,
55.3433,,Track,4,Image 1,1001244289,
254.944,,Track,4,Image 1,1001261153,
218.39,,Track,4,Image 1,1001265495,
70.0802,,Track,4,Image 1,1001290709,
255,,Track,4,Image 1,1001298039,
17.5111,,Track,4,Image 1,1001304416,
140.645,,Track,4,Image 1,1001307011,
206.22,,Track,4,Image 1,1001310725,
225.921,,Track,4,Image 1,1001347654,
108.043,,Track,4,Image 1,1001349662,
239.61,,Track,4,Image 1,1001351185,
11.7717,,Track,4,Image 1,1001373018,
248.735,,Track,4,Image 1,1001374929,
247.092,,Track,4,Image 1,1001376957,
243.48,,Track,4,Image 1,1001382680,
254.943,,Track,4,Image 1,1001390095,
53.3804,,Track,4,Image 1,1001399631,
142.248,,Track,4,Image 1,1001414282,
253.788,,Track,4,Image 1,1001432525,
170.647,,Track,4,Image 1,1001443126,
236.291,,Track,4,Image 1,1001444551,
75.7407,,Track,4,Image 1,1001447832,
15.343,,Track,4,Image 1,1001459999,
253.631,,Track,4,Image 1,1001463577,
35.6579,,Track,4,Image 1,1001470670,
254.116,,Track,4,Image 1,1001484970,
211.232,,Track,4,Image 1,1001498754,
252.612,,Track,4,Image 1,1001510065,
254.298,,Track,4,Image 1,1001511880,
225.091,,Track,4,Image 1,1001515348,
92.6935,,Track,4,Image 1,1001524529,
26.3163,,Track,4,Image 1,1001524797,
1.62805,,Track,4,Image 1,1001531007,
100.967,,Track,4,Image 1,1001535243,
254.348,,Track,4,Image 1,1001536213,
145.687,,Track,4,Image 1,1001549656,
243.008,,Track,4,Image 1,1001571482,
228.463,,Track,4,Image 1,1001585322,
136.779,,Track,4,Image 1,1001597972,
50.1384,,Track,4,Image 1,1001634186,
242.066,,Track,4,Image 1,1001641521,
213.239,,Track,4,Image 1,1001649683,
190.133,,Track,4,Image 1,1001660310,
111.825,,Track,4,Image 1,1001662631,
254.309,,Track,4,Image 1,1001662802,
196.215,,Track,4,Image 1,1001692264,
213.978,,Track,4,Image 1,1001696991,
78.5606,,Track,4,Image 1,1001705575,
28.2896,,Track,4,Image 1,1001708522,
1.69705,,Track,4,Image 1,1001717292,
220.472,,Track,4,Image 1,1001721190,
241.981,,Track,4,Image 1,1001721732,
148.466,,Track,4,Image 1,1001722530,
250.413,,Track,4,Image 1,1001723411,
146.935,,Track,4,Image 1,1001735688,
44.9485,,Track,4,Image 1,1001739237,
253.866,,Track,4,Image 1,1001745981,
173.569,,Track,4,Image 1,1001748846,
17.3836,,Track,4,Image 1,1001774250,
251.825,,Track,4,Image 1,1001792466,
241.788,,Track,4,Image 1,1001800294,
24.2738,,Track,4,Image 1,1001831823,
236.847,,Track,4,Image 1,1001838017,
201.804,,Track,4,Image 1,1001843531,
243.171,,Track,4,Image 1,1001850191,
242.422,,Track,4,Image 1,1001869026,
65.1165,,Track,4,Image 1,1001872907,
216.79,,Track,4,Image 1,1001874170,
59.2965,,Track,4,Image 1,1001876881,
254.061,,Track,4,Image 1,1001878744,
254.828,,Track,4,Image 1,1001889904,
252.348,,Track,4,Image 1,1001895167,
13.5625,,Track,4,Image 1,1001896809,
150.743,,Track,4,Image 1,1001904297,
146.926,,Track,4,Image 1,1001904618,
253.838,,Track,4,Image 1,1001939884,
254.816,,Track,4,Image 1,1001942811,
50.5427,,Track,4,Image 1,1001954731,
231.756,,Track,4,Image 1,1001968557,
83.3929,,Track,4,Image 1,1001968819,
162.646,,Track,4,Image 1,1001978360,
251.92,,Track,4,Image 1,1002006710,
254.285,,Track,4,Image 1,1002029154,
67.7251,,Track,4,Image 1,1002031500,
245.265,,Track,4,Image 1,1002047887,
242.945,,Track,4,Image 1,1002051985,
56.2,,Track,4,Image 1,1002059095,
255,,Track,4,Image 1,1002067444,
253.964,,Track,4,Image 1,1002067747,
254.006,,Track,4,Image 1,1002113497,
251.314,,Track,4,Image 1,1002124155,
100.457,,Track,4,Image 1,1002125541,
52.1724,,Track,4,Image 1,1002142435,
239.44,,Track,4,Image 1,1002148602,
105.727,,Track,4,Image 1,1002150876,
253.476,,Track,4,Image 1,1002158806,
15.0132,,Track,4,Image 1,1002180262,
241.178,,Track,4,Image 1,1002182375,
39.4375,,Track,4,Image 1,1002205040,
232,,Track,4,Image 1,1002211774,
78.5929,,Track,4,Image 1,1002213141,
112.408,,Track,4,Image 1,1002223441,
226.522,,Track,4,Image 1,1002227684,
42.8936,,Track,4,Image 1,1002236414,
245.722,,Track,4,Image 1,1002242134,
238.807,,Track,4,Image 1,1002242329,
254.605,,Track,4,Image 1,1002243369,
247.667,,Track,4,Image 1,1002246854,
231.083,,Track,4,Image 1,1002262996,
201.646,,Track,4,Image 1,1002273437,
117.947,,Track,4,Image 1,1002278860,
4.65,,Track,4,Image 1,1002300559,
157.973,,Track,4,Image 1,1002307653,
122.716,,Track,4,Image 1,1002309454,
240.838,,Track,4,Image 1,1002316459,
253.114,,Track,4,Image 1,1002316883,
254.492,,Track,4,Image 1,1002317275,
19.7354,,Track,4,Image 1,1002336151,
218.564,,Track,4,Image 1,1002336484,
24.1284,,Track,4,Image 1,1002360360,
196.381,,Track,4,Image 1,1002367218,
148.115,,Track,4,Image 1,1002369367,
215.057,,Track,4,Image 1,1002382179,
7.11009,,Track,4,Image 1,1002396861,
244.286,,Track,4,Image 1,1002402760,
190.034,,Track,4,Image 1,1002404222,
170.016,,Track,4,Image 1,1002429210,
71.6623,,Track,4,Image 1,1002435411,
33.2474,,Track,4,Image 1,1002453328,
3.44776,,Track,4,Image 1,1002454260,
236.528,,Track,4,Image 1,1002458180,
36.831,,Track,4,Image 1,1002460030,
235.595,,Track,4,Image 1,1002460974,
119.321,,Track,4,Image 1,1002461635,
102.092,,Track,4,Image 1,1002463724,
