
Track Intensity Min Ch=4 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
251,,Track,4,Image 1,1000000426,
2,,Track,4,Image 1,1000005575,
217,,Track,4,Image 1,1000008102,
184,,Track,4,Image 1,1000011182,
253,,Track,4,Image 1,1000014633,
0,,Track,4,Image 1,1000014915,
252,,Track,4,Image 1,1000018381,
77,,Track,4,Image 1,1000019405,
253,,Track,4,Image 1,1000022248,
251,,Track,4,Image 1,1000023039,
184,,Track,4,Image 1,1000023639,
0,,Track,4,Image 1,1000024512,
255,,Track,4,Image 1,1000025762,
252,,Track,4,Image 1,1000025863,
253,,Track,4,Image 1,1000025898,
219,,Track,4,Image 1,1000026374,
252,,Track,4,Image 1,1000026660,
231,,Track,4,Image 1,1000026789,
68,,Track,4,Image 1,1000026990,
13,,Track,4,Image 1,1000027048,
254,,Track,4,Image 1,1000027245,
253,,Track,4,Image 1,1000027656,
185,,Track,4,Image 1,1000028849,
254,,Track,4,Image 1,1000028860,
251,,Track,4,Image 1,1000029962,
136,,Track,4,Image 1,1000034728,
255,,Track,4,Image 1,1000058544,
0,,Track,4,Image 1,1000069455,
0,,Track,4,Image 1,1000071729,
96,,Track,4,Image 1,1000074239,
0,,Track,4,Image 1,1000080712,
209,,Track,4,Image 1,1000082174,
0,,Track,4,Image 1,1000094504,
0,,Track,4,Image 1,1000111173,
151,,Track,4,Image 1,1000117221,
0,,Track,4,Image 1,1000130081,
20,,Track,4,Image 1,1000135496,
252,,Track,4,Image 1,1000136105,
0,,Track,4,Image 1,1000138478,
4,,Track,4,Image 1,1000145899,
12,,Track,4,Image 1,1000158060,
178,,Track,4,Image 1,1000165097,
255,,Track,4,Image 1,1000178867,
212,,Track,4,Image 1,1000196023,
0,,Track,4,Image 1,1000196749,
173,,Track,4,Image 1,1000199932,
0,,Track,4,Image 1,1000218062,
254,,Track,4,Image 1,1000221333,
255,,Track,4,Image 1,1000224234,
217,,Track,4,Image 1,1000224241,
251,,Track,4,Image 1,1000224431,
214,,Track,4,Image 1,1000226383,
37,,Track,4,Image 1,1000232501,
251,,Track,4,Image 1,1000244446,
0,,Track,4,Image 1,1000253547,
221,,Track,4,Image 1,1000257305,
251,,Track,4,Image 1,1000260417,
254,,Track,4,Image 1,1000260594,
237,,Track,4,Image 1,1000275823,
0,,Track,4,Image 1,1000278844,
251,,Track,4,Image 1,1000282540,
253,,Track,4,Image 1,1000282868,
13,,Track,4,Image 1,1000290426,
252,,Track,4,Image 1,1000290900,
0,,Track,4,Image 1,1000312915,
0,,Track,4,Image 1,1000320447,
20,,Track,4,Image 1,1000327258,
100,,Track,4,Image 1,1000338312,
0,,Track,4,Image 1,1000354440,
0,,Track,4,Image 1,1000354480,
114,,Track,4,Image 1,1000371442,
0,,Track,4,Image 1,1000373068,
0,,Track,4,Image 1,1000385100,
251,,Track,4,Image 1,1000401657,
216,,Track,4,Image 1,1000402605,
194,,Track,4,Image 1,1000405139,
1,,Track,4,Image 1,1000409035,
251,,Track,4,Image 1,1000421574,
78,,Track,4,Image 1,1000423376,
251,,Track,4,Image 1,1000429687,
176,,Track,4,Image 1,1000439186,
253,,Track,4,Image 1,1000449132,
0,,Track,4,Image 1,1000454057,
220,,Track,4,Image 1,1000454567,
254,,Track,4,Image 1,1000488632,
0,,Track,4,Image 1,1000489329,
255,,Track,4,Image 1,1000493396,
0,,Track,4,Image 1,1000515291,
47,,Track,4,Image 1,1000522409,
41,,Track,4,Image 1,1000522415,
252,,Track,4,Image 1,1000534158,
0,,Track,4,Image 1,1000535289,
128,,Track,4,Image 1,1000549440,
118,,Track,4,Image 1,1000566277,
82,,Track,4,Image 1,1000569584,
251,,Track,4,Image 1,1000572485,
0,,Track,4,Image 1,1000574056,
157,,Track,4,Image 1,1000576160,
49,,Track,4,Image 1,1000606742,
165,,Track,4,Image 1,1000623228,
0,,Track,4,Image 1,1000626063,
253,,Track,4,Image 1,1000628237,
159,,Track,4,Image 1,1000657926,
65,,Track,4,Image 1,1000667525,
0,,Track,4,Image 1,1000675627,
0,,Track,4,Image 1,1000684239,
43,,Track,4,Image 1,1000686553,
0,,Track,4,Image 1,1000689377,
156,,Track,4,Image 1,1000690930,
200,,Track,4,Image 1,1000692325,
194,,Track,4,Image 1,1000695046,
175,,Track,4,Image 1,1000704730,
0,,Track,4,Image 1,1000705525,
