
Track Intensity StdDev Ch=4 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
1.12862,,Track,4,Image 1,1000000426,
61.4248,,Track,4,Image 1,1000005575,
3.08115,,Track,4,Image 1,1000008102,
7.8353,,Track,4,Image 1,1000011182,
0.330786,,Track,4,Image 1,1000014633,
37.9715,,Track,4,Image 1,1000014915,
0.735877,,Track,4,Image 1,1000018381,
34.7457,,Track,4,Image 1,1000019405,
0.481716,,Track,4,Image 1,1000022248,
1.06989,,Track,4,Image 1,1000023039,
7.62866,,Track,4,Image 1,1000023639,
42.6256,,Track,4,Image 1,1000024512,
0,,Track,4,Image 1,1000025762,
0.971774,,Track,4,Image 1,1000025863,
0.510589,,Track,4,Image 1,1000025898,
2.73631,,Track,4,Image 1,1000026374,
0.718397,,Track,4,Image 1,1000026660,
2.71805,,Track,4,Image 1,1000026789,
47.1403,,Track,4,Image 1,1000026990,
46.5349,,Track,4,Image 1,1000027048,
0.254208,,Track,4,Image 1,1000027245,
0.695855,,Track,4,Image 1,1000027656,
10.4818,,Track,4,Image 1,1000028849,
0.0901639,,Track,4,Image 1,1000028860,
1.27895,,Track,4,Image 1,1000029962,
18.9072,,Track,4,Image 1,1000034728,
0,,Track,4,Image 1,1000058544,
6.80077,,Track,4,Image 1,1000069455,
52.1049,,Track,4,Image 1,1000071729,
18.2932,,Track,4,Image 1,1000074239,
44.8612,,Track,4,Image 1,1000080712,
6.47883,,Track,4,Image 1,1000082174,
63.2061,,Track,4,Image 1,1000094504,
73.4631,,Track,4,Image 1,1000111173,
17.2844,,Track,4,Image 1,1000117221,
7.24274,,Track,4,Image 1,1000130081,
65.249,,Track,4,Image 1,1000135496,
0.779194,,Track,4,Image 1,1000136105,
84.2023,,Track,4,Image 1,1000138478,
70.0055,,Track,4,Image 1,1000145899,
62.68,,Track,4,Image 1,1000158060,
6.13788,,Track,4,Image 1,1000165097,
0,,Track,4,Image 1,1000178867,
2.68361,,Track,4,Image 1,1000196023,
46.5028,,Track,4,Image 1,1000196749,
8.01379,,Track,4,Image 1,1000199932,
45.85,,Track,4,Image 1,1000218062,
0.183485,,Track,4,Image 1,1000221333,
0,,Track,4,Image 1,1000224234,
3.42369,,Track,4,Image 1,1000224241,
1.07504,,Track,4,Image 1,1000224431,
5.02466,,Track,4,Image 1,1000226383,
61.8215,,Track,4,Image 1,1000232501,
1.16982,,Track,4,Image 1,1000244446,
68.5483,,Track,4,Image 1,1000253547,
3.50253,,Track,4,Image 1,1000257305,
1.16389,,Track,4,Image 1,1000260417,
0.169563,,Track,4,Image 1,1000260594,
1.32264,,Track,4,Image 1,1000275823,
39.7564,,Track,4,Image 1,1000278844,
0.911707,,Track,4,Image 1,1000282540,
0.356428,,Track,4,Image 1,1000282868,
55.7075,,Track,4,Image 1,1000290426,
1.00295,,Track,4,Image 1,1000290900,
78.1573,,Track,4,Image 1,1000312915,
26.8764,,Track,4,Image 1,1000320447,
74.7169,,Track,4,Image 1,1000327258,
41.4383,,Track,4,Image 1,1000338312,
53.483,,Track,4,Image 1,1000354440,
38.4058,,Track,4,Image 1,1000354480,
22.2343,,Track,4,Image 1,1000371442,
52.0964,,Track,4,Image 1,1000373068,
79.4204,,Track,4,Image 1,1000385100,
1.07268,,Track,4,Image 1,1000401657,
6.01894,,Track,4,Image 1,1000402605,
5.8641,,Track,4,Image 1,1000405139,
62.7421,,Track,4,Image 1,1000409035,
1.04074,,Track,4,Image 1,1000421574,
52.2736,,Track,4,Image 1,1000423376,
0.817374,,Track,4,Image 1,1000429687,
14.8744,,Track,4,Image 1,1000439186,
0.19685,,Track,4,Image 1,1000449132,
32.9678,,Track,4,Image 1,1000454057,
