
Track Intensity Sum Ch=4 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
18541,,Track,4,Image 1,1000000426,
19983,,Track,4,Image 1,1000005575,
69042,,Track,4,Image 1,1000008102,
22547,,Track,4,Image 1,1000011182,
45118,,Track,4,Image 1,1000014633,
12180,,Track,4,Image 1,1000014915,
25697,,Track,4,Image 1,1000018381,
74523,,Track,4,Image 1,1000019405,
15800,,Track,4,Image 1,1000022248,
22092,,Track,4,Image 1,1000023039,
21841,,Track,4,Image 1,1000023639,
11685,,Track,4,Image 1,1000024512,
18105,,Track,4,Image 1,1000025762,
40419,,Track,4,Image 1,1000025863,
14775,,Track,4,Image 1,1000025898,
44330,,Track,4,Image 1,1000026374,
28725,,Track,4,Image 1,1000026660,
21864,,Track,4,Image 1,1000026789,
21832,,Track,4,Image 1,1000026990,
63764,,Track,4,Image 1,1000027048,
36710,,Track,4,Image 1,1000027245,
28250,,Track,4,Image 1,1000027656,
19712,,Track,4,Image 1,1000028849,
31109,,Track,4,Image 1,1000028860,
25575,,Track,4,Image 1,1000029962,
40421,,Track,4,Image 1,1000034728,
21930,,Track,4,Image 1,1000058544,
362,,Track,4,Image 1,1000069455,
19618,,Track,4,Image 1,1000071729,
37192,,Track,4,Image 1,1000074239,
9768,,Track,4,Image 1,1000080712,
23549,,Track,4,Image 1,1000082174,
16101,,Track,4,Image 1,1000094504,
105986,,Track,4,Image 1,1000111173,
12870,,Track,4,Image 1,1000117221,
292,,Track,4,Image 1,1000130081,
14368,,Track,4,Image 1,1000135496,
21378,,Track,4,Image 1,1000136105,
11273,,Track,4,Image 1,1000138478,
113054,,Track,4,Image 1,1000145899,
31714,,Track,4,Image 1,1000158060,
47768,,Track,4,Image 1,1000165097,
53550,,Track,4,Image 1,1000178867,
79664,,Track,4,Image 1,1000196023,
5444,,Track,4,Image 1,1000196749,
25476,,Track,4,Image 1,1000199932,
22664,,Track,4,Image 1,1000218062,
21927,,Track,4,Image 1,1000221333,
19380,,Track,4,Image 1,1000224234,
32085,,Track,4,Image 1,1000224241,
29942,,Track,4,Image 1,1000224431,
16785,,Track,4,Image 1,1000226383,
35702,,Track,4,Image 1,1000232501,
21292,,Track,4,Image 1,1000244446,
16473,,Track,4,Image 1,1000253547,
25139,,Track,4,Image 1,1000257305,
55553,,Track,4,Image 1,1000260417,
34421,,Track,4,Image 1,1000260594,
63642,,Track,4,Image 1,1000275823,
4291,,Track,4,Image 1,1000278844,
33607,,Track,4,Image 1,1000282540,
31352,,Track,4,Image 1,1000282868,
38997,,Track,4,Image 1,1000290426,
19572,,Track,4,Image 1,1000290900,
15634,,Track,4,Image 1,1000312915,
3811,,Track,4,Image 1,1000320447,
9201,,Track,4,Image 1,1000327258,
19067,,Track,4,Image 1,1000338312,
17875,,Track,4,Image 1,1000354440,
10847,,Track,4,Image 1,1000354480,
65774,,Track,4,Image 1,1000371442,
4554,,Track,4,Image 1,1000373068,
25233,,Track,4,Image 1,1000385100,
23351,,Track,4,Image 1,1000401657,
20919,,Track,4,Image 1,1000402605,
29408,,Track,4,Image 1,1000405139,
30442,,Track,4,Image 1,1000409035,
18197,,Track,4,Image 1,1000421574,
15157,,Track,4,Image 1,1000423376,
39964,,Track,4,Image 1,1000429687,
28430,,Track,4,Image 1,1000439186,
45130,,Track,4,Image 1,1000449132,
33043,,Track,4,Image 1,1000454057,
33151,,Track,4,Image 1,1000454567,
20399,,Track,4,Image 1,1000488632,
2453,,Track,4,Image 1,1000489329,
20655,,Track,4,Image 1,1000493396,
5280,,Track,4,Image 1,1000515291,
29362,,Track,4,Image 1,1000522409,
18817,,Track,4,Image 1,1000522415,
57365,,Track,4,Image 1,1000534158,
798,,Track,4,Image 1,1000535289,
28874,,Track,4,Image 1,1000549440,
15155,,Track,4,Image 1,1000566277,
75213,,Track,4,Image 1,1000569584,
62919,,Track,4,Image 1,1000572485,
13691,,Track,4,Image 1,1000574056,
25726,,Track,4,Image 1,1000576160,
81600,,Track,4,Image 1,1000606742,
22360,,Track,4,Image 1,1000623228,
1486,,Track,4,Image 1,1000626063,
27020,,Track,4,Image 1,1000628237,
26298,,Track,4,Image 1,1000657926,
16376,,Track,4,Image 1,1000667525,
2860,,Track,4,Image 1,1000675627,
4990,,Track,4,Image 1,1000684239,
95399,,Track,4,Image 1,1000686553,
14441,,Track,4,Image 1,1000689377,
36673,,Track,4,Image 1,1000690930,
16337,,Track,4,Image 1,1000692325,
18635,,Track,4,Image 1,1000695046,
38625,,Track,4,Image 1,1000704730,
18833,,Track,4,Image 1,1000705525,
17654,,Track,4,Image 1,1000712057,
32803,,Track,4,Image 1,1000728131,
21190,,Track,4,Image 1,1000755087,
2854,,Track,4,Image 1,1000764459,
22384,,Track,4,Image 1,1000809896,
