
Track Number of Spots
 ==================== 
Track Number of Spots,Unit,Category,ID,
6,,Track,1000000426,
9,,Track,1000005575,
23,,Track,1000008102,
6,,Track,1000011182,
14,,Track,1000014633,
9,,Track,1000014915,
10,,Track,1000018381,
20,,Track,1000019405,
6,,Track,1000022248,
6,,Track,1000023039,
6,,Track,1000023639,
23,,Track,1000024512,
7,,Track,1000025762,
10,,Track,1000025863,
6,,Track,1000025898,
18,,Track,1000026374,
13,,Track,1000026660,
7,,Track,1000026789,
8,,Track,1000026990,
16,,Track,1000027048,
9,,Track,1000027245,
9,,Track,1000027656,
6,,Track,1000028849,
10,,Track,1000028860,
9,,Track,1000029962,
13,,Track,1000034728,
7,,Track,1000058544,
7,,Track,1000069455,
11,,Track,1000071729,
11,,Track,1000074239,
16,,Track,1000080712,
6,,Track,1000082174,
7,,Track,1000094504,
27,,Track,1000111173,
6,,Track,1000117221,
7,,Track,1000130081,
6,,Track,1000135496,
6,,Track,1000136105,
6,,Track,1000138478,
38,,Track,1000145899,
7,,Track,1000158060,
16,,Track,1000165097,
14,,Track,1000178867,
21,,Track,1000196023,
9,,Track,1000196749,
10,,Track,1000199932,
9,,Track,1000218062,
7,,Track,1000221333,
7,,Track,1000224234,
7,,Track,1000224241,
9,,Track,1000224431,
6,,Track,1000226383,
9,,Track,1000232501,
8,,Track,1000244446,
7,,Track,1000253547,
8,,Track,1000257305,
16,,Track,1000260417,
9,,Track,1000260594,
22,,Track,1000275823,
7,,Track,1000278844,
11,,Track,1000282540,
16,,Track,1000282868,
12,,Track,1000290426,
7,,Track,1000290900,
20,,Track,1000312915,
8,,Track,1000320447,
6,,Track,1000327258,
9,,Track,1000338312,
11,,Track,1000354440,
15,,Track,1000354480,
23,,Track,1000371442,
6,,Track,1000373068,
10,,Track,1000385100,
6,,Track,1000401657,
7,,Track,1000402605,
9,,Track,1000405139,
17,,Track,1000409035,
7,,Track,1000421574,
7,,Track,1000423376,
10,,Track,1000429687,
11,,Track,1000439186,
18,,Track,1000449132,
33,,Track,1000454057,
10,,Track,1000454567,
9,,Track,1000488632,
7,,Track,1000489329,
9,,Track,1000493396,
7,,Track,1000515291,
8,,Track,1000522409,
8,,Track,1000522415,
16,,Track,1000534158,
11,,Track,1000535289,
9,,Track,1000549440,
6,,Track,1000566277,
21,,Track,1000569584,
19,,Track,1000572485,
6,,Track,1000574056,
10,,Track,1000576160,
36,,Track,1000606742,
7,,Track,1000623228,
12,,Track,1000626063,
6,,Track,1000628237,
10,,Track,1000657926,
7,,Track,1000667525,
17,,Track,1000675627,
6,,Track,1000684239,
39,,Track,1000686553,
21,,Track,1000689377,
10,,Track,1000690930,
6,,Track,1000692325,
6,,Track,1000695046,
14,,Track,1000704730,
17,,Track,1000705525,
6,,Track,1000712057,
9,,Track,1000728131,
8,,Track,1000755087,
7,,Track,1000764459,
7,,Track,1000809896,
11,,Track,1000811156,
6,,Track,1000813964,
11,,Track,1000825954,
10,,Track,1000835089,
7,,Track,1000839692,
7,,Track,1000855659,
6,,Track,1000856861,
6,,Track,1000858553,
7,,Track,1000860086,
19,,Track,1000860289,
9,,Track,1000864199,
6,,Track,1000865808,
8,,Track,1000866048,
10,,Track,1000887899,
10,,Track,1000890207,
7,,Track,1000898844,
7,,Track,1000926710,
17,,Track,1000946144,
9,,Track,1000953090,
8,,Track,1000962165,
26,,Track,1000976176,
6,,Track,1000988049,
11,,Track,1001007366,
14,,Track,1001020468,
17,,Track,1001028919,
6,,Track,1001035449,
15,,Track,1001045764,
10,,Track,1001046137,
6,,Track,1001054405,
13,,Track,1001070831,
10,,Track,1001074979,
13,,Track,1001078337,
7,,Track,1001087121,
18,,Track,1001088762,
6,,Track,1001088789,
6,,Track,1001102674,
8,,Track,1001104072,
29,,Track,1001115718,
19,,Track,1001128302,
7,,Track,1001128779,
9,,Track,1001129977,
10,,Track,1001132092,
7,,Track,1001132873,
29,,Track,1001138880,
10,,Track,1001148839,
18,,Track,1001162429,
6,,Track,1001183631,
10,,Track,1001190228,
8,,Track,1001205984,
9,,Track,1001222072,
10,,Track,1001223904,
7,,Track,1001236985,
6,,Track,1001244289,
6,,Track,1001261153,
