
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
73.9817,98.7158,2.90092,µm,Track,Track Position,1000000426,
120.606,250.925,18.2632,µm,Track,Track Position,1000005575,
254.149,35.1802,29.6953,µm,Track,Track Position,1000008102,
209.533,36.1681,39.1097,µm,Track,Track Position,1000011182,
93.3943,200.239,58.3547,µm,Track,Track Position,1000014633,
297.242,174.414,50.0789,µm,Track,Track Position,1000014915,
243.889,80.1018,61.5668,µm,Track,Track Position,1000018381,
327.222,90.675,70.6954,µm,Track,Track Position,1000019405,
211.441,119.349,75.5045,µm,Track,Track Position,1000022248,
270.476,174.268,81.357,µm,Track,Track Position,1000023039,
75.1173,335.203,70.4654,µm,Track,Track Position,1000023639,
176.199,295.989,84.9327,µm,Track,Track Position,1000024512,
337.355,148.772,88.5845,µm,Track,Track Position,1000025762,
233.659,192.764,86.4114,µm,Track,Track Position,1000025863,
356.322,89.288,88.8111,µm,Track,Track Position,1000025898,
279.961,159.512,91.2806,µm,Track,Track Position,1000026374,
325.052,164.548,94.7359,µm,Track,Track Position,1000026660,
225.525,193.493,95.5797,µm,Track,Track Position,1000026789,
67.5195,341.161,82.83,µm,Track,Track Position,1000026990,
72.7636,370.004,84.1968,µm,Track,Track Position,1000027048,
103.249,320.399,87.7366,µm,Track,Track Position,1000027245,
105.417,381.114,92.5844,µm,Track,Track Position,1000027656,
317.014,179.627,98.5125,µm,Track,Track Position,1000028849,
313.551,180.411,99.7265,µm,Track,Track Position,1000028860,
139.081,303.036,100.5,µm,Track,Track Position,1000029962,
109.554,97.6013,16.2171,µm,Track,Track Position,1000034728,
122.509,339.798,97.5526,µm,Track,Track Position,1000058544,
239.752,283.41,36.9218,µm,Track,Track Position,1000069455,
186.933,257.123,45.7651,µm,Track,Track Position,1000071729,
278.178,88.8843,57.6165,µm,Track,Track Position,1000074239,
244.291,204.386,77.5395,µm,Track,Track Position,1000080712,
96.1127,286.601,76.6456,µm,Track,Track Position,1000082174,
125.574,266.112,20.4376,µm,Track,Track Position,1000094504,
108.288,383.635,73.9191,µm,Track,Track Position,1000111173,
299.011,246.303,100.5,µm,Track,Track Position,1000117221,
233.499,275.646,44.2466,µm,Track,Track Position,1000130081,
261.023,172.477,71.807,µm,Track,Track Position,1000135496,
51.4628,377.27,66.2153,µm,Track,Track Position,1000136105,
233.628,192.817,77.7764,µm,Track,Track Position,1000138478,
280.315,304.719,100.414,µm,Track,Track Position,1000145899,
127.46,287.148,45.4873,µm,Track,Track Position,1000158060,
78.802,336.103,65.5308,µm,Track,Track Position,1000165097,
21.0798,218.184,11.6747,µm,Track,Track Position,1000178867,
370.204,134.604,73.6954,µm,Track,Track Position,1000196023,
248.531,176.043,82.2228,µm,Track,Track Position,1000196749,
226.059,187.601,94.1791,µm,Track,Track Position,1000199932,
239.361,210.487,57.9078,µm,Track,Track Position,1000218062,
296.544,88.8653,67.2124,µm,Track,Track Position,1000221333,
347.256,78.4854,72.083,µm,Track,Track Position,1000224234,
349.279,80.0527,72.33,µm,Track,Track Position,1000224241,
213.785,121.942,72.3564,µm,Track,Track Position,1000224431,
68.2331,342.224,80.0032,µm,Track,Track Position,1000226383,
270.114,312.054,100.5,µm,Track,Track Position,1000232501,
73.0312,262.117,43.3516,µm,Track,Track Position,1000244446,
260.365,170.826,75.0495,µm,Track,Track Position,1000253547,
224.742,190.898,94.2555,µm,Track,Track Position,1000257305,
138.809,302.721,96.747,µm,Track,Track Position,1000260417,
136.244,371.478,100.5,µm,Track,Track Position,1000260594,
241.279,83.4145,57.3301,µm,Track,Track Position,1000275823,
243.015,209.696,64.5757,µm,Track,Track Position,1000278844,
262.469,121.012,76.8754,µm,Track,Track Position,1000282540,
263.765,119.87,78.4599,µm,Track,Track Position,1000282868,
277.293,316.96,100.5,µm,Track,Track Position,1000290426,
76.4443,99.5233,1.5,µm,Track,Track Position,1000290900,
177.45,330.345,73.5154,µm,Track,Track Position,1000312915,
195.579,196.04,3.47255,µm,Track,Track Position,1000320447,
51.4132,191.782,31.6482,µm,Track,Track Position,1000327258,
107.199,233.115,61.2782,µm,Track,Track Position,1000338312,
118.733,251.183,21.6411,µm,Track,Track Position,1000354440,
128.558,266.919,20.0038,µm,Track,Track Position,1000354480,
70.3427,343.987,75.3756,µm,Track,Track Position,1000371442,
247.96,171.295,84.6454,µm,Track,Track Position,1000373068,
51.2542,193.173,31.834,µm,Track,Track Position,1000385100,
354.491,88.9617,85.6542,µm,Track,Track Position,1000401657,
351.073,167.221,94.4634,µm,Track,Track Position,1000402605,
246.441,210.691,100.5,µm,Track,Track Position,1000405139,
18.0117,315.638,3.15395,µm,Track,Track Position,1000409035,
276.381,89.4624,58.2353,µm,Track,Track Position,1000421574,
154.491,151.885,59.6638,µm,Track,Track Position,1000423376,
75.5114,373.382,80.7923,µm,Track,Track Position,1000429687,
110.966,98.8828,13.5726,µm,Track,Track Position,1000439186,
95.482,203.744,53.9857,µm,Track,Track Position,1000449132,
156.995,263.796,60.4546,µm,Track,Track Position,1000454057,
