
Track Position Start
 ==================== 
Track Position X Start,Track Position Y Start,Track Position Z Start,Unit,Category,Collection,ID,
74.6101,97.223,1.5,µm,Track,Track Position Start,1000000426,
122.18,248.949,16.2293,µm,Track,Track Position Start,1000005575,
258.671,35.9835,28.479,µm,Track,Track Position Start,1000008102,
209.561,34.9564,37.6081,µm,Track,Track Position Start,1000011182,
92.4269,197.616,58.2003,µm,Track,Track Position Start,1000014633,
298.324,176.393,49.433,µm,Track,Track Position Start,1000014915,
244.333,78.9277,61.4857,µm,Track,Track Position Start,1000018381,
328.418,89.761,70.0736,µm,Track,Track Position Start,1000019405,
212.499,116.583,74.0428,µm,Track,Track Position Start,1000022248,
271.969,174.455,80.1935,µm,Track,Track Position Start,1000023039,
75.0433,334.438,72.728,µm,Track,Track Position Start,1000023639,
180.569,293.004,82.3615,µm,Track,Track Position Start,1000024512,
339.051,149.833,86.1459,µm,Track,Track Position Start,1000025762,
236.029,196.213,85.6262,µm,Track,Track Position Start,1000025863,
357.227,89.3626,87.427,µm,Track,Track Position Start,1000025898,
281.647,161.245,90.6955,µm,Track,Track Position Start,1000026374,
327.173,163.86,94.1258,µm,Track,Track Position Start,1000026660,
227.329,194.553,94.5005,µm,Track,Track Position Start,1000026789,
67.6333,341.236,84.4602,µm,Track,Track Position Start,1000026990,
70.4539,368.506,84.743,µm,Track,Track Position Start,1000027048,
104.382,319.278,88.5528,µm,Track,Track Position Start,1000027245,
106.808,381.047,91.9827,µm,Track,Track Position Start,1000027656,
318.064,179.249,97.4994,µm,Track,Track Position Start,1000028849,
314.765,180.629,97.7517,µm,Track,Track Position Start,1000028860,
140.774,304.569,100.5,µm,Track,Track Position Start,1000029962,
107.847,96.8903,16.6517,µm,Track,Track Position Start,1000034728,
121.393,340.033,97.5466,µm,Track,Track Position Start,1000058544,
240.642,283.003,34.8844,µm,Track,Track Position Start,1000069455,
186.088,256.417,43.9633,µm,Track,Track Position Start,1000071729,
278.697,89.0504,55.2883,µm,Track,Track Position Start,1000074239,
244.489,206.779,73.6018,µm,Track,Track Position Start,1000080712,
96.0028,287.096,77.5231,µm,Track,Track Position Start,1000082174,
127.258,265.888,20.4306,µm,Track,Track Position Start,1000094504,
109.403,385.384,76.5495,µm,Track,Track Position Start,1000111173,
299.359,247.218,100.5,µm,Track,Track Position Start,1000117221,
233.435,276.134,42.4415,µm,Track,Track Position Start,1000130081,
261.779,175.824,70.4201,µm,Track,Track Position Start,1000135496,
52.113,376.949,65.0614,µm,Track,Track Position Start,1000136105,
229.691,192.44,76.5813,µm,Track,Track Position Start,1000138478,
282.57,307.101,97.2331,µm,Track,Track Position Start,1000145899,
129.142,287.152,43.0809,µm,Track,Track Position Start,1000158060,
76.1865,337.227,67.4792,µm,Track,Track Position Start,1000165097,
18.5363,217.017,13.5778,µm,Track,Track Position Start,1000178867,
370.777,134.534,76.1311,µm,Track,Track Position Start,1000196023,
246.693,181.893,82.5008,µm,Track,Track Position Start,1000196749,
225.196,187.162,95.4562,µm,Track,Track Position Start,1000199932,
240.967,212.897,55.5151,µm,Track,Track Position Start,1000218062,
295.704,87.882,67.3358,µm,Track,Track Position Start,1000221333,
349.733,77.4197,72.9292,µm,Track,Track Position Start,1000224234,
351.556,79.6759,73.5032,µm,Track,Track Position Start,1000224241,
213.574,119.23,73.261,µm,Track,Track Position Start,1000224431,
67.2853,341.824,79.4668,µm,Track,Track Position Start,1000226383,
272.087,311.58,100.5,µm,Track,Track Position Start,1000232501,
71.7038,261.858,45.7783,µm,Track,Track Position Start,1000244446,
260.287,170.173,76.5248,µm,Track,Track Position Start,1000253547,
223.839,190.396,94.7105,µm,Track,Track Position Start,1000257305,
140.115,303.103,100.5,µm,Track,Track Position Start,1000260417,
134.701,370.627,100.5,µm,Track,Track Position Start,1000260594,
244.874,79.6062,58.3514,µm,Track,Track Position Start,1000275823,
245.698,211.296,64.5188,µm,Track,Track Position Start,1000278844,
265.881,121.444,76.607,µm,Track,Track Position Start,1000282540,
264.471,119.694,79.7646,µm,Track,Track Position Start,1000282868,
278.168,316.475,100.5,µm,Track,Track Position Start,1000290426,
75.0383,98.4399,1.5,µm,Track,Track Position Start,1000290900,
183.774,327.402,73.7659,µm,Track,Track Position Start,1000312915,
196.2,200.08,1.5,µm,Track,Track Position Start,1000320447,
50.9273,193.247,33.9273,µm,Track,Track Position Start,1000327258,
108.106,233.392,61.7447,µm,Track,Track Position Start,1000338312,
119.5,250.576,19.2916,µm,Track,Track Position Start,1000354440,
129.755,270.497,18.9145,µm,Track,Track Position Start,1000354480,
69.0839,345.246,76.535,µm,Track,Track Position Start,1000371442,
247.518,170.657,85.4515,µm,Track,Track Position Start,1000373068,
52.4897,192.912,31.0864,µm,Track,Track Position Start,1000385100,
355.441,89.034,86.109,µm,Track,Track Position Start,1000401657,
351.919,167.363,94.3292,µm,Track,Track Position Start,1000402605,
247.053,211.216,100.5,µm,Track,Track Position Start,1000405139,
17.6441,316.098,1.5,µm,Track,Track Position Start,1000409035,
277.235,89.1246,57.8475,µm,Track,Track Position Start,1000421574,
154.788,151.292,61.112,µm,Track,Track Position Start,1000423376,
76.4532,372.283,79.4183,µm,Track,Track Position Start,1000429687,
110.447,98.5222,14.6179,µm,Track,Track Position Start,1000439186,
95.7712,202.776,57.8407,µm,Track,Track Position Start,1000449132,
162.511,264.439,61.5262,µm,Track,Track Position Start,1000454057,
55.3757,378.87,63.802,µm,Track,Track Position Start,1000454567,
336.433,148.081,85.3489,µm,Track,Track Position Start,1000488632,
293.673,191.458,90.952,µm,Track,Track Position Start,1000489329,
211.362,275.565,100.5,µm,Track,Track Position Start,1000493396,
241.292,199.637,79.0531,µm,Track,Track Position Start,1000515291,
267.647,311.618,100.5,µm,Track,Track Position Start,1000522409,
273.888,315.904,100.5,µm,Track,Track Position Start,1000522415,
75.3046,261.608,41.214,µm,Track,Track Position Start,1000534158,
240.251,282.553,43.47,µm,Track,Track Position Start,1000535289,
311.428,177.017,96.9316,µm,Track,Track Position Start,1000549440,
305.743,69.9486,58.7583,µm,Track,Track Position Start,1000566277,
325.33,90.889,67.559,µm,Track,Track Position Start,1000569584,
260.486,120.709,73.4771,µm,Track,Track Position Start,1000572485,
156.919,312.491,76.2579,µm,Track,Track Position Start,1000574056,
220.57,189.491,91.47,µm,Track,Track Position Start,1000576160,
159.95,281.16,94.4574,µm,Track,Track Position Start,1000606742,
108.326,210.804,51.9913,µm,Track,Track Position Start,1000623228,
230.239,271.107,50.9651,µm,Track,Track Position Start,1000626063,
347.997,81.2211,70.7463,µm,Track,Track Position Start,1000628237,
78.6932,335.234,64.7092,µm,Track,Track Position Start,1000657926,
273.594,315.073,100.5,µm,Track,Track Position Start,1000667525,
306.939,163.372,31.3539,µm,Track,Track Position Start,1000675627,
237.135,322.299,51.3479,µm,Track,Track Position Start,1000684239,
104.312,231.702,60.23,µm,Track,Track Position Start,1000686553,
238.789,197.371,76.4821,µm,Track,Track Position Start,1000689377,
72.3189,372.379,79.4487,µm,Track,Track Position Start,1000690930,
220.748,186.089,88.0728,µm,Track,Track Position Start,1000692325,
242.545,208.565,98.4103,µm,Track,Track Position Start,1000695046,
251.243,34.5551,28.3212,µm,Track,Track Position Start,1000704730,
115.017,247.877,28.553,µm,Track,Track Position Start,1000705525,
304.75,70.6768,58.773,µm,Track,Track Position Start,1000712057,
111.244,101.224,10.6786,µm,Track,Track Position Start,1000728131,
295.634,243.118,100.5,µm,Track,Track Position Start,1000755087,
91.1143,311.537,32.8916,µm,Track,Track Position Start,1000764459,
347.97,167.251,92.1522,µm,Track,Track Position Start,1000809896,
137.575,300.867,91.7926,µm,Track,Track Position Start,1000811156,
299.598,234.57,100.5,µm,Track,Track Position Start,1000813964,
118.861,281.808,37.5728,µm,Track,Track Position Start,1000825954,
195.747,183.05,73.6377,µm,Track,Track Position Start,1000835089,
308.402,177.061,95.2053,µm,Track,Track Position Start,1000839692,
134.05,337.139,37.703,µm,Track,Track Position Start,1000855659,
295.891,272.804,40.8548,µm,Track,Track Position Start,1000856861,
302.068,70.5514,55.8425,µm,Track,Track Position Start,1000858553,
89.7405,267.056,58.6841,µm,Track,Track Position Start,1000860086,
52.5653,379.394,58.9476,µm,Track,Track Position Start,1000860289,
105.532,382.027,71.3514,µm,Track,Track Position Start,1000864199,
307.998,130.396,79.2865,µm,Track,Track Position Start,1000865808,
349.83,86.9855,82.317,µm,Track,Track Position Start,1000866048,
217.07,171.232,52.5794,µm,Track,Track Position Start,1000887899,
235.044,323.321,56.0349,µm,Track,Track Position Start,1000890207,
242.995,208.945,94.6777,µm,Track,Track Position Start,1000898844,
165.658,292.16,82.3838,µm,Track,Track Position Start,1000926710,
95.1017,203.254,48.6001,µm,Track,Track Position Start,1000946144,
128.62,293.702,70.5498,µm,Track,Track Position Start,1000953090,
268.373,309.776,100.5,µm,Track,Track Position Start,1000962165,
170.11,109.491,50.7742,µm,Track,Track Position Start,1000976176,
307.945,180.375,91.7848,µm,Track,Track Position Start,1000988049,
237.958,84.1898,51.9939,µm,Track,Track Position Start,1001007366,
293.029,239.788,94.6088,µm,Track,Track Position Start,1001020468,
24.9156,329.702,21.0636,µm,Track,Track Position Start,1001028919,
93.1451,302.724,43.8759,µm,Track,Track Position Start,1001035449,
72.4705,346.757,72.7709,µm,Track,Track Position Start,1001045764,
79.3876,373.872,76.605,µm,Track,Track Position Start,1001046137,
113.329,99.6822,10.6032,µm,Track,Track Position Start,1001054405,
193.353,181.408,70.8155,µm,Track,Track Position Start,1001070831,
307.446,130.295,77.2993,µm,Track,Track Position Start,1001074979,
305.833,178.18,91.5474,µm,Track,Track Position Start,1001078337,
173.965,177.737,15.62,µm,Track,Track Position Start,1001087121,
114.879,243.388,19.599,µm,Track,Track Position Start,1001088762,
122.729,257.518,20.0039,µm,Track,Track Position Start,1001088789,
