
Track Speed Max
 ==================== 
Track Speed Max,Unit,Category,ID,
0.0876742,µm/s,Track,1000000426,
0.0923086,µm/s,Track,1000005575,
0.115747,µm/s,Track,1000008102,
0.0965217,µm/s,Track,1000011182,
0.0850809,µm/s,Track,1000014633,
0.0566467,µm/s,Track,1000014915,
0.0882395,µm/s,Track,1000018381,
0.0758736,µm/s,Track,1000019405,
0.109531,µm/s,Track,1000022248,
0.0836532,µm/s,Track,1000023039,
0.0549884,µm/s,Track,1000023639,
0.0892574,µm/s,Track,1000024512,
0.0733376,µm/s,Track,1000025762,
0.0943932,µm/s,Track,1000025863,
0.116937,µm/s,Track,1000025898,
0.0713949,µm/s,Track,1000026374,
0.0587483,µm/s,Track,1000026660,
0.0941642,µm/s,Track,1000026789,
0.0692095,µm/s,Track,1000026990,
0.0911122,µm/s,Track,1000027048,
0.0776988,µm/s,Track,1000027245,
0.0634904,µm/s,Track,1000027656,
0.0544976,µm/s,Track,1000028849,
0.0552883,µm/s,Track,1000028860,
0.092112,µm/s,Track,1000029962,
0.107121,µm/s,Track,1000034728,
0.0858807,µm/s,Track,1000058544,
0.0788279,µm/s,Track,1000069455,
0.115982,µm/s,Track,1000071729,
0.0732895,µm/s,Track,1000074239,
0.072415,µm/s,Track,1000080712,
0.0576169,µm/s,Track,1000082174,
0.108571,µm/s,Track,1000094504,
0.0858414,µm/s,Track,1000111173,
0.0336193,µm/s,Track,1000117221,
0.0945543,µm/s,Track,1000130081,
0.103084,µm/s,Track,1000135496,
0.12176,µm/s,Track,1000136105,
0.1214,µm/s,Track,1000138478,
0.0906556,µm/s,Track,1000145899,
0.0918998,µm/s,Track,1000158060,
0.097008,µm/s,Track,1000165097,
0.111334,µm/s,Track,1000178867,
0.0842973,µm/s,Track,1000196023,
0.103977,µm/s,Track,1000196749,
0.0824747,µm/s,Track,1000199932,
0.0823222,µm/s,Track,1000218062,
0.0830342,µm/s,Track,1000221333,
0.0965084,µm/s,Track,1000224234,
0.0885604,µm/s,Track,1000224241,
0.0805757,µm/s,Track,1000224431,
0.0736515,µm/s,Track,1000226383,
0.066143,µm/s,Track,1000232501,
0.118662,µm/s,Track,1000244446,
0.0600061,µm/s,Track,1000253547,
0.0866658,µm/s,Track,1000257305,
0.0769327,µm/s,Track,1000260417,
0.0794047,µm/s,Track,1000260594,
0.0919371,µm/s,Track,1000275823,
0.0694591,µm/s,Track,1000278844,
0.109764,µm/s,Track,1000282540,
0.104478,µm/s,Track,1000282868,
0.0850612,µm/s,Track,1000290426,
0.0629051,µm/s,Track,1000290900,
0.10743,µm/s,Track,1000312915,
0.101389,µm/s,Track,1000320447,
0.0652751,µm/s,Track,1000327258,
0.0560279,µm/s,Track,1000338312,
0.0889737,µm/s,Track,1000354440,
0.0710699,µm/s,Track,1000354480,
0.0793594,µm/s,Track,1000371442,
0.0923164,µm/s,Track,1000373068,
0.0667966,µm/s,Track,1000385100,
0.0842645,µm/s,Track,1000401657,
0.0678472,µm/s,Track,1000402605,
0.05975,µm/s,Track,1000405139,
0.0938139,µm/s,Track,1000409035,
0.0488171,µm/s,Track,1000421574,
0.127654,µm/s,Track,1000423376,
0.0779771,µm/s,Track,1000429687,
0.0881482,µm/s,Track,1000439186,
0.103067,µm/s,Track,1000449132,
0.0927603,µm/s,Track,1000454057,
0.0810906,µm/s,Track,1000454567,
0.0868225,µm/s,Track,1000488632,
0.10612,µm/s,Track,1000489329,
0.0335204,µm/s,Track,1000493396,
0.063705,µm/s,Track,1000515291,
0.0600644,µm/s,Track,1000522409,
0.0591785,µm/s,Track,1000522415,
0.0980094,µm/s,Track,1000534158,
0.0952878,µm/s,Track,1000535289,
0.127891,µm/s,Track,1000549440,
0.0781651,µm/s,Track,1000566277,
0.0760944,µm/s,Track,1000569584,
0.0871252,µm/s,Track,1000572485,
0.0851589,µm/s,Track,1000574056,
0.0654407,µm/s,Track,1000576160,
0.0842763,µm/s,Track,1000606742,
0.0808249,µm/s,Track,1000623228,
0.10115,µm/s,Track,1000626063,
0.115908,µm/s,Track,1000628237,
0.0843383,µm/s,Track,1000657926,
0.120338,µm/s,Track,1000667525,
0.111419,µm/s,Track,1000675627,
0.082065,µm/s,Track,1000684239,
0.123216,µm/s,Track,1000686553,
0.0926741,µm/s,Track,1000689377,
0.0756253,µm/s,Track,1000690930,
0.0500667,µm/s,Track,1000692325,
0.0639554,µm/s,Track,1000695046,
0.0835976,µm/s,Track,1000704730,
0.102012,µm/s,Track,1000705525,
0.0679715,µm/s,Track,1000712057,
0.114985,µm/s,Track,1000728131,
0.0716841,µm/s,Track,1000755087,
0.115612,µm/s,Track,1000764459,
0.0876503,µm/s,Track,1000809896,
0.074911,µm/s,Track,1000811156,
0.06785,µm/s,Track,1000813964,
0.116518,µm/s,Track,1000825954,
0.0644596,µm/s,Track,1000835089,
0.0873911,µm/s,Track,1000839692,
0.117461,µm/s,Track,1000855659,
0.126651,µm/s,Track,1000856861,
0.0971995,µm/s,Track,1000858553,
0.105261,µm/s,Track,1000860086,
0.0998385,µm/s,Track,1000860289,
0.100378,µm/s,Track,1000864199,
0.0872554,µm/s,Track,1000865808,
0.0819161,µm/s,Track,1000866048,
0.0963567,µm/s,Track,1000887899,
0.0700448,µm/s,Track,1000890207,
0.0773816,µm/s,Track,1000898844,
0.096081,µm/s,Track,1000926710,
0.107308,µm/s,Track,1000946144,
0.0813659,µm/s,Track,1000953090,
0.0985207,µm/s,Track,1000962165,
0.0936293,µm/s,Track,1000976176,
0.115522,µm/s,Track,1000988049,
0.0769614,µm/s,Track,1001007366,
0.0657083,µm/s,Track,1001020468,
0.0827495,µm/s,Track,1001028919,
0.0865967,µm/s,Track,1001035449,
0.0678119,µm/s,Track,1001045764,
0.111206,µm/s,Track,1001046137,
0.0630852,µm/s,Track,1001054405,
0.121344,µm/s,Track,1001070831,
0.0829021,µm/s,Track,1001074979,
0.0829821,µm/s,Track,1001078337,
0.0683579,µm/s,Track,1001087121,
0.0770306,µm/s,Track,1001088762,
0.0589483,µm/s,Track,1001088789,
0.0638498,µm/s,Track,1001102674,
0.0631798,µm/s,Track,1001104072,
0.0845178,µm/s,Track,1001115718,
0.0761545,µm/s,Track,1001128302,
0.0732849,µm/s,Track,1001128779,
0.0585714,µm/s,Track,1001129977,
0.089406,µm/s,Track,1001132092,
0.0617044,µm/s,Track,1001132873,
0.113408,µm/s,Track,1001138880,
0.0914869,µm/s,Track,1001148839,
0.0838152,µm/s,Track,1001162429,
0.0970902,µm/s,Track,1001183631,
0.0828319,µm/s,Track,1001190228,
0.0724178,µm/s,Track,1001205984,
0.0720583,µm/s,Track,1001222072,
0.101259,µm/s,Track,1001223904,
0.0879486,µm/s,Track,1001236985,
0.0930955,µm/s,Track,1001244289,
0.0656439,µm/s,Track,1001261153,
