
Track Speed Min
 ==================== 
Track Speed Min,Unit,Category,ID,
0.0185537,µm/s,Track,1000000426,
0.0361761,µm/s,Track,1000005575,
0.023153,µm/s,Track,1000008102,
0.0526203,µm/s,Track,1000011182,
0.0288191,µm/s,Track,1000014633,
0.0285569,µm/s,Track,1000014915,
0.0310719,µm/s,Track,1000018381,
0.0278515,µm/s,Track,1000019405,
0.0224918,µm/s,Track,1000022248,
0.0404895,µm/s,Track,1000023039,
0.0336565,µm/s,Track,1000023639,
0.0235383,µm/s,Track,1000024512,
0.0283647,µm/s,Track,1000025762,
0.0292104,µm/s,Track,1000025863,
0.0484288,µm/s,Track,1000025898,
0.023284,µm/s,Track,1000026374,
0.0163769,µm/s,Track,1000026660,
0.0353564,µm/s,Track,1000026789,
0.056037,µm/s,Track,1000026990,
0.0331683,µm/s,Track,1000027048,
0.0212071,µm/s,Track,1000027245,
0.0318344,µm/s,Track,1000027656,
0.0192318,µm/s,Track,1000028849,
0.0242838,µm/s,Track,1000028860,
0.00971411,µm/s,Track,1000029962,
0.0200498,µm/s,Track,1000034728,
0.0242749,µm/s,Track,1000058544,
0.0495676,µm/s,Track,1000069455,
0.0321358,µm/s,Track,1000071729,
0.032293,µm/s,Track,1000074239,
0.0358441,µm/s,Track,1000080712,
0.0185025,µm/s,Track,1000082174,
0.0383208,µm/s,Track,1000094504,
0.0323647,µm/s,Track,1000111173,
0.0126298,µm/s,Track,1000117221,
0.0461836,µm/s,Track,1000130081,
0.0531907,µm/s,Track,1000135496,
0.0438547,µm/s,Track,1000136105,
0.0495261,µm/s,Track,1000138478,
0.0152572,µm/s,Track,1000145899,
0.0559241,µm/s,Track,1000158060,
0.0374318,µm/s,Track,1000165097,
0.0379978,µm/s,Track,1000178867,
0.0167355,µm/s,Track,1000196023,
0.0567613,µm/s,Track,1000196749,
0.0276832,µm/s,Track,1000199932,
0.019004,µm/s,Track,1000218062,
0.0471053,µm/s,Track,1000221333,
0.0558292,µm/s,Track,1000224234,
0.0418156,µm/s,Track,1000224241,
0.0286544,µm/s,Track,1000224431,
0.0246644,µm/s,Track,1000226383,
0.0229559,µm/s,Track,1000232501,
0.0465684,µm/s,Track,1000244446,
0.0275069,µm/s,Track,1000253547,
0.0351604,µm/s,Track,1000257305,
0.00715095,µm/s,Track,1000260417,
0.0199422,µm/s,Track,1000260594,
0.027524,µm/s,Track,1000275823,
0.0385944,µm/s,Track,1000278844,
0.0185329,µm/s,Track,1000282540,
0.0156283,µm/s,Track,1000282868,
0.023073,µm/s,Track,1000290426,
0.022834,µm/s,Track,1000290900,
0.0315064,µm/s,Track,1000312915,
0.0346959,µm/s,Track,1000320447,
0.0478464,µm/s,Track,1000327258,
0.0330648,µm/s,Track,1000338312,
0.0261916,µm/s,Track,1000354440,
0.0190737,µm/s,Track,1000354480,
0.0346511,µm/s,Track,1000371442,
0.0662951,µm/s,Track,1000373068,
0.0213575,µm/s,Track,1000385100,
0.0427347,µm/s,Track,1000401657,
0.0210228,µm/s,Track,1000402605,
0.0257712,µm/s,Track,1000405139,
0.0252661,µm/s,Track,1000409035,
0.0307153,µm/s,Track,1000421574,
0.0300941,µm/s,Track,1000423376,
0.0222581,µm/s,Track,1000429687,
0.020413,µm/s,Track,1000439186,
0.020527,µm/s,Track,1000449132,
0.0269237,µm/s,Track,1000454057,
0.0253465,µm/s,Track,1000454567,
0.0349332,µm/s,Track,1000488632,
0.0357679,µm/s,Track,1000489329,
0.0144243,µm/s,Track,1000493396,
0.0301105,µm/s,Track,1000515291,
0.0260874,µm/s,Track,1000522409,
0.0240671,µm/s,Track,1000522415,
0.0238317,µm/s,Track,1000534158,
0.0275962,µm/s,Track,1000535289,
0.0256431,µm/s,Track,1000549440,
0.0133247,µm/s,Track,1000566277,
0.0258533,µm/s,Track,1000569584,
0.0199004,µm/s,Track,1000572485,
0.0410083,µm/s,Track,1000574056,
0.025489,µm/s,Track,1000576160,
0.0194154,µm/s,Track,1000606742,
0.0525286,µm/s,Track,1000623228,
0.0589057,µm/s,Track,1000626063,
0.0447976,µm/s,Track,1000628237,
0.0341116,µm/s,Track,1000657926,
0.029966,µm/s,Track,1000667525,
0.0423321,µm/s,Track,1000675627,
0.0275991,µm/s,Track,1000684239,
0.0304228,µm/s,Track,1000686553,
0.0272872,µm/s,Track,1000689377,
0.0392779,µm/s,Track,1000690930,
0.0114689,µm/s,Track,1000692325,
0.0477921,µm/s,Track,1000695046,
0.026941,µm/s,Track,1000704730,
0.0418038,µm/s,Track,1000705525,
0.0239232,µm/s,Track,1000712057,
0.0557038,µm/s,Track,1000728131,
0.0112755,µm/s,Track,1000755087,
0.040768,µm/s,Track,1000764459,
0.0339153,µm/s,Track,1000809896,
0.0174764,µm/s,Track,1000811156,
0.0404815,µm/s,Track,1000813964,
0.0228413,µm/s,Track,1000825954,
0.0198007,µm/s,Track,1000835089,
0.025903,µm/s,Track,1000839692,
0.0484483,µm/s,Track,1000855659,
0.0626098,µm/s,Track,1000856861,
0.0268792,µm/s,Track,1000858553,
0.0415834,µm/s,Track,1000860086,
0.0171209,µm/s,Track,1000860289,
0.0347896,µm/s,Track,1000864199,
0.0369715,µm/s,Track,1000865808,
0.0174486,µm/s,Track,1000866048,
0.0344387,µm/s,Track,1000887899,
0.0417719,µm/s,Track,1000890207,
0.013941,µm/s,Track,1000898844,
0.0619877,µm/s,Track,1000926710,
0.0207238,µm/s,Track,1000946144,
0.0568447,µm/s,Track,1000953090,
0.0294569,µm/s,Track,1000962165,
0.0153231,µm/s,Track,1000976176,
0.0365463,µm/s,Track,1000988049,
0.027474,µm/s,Track,1001007366,
0.0296387,µm/s,Track,1001020468,
0.0285905,µm/s,Track,1001028919,
0.0578286,µm/s,Track,1001035449,
0.0349745,µm/s,Track,1001045764,
0.0290348,µm/s,Track,1001046137,
0.0282529,µm/s,Track,1001054405,
0.0304131,µm/s,Track,1001070831,
0.025764,µm/s,Track,1001074979,
0.0231869,µm/s,Track,1001078337,
0.0186185,µm/s,Track,1001087121,
0.0208815,µm/s,Track,1001088762,
0.0256387,µm/s,Track,1001088789,
0.0138859,µm/s,Track,1001102674,
0.0251193,µm/s,Track,1001104072,
0.0163834,µm/s,Track,1001115718,
0.0120541,µm/s,Track,1001128302,
0.030317,µm/s,Track,1001128779,
0.031292,µm/s,Track,1001129977,
0.0173615,µm/s,Track,1001132092,
0.0312719,µm/s,Track,1001132873,
0.0167554,µm/s,Track,1001138880,
0.028802,µm/s,Track,1001148839,
0.02299,µm/s,Track,1001162429,
0.0229309,µm/s,Track,1001183631,
0.0239623,µm/s,Track,1001190228,
0.0327364,µm/s,Track,1001205984,
0.0398415,µm/s,Track,1001222072,
0.0499814,µm/s,Track,1001223904,
0.0453646,µm/s,Track,1001236985,
0.0100515,µm/s,Track,1001244289,
0.0278415,µm/s,Track,1001261153,
0.0551104,µm/s,Track,1001265495,
0.0200441,µm/s,Track,1001290709,
0.0190194,µm/s,Track,1001298039,
0.0147442,µm/s,Track,1001304416,
0.0390256,µm/s,Track,1001307011,
0.0474311,µm/s,Track,1001310725,
0.0149424,µm/s,Track,1001347654,
0.0186538,µm/s,Track,1001349662,
0.0391907,µm/s,Track,1001351185,
0.0643211,µm/s,Track,1001373018,
0.0135898,µm/s,Track,1001374929,
0.0225453,µm/s,Track,1001376957,
0.0202881,µm/s,Track,1001382680,
0.029346,µm/s,Track,1001390095,
0.0362889,µm/s,Track,1001399631,
0.026636,µm/s,Track,1001414282,
0.025682,µm/s,Track,1001432525,
0.0240553,µm/s,Track,1001443126,
0.0236299,µm/s,Track,1001444551,
0.0422726,µm/s,Track,1001447832,
0.0265387,µm/s,Track,1001459999,
0.0167425,µm/s,Track,1001463577,
0.0320702,µm/s,Track,1001470670,
0.0247928,µm/s,Track,1001484970,
0.0172221,µm/s,Track,1001498754,
0.0119411,µm/s,Track,1001510065,
0.0213433,µm/s,Track,1001511880,
0.0261065,µm/s,Track,1001515348,
0.0374035,µm/s,Track,1001524529,
