
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
157.867,67.8645,90.0027,°,Spot,Velocity Angle,1,1000000426,426,
96.1501,9.01531,83.4338,°,Spot,Velocity Angle,1,1000005575,5575,
155.88,114.115,89.235,°,Spot,Velocity Angle,1,1000008102,8102,
171.263,98.7293,89.4806,°,Spot,Velocity Angle,1,1000011182,11182,
143.316,70.7713,60.1035,°,Spot,Velocity Angle,1,1000014633,14633,
147.13,121.559,98.2855,°,Spot,Velocity Angle,1,1000014915,14915,
95.1319,8.29253,83.5043,°,Spot,Velocity Angle,1,1000018381,18381,
137.65,48.5009,96.9923,°,Spot,Velocity Angle,1,1000019405,19405,
142.58,61.2749,68.1703,°,Spot,Velocity Angle,1,1000022248,22248,
156.79,70.1052,78.5306,°,Spot,Velocity Angle,1,1000023039,23039,
130.47,59.493,124.519,°,Spot,Velocity Angle,1,1000023639,23639,
86.4528,6.21665,84.9058,°,Spot,Velocity Angle,1,1000024512,24512,
112.291,85.7901,22.7256,°,Spot,Velocity Angle,1,1000025762,25762,
174.897,95.0377,89.1433,°,Spot,Velocity Angle,1,1000025863,25863,
145.663,93.2952,55.8635,°,Spot,Velocity Angle,1,1000025898,25898,
127.796,134.779,69.0048,°,Spot,Velocity Angle,1,1000026374,26374,
148.104,67.5587,111.435,°,Spot,Velocity Angle,1,1000026660,26660,
143.931,113.965,64.7661,°,Spot,Velocity Angle,1,1000026789,26789,
99.9949,160.572,106.495,°,Spot,Velocity Angle,1,1000026990,26990,
166,76.0003,90.2662,°,Spot,Velocity Angle,1,1000027048,27048,
152.619,62.6274,90.7371,°,Spot,Velocity Angle,1,1000027245,27245,
159.462,71.0869,82.2815,°,Spot,Velocity Angle,1,1000027656,27656,
139.691,51.672,100.619,°,Spot,Velocity Angle,1,1000028849,28849,
170.35,81.6287,85.2297,°,Spot,Velocity Angle,1,1000028860,28860,
137.52,132.488,90.0027,°,Spot,Velocity Angle,1,1000029962,29962,
53.7378,36.2649,90.0027,°,Spot,Velocity Angle,2,1000000426,31408,
12.1064,90.7893,102.083,°,Spot,Velocity Angle,2,1000034728,34728,
100.631,32.7251,59.4603,°,Spot,Velocity Angle,2,1000005575,36136,
158.025,111.931,88.558,°,Spot,Velocity Angle,2,1000008102,38443,
103.238,32.1903,61.2504,°,Spot,Velocity Angle,2,1000011182,41290,
171.099,87.9508,98.6661,°,Spot,Velocity Angle,2,1000014633,44511,
104.35,150.173,115.556,°,Spot,Velocity Angle,2,1000014915,44743,
142.623,127.076,94.1361,°,Spot,Velocity Angle,2,1000018381,48029,
156.212,79.3755,68.9753,°,Spot,Velocity Angle,2,1000019405,48982,
99.5621,74.8009,161.923,°,Spot,Velocity Angle,2,1000023639,50349,
103.33,36.2272,57.0338,°,Spot,Velocity Angle,2,1000022248,51941,
165.308,102.243,81.9914,°,Spot,Velocity Angle,2,1000023039,52388,
141.776,91.9728,51.8433,°,Spot,Velocity Angle,2,1000024512,53806,
55.5814,145.017,84.4807,°,Spot,Velocity Angle,2,1000026990,53878,
143.576,124.208,78.9725,°,Spot,Velocity Angle,2,1000025863,54980,
100.184,27.6082,64.6374,°,Spot,Velocity Angle,2,1000025898,55022,
