
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,um,Surface,Displacement Delta,1,1000014184,14184,
0,0,0,um,Surface,Displacement Delta,1,1000014185,14185,
0,0,0,um,Surface,Displacement Delta,1,1000014186,14186,
0,0,0,um,Surface,Displacement Delta,1,1000014187,14187,
0,0,0,um,Surface,Displacement Delta,1,1000014188,14188,
0,0,0,um,Surface,Displacement Delta,1,1000014189,14189,
0,0,0,um,Surface,Displacement Delta,1,1000014190,14190,
0,0,0,um,Surface,Displacement Delta,1,1000014191,14191,
0,0,0,um,Surface,Displacement Delta,1,1000014192,14192,
0,0,0,um,Surface,Displacement Delta,1,1000014193,14193,
0,0,0,um,Surface,Displacement Delta,1,1000014194,14194,
0,0,0,um,Surface,Displacement Delta,1,1000014195,14195,
0,0,0,um,Surface,Displacement Delta,1,1000014196,14196,
0,0,0,um,Surface,Displacement Delta,1,1000014197,14197,
0,0,0,um,Surface,Displacement Delta,1,1000014198,14198,
0,0,0,um,Surface,Displacement Delta,1,1000014199,14199,
0,0,0,um,Surface,Displacement Delta,1,1000014200,14200,
0,0,0,um,Surface,Displacement Delta,1,1000014201,14201,
0,0,0,um,Surface,Displacement Delta,1,1000014202,14202,
-0.322891,-0.0115356,0.333332,um,Surface,Displacement Delta,2,1000014185,14203,
-0.539658,0.788742,-0.599998,um,Surface,Displacement Delta,2,1000014184,14204,
0.380539,0.507355,-1.75,um,Surface,Displacement Delta,2,1000014186,14205,
1.22563,-0.153198,0,um,Surface,Displacement Delta,2,1000014187,14206,
0,0,0,um,Surface,Displacement Delta,2,1000014207,14207,
-2.29919,-3.75217,3.46154,um,Surface,Displacement Delta,2,1000014188,14208,
1.83194,-3.04251,-2.20161,um,Surface,Displacement Delta,2,1000014189,14209,
0,0,0,um,Surface,Displacement Delta,2,1000014210,14210,
0.985229,-0.42067,0.200001,um,Surface,Displacement Delta,2,1000014190,14211,
0,0,0,um,Surface,Displacement Delta,2,1000014212,14212,
-0.482712,-0.0965576,0.348837,um,Surface,Displacement Delta,2,1000014191,14213,
-1.81429,1.17561,0.213675,um,Surface,Displacement Delta,2,1000014192,14214,
-0.841614,0.687943,-0.0111809,um,Surface,Displacement Delta,2,1000014193,14215,
0,0,0,um,Surface,Displacement Delta,2,1000014216,14216,
-2.2286,1.59186,0.947369,um,Surface,Displacement Delta,2,1000014194,14217,
0,0,0,um,Surface,Displacement Delta,2,1000014218,14218,
