
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0,um,Surface,1,1000014184,14184,
0,um,Surface,1,1000014185,14185,
0,um,Surface,1,1000014186,14186,
0,um,Surface,1,1000014187,14187,
0,um,Surface,1,1000014188,14188,
0,um,Surface,1,1000014189,14189,
0,um,Surface,1,1000014190,14190,
0,um,Surface,1,1000014191,14191,
0,um,Surface,1,1000014192,14192,
0,um,Surface,1,1000014193,14193,
0,um,Surface,1,1000014194,14194,
0,um,Surface,1,1000014195,14195,
0,um,Surface,1,1000014196,14196,
0,um,Surface,1,1000014197,14197,
0,um,Surface,1,1000014198,14198,
0,um,Surface,1,1000014199,14199,
0,um,Surface,1,1000014200,14200,
0,um,Surface,1,1000014201,14201,
0,um,Surface,1,1000014202,14202,
0.464222,um,Surface,2,1000014185,14203,
1.12842,um,Surface,2,1000014184,14204,
1.86138,um,Surface,2,1000014186,14205,
1.23517,um,Surface,2,1000014187,14206,
0,um,Surface,2,1000014207,14207,
5.59887,um,Surface,2,1000014188,14208,
4.17851,um,Surface,2,1000014189,14209,
0,um,Surface,2,1000014210,14210,
1.08979,um,Surface,2,1000014190,14211,
0,um,Surface,2,1000014212,14212,
0.603342,um,Surface,2,1000014191,14213,
2.17241,um,Surface,2,1000014192,14214,
1.08706,um,Surface,2,1000014193,14215,
0,um,Surface,2,1000014216,14216,
2.89796,um,Surface,2,1000014194,14217,
0,um,Surface,2,1000014218,14218,
1.23462,um,Surface,2,1000014195,14219,
0,um,Surface,2,1000014220,14220,
1.97852,um,Surface,2,1000014196,14221,
4.2499,um,Surface,2,1000014197,14222,
0,um,Surface,2,1000014223,14223,
0.399265,um,Surface,2,1000014199,14224,
2.33161,um,Surface,2,1000014198,14225,
1.65778,um,Surface,2,1000014200,14226,
1.41838,um,Surface,2,1000014201,14227,
0.415138,um,Surface,2,1000014202,14228,
0.691975,um,Surface,3,1000014185,14229,
1.02637,um,Surface,3,1000014184,14230,
1.26951,um,Surface,3,1000014186,14231,
1.97409,um,Surface,3,1000014187,14232,
0,um,Surface,3,1000014233,14233,
0.469595,um,Surface,3,1000014207,14234,
3.53174,um,Surface,3,1000014188,14235,
0,um,Surface,3,1000014236,14236,
3.33332,um,Surface,3,1000014189,14237,
0.391382,um,Surface,3,1000014210,14238,
0,um,Surface,3,1000014239,14239,
0.267913,um,Surface,3,1000014190,14240,
0.92884,um,Surface,3,1000014212,14241,
0,um,Surface,3,1000014242,14242,
1.58478,um,Surface,3,1000014191,14243,
1.65724,um,Surface,3,1000014192,14244,
2.18623,um,Surface,3,1000014193,14245,
1.46705,um,Surface,3,1000014216,14246,
0.385483,um,Surface,3,1000014194,14247,
1.90009,um,Surface,3,1000014218,14248,
2.2912,um,Surface,3,1000014195,14249,
2.96921,um,Surface,3,1000014220,14250,
1.9845,um,Surface,3,1000014196,14251,
2.85858,um,Surface,3,1000014197,14252,
0.871465,um,Surface,3,1000014223,14253,
1.58672,um,Surface,3,1000014198,14254,
0.855829,um,Surface,3,1000014199,14255,
1.27056,um,Surface,3,1000014200,14256,
1.52845,um,Surface,3,1000014201,14257,
0.886054,um,Surface,3,1000014202,14258,
0.697899,um,Surface,4,1000014185,14259,
0.967405,um,Surface,4,1000014184,14260,
0,um,Surface,4,1000014261,14261,
2.59544,um,Surface,4,1000014186,14262,
2.26987,um,Surface,4,1000014187,14263,
1.5902,um,Surface,4,1000014233,14264,
0.568894,um,Surface,4,1000014207,14265,
0.766921,um,Surface,4,1000014188,14266,
1.98239,um,Surface,4,1000014236,14267,
1.64772,um,Surface,4,1000014189,14268,
1.77816,um,Surface,4,1000014210,14269,
2.03462,um,Surface,4,1000014190,14270,
1.90689,um,Surface,4,1000014239,14271,
2.14604,um,Surface,4,1000014212,14272,
0.978492,um,Surface,4,1000014242,14273,
2.2257,um,Surface,4,1000014191,14274,
0,um,Surface,4,1000014275,14275,
1.81258,um,Surface,4,1000014192,14276,
2.32693,um,Surface,4,1000014193,14277,
1.29798,um,Surface,4,1000014216,14278,
3.48498,um,Surface,4,1000014194,14279,
1.71584,um,Surface,4,1000014218,14280,
1.6552,um,Surface,4,1000014195,14281,
2.34732,um,Surface,4,1000014220,14282,
2.12344,um,Surface,4,1000014196,14283,
1.88961,um,Surface,4,1000014197,14284,
0.581373,um,Surface,4,1000014223,14285,
0.356439,um,Surface,4,1000014199,14286,
1.02939,um,Surface,4,1000014198,14287,
0,um,Surface,4,1000014288,14288,
0,um,Surface,4,1000014289,14289,
0.925433,um,Surface,4,1000014200,14290,
2.6864,um,Surface,4,1000014201,14291,
1.11564,um,Surface,4,1000014202,14292,
1.60233,um,Surface,5,1000014184,14293,
2.32143,um,Surface,5,1000014185,14294,
3.57208,um,Surface,5,1000014261,14295,
2.7281,um,Surface,5,1000014186,14296,
0.986474,um,Surface,5,1000014187,14297,
0,um,Surface,5,1000014298,14298,
0,um,Surface,5,1000014299,14299,
0.72239,um,Surface,5,1000014233,14300,
1.81104,um,Surface,5,1000014207,14301,
0,um,Surface,5,1000014302,14302,
1.13639,um,Surface,5,1000014236,14303,
0,um,Surface,5,1000014304,14304,
2.38409,um,Surface,5,1000014189,14305,
1.26768,um,Surface,5,1000014210,14306,
6.45606,um,Surface,5,1000014239,14307,
3.34441,um,Surface,5,1000014190,14308,
1.45033,um,Surface,5,1000014212,14309,
0.587084,um,Surface,5,1000014242,14310,
1.75556,um,Surface,5,1000014191,14311,
0.892789,um,Surface,5,1000014275,14312,
0.884057,um,Surface,5,1000014192,14313,
2.22952,um,Surface,5,1000014193,14314,
1.98146,um,Surface,5,1000014216,14315,
4.11895,um,Surface,5,1000014194,14316,
1.69664,um,Surface,5,1000014218,14317,
4.83836,um,Surface,5,1000014220,14318,
2.02777,um,Surface,5,1000014196,14319,
1.8928,um,Surface,5,1000014197,14320,
1.98245,um,Surface,5,1000014223,14321,
1.14947,um,Surface,5,1000014288,14322,
1.37826,um,Surface,5,1000014199,14323,
0.735434,um,Surface,5,1000014198,14324,
2.27364,um,Surface,5,1000014289,14325,
2.02899,um,Surface,5,1000014200,14326,
