
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
0,um,Surface,1,1000014184,14184,
0,um,Surface,1,1000014185,14185,
0,um,Surface,1,1000014186,14186,
0,um,Surface,1,1000014187,14187,
0,um,Surface,1,1000014188,14188,
0,um,Surface,1,1000014189,14189,
0,um,Surface,1,1000014190,14190,
0,um,Surface,1,1000014191,14191,
0,um,Surface,1,1000014192,14192,
0,um,Surface,1,1000014193,14193,
0,um,Surface,1,1000014194,14194,
0,um,Surface,1,1000014195,14195,
0,um,Surface,1,1000014196,14196,
0,um,Surface,1,1000014197,14197,
0,um,Surface,1,1000014198,14198,
0,um,Surface,1,1000014199,14199,
0,um,Surface,1,1000014200,14200,
0,um,Surface,1,1000014201,14201,
0,um,Surface,1,1000014202,14202,
0.464222,um,Surface,2,1000014185,14203,
1.12842,um,Surface,2,1000014184,14204,
1.86138,um,Surface,2,1000014186,14205,
1.23517,um,Surface,2,1000014187,14206,
0,um,Surface,2,1000014207,14207,
5.59887,um,Surface,2,1000014188,14208,
4.17851,um,Surface,2,1000014189,14209,
0,um,Surface,2,1000014210,14210,
1.08979,um,Surface,2,1000014190,14211,
0,um,Surface,2,1000014212,14212,
0.603342,um,Surface,2,1000014191,14213,
2.17241,um,Surface,2,1000014192,14214,
1.08706,um,Surface,2,1000014193,14215,
0,um,Surface,2,1000014216,14216,
2.89796,um,Surface,2,1000014194,14217,
0,um,Surface,2,1000014218,14218,
1.23462,um,Surface,2,1000014195,14219,
0,um,Surface,2,1000014220,14220,
1.97852,um,Surface,2,1000014196,14221,
4.2499,um,Surface,2,1000014197,14222,
0,um,Surface,2,1000014223,14223,
0.399265,um,Surface,2,1000014199,14224,
2.33161,um,Surface,2,1000014198,14225,
1.65778,um,Surface,2,1000014200,14226,
1.41838,um,Surface,2,1000014201,14227,
0.415138,um,Surface,2,1000014202,14228,
1.06811,um,Surface,3,1000014185,14229,
1.03648,um,Surface,3,1000014184,14230,
1.94795,um,Surface,3,1000014186,14231,
2.03602,um,Surface,3,1000014187,14232,
0,um,Surface,3,1000014233,14233,
0.469595,um,Surface,3,1000014207,14234,
7.60538,um,Surface,3,1000014188,14235,
0,um,Surface,3,1000014236,14236,
6.76167,um,Surface,3,1000014189,14237,
0.391382,um,Surface,3,1000014210,14238,
0,um,Surface,3,1000014239,14239,
0.961708,um,Surface,3,1000014190,14240,
0.92884,um,Surface,3,1000014212,14241,
0,um,Surface,3,1000014242,14242,
1.59974,um,Surface,3,1000014191,14243,
2.28519,um,Surface,3,1000014192,14244,
2.52897,um,Surface,3,1000014193,14245,
1.46705,um,Surface,3,1000014216,14246,
3.12635,um,Surface,3,1000014194,14247,
1.90009,um,Surface,3,1000014218,14248,
2.89039,um,Surface,3,1000014195,14249,
2.96921,um,Surface,3,1000014220,14250,
3.93263,um,Surface,3,1000014196,14251,
6.78828,um,Surface,3,1000014197,14252,
0.871465,um,Surface,3,1000014223,14253,
3.2118,um,Surface,3,1000014198,14254,
0.975791,um,Surface,3,1000014199,14255,
2.69285,um,Surface,3,1000014200,14256,
2.33143,um,Surface,3,1000014201,14257,
0.70559,um,Surface,3,1000014202,14258,
0.548015,um,Surface,4,1000014185,14259,
0.953206,um,Surface,4,1000014184,14260,
0,um,Surface,4,1000014261,14261,
3.81936,um,Surface,4,1000014186,14262,
3.59869,um,Surface,4,1000014187,14263,
1.5902,um,Surface,4,1000014233,14264,
0.906367,um,Surface,4,1000014207,14265,
7.2903,um,Surface,4,1000014188,14266,
1.98239,um,Surface,4,1000014236,14267,
8.35159,um,Surface,4,1000014189,14268,
1.76736,um,Surface,4,1000014210,14269,
1.12751,um,Surface,4,1000014190,14270,
1.90689,um,Surface,4,1000014239,14271,
1.85918,um,Surface,4,1000014212,14272,
0.978492,um,Surface,4,1000014242,14273,
2.80282,um,Surface,4,1000014191,14274,
0,um,Surface,4,1000014275,14275,
1.04122,um,Surface,4,1000014192,14276,
1.62536,um,Surface,4,1000014193,14277,
0.652488,um,Surface,4,1000014216,14278,
2.5241,um,Surface,4,1000014194,14279,
0.593385,um,Surface,4,1000014218,14280,
4.28617,um,Surface,4,1000014195,14281,
4.54901,um,Surface,4,1000014220,14282,
2.55326,um,Surface,4,1000014196,14283,
7.2076,um,Surface,4,1000014197,14284,
1.33765,um,Surface,4,1000014223,14285,
0.656126,um,Surface,4,1000014199,14286,
3.50535,um,Surface,4,1000014198,14287,
0,um,Surface,4,1000014288,14288,
0,um,Surface,4,1000014289,14289,
2.81729,um,Surface,4,1000014200,14290,
3.15446,um,Surface,4,1000014201,14291,
0.415134,um,Surface,4,1000014202,14292,
2.37261,um,Surface,5,1000014184,14293,
1.93079,um,Surface,5,1000014185,14294,
3.57208,um,Surface,5,1000014261,14295,
6.45898,um,Surface,5,1000014186,14296,
2.6776,um,Surface,5,1000014187,14297,
0,um,Surface,5,1000014298,14298,
0,um,Surface,5,1000014299,14299,
1.83051,um,Surface,5,1000014233,14300,
2.24757,um,Surface,5,1000014207,14301,
0,um,Surface,5,1000014302,14302,
1.18586,um,Surface,5,1000014236,14303,
0,um,Surface,5,1000014304,14304,
10.1525,um,Surface,5,1000014189,14305,
1.08253,um,Surface,5,1000014210,14306,
4.86105,um,Surface,5,1000014239,14307,
4.2367,um,Surface,5,1000014190,14308,
1.86939,um,Surface,5,1000014212,14309,
1.27428,um,Surface,5,1000014242,14310,
3.27319,um,Surface,5,1000014191,14311,
0.892789,um,Surface,5,1000014275,14312,
1.31455,um,Surface,5,1000014192,14313,
2.31079,um,Surface,5,1000014193,14314,
1.57191,um,Surface,5,1000014216,14315,
3.95791,um,Surface,5,1000014194,14316,
1.59255,um,Surface,5,1000014218,14317,
7.73447,um,Surface,5,1000014220,14318,
3.6553,um,Surface,5,1000014196,14319,
8.12832,um,Surface,5,1000014197,14320,
2.23555,um,Surface,5,1000014223,14321,
1.14947,um,Surface,5,1000014288,14322,
2.0135,um,Surface,5,1000014199,14323,
3.80801,um,Surface,5,1000014198,14324,
2.27364,um,Surface,5,1000014289,14325,
4.00519,um,Surface,5,1000014200,14326,
