
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
305.168,um,Surface,Distance from Origin,1,1000014184,14184,
421.466,um,Surface,Distance from Origin,1,1000014185,14185,
306.773,um,Surface,Distance from Origin,1,1000014186,14186,
294.79,um,Surface,Distance from Origin,1,1000014187,14187,
356.251,um,Surface,Distance from Origin,1,1000014188,14188,
254.351,um,Surface,Distance from Origin,1,1000014189,14189,
293.55,um,Surface,Distance from Origin,1,1000014190,14190,
275.48,um,Surface,Distance from Origin,1,1000014191,14191,
219.54,um,Surface,Distance from Origin,1,1000014192,14192,
234.188,um,Surface,Distance from Origin,1,1000014193,14193,
205.524,um,Surface,Distance from Origin,1,1000014194,14194,
262.916,um,Surface,Distance from Origin,1,1000014195,14195,
176.858,um,Surface,Distance from Origin,1,1000014196,14196,
165.434,um,Surface,Distance from Origin,1,1000014197,14197,
142.65,um,Surface,Distance from Origin,1,1000014198,14198,
143.947,um,Surface,Distance from Origin,1,1000014199,14199,
139.113,um,Surface,Distance from Origin,1,1000014200,14200,
130.298,um,Surface,Distance from Origin,1,1000014201,14201,
112.683,um,Surface,Distance from Origin,1,1000014202,14202,
421.388,um,Surface,Distance from Origin,2,1000014185,14203,
305.386,um,Surface,Distance from Origin,2,1000014184,14204,
307.157,um,Surface,Distance from Origin,2,1000014186,14205,
295.616,um,Surface,Distance from Origin,2,1000014187,14206,
277.933,um,Surface,Distance from Origin,2,1000014207,14207,
354,um,Surface,Distance from Origin,2,1000014188,14208,
253.606,um,Surface,Distance from Origin,2,1000014189,14209,
258.576,um,Surface,Distance from Origin,2,1000014210,14210,
294.466,um,Surface,Distance from Origin,2,1000014190,14211,
249.74,um,Surface,Distance from Origin,2,1000014212,14212,
275.31,um,Surface,Distance from Origin,2,1000014191,14213,
219.461,um,Surface,Distance from Origin,2,1000014192,14214,
234.547,um,Surface,Distance from Origin,2,1000014193,14215,
229.541,um,Surface,Distance from Origin,2,1000014216,14216,
205.624,um,Surface,Distance from Origin,2,1000014194,14217,
218.524,um,Surface,Distance from Origin,2,1000014218,14218,
261.773,um,Surface,Distance from Origin,2,1000014195,14219,
202.63,um,Surface,Distance from Origin,2,1000014220,14220,
177.706,um,Surface,Distance from Origin,2,1000014196,14221,
167.578,um,Surface,Distance from Origin,2,1000014197,14222,
155.689,um,Surface,Distance from Origin,2,1000014223,14223,
144.315,um,Surface,Distance from Origin,2,1000014199,14224,
141.595,um,Surface,Distance from Origin,2,1000014198,14225,
138.137,um,Surface,Distance from Origin,2,1000014200,14226,
131.385,um,Surface,Distance from Origin,2,1000014201,14227,
113.071,um,Surface,Distance from Origin,2,1000014202,14228,
421.169,um,Surface,Distance from Origin,3,1000014185,14229,
304.791,um,Surface,Distance from Origin,3,1000014184,14230,
307.454,um,Surface,Distance from Origin,3,1000014186,14231,
296.648,um,Surface,Distance from Origin,3,1000014187,14232,
278.023,um,Surface,Distance from Origin,3,1000014233,14233,
277.812,um,Surface,Distance from Origin,3,1000014207,14234,
353.28,um,Surface,Distance from Origin,3,1000014188,14235,
273.679,um,Surface,Distance from Origin,3,1000014236,14236,
253.833,um,Surface,Distance from Origin,3,1000014189,14237,
258.948,um,Surface,Distance from Origin,3,1000014210,14238,
256.818,um,Surface,Distance from Origin,3,1000014239,14239,
294.455,um,Surface,Distance from Origin,3,1000014190,14240,
250.478,um,Surface,Distance from Origin,3,1000014212,14241,
241.699,um,Surface,Distance from Origin,3,1000014242,14242,
276.669,um,Surface,Distance from Origin,3,1000014191,14243,
220.12,um,Surface,Distance from Origin,3,1000014192,14244,
234.976,um,Surface,Distance from Origin,3,1000014193,14245,
229.712,um,Surface,Distance from Origin,3,1000014216,14246,
205.944,um,Surface,Distance from Origin,3,1000014194,14247,
220.02,um,Surface,Distance from Origin,3,1000014218,14248,
260.599,um,Surface,Distance from Origin,3,1000014195,14249,
202.781,um,Surface,Distance from Origin,3,1000014220,14250,
178.847,um,Surface,Distance from Origin,3,1000014196,14251,
168.824,um,Surface,Distance from Origin,3,1000014197,14252,
154.858,um,Surface,Distance from Origin,3,1000014223,14253,
141.801,um,Surface,Distance from Origin,3,1000014198,14254,
144.111,um,Surface,Distance from Origin,3,1000014199,14255,
137.499,um,Surface,Distance from Origin,3,1000014200,14256,
131.894,um,Surface,Distance from Origin,3,1000014201,14257,
112.795,um,Surface,Distance from Origin,3,1000014202,14258,
421.614,um,Surface,Distance from Origin,4,1000014185,14259,
